name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:10941	intracranial aneurysm	16	3	77.2	15.1	6.5e-06	0.00045	113	18.7	490
DOID:13089	intracranial arterial disease	20	3	61.8	13.4	1.3e-05	0.00045	87	14.7	358
DOID:3527	cerebral arterial disease	20	3	61.8	13.4	1.3e-05	0.00045	87	14.7	358
DOID:37	skin disease	571	8	5.77	5.87	2.3e-05	0.00059	10.1	3.39	29.7
DOID:16	integumentary system disease	595	8	5.54	5.71	3.2e-05	0.00064	9.68	3.24	28.4
DOID:8552	chronic myeloid leukemia	172	4	9.58	5.62	0.00065	0.011	12.5	2.93	40.9
DOID:3717	gastric adenocarcinoma	92	3	13.4	5.92	0.0013	0.012	16.6	3	60.8
DOID:5517	stomach carcinoma	95	3	13	5.81	0.0014	0.012	16	2.9	58.7
DOID:10534	stomach cancer	97	3	12.7	5.74	0.0015	0.012	15.7	2.84	57.4
DOID:10952	nephritis	200	4	8.24	5.12	0.0011	0.012	10.6	2.51	34.9
DOID:5614	eye disease	531	6	4.65	4.32	0.0011	0.012	6.71	2.03	19.9
DOID:1492	eye and adnexa disease	537	6	4.6	4.28	0.0012	0.012	6.62	2	19.6
DOID:299	adenocarcinoma	755	7	3.82	4.04	0.0012	0.012	5.83	1.88	17
DOID:6713	cerebrovascular disease	114	3	10.8	5.22	0.0024	0.014	13.3	2.41	48.4
DOID:10652	Alzheimer's disease	395	5	5.21	4.25	0.002	0.014	7.04	1.93	21.6
DOID:680	tauopathy	398	5	5.17	4.23	0.002	0.014	6.98	1.92	21.4
DOID:0050155	sensory system disease	606	6	4.08	3.91	0.0022	0.014	5.8	1.76	17.2
DOID:5844	myocardial infarction	279	4	5.9	4.12	0.0039	0.021	7.5	1.77	24.5
DOID:1289	neurodegenerative disease	925	7	3.12	3.41	0.004	0.021	4.62	1.49	13.5
DOID:557	kidney disease	476	5	4.33	3.71	0.0044	0.022	5.76	1.58	17.6
DOID:3310	atopic dermatitis	145	3	8.52	4.51	0.0048	0.023	10.3	1.88	37.5
DOID:399	tuberculosis	147	3	8.4	4.48	0.005	0.023	10.2	1.85	37
DOID:18	urinary system disease	494	5	4.17	3.6	0.0052	0.023	5.53	1.52	16.9
DOID:1247	blood coagulation disease	164	3	7.53	4.18	0.0067	0.025	9.07	1.66	33
DOID:3093	nervous system cancer	523	5	3.94	3.44	0.0066	0.025	5.2	1.43	15.9
DOID:8692	myeloid leukemia	525	5	3.92	3.43	0.0067	0.025	5.18	1.42	15.9
DOID:1287	cardiovascular system disease	1292	8	2.55	3.04	0.0066	0.025	3.94	1.32	11.5
DOID:4607	biliary tract cancer	169	3	7.31	4.1	0.0073	0.026	8.79	1.61	31.9
DOID:231	motor neuron disease	183	3	6.75	3.89	0.0091	0.03	8.09	1.48	29.4
DOID:3393	coronary artery disease	351	4	4.69	3.5	0.0088	0.03	5.88	1.39	19.2
DOID:1612	breast cancer	571	5	3.61	3.21	0.0096	0.03	4.72	1.3	14.5
DOID:5093	thoracic cancer	572	5	3.6	3.2	0.0097	0.03	4.71	1.3	14.4
DOID:934	viral infectious disease	795	6	3.11	3.11	0.0086	0.03	4.28	1.3	12.7
DOID:178	vascular disease	1088	7	2.65	2.92	0.01	0.03	3.82	1.23	11.1
DOID:1240	leukemia	1133	7	2.54	2.8	0.012	0.036	3.64	1.17	10.6
DOID:863	nervous system disease	1770	9	2.09	2.63	0.013	0.037	3.34	1.14	9.95
DOID:6000	congestive heart failure	217	3	5.69	3.46	0.014	0.039	6.77	1.24	24.5
DOID:0050338	primary bacterial infectious disease	220	3	5.62	3.43	0.015	0.039	6.68	1.22	24.2
DOID:2723	dermatitis	222	3	5.57	3.41	0.015	0.039	6.61	1.21	23.9
DOID:1036	chronic leukemia	222	3	5.57	3.41	0.015	0.039	6.61	1.21	23.9
DOID:1542	head and neck carcinoma	235	3	5.26	3.28	0.018	0.042	6.23	1.14	22.5
DOID:11934	head and neck cancer	239	3	5.17	3.24	0.019	0.042	6.12	1.12	22.1
DOID:0060100	musculoskeletal system cancer	427	4	3.86	3.01	0.017	0.042	4.77	1.13	15.5
DOID:0050828	artery disease	931	6	2.65	2.67	0.018	0.042	3.57	1.08	10.6
DOID:3119	gastrointestinal system cancer	1536	8	2.14	2.51	0.019	0.042	3.17	1.06	9.28
DOID:331	central nervous system disease	1234	7	2.34	2.55	0.02	0.043	3.28	1.06	9.58
DOID:104	bacterial infectious disease	250	3	4.94	3.13	0.021	0.044	5.84	1.07	21.1
DOID:3459	breast carcinoma	451	4	3.65	2.87	0.021	0.044	4.5	1.06	14.6
