query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0101	45	415	7	0.017	0.156	GO:2000243	BP	89	positive regulation of reproductive process	1	ZP3,CTNNB1,SIRT2,LFNG,PDE3A,AR,NPM2
2	1	TRUE	0.0438	786	415	32	0.077	0.041	GO:0040007	BP	154	growth	1	CCM2,ACVRL1,CDKN1B,PSAP,ZP3,PRLR,CTNNB1,CSF1,H3F3B,ROS1,STC2,NIN,SOD1,TARBP2,NRP1,FGF7,FUBP1,BNIPL,IQGAP1,NLGN3,EXOSC4,KRT17,CD81,VPRBP,FZD7,BRCA2,OSGIN2,AR,PCDH15,MAP1B,NRK,MAPK11
3	1	TRUE	0.0254	1213	415	45	0.108	0.037	GO:0065003	BP	158	protein-containing complex assembly	1	SNX9,CDKN1B,SRPK1,PRLR,CTNNB1,PDCL,SIRT2,H3F3B,LUC7L3,NIN,CLDN1,TARBP2,CELF4,FASTKD2,SUMO1,NDUFB3,COA5,FARSB,SELP,DDX20,TMEM261,TLN1,SLC2A1,PINK1,AGO3,POMP,VAMP1,ZW10,ME1,CEBPA,RBMXL1,PRF1,PKD2L1,MAT1A,ATP6V0A2,PRPF18,COX15,DLGAP3,ZC3H12A,COA4,INSIG1,AR,MDM4,TXNL4A,SMIM20
4	1	TRUE	0.00651	4914	415	141	0.34	0.029	GO:0071840	BP	51	cellular component organization or biogenesis	1	PEMT,CCM2,ACVRL1,SNAPIN,KPNB1,SPAG5,CCNE1,SNX9,ATG4D,TIMM44,CDKN1B,SRPK1,PRLR,MSH6,CTNNB1,PDCL,PAM16,SIRT2,NKAP,H3F3B,MRM1,ARRB1,ROS1,P4HA1,UNC5B,DOCK2,AP3D1,NUP85,DOC2B,LUC7L3,LYZL6,NIN,CLMN,AGTPBP1,DPYSL2,SYNGR1,CLDN1,CEP97,SOD1,TARBP2,CELF4,RING1,LARS,NFKB2,CD63,RHOT2,NRP1,FASTKD2,SUMO1,NDUFB3,COA5,IMP4,ITM2C,FARSB,BLZF1,SELP,UHMK1,LAMC3,LRP2,TIMM10,FGF7,FRMD5,NFS1,DDX20,TMEM261,TLN1,PINK1,AGO3,HGF,CDK11B,CDC7,FTSJ2,POMP,GABARAPL1,EMP1,VAMP1,VPS33B,IQGAP1,KIF22,PLK1,MRPL17,BRCC3,NLGN3,DIXDC1,ZW10,TPM1,ME1,NPHP3,TRAPPC8,GPC1,EXOSC4,CEBPA,KRT17,RBMXL1,PRF1,PKD2L1,CD81,DZIP1L,MAT1A,ATP6V0A2,TRMT112,PRPF18,COX15,VPRBP,TBL3,FZD7,BRCA2,OSGIN2,PDE3A,KANK3,SIN3A,ZC3H12A,SIPA1L1,HECW2,COA4,INSIG1,KRT14,ONECUT2,AR,SLITRK4,BOLA2,NPM2,SYNGR2,PCDH15,MAP1B,TXNL4A,H2AFJ,MARF1,SMIM20,L7RN6,MAPK3,UNC5D,UTP14A,RAB3IP,SYNGAP1,CHCHD2,SPINT2,KLHL17,SPRR2A1,IGHD,MPV17
5	1	TRUE	0.0254	2243	415	72	0.173	0.032	GO:0044085	BP	51	cellular component biogenesis	2	ACVRL1,KPNB1,SPAG5,SNX9,ATG4D,CDKN1B,SRPK1,PRLR,CTNNB1,PDCL,SIRT2,H3F3B,MRM1,ARRB1,NUP85,LUC7L3,NIN,CLDN1,CEP97,TARBP2,CELF4,NRP1,FASTKD2,SUMO1,NDUFB3,COA5,IMP4,FARSB,SELP,NFS1,DDX20,TMEM261,TLN1,PINK1,AGO3,FTSJ2,POMP,GABARAPL1,EMP1,VAMP1,PLK1,NLGN3,ME1,NPHP3,TRAPPC8,GPC1,EXOSC4,CEBPA,RBMXL1,PRF1,PKD2L1,DZIP1L,MAT1A,ATP6V0A2,TRMT112,PRPF18,COX15,TBL3,KANK3,ZC3H12A,COA4,INSIG1,KRT14,ONECUT2,AR,SLITRK4,BOLA2,PCDH15,TXNL4A,SMIM20,UTP14A,RAB3IP
6	1	TRUE	0.0122	4772	415	135	0.325	0.028	GO:0016043	BP	51	cellular component organization	1	PEMT,CCM2,ACVRL1,SNAPIN,KPNB1,SPAG5,CCNE1,SNX9,ATG4D,TIMM44,CDKN1B,SRPK1,PRLR,MSH6,CTNNB1,PDCL,PAM16,SIRT2,NKAP,H3F3B,ARRB1,ROS1,P4HA1,UNC5B,DOCK2,AP3D1,NUP85,DOC2B,LUC7L3,LYZL6,NIN,CLMN,AGTPBP1,DPYSL2,SYNGR1,CLDN1,CEP97,SOD1,TARBP2,CELF4,RING1,LARS,NFKB2,CD63,RHOT2,NRP1,FASTKD2,SUMO1,NDUFB3,COA5,ITM2C,FARSB,BLZF1,SELP,UHMK1,LAMC3,LRP2,TIMM10,FGF7,FRMD5,NFS1,DDX20,TMEM261,TLN1,PINK1,AGO3,HGF,CDK11B,CDC7,POMP,GABARAPL1,EMP1,VAMP1,VPS33B,IQGAP1,KIF22,PLK1,MRPL17,BRCC3,NLGN3,DIXDC1,ZW10,TPM1,ME1,NPHP3,TRAPPC8,GPC1,EXOSC4,CEBPA,KRT17,RBMXL1,PRF1,PKD2L1,CD81,DZIP1L,MAT1A,ATP6V0A2,PRPF18,COX15,VPRBP,FZD7,BRCA2,OSGIN2,PDE3A,KANK3,SIN3A,ZC3H12A,SIPA1L1,HECW2,COA4,INSIG1,KRT14,ONECUT2,AR,SLITRK4,BOLA2,NPM2,SYNGR2,PCDH15,MAP1B,TXNL4A,H2AFJ,MARF1,SMIM20,L7RN6,MAPK3,UNC5D,RAB3IP,SYNGAP1,CHCHD2,SPINT2,KLHL17,SPRR2A1,IGHD,MPV17
7	1	TRUE	0.00489	3	415	3	0.007	1	GO:0048499	BP	155	synaptic vesicle membrane organization	1	AP3D1,SYNGR1,SYNGR2
8	1	TRUE	0.0473	63	415	7	0.017	0.111	GO:0055072	BP	78	iron ion homeostasis	1	ATP6AP1,SOD1,FTH1,BDH2,EIF2AK1,ANK1,ATP6V0A2
9	1	TRUE	0.0176	107	415	10	0.024	0.093	GO:0007292	BP	94	female gamete generation	1	ZP3,CTNNB1,SIRT2,H3F3B,DDX20,PLK1,BRCA2,PDE3A,NPM2,MARF1
10	1	TRUE	0.00661	71	415	9	0.022	0.127	GO:0048477	BP	94	oogenesis	1	ZP3,CTNNB1,SIRT2,H3F3B,DDX20,BRCA2,PDE3A,NPM2,MARF1
