query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00698	12686	91	77	0.846	0.006	GO:0005623	CC	8	cell	1	DBT,HIF3A,CD33,RCN1,TRAP1,GCAT,SNAI3,ZFP655,ELK3,DLL1,YES1,AKAP1,PPIF,LCP1,CPNE6,PSME1,XPNPEP3,DIRC2,UBE2J2,MRPL14,PPIL1,RBM22,KEG1,GPAM,TCTN3,DNTT,MYADML2,FBXL15,FAM120C,RGS2,SDCCAG8,MASTL,UAP1L1,LPIN3,RARS2,RNF20,ECHDC2,AK2,HDAC1,ERRFI1,UGDH,IRF5,SLC6A11,TARSL2,CETN2,HYOU1,ROBO3,RTP4,VPS8,PIP5K1C,TUBG1,EPN1,GNPTAB,PCDH17,CCDC113,ARID5A,ATP5L,AK5,2410089E03RIK,MARCH9,RBBP8,RRAGB,PAPD4,WDR63,NPSR1,GRSF1,IL20RB,ATP13A5,FZD4,SV2B,ARFGAP3,ANKRD17,TUBB2A,RCAN3,SLX1B,SOX4,CTSF
2	1	TRUE	0.00698	12686	91	77	0.846	0.006	GO:0044464	CC	8	cell part	2	DBT,HIF3A,CD33,RCN1,TRAP1,GCAT,SNAI3,ZFP655,ELK3,DLL1,YES1,AKAP1,PPIF,LCP1,CPNE6,PSME1,XPNPEP3,DIRC2,UBE2J2,MRPL14,PPIL1,RBM22,KEG1,GPAM,TCTN3,DNTT,MYADML2,FBXL15,FAM120C,RGS2,SDCCAG8,MASTL,UAP1L1,LPIN3,RARS2,RNF20,ECHDC2,AK2,HDAC1,ERRFI1,UGDH,IRF5,SLC6A11,TARSL2,CETN2,HYOU1,ROBO3,RTP4,VPS8,PIP5K1C,TUBG1,EPN1,GNPTAB,PCDH17,CCDC113,ARID5A,ATP5L,AK5,2410089E03RIK,MARCH9,RBBP8,RRAGB,PAPD4,WDR63,NPSR1,GRSF1,IL20RB,ATP13A5,FZD4,SV2B,ARFGAP3,ANKRD17,TUBB2A,RCAN3,SLX1B,SOX4,CTSF
3	1	TRUE	0.00698	10839	91	70	0.769	0.006	GO:0005622	CC	8	intracellular	3	DBT,HIF3A,RCN1,TRAP1,GCAT,SNAI3,ZFP655,ELK3,DLL1,YES1,AKAP1,PPIF,LCP1,CPNE6,PSME1,XPNPEP3,DIRC2,UBE2J2,MRPL14,PPIL1,RBM22,KEG1,GPAM,TCTN3,DNTT,MYADML2,FBXL15,FAM120C,RGS2,SDCCAG8,MASTL,UAP1L1,LPIN3,RARS2,RNF20,ECHDC2,AK2,HDAC1,ERRFI1,UGDH,IRF5,TARSL2,CETN2,HYOU1,RTP4,VPS8,PIP5K1C,TUBG1,EPN1,GNPTAB,CCDC113,ARID5A,ATP5L,AK5,MARCH9,RBBP8,RRAGB,PAPD4,WDR63,NPSR1,GRSF1,ATP13A5,SV2B,ARFGAP3,ANKRD17,TUBB2A,RCAN3,SLX1B,SOX4,CTSF
4	1	TRUE	0.00698	10736	91	70	0.769	0.007	GO:0044424	CC	8	intracellular part	4	DBT,HIF3A,RCN1,TRAP1,GCAT,SNAI3,ZFP655,ELK3,DLL1,YES1,AKAP1,PPIF,LCP1,CPNE6,PSME1,XPNPEP3,DIRC2,UBE2J2,MRPL14,PPIL1,RBM22,KEG1,GPAM,TCTN3,DNTT,MYADML2,FBXL15,FAM120C,RGS2,SDCCAG8,MASTL,UAP1L1,LPIN3,RARS2,RNF20,ECHDC2,AK2,HDAC1,ERRFI1,UGDH,IRF5,TARSL2,CETN2,HYOU1,RTP4,VPS8,PIP5K1C,TUBG1,EPN1,GNPTAB,CCDC113,ARID5A,ATP5L,AK5,MARCH9,RBBP8,RRAGB,PAPD4,WDR63,NPSR1,GRSF1,ATP13A5,SV2B,ARFGAP3,ANKRD17,TUBB2A,RCAN3,SLX1B,SOX4,CTSF
5	1	TRUE	0.0276	4	4	1	0.25	0.25	CORUM:583	cor	22	Ikaros-NuRD complex	1	HDAC1
6	1	TRUE	0.0276	4	4	1	0.25	0.25	CORUM:679	cor	11	Tis7-Sin3-Hdac1-Ncor1-Sap30 complex	1	HDAC1
7	1	TRUE	0.0276	3	4	1	0.25	0.333	CORUM:239	cor	26	Sin3-Hdac1-Sds3 complex	1	HDAC1
8	1	TRUE	0.0276	4	4	1	0.25	0.25	CORUM:1503	cor	5	Hdac1-Mecp2-Rcor1-Sin3a complex	1	HDAC1
9	1	TRUE	0.0276	3	4	1	0.25	0.333	CORUM:6656	cor	2	Nherf1-Fzd4-Vangl2 complex	1	FZD4
10	1	TRUE	0.0276	3	4	1	0.25	0.333	CORUM:6752	cor	13	Smad3-mSin3A-Hdac1 complex	1	HDAC1
11	1	TRUE	0.0473	9	4	1	0.25	0.111	CORUM:413	cor	28	(ER)-localized multiprotein complex, Ig heavy chains associated	1	HYOU1
12	1	TRUE	0.0276	3	4	1	0.25	0.333	CORUM:5693	cor	10	Tip5-Dnmt-Hdac1 complex	1	HDAC1
13	1	TRUE	0.0276	3	4	1	0.25	0.333	CORUM:1469	cor	25	E2f5-Rbl2-Hdac1 complex	1	HDAC1
14	1	TRUE	0.0436	7	4	1	0.25	0.143	CORUM:6596	cor	14	Tectonic complex	1	TCTN3
15	1	TRUE	0.0276	4	4	1	0.25	0.25	CORUM:6387	cor	16	Ship1-Hdac1-Hspa2-Kctd19 complex	1	HDAC1
16	1	TRUE	0.0488	10	4	1	0.25	0.1	CORUM:582	cor	27	Ikaros complex	1	HDAC1
17	1	TRUE	0.0457	8	4	1	0.25	0.125	CORUM:414	cor	19	(ER)-localized multiprotein complex, in absence of Ig heavy chains	1	HYOU1
18	1	TRUE	0.0276	4	4	1	0.25	0.25	CORUM:717	cor	24	PU.1-Sin3A-Hdac-MeCP2 complex	1	HDAC1
19	1	TRUE	0.0483	2977	101	27	0.267	0.009	TF:M03791	tf	20	Factor: GABPalpha_GABPbeta; motif: CTTCCKGY	1	ZFP655,YES1,C1QBP,PPIF,XPNPEP3,UBE2J2,PPIL1,RBM22,GPAM,GFRA1,MASTL,UAP1L1,RARS2,AK2,UGDH,CETN2,HYOU1,EPN1,ARHGAP26,AK5,MARCH9,RBBP8,RRAGB,LRRC29,WDR11,PAPD4,ZFP3
20	1	TRUE	0.0483	2977	101	27	0.267	0.009	TF:M03791_0	tf	20	Factor: GABPalpha_GABPbeta; motif: CTTCCKGY; match class: 0	2	ZFP655,YES1,C1QBP,PPIF,XPNPEP3,UBE2J2,PPIL1,RBM22,GPAM,GFRA1,MASTL,UAP1L1,RARS2,AK2,UGDH,CETN2,HYOU1,EPN1,ARHGAP26,AK5,MARCH9,RBBP8,RRAGB,LRRC29,WDR11,PAPD4,ZFP3
21	1	TRUE	0.0312	14364	101	83	0.822	0.006	TF:M08995	tf	1	Factor: CTCF; motif: NAGGGGGCGCNNKNNNN	1	KLF6,DBT,HIF3A,MAN2B1,RCN1,TRAP1,GCAT,SNAI3,ZFP655,ELK3,DLL1,YES1,AKAP1,C1QBP,PPIF,LCP1,CPNE6,PSME1,XPNPEP3,DIRC2,UBE2J2,MRPL14,PPIL1,KEG1,GPAM,TCTN3,GFRA1,MYADML2,FBXL15,FAM120C,RGS2,SDCCAG8,MASTL,UAP1L1,LPIN3,RNF20,GNE,ECHDC2,AK2,HDAC1,ERRFI1,UGDH,IRF5,SLC6A11,PRR14,HYOU1,ROBO3,SNX1,RTP4,VPS8,PIP5K1C,TUBG1,EPN1,GNPTAB,PCDH17,RUSC2,ARHGAP26,TRAF3IP3,ARID5A,PNMT,AK5,2410089E03RIK,MARCH9,RRAGB,LRRC29,WDR11,PAPD4,ZFP3,GRSF1,KCNV2,ATP13A5,FZD4,GPRC5C,ARFGAP3,ANKRD17,TUBB2A,RCAN3,SLX1B,SLC35E3,EIF1AX,ETNK2,SOX4,CTSF
22	1	TRUE	0.0312	14364	101	83	0.822	0.006	TF:M08995_0	tf	1	Factor: CTCF; motif: NAGGGGGCGCNNKNNNN; match class: 0	2	KLF6,DBT,HIF3A,MAN2B1,RCN1,TRAP1,GCAT,SNAI3,ZFP655,ELK3,DLL1,YES1,AKAP1,C1QBP,PPIF,LCP1,CPNE6,PSME1,XPNPEP3,DIRC2,UBE2J2,MRPL14,PPIL1,KEG1,GPAM,TCTN3,GFRA1,MYADML2,FBXL15,FAM120C,RGS2,SDCCAG8,MASTL,UAP1L1,LPIN3,RNF20,GNE,ECHDC2,AK2,HDAC1,ERRFI1,UGDH,IRF5,SLC6A11,PRR14,HYOU1,ROBO3,SNX1,RTP4,VPS8,PIP5K1C,TUBG1,EPN1,GNPTAB,PCDH17,RUSC2,ARHGAP26,TRAF3IP3,ARID5A,PNMT,AK5,2410089E03RIK,MARCH9,RRAGB,LRRC29,WDR11,PAPD4,ZFP3,GRSF1,KCNV2,ATP13A5,FZD4,GPRC5C,ARFGAP3,ANKRD17,TUBB2A,RCAN3,SLX1B,SLC35E3,EIF1AX,ETNK2,SOX4,CTSF
23	1	TRUE	0.0229	9500	101	63	0.624	0.007	TF:M02933	tf	9	Factor: ZF5; motif: GYCGCGCARNGCNN	1	KLF6,DBT,HIF3A,MAN2B1,RCN1,TRAP1,ZFP655,ELK3,DLL1,YES1,C1QBP,PPIF,XPNPEP3,DIRC2,UBE2J2,MRPL14,PPIL1,GPAM,GFRA1,MYADML2,FBXL15,FAM120C,SDCCAG8,UAP1L1,RNF20,GNE,ECHDC2,HDAC1,ERRFI1,IRF5,SLC6A11,TARSL2,CETN2,HYOU1,ROBO3,SNX1,TUBG1,EPN1,GNPTAB,RUSC2,ARHGAP26,ARID5A,AK5,MARCH9,RBBP8,WDR11,PAPD4,WDR63,ZFP3,GRSF1,KCNV2,FZD4,GPRC5C,SV2B,ARFGAP3,TUBB2A,RCAN3,SLX1B,SLC35E3,EIF1AX,ETNK2,SOX4,CTSF
24	1	TRUE	0.0229	9500	101	63	0.624	0.007	TF:M02933_0	tf	9	Factor: ZF5; motif: GYCGCGCARNGCNN; match class: 0	2	KLF6,DBT,HIF3A,MAN2B1,RCN1,TRAP1,ZFP655,ELK3,DLL1,YES1,C1QBP,PPIF,XPNPEP3,DIRC2,UBE2J2,MRPL14,PPIL1,GPAM,GFRA1,MYADML2,FBXL15,FAM120C,SDCCAG8,UAP1L1,RNF20,GNE,ECHDC2,HDAC1,ERRFI1,IRF5,SLC6A11,TARSL2,CETN2,HYOU1,ROBO3,SNX1,TUBG1,EPN1,GNPTAB,RUSC2,ARHGAP26,ARID5A,AK5,MARCH9,RBBP8,WDR11,PAPD4,WDR63,ZFP3,GRSF1,KCNV2,FZD4,GPRC5C,SV2B,ARFGAP3,TUBB2A,RCAN3,SLX1B,SLC35E3,EIF1AX,ETNK2,SOX4,CTSF
