query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0241	16	176	3	0.017	0.188	GO:0015985	BP	154	energy coupled proton transport, down electrochemical gradient	1	ATP5D,ATP5E,ATP5G3
2	1	TRUE	0.0241	16	176	3	0.017	0.188	GO:0015986	BP	154	ATP synthesis coupled proton transport	1	ATP5D,ATP5E,ATP5G3
3	1	TRUE	0.029	365	176	11	0.062	0.03	GO:0010498	BP	6	proteasomal protein catabolic process	1	RNF5,BTRC,NSFL1C,DVL1,GLMN,PIAS1,ABTB2,PKD1,PSMD7,EDEM3,HSPBP1
4	1	TRUE	0.0322	566	176	14	0.08	0.025	GO:0048729	BP	153	tissue morphogenesis	1	IFT20,PLOD3,BTRC,GZF1,SRC,DVL1,GLMN,PKD1,OPA1,AJAP1,MYO9A,TIMELESS,IPMK,SEMA3E
5	1	TRUE	0.00711	470	176	14	0.08	0.03	GO:0002009	BP	153	morphogenesis of an epithelium	2	IFT20,PLOD3,BTRC,GZF1,SRC,DVL1,GLMN,PKD1,OPA1,AJAP1,MYO9A,TIMELESS,IPMK,SEMA3E
6	1	TRUE	0.0338	319	176	10	0.057	0.031	GO:0060562	BP	153	epithelial tube morphogenesis	1	BTRC,GZF1,SRC,DVL1,GLMN,PKD1,OPA1,TIMELESS,IPMK,SEMA3E
7	1	TRUE	0.0322	75	176	5	0.028	0.067	GO:0042752	BP	87	regulation of circadian rhythm	1	BTRC,BHLHE40,USP2,TIMELESS,KCNA2
8	1	TRUE	0.0498	6	176	2	0.011	0.333	GO:0050847	BP	99	progesterone receptor signaling pathway	1	SRC,WBP2
9	1	TRUE	0.0147	224	176	9	0.051	0.04	GO:0031647	BP	200	regulation of protein stability	1	RNF5,NLK,ZFP207,BTRC,SRC,DVL1,USP2,USP28,USP3
10	1	TRUE	0.048	23	176	3	0.017	0.13	GO:0007007	BP	155	inner mitochondrial membrane organization	1	AGK,OPA1,IMMT
