query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0342	7	134	2	0.015	0.286	GO:0002692	BP	103	negative regulation of cellular extravasation	1	ABR,PLCB1
2	1	TRUE	0.0234	5	134	2	0.015	0.4	GO:0000413	BP	109	protein peptidyl-prolyl isomerization	1	PPIB,PPIA
3	1	TRUE	0.0273	6	134	2	0.015	0.333	GO:2000576	BP	53	positive regulation of microtubule motor activity	1	DYNLL1,DYNC1I2
4	1	TRUE	0.0273	6	134	2	0.015	0.333	GO:2000580	BP	53	regulation of ATP-dependent microtubule motor activity, plus-end-directed	1	DYNLL1,DYNC1I2
5	1	TRUE	0.0273	6	134	2	0.015	0.333	GO:2000582	BP	53	positive regulation of ATP-dependent microtubule motor activity, plus-end-directed	1	DYNLL1,DYNC1I2
6	1	TRUE	0.00211	4914	134	55	0.41	0.011	GO:0071840	BP	114	cellular component organization or biogenesis	1	NPEPPS,CLCN3,WDR1,TPR,NSMF,DYNLL1,HSPA8,ABR,RRP7A,DYNC1H1,GNB2L1,SEC23A,HSP90AA1,SPIN1,STMN4,ATG3,SNAP29,HSPA9,RTN3,HUWE1,RPL14,PTMA,KIF5C,PEX5L,SNX7,FBXW7,CDCA8,SGCB,IFT81,HSPH1,KDM5A,FLNA,MAP1LC3B,PDCD6IP,MAP9,DYNC1LI2,SNX10,RERE,USP22,TMEM201,NYAP1,IRGM1,RAB2A,PHF13,LRRC4,PLCB1,MAP6,HIST3H2BA,GNAI1,TUBB3,LGI1,PPIA,PDZD8,SYNJ2BP,PURB
7	1	TRUE	0.000449	4470	134	54	0.403	0.012	GO:0051179	BP	114	localization	1	NPEPPS,CLCN3,WDR1,TPR,NSMF,DYNLL1,NXF1,HSPA8,ABR,DYNC1H1,GNB2L1,SEC23A,HSP90AA1,ATG3,SNAP29,STXBP5L,SLC25A27,HSPA9,HUWE1,COPA,KIF5C,SLC4A10,DYNC1I2,MAPK8IP1,PEX5L,SNX7,FBXW7,ASTN2,CDCA8,IFT81,HSPH1,FLNA,LAMP1,MAP1LC3B,PDCD6IP,ATP6V0B,PPP3R1,HECTD1,DYNC1LI2,SNX10,STIM2,RERE,TMEM201,RAB2A,LRRC4,PLCB1,MAP6,FTO,GNAI1,SSB,CCND1,PPIA,SELM,SYNJ2BP
8	1	TRUE	0.000449	3286	134	44	0.328	0.013	GO:0051234	BP	114	establishment of localization	2	NPEPPS,CLCN3,WDR1,TPR,DYNLL1,NXF1,HSPA8,ABR,DYNC1H1,GNB2L1,SEC23A,HSP90AA1,ATG3,SNAP29,STXBP5L,SLC25A27,HSPA9,HUWE1,COPA,KIF5C,SLC4A10,DYNC1I2,MAPK8IP1,PEX5L,SNX7,FBXW7,CDCA8,IFT81,HSPH1,FLNA,LAMP1,MAP1LC3B,PDCD6IP,ATP6V0B,SNX10,STIM2,TMEM201,RAB2A,PLCB1,SSB,CCND1,PPIA,SELM,SYNJ2BP
9	1	TRUE	0.000908	3162	134	42	0.313	0.013	GO:0006810	BP	114	transport	3	NPEPPS,CLCN3,WDR1,TPR,DYNLL1,NXF1,HSPA8,ABR,DYNC1H1,GNB2L1,SEC23A,HSP90AA1,ATG3,SNAP29,STXBP5L,SLC25A27,HSPA9,HUWE1,COPA,KIF5C,SLC4A10,DYNC1I2,MAPK8IP1,PEX5L,SNX7,FBXW7,IFT81,FLNA,LAMP1,MAP1LC3B,PDCD6IP,ATP6V0B,SNX10,STIM2,TMEM201,RAB2A,PLCB1,SSB,CCND1,PPIA,SELM,SYNJ2BP
10	1	TRUE	3.61e-05	1973	134	35	0.261	0.018	GO:0051641	BP	114	cellular localization	2	NPEPPS,CLCN3,TPR,DYNLL1,NXF1,HSPA8,DYNC1H1,GNB2L1,SEC23A,HSP90AA1,SNAP29,HSPA9,HUWE1,COPA,KIF5C,DYNC1I2,PEX5L,FBXW7,ASTN2,CDCA8,IFT81,HSPH1,FLNA,LAMP1,PPP3R1,HECTD1,DYNC1LI2,SNX10,TMEM201,RAB2A,LRRC4,MAP6,GNAI1,SSB,SYNJ2BP
11	1	TRUE	0.00127	1432	134	25	0.187	0.017	GO:0051649	BP	114	establishment of localization in cell	3	NPEPPS,CLCN3,TPR,DYNLL1,NXF1,HSPA8,DYNC1H1,SEC23A,HSP90AA1,SNAP29,HSPA9,HUWE1,COPA,KIF5C,DYNC1I2,PEX5L,FBXW7,CDCA8,IFT81,FLNA,LAMP1,TMEM201,RAB2A,SSB,SYNJ2BP
12	1	TRUE	0.000326	1130	134	23	0.172	0.02	GO:0046907	BP	114	intracellular transport	3	NPEPPS,TPR,DYNLL1,NXF1,HSPA8,DYNC1H1,SEC23A,HSP90AA1,SNAP29,HSPA9,HUWE1,COPA,KIF5C,DYNC1I2,PEX5L,FBXW7,IFT81,FLNA,LAMP1,TMEM201,RAB2A,SSB,SYNJ2BP
13	1	TRUE	0.011	121	134	6	0.045	0.05	GO:0030705	BP	114	cytoskeleton-dependent intracellular transport	4	DYNLL1,DYNC1H1,KIF5C,DYNC1I2,IFT81,LAMP1
14	1	TRUE	0.00202	1992	134	30	0.224	0.015	GO:0033036	BP	114	macromolecule localization	2	NPEPPS,TPR,NXF1,HSPA8,GNB2L1,SEC23A,HSP90AA1,STXBP5L,HSPA9,HUWE1,COPA,KIF5C,PEX5L,FBXW7,ASTN2,HSPH1,FLNA,LAMP1,PPP3R1,HECTD1,SNX10,TMEM201,RAB2A,LRRC4,FTO,GNAI1,SSB,PPIA,SELM,SYNJ2BP
15	1	TRUE	0.000281	1282	134	25	0.187	0.02	GO:0070727	BP	114	cellular macromolecule localization	3	NPEPPS,TPR,NXF1,HSPA8,GNB2L1,SEC23A,HSP90AA1,HSPA9,HUWE1,COPA,PEX5L,FBXW7,ASTN2,HSPH1,FLNA,LAMP1,PPP3R1,HECTD1,SNX10,TMEM201,RAB2A,LRRC4,GNAI1,SSB,SYNJ2BP
16	1	TRUE	0.00202	1800	134	28	0.209	0.016	GO:0008104	BP	114	protein localization	3	NPEPPS,TPR,NXF1,HSPA8,GNB2L1,SEC23A,HSP90AA1,STXBP5L,HSPA9,HUWE1,COPA,KIF5C,PEX5L,FBXW7,ASTN2,HSPH1,FLNA,LAMP1,PPP3R1,HECTD1,SNX10,TMEM201,RAB2A,LRRC4,GNAI1,SSB,PPIA,SYNJ2BP
17	1	TRUE	0.0106	1200	134	20	0.149	0.017	GO:0045184	BP	114	establishment of protein localization	4	NPEPPS,TPR,NXF1,HSPA8,GNB2L1,SEC23A,HSP90AA1,STXBP5L,HSPA9,HUWE1,COPA,PEX5L,FBXW7,HSPH1,FLNA,LAMP1,RAB2A,SSB,PPIA,SYNJ2BP
18	1	TRUE	0.000256	1271	134	25	0.187	0.02	GO:0034613	BP	114	cellular protein localization	4	NPEPPS,TPR,NXF1,HSPA8,GNB2L1,SEC23A,HSP90AA1,HSPA9,HUWE1,COPA,PEX5L,FBXW7,ASTN2,HSPH1,FLNA,LAMP1,PPP3R1,HECTD1,SNX10,TMEM201,RAB2A,LRRC4,GNAI1,SSB,SYNJ2BP
19	1	TRUE	0.0213	635	134	13	0.097	0.02	GO:0033365	BP	114	protein localization to organelle	5	NPEPPS,TPR,HSPA8,HSP90AA1,HUWE1,PEX5L,FBXW7,HSPH1,LAMP1,PPP3R1,SNX10,TMEM201,SSB
20	1	TRUE	0.032	364	134	9	0.067	0.025	GO:0072594	BP	114	establishment of protein localization to organelle	6	NPEPPS,TPR,HSPA8,HSP90AA1,HUWE1,PEX5L,FBXW7,HSPH1,LAMP1
21	1	TRUE	0.00246	565	134	14	0.104	0.025	GO:0007017	BP	114	microtubule-based process	1	TPR,DYNLL1,DYNC1H1,STMN4,KIF5C,DYNC1I2,IFT81,HSPH1,FLNA,LAMP1,PDCD6IP,MAP9,DYNC1LI2,GNAI1
22	1	TRUE	0.0265	212	134	7	0.052	0.033	GO:0007018	BP	114	microtubule-based movement	2	DYNLL1,DYNC1H1,KIF5C,DYNC1I2,IFT81,LAMP1,DYNC1LI2
23	1	TRUE	0.0273	103	134	5	0.037	0.049	GO:0099111	BP	114	microtubule-based transport	3	DYNLL1,DYNC1H1,DYNC1I2,IFT81,LAMP1
24	1	TRUE	0.0273	103	134	5	0.037	0.049	GO:0010970	BP	114	transport along microtubule	4	DYNLL1,DYNC1H1,DYNC1I2,IFT81,LAMP1
25	1	TRUE	0.0106	171	134	7	0.052	0.041	GO:0032886	BP	114	regulation of microtubule-based process	2	TPR,DYNC1H1,HSPH1,LAMP1,PDCD6IP,MAP9,GNAI1
