query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0279	2749	503	96	0.191	0.035	GO:0065008	BP	262	regulation of biological quality	1	HNRNPD,CAR4,DNAJA3,LETM1,AMPD3,KIF5B,HOMER1,CAV1,BCL2L1,CLSTN3,CARHSP1,BLK,ATP6V0A1,PLSCR3,WASF1,MDM2,XBP1,SAV1,NEFL,CSNK1E,MAPK8IP2,TMBIM6,FHL1,ATP5B,USP33,MKLN1,CCT8,CPLX2,TERF1,DBI,MYOC,BMI1,ATF2,CHRNA1,RAD51,RASSF2,EDN3,PTX3,KCNC4,SEMA4A,STX12,ADD1,SLC30A9,SPPL3,ARPC1A,MTPN,RHCG,NUCB2,STIM1,SFRP1,EDNRA,ARL2BP,THY1,RDX,POLR2M,NEDD4,FAM46A,GCLC,GABRB3,SLC26A2,SSH3,CNOT6L,NKX6-1,SYT1,RAB3GAP1,SKP1A,RAB11FIP3,MCRS1,LZTS3,CPE,HOXA5,PICALM,CITED2,CLSTN1,ATP1B2,MYRIP,ENTPD1,CDK5R1,EFNA5,TIFAB,MEST,ARHGAP35,UPF1,RPL5,TMOD3,EGLN2,RPL11,RPS7,DPP6,QK,ACTG1,MAPK1,HBA-A1,BNIP3,LAMTOR5,MOAP1
2	1	TRUE	0.0351	62	503	7	0.014	0.113	GO:1902117	BP	49	positive regulation of organelle assembly	1	MAPK9,FSCN1,MNS1,CNOT6L,RAB3GAP1,CEP120,ARHGAP35
3	1	TRUE	0.008	586	503	31	0.062	0.053	GO:0070647	BP	59	protein modification by small protein conjugation or removal	1	KCTD10,PAF1,DNAJA3,CAV1,MDM2,CDC27,JOSD1,PJA2,OTUB1,USP33,USP16,BMI1,ARRDC1,COPS2,ANAPC4,AMFR,NEDD4,GCLC,FBXL2,OGT,COPS8,SKP1A,ANAPC10,TRIM3,TRPC4AP,ZFP598,RPL5,FBXO18,RPL11,RPS7,MARCH2
4	1	TRUE	0.0465	66	503	7	0.014	0.106	GO:1903321	BP	59	negative regulation of protein modification by small protein conjugation or removal	2	CAV1,OTUB1,GCLC,OGT,RPL5,RPL11,RPS7
5	1	TRUE	0.0177	486	503	26	0.052	0.053	GO:0032446	BP	59	protein modification by small protein conjugation	2	KCTD10,PAF1,DNAJA3,CAV1,MDM2,CDC27,PJA2,OTUB1,BMI1,ARRDC1,ANAPC4,AMFR,NEDD4,GCLC,FBXL2,OGT,SKP1A,ANAPC10,TRIM3,TRPC4AP,ZFP598,RPL5,FBXO18,RPL11,RPS7,MARCH2
6	1	TRUE	0.00593	442	503	26	0.052	0.059	GO:0016567	BP	59	protein ubiquitination	3	KCTD10,PAF1,DNAJA3,CAV1,MDM2,CDC27,PJA2,OTUB1,BMI1,ARRDC1,ANAPC4,AMFR,NEDD4,GCLC,FBXL2,OGT,SKP1A,ANAPC10,TRIM3,TRPC4AP,ZFP598,RPL5,FBXO18,RPL11,RPS7,MARCH2
7	1	TRUE	0.0267	57	503	7	0.014	0.123	GO:0031397	BP	59	negative regulation of protein ubiquitination	4	CAV1,OTUB1,GCLC,OGT,RPL5,RPL11,RPS7
8	1	TRUE	0.0263	132	503	11	0.022	0.083	GO:0006403	BP	176	RNA localization	1	SLBP,DDX39,PHAX,DDX39B,CCT8,TERF1,NUP93,NUP88,RPS15,ZNHIT6,TOMM20
9	1	TRUE	0.036	100	503	9	0.018	0.09	GO:0051236	BP	176	establishment of RNA localization	2	SLBP,DDX39,PHAX,DDX39B,TERF1,NUP93,NUP88,RPS15,TOMM20
10	1	TRUE	0.0445	192	503	13	0.026	0.068	GO:0009123	BP	157	nucleoside monophosphate metabolic process	1	AMPD3,ATP6V0A1,NUDT4,GALK1,SDHA,ATP5B,PRKAG2,COQ7,PKM,OGT,ATP5H,CHCHD10,CYCS
11	1	TRUE	0.0348	185	503	13	0.026	0.07	GO:0009126	BP	157	purine nucleoside monophosphate metabolic process	2	AMPD3,ATP6V0A1,NUDT4,GALK1,SDHA,ATP5B,PRKAG2,COQ7,PKM,OGT,ATP5H,CHCHD10,CYCS
12	1	TRUE	0.0348	185	503	13	0.026	0.07	GO:0009161	BP	157	ribonucleoside monophosphate metabolic process	2	AMPD3,ATP6V0A1,NUDT4,GALK1,SDHA,ATP5B,PRKAG2,COQ7,PKM,OGT,ATP5H,CHCHD10,CYCS
13	1	TRUE	0.034	184	503	13	0.026	0.071	GO:0009167	BP	157	purine ribonucleoside monophosphate metabolic process	3	AMPD3,ATP6V0A1,NUDT4,GALK1,SDHA,ATP5B,PRKAG2,COQ7,PKM,OGT,ATP5H,CHCHD10,CYCS
14	1	TRUE	0.0154	206	503	15	0.03	0.073	GO:0009141	BP	157	nucleoside triphosphate metabolic process	1	AMPD3,ATP6V0A1,GALK1,SDHA,ENTPD7,ATP5B,PRKAG2,COQ7,PKM,OGT,ATP5H,ENTPD3,CHCHD10,CYCS,TBPL1
