query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0307	3764	330	90	0.273	0.024	GO:0048731	BP	12	system development	1	WNT3,ICOSL,ELF3,CRHR2,PKNOX1,FZD3,MAP3K4,CNTNAP1,PITPNA,PFN1,CRHR1,AKT3,KERA,KITL,CEP290,ASCL1,PPP2CA,LLGL1,STAT5B,GFAP,SEMA4D,ELP3,GRHL2,NR4A1,SATB1,SVIL,SYT4,SMAD4,TJP2,KCNIP2,SUFU,RABGAP1L,PIP4K2A,GTF3C5,HNMT,FSHB,GNAS,MBNL1,ARHGEF2,DAB1,USP1,NCDN,CSF3R,TRP73,ATG7,SIPA1L3,MKI67,FGFR1,CX3CL1,SNX19,EOMES,BFSP2,STK36,RXFP1,CHST11,LY6D,UNC13A,NTN3,SOCS5,ATG5,RNH1,CAMK1D,GJB6,CD79B,KDM5B,KDM7A,NKX2-6,ZFP488,PCDHB8,PTGS1,FOXI1,POU4F1,NRSN1,PCDH19,ARHGEF15,ATPIF1,LRTM2,HIST1H1B,TRP53,SP7,PLA2G16,H3F3A,NUMBL,HSPB11,CNTN4,HHIP,ACTC1,PCP4,EVI2B,DCHS2
2	1	TRUE	0.0403	683	330	25	0.076	0.037	GO:0007417	BP	12	central nervous system development	2	WNT3,FZD3,CNTNAP1,AKT3,CEP290,ASCL1,LLGL1,GFAP,ELP3,GRHL2,SUFU,HNMT,DAB1,TRP73,ATG7,FGFR1,EOMES,STK36,KDM7A,NKX2-6,ZFP488,POU4F1,TRP53,NUMBL,CNTN4
3	1	TRUE	0.0274	4700	330	108	0.327	0.023	GO:0048518	BP	95	positive regulation of biological process	1	WNT3,KAT2B,ICOSL,ELF3,CACNB3,CRHR2,NFAT5,RALB,PKNOX1,RPLP1,FZD3,RPS15A,NPRL2,MAP3K4,LPL,C1QTNF1,PFN1,AKT3,KITL,CEP290,ASCL1,PPP2CA,IGFBP3,SUPT4A,CBLL1,STAT5B,GFAP,SEMA4D,ELP3,MED4,PABPC1,GRHL2,DNM1L,ITSN1,NR4A1,SVIL,SYT4,MBD2,SMAD4,SGOL2A,CXCR2,ACTR3,ESRRG,PIP4K2A,HNMT,FSHB,GNAS,LARP7,ARHGEF2,DAB1,DYRK2,DFFA,TRP73,UBE2K,RASL11A,ING3,ATG7,PSMD8,CLN3,SH2B1,FGFR1,CX3CL1,MB21D1,EOMES,ANK2,STK36,RFC3,UNC13A,SHQ1,FAM179B,ZSCAN21,SOCS5,SCARB1,ATG5,CAMK1D,AKNA,MRPL12,CD79B,CAMTA2,SPIDR,KDM5B,KDM7A,NKX2-6,ZFP488,CSRNP3,KLK14,HMGA1,IRGM1,SLC38A9,FOXI1,MARCKSL1,POU4F1,HIST1H1A,RNASE9,ARHGEF15,ATPIF1,VSNL1,LRTM2,CACNB2,TRP53,SP7,NUMBL,SYT10,PRKAG1,ACTC1,EIF5A,PCP4,EVI2B
4	1	TRUE	0.0184	4218	330	101	0.306	0.024	GO:0048522	BP	95	positive regulation of cellular process	2	WNT3,KAT2B,ICOSL,ELF3,CRHR2,NFAT5,RALB,PKNOX1,RPLP1,FZD3,RPS15A,NPRL2,MAP3K4,LPL,C1QTNF1,PFN1,AKT3,KITL,CEP290,ASCL1,PPP2CA,IGFBP3,SUPT4A,CBLL1,STAT5B,GFAP,SEMA4D,ELP3,MED4,PABPC1,GRHL2,DNM1L,ITSN1,NR4A1,SVIL,SYT4,MBD2,SMAD4,SGOL2A,CXCR2,ACTR3,ESRRG,PIP4K2A,HNMT,GNAS,LARP7,ARHGEF2,DAB1,DYRK2,DFFA,TRP73,UBE2K,RASL11A,ING3,ATG7,PSMD8,CLN3,SH2B1,FGFR1,CX3CL1,MB21D1,EOMES,ANK2,STK36,RFC3,UNC13A,SHQ1,FAM179B,ZSCAN21,SOCS5,SCARB1,CAMK1D,AKNA,MRPL12,CAMTA2,SPIDR,KDM5B,KDM7A,NKX2-6,ZFP488,CSRNP3,KLK14,HMGA1,IRGM1,SLC38A9,FOXI1,MARCKSL1,POU4F1,HIST1H1A,RNASE9,ARHGEF15,ATPIF1,VSNL1,LRTM2,TRP53,SP7,NUMBL,SYT10,EIF5A,PCP4,EVI2B
5	1	TRUE	0.0288	114	330	9	0.027	0.079	GO:0072089	BP	13	stem cell proliferation	1	WNT3,FZD3,KITL,ASCL1,ARHGEF2,FGFR1,TRP53,NUMBL,HHIP
6	1	TRUE	0.0184	54	330	7	0.021	0.13	GO:0007405	BP	13	neuroblast proliferation	1	FZD3,ASCL1,ARHGEF2,FGFR1,TRP53,NUMBL,HHIP
7	1	TRUE	0.0399	33	330	5	0.015	0.152	GO:0044060	BP	5	regulation of endocrine process	1	C1QTNF1,CRHR1,SMAD4,GNAS,FGFR1
8	1	TRUE	0.0463	2	330	2	0.006	1	GO:2000828	BP	5	regulation of parathyroid hormone secretion	1	GNAS,FGFR1
9	1	TRUE	0.0463	2	330	2	0.006	1	GO:0044805	BP	46	late nucleophagy	1	ATG7,ATG9B
10	1	TRUE	0.0184	5	330	3	0.009	0.6	GO:0075071	BP	15	autophagy involved in symbiotic interaction	1	ATG7,ATG5,IRGM1
11	1	TRUE	0.0184	5	330	3	0.009	0.6	GO:0075044	BP	15	autophagy of host cells involved in interaction with symbiont	2	ATG7,ATG5,IRGM1
12	1	TRUE	0.0322	5338	330	119	0.361	0.022	GO:0005634	CC	116	nucleus	1	KAT2B,ZMAT2,TACO1,HMGN2,ELF3,SNRNP200,NFAT5,CS,NDOR1,PKNOX1,PACSIN2,PSMD11,C1QTNF1,PFN1,CWC25,ZFP687,CEP290,ASCL1,IGFBP3,SUPT4A,CBLL1,STAT5B,SLC30A5,PDHB,ELP3,MED4,PABPC1,GRHL2,CMSS1,SENP5,DIP2B,NR4A1,SATB1,E4F1,SVIL,YIPF5,MBD2,SMAD4,TJP2,SUFU,ZFP202,GDAP1,SGOL2A,ESRRG,RABGAP1L,GTF3C5,RTFDC1,GNAS,PHACTR3,MBNL1,LARP7,TMEM38B,USP1,DYRK2,DFFA,PEX14,TRP73,UBE2K,CENPC1,ZCCHC8,RPL6,RASL11A,ING3,MRPL19,PSMD8,CLN3,MKI67,FGFR1,ANP32A,CLK3,EOMES,RBM11,STK36,AGL,RPAP2,RFC3,RRP12,PDK3,SHQ1,NUDT1,ZSCAN21,CCDC92,CDK19,RPF2,RANBP9,RNH1,CAMK1D,AKNA,BUB1B,ALKBH3,CD79B,CAMTA2,HNRNPUL1,SPIDR,KDM5B,KDM7A,USP48,ZFP488,RNF208,CSRNP3,SCAND1,HMGA1,MBD3L2,PPP1R2,SLC38A9,FOXI1,POU4F1,HIST1H1A,RPS10,LRIF1,TRP53,FDPS,EIF4A1,SP7,H3F3A,UBR4,PRKAG1,EIF5A,PCP4
13	1	TRUE	0.0202	60	330	7	0.021	0.117	GO:0005776	CC	123	autophagosome	1	RALB,PIP4K2A,CLN3,ATG5,ATG9B,ZFYVE1,IRGM1
14	1	TRUE	0.00725	2785	330	76	0.23	0.027	GO:0005829	CC	121	cytosol	1	PLIN4,ELF3,NFAT5,RPL8,NDOR1,RPLP1,RPS15A,PACSIN2,VPS53,C1QTNF1,PITPNA,PFN1,G3BP1,ZFP687,CEP290,PPP2CA,STAT5B,PABPC1,NAPRT,DNM1L,MUC13,ITSN1,NR4A1,SVIL,MBD2,SMAD4,NARS,TJP2,SUFU,GDAP1,RGS5,GNAS,MBNL1,GMPS,GSTM4,LARP7,DYRK2,NCDN,DFFA,TRP73,CENPC1,RPH3A,RPL6,AHCYL2,ATG7,PRMT3,IDH2,PSMD8,SH2B1,MB21D1,CNTROB,STK36,RPAP2,SHQ1,NUDT1,ATG5,CDK19,RNH1,AKNA,TBC1D13,BUB1B,ALKBH3,CD79B,KDM5B,D17H6S53E,USP48,RNF208,PPP1R2,RPS10,VSNL1,ADH7,TRP53,FDPS,UBR4,PRKAG1,PCP4
15	1	TRUE	0.000156	12686	330	255	0.773	0.02	GO:0005623	CC	93	cell	1	WNT3,KAT2B,ICOSL,ZMAT2,UBL3,TACO1,PLIN4,PRKAR2B,HMGN2,ELF3,CACNB3,NCSTN,CRHR2,SNRNP200,NFAT5,RPL8,RALB,CS,NDOR1,PKNOX1,RPLP1,FZD3,HTR3B,RPS15A,NPRL2,MAP3K4,PTGDS,LPL,VPS45,PACSIN2,CNTNAP1,VPS53,PSMD11,C1QTNF1,PITPNA,PFN1,CWC25,G3BP1,CRHR1,ZFP687,AKT3,REPS1,KITL,CEP290,ASCL1,SRGAP1,PPP2CA,IGFBP3,SUPT4A,LLGL1,FAM49A,CBLL1,PLD2,STAT5B,GFAP,SLC17A4,SEMA4D,SLC30A5,PDHB,ELP3,MED4,PABPC1,GRHL2,SLC38A2,NAPRT,CMSS1,SENP5,DNM1L,MUC13,ITSN1,TMEM50B,DIP2B,NR4A1,GNB3,SATB1,SULT1C1,E4F1,SVIL,SYT4,YIPF5,MBD2,SMAD4,NARS,TJP2,FUNDC1,KCNIP2,SUFU,CD151,ZFP202,COPG2,GDAP1,SGOL2A,GLS,CXCR2,ACTR3,ESRRG,RGS5,RABGAP1L,PIP4K2A,GTF3C5,ZMYND19,HNMT,FSHB,RTFDC1,RAB22A,GNAS,PHACTR3,MBNL1,GMPS,GSTM4,LARP7,PAPSS1,ARHGEF2,ERP44,KIF12,TMEM38B,DAB1,USP1,PODN,DYRK2,TINAGL1,NCDN,DFFA,PEX14,TRP73,UBE2K,CENPC1,ZCCHC8,SDSL,RPH3A,RPL6,GLCCI1,RASL11A,ING3,AHCYL2,CLCN1,MRPS33,MRPL19,ATG7,NECAP1,PRMT3,IDH2,SIPA1L3,PSMD8,CLN3,SH2B1,MKI67,FGFR1,CX3CL1,SNX19,PTS,ANP32A,CLK3,MB21D1,EOMES,BFSP2,MRPL3,CNTROB,ANK2,RBM11,STK36,AGL,RPAP2,RFC3,RXFP1,TPST1,LY6D,UNC13A,RRP12,PDK3,PLEKHJ1,SHQ1,FAM179B,GPR101,NTN3,NUDT1,KLHL13,ZSCAN21,SOCS5,KRT80,SLC22A20,SCARB1,CCDC92,ORMDL3,ATG5,ATG9B,CDK19,RPF2,RANBP9,RNH1,PTPN3,CAMK1D,AKNA,MRPL12,TBC1D13,BUB1B,SVS2,ALKBH3,CD79B,CAMTA2,HNRNPUL1,SLC7A13,SPIDR,KDM5B,KDM7A,ZFYVE1,D17H6S53E,USP48,ZFP488,RNF208,CSRNP3,PIGZ,PCDHB8,STARD5,SCAND1,HMGA1,IRGM1,PTGS1,GPHN,MBD3L2,PPP1R2,SLC38A9,FOXI1,MARCKSL1,POU4F1,NRSN1,HIST1H1A,GP1BB,PCDH19,RPS10,ARHGEF15,ATPIF1,VSNL1,LRTM2,ADH7,LRIF1,CACNB2,TRP53,FDPS,EIF4A1,SP7,PLA2G16,H3F3A,KLHL24,NUMBL,HSPB11,SYT10,HHIP,UBR4,PRKAG1,ACTC1,KLHL9,OLFR613,EIF5A,PCP4
