name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-5683057	MAPK family signaling cascades	288	24	2.5	4.79	3.3e-05	0.015	2.76	1.71	4.27
R-HSA-5663205	Infectious disease	326	25	2.3	4.43	9e-05	0.02	2.52	1.58	3.87
R-HSA-451306	Ionotropic activity of kainate receptors	12	4	9.99	5.79	0.00049	0.021	14.6	3.21	55
R-HSA-451308	Activation of Ca-permeable Kainate Receptor	12	4	9.99	5.79	0.00049	0.021	14.6	3.21	55
R-HSA-451326	Activation of kainate receptors upon glutamate binding	32	6	5.62	4.86	0.00057	0.021	6.79	2.27	17
R-HSA-4085001	Sialic acid metabolism	33	6	5.45	4.76	0.00068	0.021	6.54	2.19	16.3
R-HSA-2682334	EPH-Ephrin signaling	81	10	3.7	4.53	0.00034	0.021	4.18	1.9	8.23
R-HSA-5576892	Phase 0 - rapid depolarisation	46	7	4.56	4.5	0.00075	0.021	5.29	1.98	12.1
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	72	9	3.75	4.35	0.00061	0.021	4.23	1.83	8.64
R-HSA-5687128	MAPK6/MAPK4 signaling	89	10	3.37	4.17	0.00073	0.021	3.75	1.72	7.35
R-HSA-3858494	Beta-catenin independent WNT signaling	137	13	2.84	4.04	0.00065	0.021	3.12	1.6	5.61
R-HSA-112315	Transmission across Chemical Synapses	224	18	2.41	3.96	5e-04	0.021	2.62	1.5	4.31
R-HSA-5673001	RAF/MAP kinase cascade	243	19	2.34	3.94	0.00049	0.021	2.55	1.48	4.14
R-HSA-5663202	Diseases of signal transduction	359	25	2.09	3.9	4e-04	0.021	2.26	1.42	3.46
R-HSA-5684996	MAPK1/MAPK3 signaling	249	19	2.29	3.82	0.00067	0.021	2.48	1.45	4.02
R-HSA-1643685	Disease	984	53	1.61	3.77	0.00028	0.021	1.77	1.29	2.4
R-HSA-422475	Axon guidance	295	21	2.13	3.67	0.00087	0.021	2.3	1.38	3.65
R-HSA-112316	Neuronal System	356	24	2.02	3.64	0.00083	0.021	2.18	1.36	3.36
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	63	8	3.81	4.15	0.0011	0.026	4.29	1.75	9.16
R-HSA-5607764	CLEC7A (Dectin-1) signaling	96	10	3.12	3.88	0.0013	0.029	3.44	1.58	6.72
R-HSA-3928662	EPHB-mediated forward signaling	39	6	4.61	4.2	0.0017	0.036	5.34	1.82	13
R-HSA-6794362	Protein-protein interactions at synapses	70	8	3.43	3.78	0.0022	0.037	3.81	1.56	8.06
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	86	9	3.14	3.7	0.0022	0.037	3.45	1.51	6.98
R-HSA-453276	Regulation of mitotic cell cycle	86	9	3.14	3.7	0.0022	0.037	3.45	1.51	6.98
R-HSA-9020702	Interleukin-1 signaling	102	10	2.94	3.66	0.0021	0.037	3.22	1.48	6.26
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	154	13	2.53	3.56	0.0019	0.037	2.74	1.41	4.9
R-HSA-4641258	Degradation of DVL	57	7	3.68	3.77	0.0027	0.044	4.12	1.56	9.23
R-HSA-4086400	PCP/CE pathway	89	9	3.03	3.58	0.0028	0.044	3.32	1.45	6.71
R-HSA-399719	Trafficking of AMPA receptors	31	5	4.84	3.97	0.0033	0.045	5.64	1.68	15.1
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	31	5	4.84	3.97	0.0033	0.045	5.64	1.68	15.1
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	59	7	3.56	3.66	0.0033	0.045	3.96	1.51	8.85
R-HSA-1234174	Regulation of Hypoxia-inducible Factor (HIF) by oxygen	75	8	3.2	3.55	0.0034	0.045	3.52	1.45	7.42
R-HSA-2262749	Cellular response to hypoxia	75	8	3.2	3.55	0.0034	0.045	3.52	1.45	7.42
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	60	7	3.5	3.6	0.0036	0.046	3.89	1.48	8.67
R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation	310	20	1.93	3.1	0.0037	0.046	2.06	1.22	3.3
R-HSA-446219	Synthesis of substrates in N-glycan biosythesis	61	7	3.44	3.55	0.004	0.048	3.81	1.45	8.5
R-HSA-2219528	PI3K/AKT Signaling in Cancer	94	9	2.87	3.38	0.004	0.048	3.13	1.37	6.29
