query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0116	12725	169	133	0.787	0.01	GO:0009987	BP	18	cellular process	1	DNAJC5,INSIG2,MMD,TBCCD1,POR,CTCF,CRKL,PDK1,SLC4A3,SPIB,HIPK1,PPP2CB,KDSR,ATP6V0D1,PEA15A,PPDPF,E2F3,COA3,RPL19,CDK5RAP3,SLC22A5,CCL9,RNF145,NCLN,RUFY1,CLK4,HUS1,EVL,TRPC7,ANKRA2,ACOX2,BMPR1A,ECD,CAPN7,NISCH,EPHX2,PMM1,ADIPOQ,NDUFA5,SIX2,UQCC2,NAPG,SLK,BTRC,GBF1,RIC8,CHID1,WDR73,SDC3,KHDRBS2,PPM1F,TRIP12,SOAT1,YME1L1,APBB1IP,POLR1B,ARFGAP1,TBL1XR1,RAB33B,NMD3,AHCYL1,SNX30,ATG4C,KHDRBS1,NUB1,NMNAT1,ATAD3A,DVL1,NELFA,RUFY3,PSPH,TPK1,BHLHE40,ERCC2,SIGLECG,STARD10,OAT,DKC1,POLR2C,KATNB1,MED17,USP2,USP3,SMARCC1,POLR2F,HSF4,FNDC3A,CDK10,CHMP2A,BRK1,GPBP1L1,TLDC1,GTF2H5,SPATA6,CPNE7,ATCAY,NTNG2,MBOAT7,COX8A,DGKB,CC2D1A,SUN1,ATG101,NOV,ATG14,JMJD1C,CEP250,SV2A,DRD5,ZFP236,ATG2B,CORO2B,PTPRE,LYN,MCTS2,EDEM3,GAP43,ELFN1,ZFP2,RTN4RL2,GDF6,TMEM198,MAGI3,SNX32,SLIT3,MAP2K5,IPO7,RPLP0,ROMO1,SAT2,TNFAIP8L3,RPRM,RAB26
2	1	TRUE	0.0295	4914	169	64	0.379	0.013	GO:0071840	BP	18	cellular component organization or biogenesis	1	TBCCD1,CTCF,CRKL,HIPK1,PPP2CB,ATP6V0D1,COA3,CDK5RAP3,SLC22A5,NCLN,RUFY1,EVL,ANKRA2,NISCH,ADIPOQ,NDUFA5,UQCC2,NAPG,SLK,GBF1,RIC8,WDR73,PPM1F,TRIP12,SOAT1,YME1L1,POLR1B,ARFGAP1,TBL1XR1,RAB33B,NMD3,SNX30,ATG4C,KHDRBS1,DVL1,RUFY3,ERCC2,OAT,DKC1,KATNB1,USP3,SMARCC1,HSF4,CHMP2A,BRK1,GTF2H5,SPATA6,ATCAY,NTNG2,SUN1,ATG101,NOV,ATG14,JMJD1C,CEP250,ATG2B,CORO2B,LYN,MCTS2,GAP43,ELFN1,RTN4RL2,SNX32,SLIT3
3	1	TRUE	0.0248	4772	169	63	0.373	0.013	GO:0016043	BP	18	cellular component organization	2	TBCCD1,CTCF,CRKL,HIPK1,PPP2CB,ATP6V0D1,COA3,CDK5RAP3,SLC22A5,NCLN,RUFY1,EVL,ANKRA2,NISCH,ADIPOQ,NDUFA5,UQCC2,NAPG,SLK,GBF1,RIC8,WDR73,PPM1F,TRIP12,SOAT1,YME1L1,POLR1B,ARFGAP1,TBL1XR1,RAB33B,SNX30,ATG4C,KHDRBS1,DVL1,RUFY3,ERCC2,OAT,DKC1,KATNB1,USP3,SMARCC1,HSF4,CHMP2A,BRK1,GTF2H5,SPATA6,ATCAY,NTNG2,SUN1,ATG101,NOV,ATG14,JMJD1C,CEP250,ATG2B,CORO2B,LYN,MCTS2,GAP43,ELFN1,RTN4RL2,SNX32,SLIT3
4	1	TRUE	0.0422	875	169	19	0.112	0.022	GO:0044451	CC	149	nucleoplasm part	1	HIPK1,RUFY1,CAPN7,GLYR1,UQCC2,TRIP12,YME1L1,TBL1XR1,NMNAT1,NELFA,BHLHE40,ERCC2,DKC1,POLR2C,MED17,POLR2F,HSF4,CDK10,GTF2H5
5	1	TRUE	0.00127	10342	169	118	0.698	0.011	GO:0043226	CC	16	organelle	1	DNAJC5,DHRS1,INSIG2,MMD,TBCCD1,POR,CTCF,CRKL,PDK1,SPIB,HIPK1,PPP2CB,KDSR,ATP6V0D1,PEA15A,E2F3,COA3,RPL19,CDK5RAP3,SLC22A5,IKBIP,NCLN,RUFY1,CLK4,HUS1,ANKRA2,ACOX2,ECD,CAPN7,GLT8D1,EPHX2,GLYR1,LZTR1,ADIPOQ,NDUFA5,SIX2,UQCC2,NAPG,SLK,BTRC,GBF1,KATNAL2,CHID1,WDR73,SDC3,KHDRBS2,TRIP12,SOAT1,YME1L1,POLR1B,ARFGAP1,TBL1XR1,RAB33B,NMD3,AHCYL1,SNX30,KHDRBS1,NUB1,NMNAT1,ATAD3A,DVL1,NELFA,NAAA,BHLHE40,CCDC91,ERCC2,OAT,MRGPRF,DKC1,POLR2C,KATNB1,MED17,USP2,USP3,SMARCC1,POLR2F,HSF4,FNDC3A,CDK10,CHMP2A,BRK1,GPBP1L1,TLDC1,GTF2H5,SPATA6,CPNE7,ATCAY,COX8A,CC2D1A,SUN1,NOV,ATG14,JMJD1C,FAM210A,CEP250,CDC40,SV2A,DRD5,SSR2,CORO2B,PTPRE,LYN,RBM45,MCTS2,EDEM3,GAP43,ELFN1,RTN4RL2,TMEM198,SNX32,MAP2K5,MYL1,FAM172A,IPO7,RPLP0,ROMO1,SAT2,RAB26
6	1	TRUE	0.0116	9587	169	108	0.639	0.011	GO:0043227	CC	16	membrane-bounded organelle	2	DNAJC5,DHRS1,INSIG2,MMD,POR,CTCF,CRKL,PDK1,SPIB,HIPK1,PPP2CB,KDSR,ATP6V0D1,PEA15A,E2F3,COA3,CDK5RAP3,SLC22A5,IKBIP,NCLN,RUFY1,CLK4,HUS1,ANKRA2,ACOX2,ECD,CAPN7,GLT8D1,EPHX2,GLYR1,LZTR1,ADIPOQ,NDUFA5,SIX2,UQCC2,NAPG,SLK,BTRC,GBF1,KATNAL2,CHID1,SDC3,KHDRBS2,TRIP12,SOAT1,YME1L1,POLR1B,TBL1XR1,RAB33B,NMD3,AHCYL1,SNX30,KHDRBS1,NUB1,NMNAT1,ATAD3A,DVL1,NELFA,NAAA,BHLHE40,CCDC91,ERCC2,OAT,MRGPRF,DKC1,POLR2C,KATNB1,MED17,USP2,USP3,SMARCC1,POLR2F,HSF4,FNDC3A,CDK10,CHMP2A,BRK1,GPBP1L1,TLDC1,GTF2H5,CPNE7,ATCAY,COX8A,CC2D1A,SUN1,NOV,ATG14,JMJD1C,FAM210A,CEP250,CDC40,SV2A,DRD5,SSR2,PTPRE,LYN,RBM45,EDEM3,ELFN1,RTN4RL2,TMEM198,SNX32,FAM172A,IPO7,RPLP0,ROMO1,SAT2,RAB26
7	1	TRUE	0.000124	12686	169	139	0.822	0.011	GO:0005623	CC	16	cell	1	DNAJC5,DHRS1,INSIG2,MMD,TBCCD1,POR,CTCF,PDK1,SLC4A3,SPIB,HIPK1,PPP2CB,KDSR,ATP6V0D1,PEA15A,E2F3,COA3,RPL19,CDK5RAP3,SLC22A5,IKBIP,NCLN,RUFY1,CLK4,HUS1,EVL,TRPC7,ANKRA2,ACOX2,BMPR1A,ECD,CAPN7,NISCH,GLT8D1,EPHX2,PMM1,GLYR1,CLDND1,LZTR1,ADIPOQ,NDUFA5,SIX2,UQCC2,NAPG,SLK,BTRC,GBF1,KATNAL2,RIC8,CHID1,WDR73,SDC3,KHDRBS2,PPM1F,TRIP12,SOAT1,YME1L1,APBB1IP,POLR1B,ARFGAP1,TBL1XR1,RAB33B,NMD3,AHCYL1,SNX30,ATG4C,KHDRBS1,NUB1,NMNAT1,ATAD3A,DVL1,NELFA,RUFY3,NAAA,BHLHE40,SLCO1C1,CCDC91,ERCC2,STARD10,OAT,MRGPRF,DKC1,POLR2C,KATNB1,MED17,USP2,USP3,SMARCC1,POLR2F,HSF4,FNDC3A,CDK10,CHMP2A,BRK1,GPBP1L1,TLDC1,GTF2H5,SPATA6,CPNE7,ATCAY,NTNG2,COX8A,DGKB,CC2D1A,DNAJC12,SUN1,ATG101,NOV,ATG14,JMJD1C,FAM210A,CEP250,CDC40,SV2A,VSTM2B,DRD5,ATG2B,SSR2,CORO2B,PTPRE,LYN,RBM45,MCTS2,EDEM3,GAP43,ELFN1,RTN4RL2,TMEM198,SNX32,SLIT3,MAP2K5,MYL1,FAM172A,IPO7,RPLP0,ROMO1,TNFAIP8L3,RPRM,RAB26
8	1	TRUE	0.000124	12686	169	139	0.822	0.011	GO:0044464	CC	16	cell part	1	DNAJC5,DHRS1,INSIG2,MMD,TBCCD1,POR,CTCF,PDK1,SLC4A3,SPIB,HIPK1,PPP2CB,KDSR,ATP6V0D1,PEA15A,E2F3,COA3,RPL19,CDK5RAP3,SLC22A5,IKBIP,NCLN,RUFY1,CLK4,HUS1,EVL,TRPC7,ANKRA2,ACOX2,BMPR1A,ECD,CAPN7,NISCH,GLT8D1,EPHX2,PMM1,GLYR1,CLDND1,LZTR1,ADIPOQ,NDUFA5,SIX2,UQCC2,NAPG,SLK,BTRC,GBF1,KATNAL2,RIC8,CHID1,WDR73,SDC3,KHDRBS2,PPM1F,TRIP12,SOAT1,YME1L1,APBB1IP,POLR1B,ARFGAP1,TBL1XR1,RAB33B,NMD3,AHCYL1,SNX30,ATG4C,KHDRBS1,NUB1,NMNAT1,ATAD3A,DVL1,NELFA,RUFY3,NAAA,BHLHE40,SLCO1C1,CCDC91,ERCC2,STARD10,OAT,MRGPRF,DKC1,POLR2C,KATNB1,MED17,USP2,USP3,SMARCC1,POLR2F,HSF4,FNDC3A,CDK10,CHMP2A,BRK1,GPBP1L1,TLDC1,GTF2H5,SPATA6,CPNE7,ATCAY,NTNG2,COX8A,DGKB,CC2D1A,DNAJC12,SUN1,ATG101,NOV,ATG14,JMJD1C,FAM210A,CEP250,CDC40,SV2A,VSTM2B,DRD5,ATG2B,SSR2,CORO2B,PTPRE,LYN,RBM45,MCTS2,EDEM3,GAP43,ELFN1,RTN4RL2,TMEM198,SNX32,SLIT3,MAP2K5,MYL1,FAM172A,IPO7,RPLP0,ROMO1,TNFAIP8L3,RPRM,RAB26
9	1	TRUE	0.000124	10839	169	126	0.746	0.012	GO:0005622	CC	16	intracellular	2	DNAJC5,DHRS1,INSIG2,MMD,TBCCD1,POR,CTCF,PDK1,SPIB,HIPK1,PPP2CB,KDSR,ATP6V0D1,PEA15A,E2F3,COA3,RPL19,CDK5RAP3,IKBIP,NCLN,RUFY1,CLK4,HUS1,EVL,ANKRA2,ACOX2,ECD,CAPN7,NISCH,GLT8D1,EPHX2,PMM1,GLYR1,LZTR1,ADIPOQ,NDUFA5,SIX2,UQCC2,NAPG,SLK,BTRC,GBF1,KATNAL2,RIC8,CHID1,WDR73,SDC3,KHDRBS2,PPM1F,TRIP12,SOAT1,YME1L1,APBB1IP,POLR1B,TBL1XR1,RAB33B,NMD3,AHCYL1,SNX30,ATG4C,KHDRBS1,NUB1,NMNAT1,ATAD3A,DVL1,NELFA,RUFY3,NAAA,BHLHE40,CCDC91,ERCC2,STARD10,OAT,MRGPRF,DKC1,POLR2C,KATNB1,MED17,USP2,USP3,SMARCC1,POLR2F,HSF4,FNDC3A,CDK10,CHMP2A,BRK1,GPBP1L1,TLDC1,GTF2H5,CPNE7,ATCAY,COX8A,DGKB,CC2D1A,DNAJC12,SUN1,ATG101,NOV,ATG14,JMJD1C,FAM210A,CEP250,CDC40,SV2A,ATG2B,SSR2,CORO2B,PTPRE,LYN,RBM45,MCTS2,EDEM3,GAP43,RTN4RL2,TMEM198,SNX32,MAP2K5,MYL1,FAM172A,IPO7,RPLP0,ROMO1,TNFAIP8L3,RPRM,RAB26
10	1	TRUE	0.000121	10736	169	126	0.746	0.012	GO:0044424	CC	16	intracellular part	3	DNAJC5,DHRS1,INSIG2,MMD,TBCCD1,POR,CTCF,PDK1,SPIB,HIPK1,PPP2CB,KDSR,ATP6V0D1,PEA15A,E2F3,COA3,RPL19,CDK5RAP3,IKBIP,NCLN,RUFY1,CLK4,HUS1,EVL,ANKRA2,ACOX2,ECD,CAPN7,NISCH,GLT8D1,EPHX2,PMM1,GLYR1,LZTR1,ADIPOQ,NDUFA5,SIX2,UQCC2,NAPG,SLK,BTRC,GBF1,KATNAL2,RIC8,CHID1,WDR73,SDC3,KHDRBS2,PPM1F,TRIP12,SOAT1,YME1L1,APBB1IP,POLR1B,TBL1XR1,RAB33B,NMD3,AHCYL1,SNX30,ATG4C,KHDRBS1,NUB1,NMNAT1,ATAD3A,DVL1,NELFA,RUFY3,NAAA,BHLHE40,CCDC91,ERCC2,STARD10,OAT,MRGPRF,DKC1,POLR2C,KATNB1,MED17,USP2,USP3,SMARCC1,POLR2F,HSF4,FNDC3A,CDK10,CHMP2A,BRK1,GPBP1L1,TLDC1,GTF2H5,CPNE7,ATCAY,COX8A,DGKB,CC2D1A,DNAJC12,SUN1,ATG101,NOV,ATG14,JMJD1C,FAM210A,CEP250,CDC40,SV2A,ATG2B,SSR2,CORO2B,PTPRE,LYN,RBM45,MCTS2,EDEM3,GAP43,RTN4RL2,TMEM198,SNX32,MAP2K5,MYL1,FAM172A,IPO7,RPLP0,ROMO1,TNFAIP8L3,RPRM,RAB26
