name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0100542	Abnormal localization of kidney	152	4	13.2	6.87	0.00011	0.0074	30.1	5.05	207
HP:0000077	Abnormality of the kidney	902	7	3.89	4.5	7.3e-05	0.0074	Inf	4.19	Inf
HP:0010935	Abnormality of the upper urinary tract	933	7	3.76	4.4	9.2e-05	0.0074	Inf	4	Inf
HP:0012210	Abnormal renal morphology	707	6	4.26	4.33	0.00038	0.02	24	2.9	1100
HP:0001680	Coarctation of aorta	123	3	12.2	5.67	0.0013	0.022	21.1	3.05	126
HP:0001600	Abnormality of the larynx	142	3	10.6	5.22	0.002	0.022	18.1	2.63	108
HP:0001679	Abnormality of the aorta	249	4	8.06	5.16	0.00073	0.022	17.7	2.98	121
HP:0000348	High forehead	151	3	9.96	5.03	0.0024	0.022	17	2.46	101
HP:0010442	Polydactyly	299	4	6.71	4.61	0.0015	0.022	14.5	2.44	99.4
HP:0001631	Atrial septal defect	307	4	6.53	4.54	0.0016	0.022	14.1	2.37	96.5
HP:0011994	Abnormality of the atrial septum	307	4	6.53	4.54	0.0016	0.022	14.1	2.37	96.5
HP:0005120	Abnormality of cardiac atrium	309	4	6.49	4.52	0.0017	0.022	14	2.35	95.8
HP:0002007	Frontal bossing	323	4	6.21	4.39	0.002	0.022	13.3	2.24	91
HP:0011218	Abnormal shape of the frontal region	323	4	6.21	4.39	0.002	0.022	13.3	2.24	91
HP:0004207	Abnormality of the 5th finger	324	4	6.19	4.38	0.002	0.022	13.2	2.23	90.7
HP:0001629	Ventricular septal defect	326	4	6.15	4.37	0.002	0.022	13.2	2.21	90
HP:0010438	Abnormality of the ventricular septum	333	4	6.02	4.31	0.0022	0.022	12.8	2.16	88
HP:0001511	Intrauterine growth retardation	347	4	5.78	4.19	0.0026	0.022	12.3	2.07	84
HP:0008050	Abnormality of the palpebral fissures	566	5	4.43	3.98	0.0017	0.022	13.1	2.14	138
HP:0000079	Abnormality of the urinary system	1270	7	2.76	3.52	8e-04	0.022	Inf	2.55	Inf
HP:0030669	Abnormal morphology of the ocular adnexa	944	6	3.19	3.51	0.002	0.022	16.4	1.98	752
HP:0012252	Abnormal respiratory system morphology	959	6	3.14	3.47	0.0022	0.022	16	1.94	736
HP:0012243	Abnormal genital system morphology	965	6	3.12	3.45	0.0023	0.022	15.9	1.93	730
HP:0000153	Abnormality of the mouth	1389	7	2.53	3.27	0.0015	0.022	Inf	2.21	Inf
HP:0040194	Increased head circumference	366	4	5.48	4.05	0.0032	0.025	11.6	1.95	79.2
HP:0000256	Macrocephaly	366	4	5.48	4.05	0.0032	0.025	11.6	1.95	79.2
HP:0002119	Ventriculomegaly	374	4	5.36	3.99	0.0034	0.025	11.3	1.9	77.3
HP:0004298	Abnormality of the abdominal wall	379	4	5.29	3.95	0.0036	0.025	11.1	1.87	76.1
HP:0011297	Abnormality of digit	1030	6	2.92	3.28	0.0033	0.025	14.5	1.76	666
HP:0003549	Abnormality of connective tissue	1048	6	2.87	3.23	0.0037	0.025	14.2	1.71	650
HP:0000164	Abnormality of the teeth	682	5	3.68	3.48	0.0041	0.027	10.4	1.7	110
HP:0000008	Abnormality of female internal genitalia	398	4	5.04	3.83	0.0043	0.028	10.5	1.77	72
HP:0000422	Abnormality of the nasal bridge	702	5	3.57	3.4	0.0046	0.029	10.1	1.64	106
HP:0000078	Abnormality of the genital system	1098	6	2.74	3.11	0.0048	0.029	13.2	1.6	608
HP:0012374	Abnormality of the globe	1652	7	2.12	2.81	0.0051	0.03	Inf	1.62	Inf
HP:0012372	Abnormal eye morphology	1655	7	2.12	2.8	0.0051	0.03	Inf	1.62	Inf
HP:0000119	Abnormality of the genitourinary system	1666	7	2.11	2.79	0.0054	0.03	Inf	1.6	Inf
HP:0002813	Abnormality of limb bone morphology	1135	6	2.65	3.02	0.0057	0.031	12.6	1.53	579
HP:0100887	Abnormality of globe size	216	3	6.96	4.04	0.0067	0.032	11.6	1.68	68.7
HP:0100259	Postaxial polydactyly	217	3	6.93	4.03	0.0068	0.032	11.5	1.67	68.4
HP:0000618	Blindness	229	3	6.57	3.9	0.0079	0.032	10.9	1.58	64.6
HP:0001560	Abnormality of the amniotic fluid	230	3	6.54	3.88	0.008	0.032	10.8	1.57	64.3
HP:0010460	Abnormality of the female genitalia	443	4	4.53	3.55	0.0064	0.032	9.29	1.57	63.7
HP:0001671	Abnormality of the cardiac septa	446	4	4.5	3.53	0.0066	0.032	9.22	1.55	63.2
HP:0000812	Abnormal internal genitalia	452	4	4.44	3.5	0.0069	0.032	9.08	1.53	62.2
HP:0001713	Abnormality of cardiac ventricle	459	4	4.37	3.46	0.0073	0.032	8.92	1.5	61.1
HP:0012211	Abnormal renal physiology	470	4	4.27	3.4	0.008	0.032	8.68	1.46	59.5
HP:0000202	Oral cleft	479	4	4.19	3.36	0.0085	0.032	8.49	1.43	58.2
