query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00413	173	394	14	0.036	0.081	GO:0001101	BP	12	response to acid chemical	1	COL6A1,RARG,CDK4,RRAGC,COL1A2,RET,TEAD2,PTGER2,ACER2,OVCA2,COL16A1,ASXL1,LAMTOR4,RRAGA
2	1	TRUE	0.0179	2057	394	66	0.168	0.032	GO:0070887	BP	12	cellular response to chemical stimulus	1	COL6A1,RARG,PAX9,PTPN6,NCOA2,CDK4,ETV5,CACYBP,ARNT,EIF4EBP2,RNF185,RPS6KA5,MTDH,HSF1,TRA2B,IFNAR2,CSAD,TNFRSF21,FBN2,TLE4,CD6,RPS6KA4,IFITM3,SLC40A1,CARF,MPC2,ABL1,DAB2IP,FBN1,CHRNA4,SLC33A1,SFRP2,ECM1,TXN1,RRAGC,P2RX7,COL1A2,EZH2,MCM7,RET,TEAD2,LMO2,MIF,GSTT2,BCLAF1,PTGER2,AKAP7,PLEKHG5,COL16A1,PYROXD1,PALM3,AMICA1,GPR18,LAMTOR4,ATP6V1A,PHGDH,UGT1A6A,EP300,HMGA2,BIRC2,EDA,LEFTY2,VKORC1L1,REN1,RRAGA,CAPN3
3	1	TRUE	0.00967	121	394	11	0.028	0.091	GO:0071229	BP	12	cellular response to acid chemical	2	COL6A1,RARG,CDK4,RRAGC,COL1A2,RET,TEAD2,PTGER2,COL16A1,LAMTOR4,RRAGA
4	1	TRUE	0.00655	8200	394	204	0.518	0.025	GO:0008152	BP	7	metabolic process	1	TBRG4,TMPRSS2,TSSK3,GM2A,RARG,FBXO9,HARS,CYP51,PAX9,TSPAN33,BLVRA,MRPL4,CROT,PTPN6,TYR,SENP3,WBSCR22,NCOA2,ADAMTS4,ACTN3,CDK4,LSM2,MID1IP1,PTTG1IP,TUSC2,FADS1,TTLL5,ETV5,TSG101,E2F4,ARNT,WNT11,CR1L,PLTP,SGK2,MAFK,IKZF1,FUCA2,MICAL1,DRAM1,EIF4EBP2,PELI1,PTPRB,RNF185,LIMK2,PSMD12,CPD,GALNT16,RPS6KA5,PITRM1,DEGS2,MAK,NDUFS6,FEZF2,KCTD6,EAF1,NGDN,MTDH,HSF1,TAGLN3,TRA2B,IFNAR2,DHH,CSAD,GPS2,MUT,NFKBIE,GUCA1B,NDUFAF7,CCNY,NELFE,SRFBP1,TLE4,RPS6KA4,GNL3L,POLR3A,ECHS1,COX8B,SLC40A1,CARF,WDR12,MIXL1,POU2F1,MPC2,ABL1,DAB2IP,DPP7,CWC22,FBN1,SMOX,MRGBP,CHRNA4,EXOSC8,SLC33A1,AMPD2,INTS3,PRSS12,SFRP2,ECM1,TXN1,FKTN,RRAGC,EIF2B3,AKR7A5,GMEB1,NKX1-1,RBKS,SRD5A3,P2RX7,ACADS,POLR1D,EZH2,MCM7,NFE2L3,RET,CKM,TEAD2,TPP1,CTTN,CUL4B,NSDHL,NAA10,GINS4,VPS37A,SIN3B,NEK1,NAE1,ETS1,DDX25,RSL24D1,ZIC1,DIS3L,LMO2,PTPRM,WDR3,MIF,GSTT2,CHST2,PCGF3,CCAR2,CCT2,MRPS17,TEX16,SETMAR,TSEN34,MBNL3,NPY1R,CARD11,CNEP1R1,POMK,BCLAF1,ZBTB42,ACER2,ITLN1,IFT172,HOXB4,HACE1,E330034G19RIK,ZFP189,MRPS6,SLX4,ENDOV,PPIP5K2,PCF11,MDFIC,KIRREL,SMEK1,GRAP2,ASXL1,DISC1,PPP2R3A,MGAT5B,RNF31,DUSP18,FZD2,PHGDH,UGT1A6A,EP300,EIF3B,HMGA2,BIRC2,ECE1,EDA,NSMCE2,TAF1B,RPL35A,STX17,PTCD3,ARIH2,POMGNT2,LEFTY2,VKORC1L1,CYP2D9,REN1,RRAGA,NDUFB6,PTGR2,1700034I23RIK,YWHAQ,CAPN3,RAB7,BRMS1,LIME1,SHPRH
5	1	TRUE	0.0243	7474	394	185	0.47	0.025	GO:0044238	BP	7	primary metabolic process	2	TMPRSS2,TSSK3,GM2A,RARG,FBXO9,HARS,CYP51,PAX9,TSPAN33,MRPL4,CROT,PTPN6,SENP3,WBSCR22,NCOA2,ADAMTS4,ACTN3,CDK4,LSM2,MID1IP1,PTTG1IP,FADS1,TTLL5,ETV5,TSG101,E2F4,ARNT,WNT11,CR1L,SGK2,MAFK,IKZF1,FUCA2,MICAL1,EIF4EBP2,PELI1,RNF185,LIMK2,PSMD12,CPD,GALNT16,RPS6KA5,PITRM1,DEGS2,MAK,NDUFS6,FEZF2,KCTD6,EAF1,NGDN,MTDH,HSF1,TAGLN3,TRA2B,IFNAR2,DHH,CSAD,GPS2,MUT,NFKBIE,GUCA1B,NDUFAF7,CCNY,NELFE,SRFBP1,TLE4,RPS6KA4,GNL3L,ECHS1,COX8B,SLC40A1,CARF,WDR12,MIXL1,POU2F1,MPC2,ABL1,DAB2IP,DPP7,CWC22,FBN1,MRGBP,CHRNA4,EXOSC8,SLC33A1,AMPD2,INTS3,PRSS12,SFRP2,ECM1,TXN1,FKTN,EIF2B3,GMEB1,NKX1-1,RBKS,SRD5A3,P2RX7,ACADS,POLR1D,EZH2,MCM7,NFE2L3,RET,TEAD2,TPP1,CUL4B,NSDHL,NAA10,GINS4,VPS37A,SIN3B,NEK1,NAE1,ETS1,DDX25,RSL24D1,ZIC1,DIS3L,LMO2,PTPRM,WDR3,MIF,PCGF3,CCAR2,CCT2,MRPS17,TEX16,SETMAR,TSEN34,MBNL3,NPY1R,CARD11,CNEP1R1,POMK,BCLAF1,ZBTB42,ACER2,ITLN1,IFT172,HOXB4,HACE1,E330034G19RIK,ZFP189,MRPS6,SLX4,ENDOV,PPIP5K2,PCF11,MDFIC,KIRREL,SMEK1,GRAP2,ASXL1,DISC1,PPP2R3A,MGAT5B,RNF31,DUSP18,FZD2,PHGDH,UGT1A6A,EP300,EIF3B,HMGA2,BIRC2,ECE1,NSMCE2,TAF1B,RPL35A,PTCD3,ARIH2,POMGNT2,LEFTY2,VKORC1L1,CYP2D9,REN1,NDUFB6,PTGR2,YWHAQ,CAPN3,RAB7,BRMS1,LIME1,SHPRH
6	1	TRUE	0.0243	7913	394	194	0.492	0.025	GO:0071704	BP	7	organic substance metabolic process	2	TMPRSS2,TSSK3,GM2A,RARG,FBXO9,HARS,CYP51,PAX9,TSPAN33,BLVRA,MRPL4,CROT,PTPN6,TYR,SENP3,WBSCR22,NCOA2,ADAMTS4,ACTN3,CDK4,LSM2,MID1IP1,PTTG1IP,FADS1,TTLL5,ETV5,TSG101,E2F4,ARNT,WNT11,CR1L,PLTP,SGK2,MAFK,IKZF1,FUCA2,MICAL1,EIF4EBP2,PELI1,RNF185,LIMK2,PSMD12,CPD,GALNT16,RPS6KA5,PITRM1,DEGS2,MAK,NDUFS6,FEZF2,KCTD6,EAF1,NGDN,MTDH,HSF1,TAGLN3,TRA2B,IFNAR2,DHH,CSAD,GPS2,MUT,NFKBIE,GUCA1B,NDUFAF7,CCNY,NELFE,SRFBP1,TLE4,RPS6KA4,GNL3L,ECHS1,COX8B,SLC40A1,CARF,WDR12,MIXL1,POU2F1,MPC2,ABL1,DAB2IP,DPP7,CWC22,FBN1,SMOX,MRGBP,CHRNA4,EXOSC8,SLC33A1,AMPD2,INTS3,PRSS12,SFRP2,ECM1,TXN1,FKTN,EIF2B3,AKR7A5,GMEB1,NKX1-1,RBKS,SRD5A3,P2RX7,ACADS,POLR1D,EZH2,MCM7,NFE2L3,RET,CKM,TEAD2,TPP1,CUL4B,NSDHL,NAA10,GINS4,VPS37A,SIN3B,NEK1,NAE1,ETS1,DDX25,RSL24D1,ZIC1,DIS3L,LMO2,PTPRM,WDR3,MIF,GSTT2,CHST2,PCGF3,CCAR2,CCT2,MRPS17,TEX16,SETMAR,TSEN34,MBNL3,NPY1R,CARD11,CNEP1R1,POMK,BCLAF1,ZBTB42,ACER2,ITLN1,IFT172,HOXB4,HACE1,E330034G19RIK,ZFP189,MRPS6,SLX4,ENDOV,PPIP5K2,PCF11,MDFIC,KIRREL,SMEK1,GRAP2,ASXL1,DISC1,PPP2R3A,MGAT5B,RNF31,DUSP18,FZD2,PHGDH,UGT1A6A,EP300,EIF3B,HMGA2,BIRC2,ECE1,EDA,NSMCE2,TAF1B,RPL35A,PTCD3,ARIH2,POMGNT2,LEFTY2,VKORC1L1,CYP2D9,REN1,NDUFB6,PTGR2,YWHAQ,CAPN3,RAB7,BRMS1,LIME1,SHPRH
7	1	TRUE	0.00889	7565	394	190	0.482	0.025	GO:0044237	BP	7	cellular metabolic process	2	TBRG4,TSSK3,GM2A,RARG,FBXO9,HARS,PAX9,BLVRA,MRPL4,CROT,PTPN6,TYR,SENP3,WBSCR22,NCOA2,ACTN3,CDK4,LSM2,MID1IP1,PTTG1IP,TUSC2,FADS1,TTLL5,ETV5,TSG101,E2F4,ARNT,WNT11,CR1L,PLTP,SGK2,MAFK,IKZF1,MICAL1,DRAM1,EIF4EBP2,PELI1,PTPRB,RNF185,LIMK2,PSMD12,CPD,GALNT16,RPS6KA5,DEGS2,MAK,NDUFS6,FEZF2,KCTD6,EAF1,NGDN,MTDH,HSF1,TAGLN3,TRA2B,IFNAR2,CSAD,GPS2,MUT,NFKBIE,GUCA1B,NDUFAF7,CCNY,NELFE,SRFBP1,TLE4,RPS6KA4,GNL3L,POLR3A,ECHS1,COX8B,SLC40A1,CARF,WDR12,MIXL1,POU2F1,MPC2,ABL1,DAB2IP,CWC22,FBN1,SMOX,MRGBP,CHRNA4,EXOSC8,SLC33A1,AMPD2,INTS3,SFRP2,ECM1,TXN1,FKTN,RRAGC,EIF2B3,AKR7A5,GMEB1,NKX1-1,RBKS,SRD5A3,P2RX7,ACADS,POLR1D,EZH2,MCM7,NFE2L3,RET,CKM,TEAD2,TPP1,CTTN,CUL4B,NAA10,GINS4,VPS37A,SIN3B,NEK1,NAE1,ETS1,DDX25,RSL24D1,ZIC1,DIS3L,LMO2,PTPRM,WDR3,MIF,GSTT2,CHST2,PCGF3,CCAR2,CCT2,MRPS17,TEX16,SETMAR,TSEN34,MBNL3,CARD11,CNEP1R1,POMK,BCLAF1,ZBTB42,ACER2,ITLN1,HOXB4,HACE1,E330034G19RIK,ZFP189,MRPS6,SLX4,ENDOV,PPIP5K2,PCF11,MDFIC,KIRREL,SMEK1,GRAP2,ASXL1,DISC1,MGAT5B,RNF31,DUSP18,FZD2,PHGDH,UGT1A6A,EP300,EIF3B,HMGA2,BIRC2,ECE1,NSMCE2,TAF1B,RPL35A,STX17,PTCD3,ARIH2,POMGNT2,LEFTY2,VKORC1L1,CYP2D9,REN1,RRAGA,NDUFB6,PTGR2,1700034I23RIK,YWHAQ,CAPN3,RAB7,BRMS1,LIME1,SHPRH
8	1	TRUE	0.0356	3136	394	90	0.228	0.029	GO:0031981	CC	97	nuclear lumen	1	RTCA,RARG,PTPN6,SENP3,WBSCR22,NCOA2,ADAMTS4,CDK4,NCAPH2,PTTG1IP,ETV5,CACYBP,TSG101,E2F4,ARNT,SGK2,MAFK,PSMD12,SPATA7,RPS6KA5,EAF1,NGDN,MTDH,HSF1,TRA2B,NFKBIE,NELFE,CCDC86,RPS6KA4,GNL3L,POLR3A,SLC40A1,CARF,WDR12,MIXL1,POU2F1,ABL1,CWC22,SMOX,MRGBP,EXOSC8,INTS3,POLR3C,ACADS,POLR1D,EZH2,MCM7,TEAD2,POLR3E,CUL4B,NAA10,GINS4,VPS37A,SIN3B,ETS1,DDX25,RSL24D1,ZIC1,WDR3,MIF,GSTT2,FAM20B,PCGF3,CCAR2,CMIP,DENND1A,NXT1,BCLAF1,ZBTB42,HOXB4,PPP1R10,SLX4,ENDOV,MIS12,PCF11,MDFIC,SMEK1,DUSP18,AFTPH,POM121,EP300,DENND1B,HMGA2,NSMCE2,TAF1B,PTCD3,ARIH2,NDUFB6,BRMS1,RBM12
9	1	TRUE	0.0179	2344	394	73	0.185	0.031	GO:0005654	CC	97	nucleoplasm	1	RTCA,RARG,SENP3,WBSCR22,NCOA2,ADAMTS4,CDK4,NCAPH2,PTTG1IP,ETV5,CACYBP,E2F4,ARNT,SGK2,MAFK,SPATA7,RPS6KA5,EAF1,MTDH,HSF1,TRA2B,NELFE,RPS6KA4,POLR3A,SLC40A1,CARF,WDR12,POU2F1,ABL1,CWC22,SMOX,MRGBP,INTS3,POLR3C,ACADS,POLR1D,EZH2,MCM7,TEAD2,POLR3E,CUL4B,GINS4,VPS37A,SIN3B,ETS1,ZIC1,MIF,GSTT2,FAM20B,PCGF3,CCAR2,CMIP,DENND1A,NXT1,BCLAF1,ZBTB42,HOXB4,PPP1R10,SLX4,PCF11,SMEK1,DUSP18,AFTPH,POM121,EP300,DENND1B,NSMCE2,TAF1B,PTCD3,ARIH2,NDUFB6,BRMS1,RBM12
10	1	TRUE	0.00203	4131	394	120	0.305	0.029	GO:0032991	CC	1	protein-containing complex	1	COL6A1,RARG,FBXO9,PAX9,MRPL4,CACNA1B,PTPN6,SENP3,NCOA2,CDK4,LSM2,NCAPH2,CACYBP,TSG101,ARNT,GATSL2,CR1L,PLTP,PTPRB,RNF185,PSMD12,CACNA1G,NDUFS6,EAF1,NGDN,EMC9,HSF1,TRA2B,GPS2,CCNY,KIFC5B,NELFE,SRFBP1,CD6,GNL3L,POLR3A,COX8B,EEF1B2,WDR12,POU2F1,ABL1,DAB2IP,CWC22,MRGBP,CHRNA4,MCCC1,EXOSC8,INTS3,POLR3C,RRAGC,EIF2B3,POLR1D,COL1A2,EZH2,MCM7,CHCHD6,NUP210,RET,TEAD2,POLR3E,CTTN,CUL4B,GABRA3,NAA10,GINS4,VPS37A,SIN3B,ETS1,DDX25,RSL24D1,TMED3,DIS3L,LMO2,WDR3,PCGF3,CCAR2,CCT2,MRPS17,TEX16,GNAT1,FRMPD1,CARD11,KIF15,CNEP1R1,NXT1,ITLN1,IFT172,AKAP7,PPP1R10,MRPS6,SLX4,MIS12,SNTB2,PCF11,SMEK1,MIOS,ASXL1,PPP2R3A,EXOC3L,RNF31,AFTPH,LAMTOR4,EP300,KLHL26,EIF3B,HMGA2,BIRC2,NSMCE2,TAF1B,RPL35A,STX17,ARIH2,RRAGA,NDUFB6,YWHAQ,CAPN3,RAB7,BRMS1,LIME1,KCNMB3
