name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-192823	Viral mRNA Translation	89	4	6.82	4.49	0.0028	0.042	7.48	1.93	20.8
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	93	4	6.53	4.36	0.0032	0.042	7.14	1.85	19.9
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	95	4	6.39	4.3	0.0035	0.042	6.98	1.81	19.4
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	60	3	7.59	4.17	0.0072	0.042	8.26	1.61	26.5
R-HSA-72689	Formation of a pool of free 40S subunits	101	4	6.01	4.12	0.0044	0.042	6.55	1.7	18.2
R-HSA-8953854	Metabolism of RNA	646	12	2.82	3.89	0.00092	0.042	3.26	1.58	6.22
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	111	4	5.47	3.85	0.0061	0.042	5.93	1.54	16.4
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	112	4	5.42	3.83	0.0063	0.042	5.87	1.53	16.2
R-HSA-5610787	Hedgehog 'off' state	113	4	5.37	3.81	0.0065	0.042	5.82	1.51	16.1
R-HSA-927802	Nonsense-Mediated Decay (NMD)	115	4	5.28	3.76	0.0069	0.042	5.71	1.48	15.8
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	115	4	5.28	3.76	0.0069	0.042	5.71	1.48	15.8
R-HSA-72613	Eukaryotic Translation Initiation	119	4	5.1	3.66	0.0078	0.042	5.51	1.43	15.2
R-HSA-72737	Cap-dependent Translation Initiation	119	4	5.1	3.66	0.0078	0.042	5.51	1.43	15.2
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	182	5	4.17	3.51	0.0069	0.042	4.52	1.4	11.3
R-HSA-8868773	rRNA processing in the nucleus and cytosol	191	5	3.97	3.38	0.0084	0.042	4.3	1.33	10.8
R-HSA-72312	rRNA processing	201	5	3.77	3.24	0.01	0.049	4.08	1.26	10.2
