name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:285	hairy cell leukemia	10	4	22.6	9.17	1.8e-05	0.0062	38.1	7.8	162
DOID:127	leiomyoma	85	8	5.31	5.37	0.00012	0.02	6.09	2.48	13
DOID:0050851	glomerulosclerosis	26	4	8.69	5.27	0.001	0.03	10.4	2.56	31.2
DOID:1312	focal segmental glomerulosclerosis	26	4	8.69	5.27	0.001	0.03	10.4	2.56	31.2
DOID:4606	bile duct cancer	133	9	3.82	4.41	0.00055	0.03	4.26	1.86	8.63
DOID:4897	bile duct carcinoma	133	9	3.82	4.41	0.00055	0.03	4.26	1.86	8.63
DOID:1793	pancreatic cancer	228	12	2.97	4.06	0.00068	0.03	3.3	1.63	6.12
DOID:4905	pancreatic carcinoma	228	12	2.97	4.06	0.00068	0.03	3.3	1.63	6.12
DOID:65	connective tissue disease	1050	33	1.77	3.65	0.00051	0.03	2.09	1.35	3.16
DOID:9256	colorectal cancer	811	27	1.88	3.58	0.00079	0.03	2.16	1.35	3.37
DOID:5672	large intestine cancer	812	27	1.88	3.57	0.00081	0.03	2.16	1.35	3.36
DOID:10155	intestinal cancer	820	27	1.86	3.52	0.00094	0.03	2.14	1.33	3.32
DOID:4896	bile duct adenocarcinoma	121	8	3.73	4.07	0.0013	0.032	4.13	1.7	8.68
DOID:4947	cholangiocarcinoma	121	8	3.73	4.07	0.0013	0.032	4.13	1.7	8.68
DOID:170	endocrine gland cancer	399	16	2.26	3.49	0.0017	0.039	2.51	1.37	4.32
DOID:13564	aspergillosis	15	3	11.3	5.36	0.0021	0.042	14.2	2.53	53.4
DOID:1074	kidney failure	138	8	3.27	3.62	0.003	0.042	3.58	1.48	7.5
DOID:4607	biliary tract cancer	169	9	3.01	3.55	0.003	0.042	3.28	1.44	6.61
DOID:10952	nephritis	200	10	2.82	3.51	0.0028	0.042	3.09	1.42	6.01
DOID:1542	head and neck carcinoma	235	11	2.64	3.44	0.0029	0.042	2.89	1.38	5.47
DOID:5223	infertility	205	10	2.75	3.42	0.0033	0.042	3.01	1.38	5.85
DOID:11934	head and neck cancer	239	11	2.6	3.38	0.0033	0.042	2.84	1.36	5.37
DOID:0060072	benign neoplasm	563	20	2.01	3.34	0.002	0.042	2.24	1.31	3.68
DOID:18	urinary system disease	494	18	2.06	3.27	0.0025	0.042	2.28	1.29	3.83
DOID:0060084	cell type benign neoplasm	502	18	2.02	3.2	0.003	0.042	2.24	1.27	3.76
DOID:0080001	bone disease	833	26	1.76	3.15	0.0026	0.042	2	1.23	3.12
DOID:17	musculoskeletal system disease	1239	35	1.59	3.1	0.0023	0.042	1.85	1.21	2.78
DOID:2921	glomerulonephritis	142	8	3.18	3.53	0.0036	0.043	3.47	1.43	7.26
DOID:5520	head and neck squamous cell carcinoma	174	9	2.92	3.44	0.0036	0.043	3.18	1.39	6.4
DOID:12132	Wegener's granulomatosis	19	3	8.91	4.64	0.0043	0.044	10.6	1.96	37.8
DOID:2473	opportunistic mycosis	38	4	5.94	4.1	0.0043	0.044	6.7	1.7	19.2
DOID:349	systemic mastocytosis	38	4	5.94	4.1	0.0043	0.044	6.7	1.7	19.2
DOID:2394	ovarian cancer	282	12	2.4	3.23	0.0041	0.044	2.62	1.3	4.84
DOID:3342	bone inflammation disease	686	22	1.81	3	0.0041	0.044	2.02	1.2	3.25
DOID:9952	acute lymphocytic leukemia	20	3	8.47	4.49	0.005	0.049	9.99	1.85	35.2
