name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
path:hsa04540	Gap junction	88	7	5.56	5.19	0.00024	0.01	6.35	2.4	14.2
path:hsa04726	Serotonergic synapse	112	8	5	5.14	0.00018	0.01	5.69	2.32	12.1
path:hsa04010	MAPK signaling pathway	255	12	3.29	4.49	0.00025	0.01	3.75	1.84	7.03
path:hsa04961	Endocrine and other factor-regulated calcium reabsorption	47	5	7.44	5.34	0.00051	0.011	8.6	2.59	22.4
path:hsa04915	Estrogen signaling pathway	98	7	5	4.8	0.00047	0.011	5.64	2.14	12.6
path:hsa05142	Chagas disease (American trypanosomiasis)	102	7	4.8	4.66	6e-04	0.011	5.4	2.05	12
path:hsa04728	Dopaminergic synapse	130	8	4.3	4.58	5e-04	0.011	4.84	1.98	10.3
path:hsa05010	Alzheimer's disease	171	9	3.68	4.28	0.00071	0.011	4.12	1.79	8.39
path:hsa04725	Cholinergic synapse	112	7	4.37	4.33	0.001	0.013	4.88	1.86	10.8
path:hsa04261	Adrenergic signaling in cardiomyocytes	144	8	3.89	4.22	0.00099	0.013	4.33	1.78	9.17
path:hsa04062	Chemokine signaling pathway	185	9	3.4	3.99	0.0012	0.014	3.79	1.65	7.7
path:hsa04014	Ras signaling pathway	227	10	3.08	3.84	0.0014	0.014	3.43	1.57	6.75
path:hsa04912	GnRH signaling pathway	92	6	4.56	4.14	0.0019	0.018	5.06	1.76	11.9
path:hsa05146	Amoebiasis	95	6	4.42	4.04	0.0023	0.02	4.89	1.7	11.5
path:hsa05120	Epithelial cell signaling in Helicobacter pylori infection	68	5	5.14	4.14	0.0028	0.021	5.72	1.75	14.5
path:hsa05160	Hepatitis C	131	7	3.74	3.81	0.0026	0.021	4.12	1.58	9.1
path:hsa05200	Pathways in cancer	395	13	2.3	3.21	0.0038	0.028	2.56	1.3	4.68
path:hsa04724	Glutamatergic synapse	114	6	3.68	3.48	0.0056	0.038	4.02	1.41	9.38
path:hsa04919	Thyroid hormone signaling pathway	116	6	3.62	3.43	0.0061	0.04	3.94	1.38	9.21
path:hsa04071	Sphingolipid signaling pathway	118	6	3.56	3.37	0.0066	0.041	3.87	1.36	9.03
path:hsa04320	Dorso-ventral axis formation	28	3	7.49	4.15	0.0072	0.042	8.5	1.61	28.6
path:hsa05221	Acute myeloid leukemia	55	4	5.09	3.66	0.0077	0.043	5.6	1.44	15.7
path:hsa04970	Salivary secretion	90	5	3.89	3.32	0.0091	0.047	4.22	1.31	10.6
path:hsa04151	PI3K-Akt signaling pathway	341	11	2.26	2.87	0.009	0.047	2.47	1.17	4.7
