name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
path:hsa05418	Fluid shear stress and atherosclerosis	139	73	1.48	4.25	2.3e-05	0.0064	2.05	1.44	2.91
path:hsa05231	Choline metabolism in cancer	99	53	1.51	3.79	0.00016	0.016	2.12	1.4	3.23
path:hsa00770	Pantothenate and CoA biosynthesis	18	14	2.19	3.76	3e-04	0.016	6.4	2.01	26.7
path:hsa04390	Hippo signaling pathway	153	76	1.4	3.72	0.00018	0.016	1.82	1.31	2.55
path:hsa05205	Proteoglycans in cancer	203	96	1.33	3.58	0.00028	0.016	1.66	1.24	2.22
path:hsa04510	Focal adhesion	199	94	1.33	3.53	0.00034	0.016	1.66	1.23	2.22
path:hsa04310	Wnt signaling pathway	142	70	1.39	3.49	0.00043	0.017	1.79	1.27	2.54
path:hsa04670	Leukocyte transendothelial migration	112	57	1.44	3.45	0.00052	0.018	1.91	1.29	2.83
path:hsa03440	Homologous recombination	41	25	1.72	3.43	0.00073	0.02	2.86	1.47	5.76
path:hsa04933	AGE-RAGE signaling pathway in diabetic complications	99	51	1.45	3.37	7e-04	0.02	1.96	1.29	2.97
path:hsa05166	HTLV-I infection	256	115	1.27	3.23	9e-04	0.022	1.51	1.16	1.96
path:hsa04370	VEGF signaling pathway	59	32	1.53	3.03	0.0023	0.049	2.17	1.26	3.78
path:hsa04512	ECM-receptor interaction	82	42	1.45	3	0.0023	0.049	1.93	1.22	3.06
