name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
path:hsa05031	Amphetamine addiction	68	12	3.65	4.95	8.3e-05	0.0056	4.34	2.1	8.31
path:hsa04261	Adrenergic signaling in cardiomyocytes	144	19	2.73	4.73	5.7e-05	0.0056	3.12	1.79	5.16
path:hsa04010	MAPK signaling pathway	255	27	2.19	4.37	9e-05	0.0056	2.45	1.56	3.74
path:hsa04911	Insulin secretion	85	13	3.17	4.53	0.00019	0.0091	3.66	1.84	6.76
path:hsa04961	Endocrine and other factor-regulated calcium reabsorption	47	9	3.96	4.59	0.00034	0.013	4.77	2.01	10.1
path:hsa05219	Bladder cancer	41	8	4.04	4.4	0.00064	0.016	4.87	1.93	10.9
path:hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	11	3.16	4.16	6e-04	0.016	3.64	1.71	7.07
path:hsa04721	Synaptic vesicle cycle	63	10	3.29	4.11	0.00078	0.016	3.8	1.71	7.65
path:hsa05214	Glioma	64	10	3.23	4.05	0.00089	0.016	3.73	1.68	7.49
path:hsa04971	Gastric acid secretion	75	11	3.04	3.99	0.00086	0.016	3.47	1.63	6.72
path:hsa04260	Cardiac muscle contraction	78	11	2.92	3.84	0.0012	0.016	3.31	1.56	6.39
path:hsa05414	Dilated cardiomyopathy	89	12	2.79	3.83	0.0011	0.016	3.15	1.54	5.9
path:hsa04921	Oxytocin signaling pathway	152	17	2.31	3.69	0.00099	0.016	2.56	1.43	4.33
path:hsa04020	Calcium signaling pathway	181	19	2.17	3.6	0.0011	0.016	2.39	1.38	3.92
path:hsa04728	Dopaminergic synapse	130	15	2.39	3.6	0.0014	0.017	2.65	1.42	4.62
path:hsa05161	Hepatitis B	144	16	2.3	3.55	0.0015	0.017	2.54	1.39	4.35
path:hsa04144	Endocytosis	260	24	1.91	3.37	0.0016	0.018	2.08	1.29	3.24
path:hsa05410	Hypertrophic cardiomyopathy (HCM)	83	11	2.74	3.6	0.002	0.02	3.08	1.46	5.92
path:hsa04723	Retrograde endocannabinoid signaling	148	16	2.24	3.43	0.002	0.02	2.46	1.35	4.21
path:hsa04066	HIF-1 signaling pathway	99	12	2.51	3.41	0.0028	0.023	2.78	1.37	5.18
path:hsa04110	Cell cycle	124	14	2.34	3.39	0.0025	0.023	2.58	1.35	4.57
path:hsa05166	HTLV-I infection	256	23	1.86	3.16	0.0028	0.023	2.02	1.23	3.16
path:hsa05200	Pathways in cancer	395	32	1.68	3.12	0.0025	0.023	1.82	1.2	2.67
path:hsa04727	GABAergic synapse	88	11	2.59	3.38	0.0032	0.025	2.88	1.36	5.51
path:hsa04964	Proximal tubule bicarbonate reclamation	23	5	4.5	3.79	0.0042	0.031	5.54	1.6	15.6
path:hsa04925	Aldosterone synthesis and secretion	82	10	2.52	3.13	0.0058	0.042	2.79	1.27	5.5
path:hsa04713	Circadian entrainment	96	11	2.37	3.05	0.0063	0.044	2.6	1.24	4.96
path:hsa04114	Oocyte meiosis	124	13	2.17	2.96	0.0066	0.044	2.36	1.21	4.27
path:hsa04725	Cholinergic synapse	112	12	2.22	2.93	0.0075	0.045	2.42	1.19	4.47
path:hsa04024	cAMP signaling pathway	198	18	1.88	2.84	0.007	0.045	2.03	1.16	3.35
path:hsa04151	PI3K-Akt signaling pathway	341	27	1.64	2.73	0.0073	0.045	1.76	1.12	2.66
path:hsa04012	ErbB signaling pathway	86	10	2.41	2.96	0.0081	0.048	2.64	1.21	5.2
path:hsa04918	Thyroid hormone synthesis	74	9	2.52	2.96	0.0089	0.049	2.78	1.2	5.67
path:hsa05215	Prostate cancer	87	10	2.38	2.92	0.0088	0.049	2.61	1.19	5.12
