query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.05	26	1692	8	0.005	0.308	GO:0035066	BP	201	positive regulation of histone acetylation	1	PAXIP1,TGFB1,RUVBL2,BRCA1,TADA2B,AUTS2,WBP2,KAT7
2	1	TRUE	0.0377	587	1692	73	0.043	0.124	GO:0030334	BP	327	regulation of cell migration	1	KRIT1,RAC1,TGFB1,TBCCD1,PGF,ZP3,CSF1,SLAMF1,ELP5,CCL4,DCN,PTPRR,OSBPL8,MYOCD,RFFL,PECAM1,NTN1,NUMB,CXCL14,PDCD6,BMPR1A,WNT5A,RGCC,GCSAM,ADIPOQ,PLA2G7,HBEGF,CCR1,PTP4A1,PPM1F,ADIPOR1,PLXNA2,SPRED1,BMP2,IL1A,SRC,SDCBP,IKBKAP,RUFY3,CXCL15,ANXA3,GPNMB,BMP10,PLXND1,WNT5B,STX4A,FLNA,VEGFC,TIE1,PTPN23,FAM110C,IGSF10,P2RY12,ICAM1,HOXA7,LDB2,MAGI2,ZFP609,C3AR1,RCC2,LYN,TNFRSF14,ZC3H12A,PRKCE,BEX4,TMSB4X,GPR183,TACSTD2,ADAM17,GPR173,RAPGEF2,CEACAM1,CCL28
3	1	TRUE	0.037	6	1692	4	0.002	0.667	GO:0006686	BP	323	sphingomyelin biosynthetic process	1	PEMT,SAMD8,SGMS1,SGMS2
4	1	TRUE	0.0498	2749	1692	278	0.164	0.101	GO:0065008	BP	59	regulation of biological quality	1	GCG,KRIT1,SEZ6,SPG7,RPA1,SNAPIN,UBE2C,CSN3,FBXO7,RAC1,TGFB1,PEX6,CRTC1,IKBKG,IL11,LARGE,TBCCD1,ULK2,PLOD3,WDR1,PRLR,SLC4A3,USP19,CYP27B1,TPH2,DIO2,LNP,SYN2,MCU,MYT1,AKT1S1,SLC41A1,CSF1,CHFR,RNF5,PLEKHO1,MPP2,NLK,ZFP207,RHOT1,JPH2,HNF4A,RAC3,GOPC,DCN,SOCS2,OSBPL8,AP3D1,NCLN,STC2,CDKL3,GRIA1,ACACA,STXBP4,DLD,ACOX1,NTN1,PPP2R3C,PYGL,ESRRB,THRB,WNT5A,SUGT1,EPHX2,BNIP3L,FBXL3,JPH4,ATP12A,MYC,DERL1,PPARA,SYNGR1,MYH9,SREBF2,CLDN1,FGF12,DGAT1,POPDC2,STXBP5L,ADIPOQ,AQP2,SNCG,PARP3,PARK2,SLC5A7,TAF8,UQCC2,HSPA9,DCP2,LARS,PTPN2,CSNK1A1,PCSK5,LIPA,TCF7L2,SLIT1,MSR1,CDHR5,RHOT2,IL6,CCR1,ISCU,HSPD1,SLC39A10,MSTN,INPP5D,TNFRSF11A,NUCKS1,ADIPOR1,PLXNA2,PRKCQ,TSC1,PAX8,P2RX3,PRG3,HYPK,BMP2,SRC,PEX5L,MECOM,SLC7A11,PPA2,ABCA4,NFKB1,BDH2,ASPH,APTX,TLN1,PLIN2,FGGY,PRDX1,PINK1,STPG1,PARK7,SLC25A33,EPHA5,CDC7,RUFY3,TESC,MAPKAPK5,NCOR2,PXN,HNF1A,RNF6,PDX1,POT1A,TFR2,PLXND1,VASP,TRPM1,FURIN,RYR1,SYTL2,CALCA,DGAT2,STX4A,CD40LG,GATA1,FLNA,GPM6B,HCFC1,CHRNA6,IST1,SLC27A1,APLP2,UBASH3B,FDX1,APOA5,TPM1,PDCD6IP,WDR48,TRF,AMT,CHRM1,PKD1,KCTD17,ATP6V1H,BRK1,MKS1,GAS2L1,SLC25A37,SEMA3F,SIDT2,ARL6IP5,TPBG,STAB2,MIDN,ABCA7,LRRN3,P2RY12,SLITRK2,SUN1,ICAM1,TULP1,NENF,CD81,ATP6V0A2,MESDC2,LDB2,RHOU,ELAVL1,SPNS2,C3AR1,KCND3,SH3KBP1,BRCA2,CHRNB1,CFTR,INHBA,LYN,PM20D1,ZC3H12A,SMG7,TMEM64,PNPLA1,PCSK9,DSG2,PRKCE,LINGO2,ZFP36L2,SLITRK6,ADRA1A,WNK1,USP27X,AR,LRRC4B,YTHDF3,TPCN2,TADA3,RAPGEF4,OXTR,FOXC1,PPP1R3G,GPD1L,GPR183,RAB11FIP5,XRCC1,IMMT,ADAM17,MAP1B,MYH7,ALDH1A1,LIPG,MDM4,CADPS,KCNMB4,KLF2,E330017A01RIK,USP13,LEPR,TAOK2,RXFP3,CTNNA3,CSMD1,RAPGEF2,CTNNA2,NLGN1,SCN1A,HMGN3,HDAC8,SYNGAP1,NNAT,MLLT4,TM9SF4,CDK7,ANK3,NANOS1,CEACAM1,CCL28,THBD,HEG1,SLITRK1,SELM,FAM155A,MAEA,FCOR,TNNC1,MPV17
5	1	TRUE	0.00522	1893	1692	208	0.123	0.11	GO:0065009	BP	316	regulation of molecular function	1	GCG,KRIT1,OXA1L,SNAPIN,OCRL,FBXO7,RAC1,SNX9,TGFB1,PPP1R17,CDKN1B,CDK12,CRTC1,NQO1,RUVBL2,IKBKG,ZP3,RIPK4,PRLR,MSH6,POR,CTCF,CYP27B1,FXYD5,AKT1S1,PAM16,CSF1,SLAMF1,NCF1,DBNDD2,JPH2,CCL4,GOPC,SERINC1,DCN,SOCS2,OSBPL8,MYOCD,RFFL,MAP3K14,TSHR,PPP2R3C,RGS6,RIPK1,PDCD6,NAIP1,DNAJC9,WNT5A,RGCC,SUGT1,MYC,DERL1,FGF12,PAK2,ADIPOQ,RFC2,PARK2,STK38,MTCH1,SIK1,RALBP1,MSH2,MLLT1,TRIM26,LARS,GNAL,PTPN2,CEP192,CSNK1A1,ZFP91,PPP6R3,VLDLR,TCF7L2,IL6,HSPD1,SLC39A10,MSTN,PPM1F,HDAC4,TNFRSF11A,TNNT2,NUCKS1,PRKCQ,TSC1,TRAF1,GPSM1,DNAJC10,RASGRP1,SPRED1,BMP2,SRC,AHCYL1,NFKB1,CTH,ASPH,CCNC,PINK1,STPG1,PARK7,EPHA5,TESC,MAPKAPK5,ANXA3,PXN,LFNG,POT1A,PPP1R35,PLXND1,URI1,FURIN,PAK4,SYTL2,CALCA,EIF3C,STX4A,CD40LG,GATA1,FLNA,TBC1D9,SLC27A1,APLP2,UBASH3B,APOA5,FEM1B,TRF,HEYL,PKD1,ST18,FANCD2,LARP6,DHCR24,PARM1,ARL6IP5,MIDN,GRAMD4,GADD45A,BTG1,PSENEN,BC053994,MAVS,NR0B2,CD81,CNST,LDB2,PRKRIP1,MAGI2,RCC2,CFTR,ANKRD42,DSTYK,LYN,PM20D1,ZC3H12A,ABRA,TMEM64,HEXIM2,FEM1A,WFIKKN2,PCSK9,NEUROG3,WNK1,PIK3R6,AR,MBTPS2,LRRC4B,PIRT,SERPINB13,PREX2,LRRC19,FOXC1,PPP1R3G,GPD1L,RTN4RL2,TTN,XRCC1,LAX1,ZFP622,SPDYA,MAGI3,ADAM17,KDM4D,PDE5A,SH3RF2,LEPR,WDR91,USP47,HOPX,TAOK2,SERPINB6A,MARF1,CTTNBP2NL,RAPGEF2,ENO1,NLGN1,HMGN3,HDAC8,MLLT4,MAS1,CST7,ANK3,ELL,MAP3K5,CEACAM1,UBE2N,LRRC55,VPS25,COL4A3,TNNC1
6	1	TRUE	0.0437	1113	1692	125	0.074	0.112	GO:0044093	BP	316	positive regulation of molecular function	2	GCG,KRIT1,RAC1,SNX9,TGFB1,CRTC1,IKBKG,RIPK4,PRLR,MSH6,POR,CYP27B1,CSF1,NCF1,JPH2,CCL4,SERINC1,OSBPL8,MYOCD,MAP3K14,TSHR,PPP2R3C,RGS6,RIPK1,PDCD6,DNAJC9,WNT5A,RGCC,MYC,DERL1,PAK2,ADIPOQ,RFC2,PARK2,MTCH1,RALBP1,MSH2,TRIM26,LARS,ZFP91,VLDLR,TCF7L2,IL6,HSPD1,SLC39A10,PPM1F,HDAC4,TNFRSF11A,TNNT2,PRKCQ,TSC1,TRAF1,GPSM1,DNAJC10,RASGRP1,BMP2,SRC,CTH,ASPH,CCNC,PINK1,STPG1,PARK7,EPHA5,TESC,MAPKAPK5,ANXA3,PXN,LFNG,POT1A,PLXND1,PAK4,EIF3C,STX4A,CD40LG,TBC1D9,SLC27A1,APOA5,TRF,PKD1,ST18,LARP6,PARM1,ARL6IP5,GRAMD4,GADD45A,BTG1,PSENEN,BC053994,MAVS,CD81,MAGI2,RCC2,CFTR,ANKRD42,DSTYK,LYN,ABRA,NEUROG3,PIK3R6,AR,MBTPS2,PIRT,FOXC1,PPP1R3G,XRCC1,ZFP622,SPDYA,MAGI3,ADAM17,KDM4D,PDE5A,TAOK2,RAPGEF2,ENO1,HMGN3,HDAC8,MLLT4,MAS1,ANK3,MAP3K5,CEACAM1,UBE2N,LRRC55,COL4A3
7	1	TRUE	0.0286	1385	1692	153	0.09	0.11	GO:0050790	BP	316	regulation of catalytic activity	2	GCG,OXA1L,OCRL,FBXO7,RAC1,SNX9,TGFB1,PPP1R17,CDKN1B,CDK12,NQO1,IKBKG,PRLR,MSH6,POR,CYP27B1,AKT1S1,PAM16,CSF1,SLAMF1,NCF1,DBNDD2,CCL4,SERINC1,DCN,SOCS2,OSBPL8,MYOCD,RFFL,MAP3K14,TSHR,PPP2R3C,RGS6,RIPK1,PDCD6,NAIP1,DNAJC9,WNT5A,RGCC,SUGT1,MYC,PAK2,ADIPOQ,RFC2,PARK2,STK38,MTCH1,RALBP1,MSH2,MLLT1,LARS,GNAL,PTPN2,CEP192,ZFP91,PPP6R3,VLDLR,HSPD1,SLC39A10,MSTN,PPM1F,TNFRSF11A,TNNT2,PRKCQ,TSC1,GPSM1,DNAJC10,RASGRP1,SPRED1,BMP2,SRC,NFKB1,ASPH,CCNC,PINK1,PARK7,EPHA5,MAPKAPK5,PXN,POT1A,PPP1R35,PLXND1,URI1,FURIN,PAK4,SYTL2,CALCA,STX4A,CD40LG,TBC1D9,SLC27A1,APLP2,UBASH3B,APOA5,FEM1B,TRF,PKD1,ST18,DHCR24,PARM1,ARL6IP5,MIDN,GRAMD4,GADD45A,BTG1,PSENEN,BC053994,CD81,CNST,LDB2,PRKRIP1,MAGI2,RCC2,DSTYK,LYN,TMEM64,HEXIM2,FEM1A,WNK1,PIK3R6,AR,LRRC4B,SERPINB13,PREX2,LRRC19,PPP1R3G,RTN4RL2,TTN,XRCC1,LAX1,ZFP622,SPDYA,MAGI3,ADAM17,PDE5A,SH3RF2,LEPR,WDR91,USP47,TAOK2,SERPINB6A,MARF1,RAPGEF2,MLLT4,MAS1,CST7,ELL,MAP3K5,CEACAM1,UBE2N,VPS25,COL4A3,TNNC1
8	1	TRUE	0.0243	701	1692	86	0.051	0.123	GO:0051338	BP	316	regulation of transferase activity	3	GCG,FBXO7,RAC1,SNX9,TGFB1,CDKN1B,CDK12,IKBKG,PRLR,AKT1S1,CSF1,NCF1,DBNDD2,SERINC1,DCN,SOCS2,OSBPL8,MYOCD,MAP3K14,PPP2R3C,RIPK1,WNT5A,RGCC,MYC,PAK2,ADIPOQ,RFC2,PARK2,STK38,MLLT1,PTPN2,ZFP91,VLDLR,MSTN,PPM1F,TNFRSF11A,PRKCQ,TSC1,RASGRP1,SPRED1,BMP2,SRC,CCNC,PARK7,MAPKAPK5,PXN,POT1A,PAK4,CD40LG,SLC27A1,APLP2,UBASH3B,FEM1B,TRF,PKD1,PARM1,MIDN,GADD45A,CD81,LDB2,PRKRIP1,DSTYK,LYN,HEXIM2,FEM1A,PIK3R6,LRRC4B,PREX2,LRRC19,PPP1R3G,RTN4RL2,TTN,LAX1,ZFP622,SPDYA,MAGI3,ADAM17,PDE5A,WDR91,TAOK2,RAPGEF2,MAS1,MAP3K5,CEACAM1,UBE2N,VPS25
9	1	TRUE	0.0298	609	1692	76	0.045	0.125	GO:0043549	BP	316	regulation of kinase activity	1	GCG,FBXO7,RAC1,SNX9,TGFB1,CDKN1B,CDK12,IKBKG,PRLR,AKT1S1,CSF1,NCF1,DBNDD2,DCN,SOCS2,OSBPL8,MYOCD,MAP3K14,PPP2R3C,RIPK1,WNT5A,RGCC,PAK2,ADIPOQ,PARK2,STK38,MLLT1,PTPN2,ZFP91,VLDLR,MSTN,PPM1F,TNFRSF11A,TSC1,RASGRP1,SPRED1,BMP2,SRC,CCNC,PARK7,PXN,PAK4,CD40LG,SLC27A1,APLP2,UBASH3B,TRF,PKD1,MIDN,GADD45A,CD81,LDB2,PRKRIP1,DSTYK,LYN,HEXIM2,FEM1A,PIK3R6,LRRC4B,PREX2,LRRC19,RTN4RL2,TTN,LAX1,ZFP622,SPDYA,MAGI3,ADAM17,PDE5A,WDR91,TAOK2,RAPGEF2,MAS1,MAP3K5,CEACAM1,VPS25
10	1	TRUE	0.0343	2402	1692	248	0.147	0.103	GO:0010646	BP	231	regulation of cell communication	1	GCG,SEZ6,C1QL4,RAC1,EMD,TGFB1,CDK12,GLG1,IKBKG,IL11,ZP3,CYP27B1,STAMBP,MCU,MYT1,AKT1S1,PAM16,CSF1,SLAMF1,NCF1,BRCA1,MPP2,NLK,JPH2,HNF4A,IRF1,CCL4,ROS1,DCN,SOCS2,RFX4,UNC5B,DOCK2,PTPRR,CNOT2,OSBPL8,WIF1,NCLN,GATSL3,GRIA1,MYOCD,STXBP4,RFFL,PECAM1,MAP3K14,NUMB,RIPK1,HNRNPK,PDCD6,NAIP1,BMPR1A,FGF9,WNT5A,JPH4,RRM2B,MYC,SYNGR1,FGF12,GCSAM,PAK2,STXBP5L,ADIPOQ,SNCG,IVNS1ABP,PARK2,PDE10A,UBR2,STK38,VAPA,TMEM204,UQCC2,ZEB1,HBEGF,LARS,PTPN2,ZFP91,TCF7L2,CD63,RNF165,IL6,CCR1,FAM20C,SLC39A10,MSTN,INPP5D,TNFRSF11A,RGS18,NUCKS1,ADIPOR1,PRKCQ,TSC1,USP20,TRAF1,PAX8,P2RX3,CHAC1,RASGRP1,SPRED1,BMP2,SRC,PEX5L,MECOM,IFT80,GUCY1B3,NFKB1,WLS,CTH,ASPH,SDCBP,RNF220,PRDX1,PINK1,AGO3,CDK14,PARK7,RINT1,EPHA5,BMP3,MAPKAPK5,PXN,HNF1A,LFNG,RITA1,RNF6,PDX1,AUTS2,TFR2,GPNMB,BMP10,GDF3,RASGEF1A,WNT5B,LTBR,URI1,FURIN,PAK4,DISP1,TGFB1I1,STX4A,HPX,PGAP2,CD40LG,GATA1,NONO,FLNA,RASA3,APLP2,UBASH3B,CD3E,FEM1B,TRF,UBA5,HEYL,RNF125,ST18,CDK10,FANCD2,MKS1,RNF43,WBP2,CHST11,SIDT2,UBD,ARL6IP5,LZTS2,FIGNL1,MIDN,CNOT3,ABCA7,ZDHHC17,PTPN23,FAM110C,GADD45A,ELF1,ICAM1,NENF,MAVS,CD81,OPA1,PRDM1,SNX25,CBFA2T2,PAK1IP1,RNF146,ZFP653,IGFBP2,PRDM16,MAGI2,SGMS1,CFTR,INHBA,SERPINA12,DSTYK,BEND6,ZFP451,LYN,CTF1,ZC3H12A,NREP,ABRA,TMEM64,ZFP536,FEM1A,WFIKKN2,PCSK9,ACKR3,CXXC4,PRKCE,ADRA1A,POFUT1,PIK3R6,AR,LRRC4B,DLK2,PREX2,LRRC19,GPD1L,RTN4RL2,GPR183,RAB11FIP5,TMEM198,LAX1,RASAL3,ZFP622,MAGI3,ADAM17,BCL3,PDE5A,LMCD1,GNAI1,USP47,TAOK2,RAPGEF2,NLGN1,HMGN3,SYNGAP1,NNAT,MAS1,LGALS1,DUSP22,ANK3,RUNX3,MAP3K5,CEACAM1,UBE2N,VPS25,SHKBP1,TNFSF12
