query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0412	2734	278	58	0.209	0.021	GO:2000112	BP	170	regulation of cellular macromolecule biosynthetic process	1	SMARCB1,PSMC3,EIF2B5,FOSB,TFAM,CUL3,MAP2K1,TPR,RPS9,SOD2,KHSRP,HIPK1,CCNT1,SIRT2,TNIP1,HSP90AA1,ANKRA2,ECD,HSP90AB1,IWS1,CDK5RAP1,FXR1,DHX36,KMT2E,CCNL2,HSPH1,STRAP,SMARCA1,CCT2,MBD3,L3MBTL1,CC2D1A,ZFP113,EGR2,JMJD1C,UPF3A,NFE2L1,ARID4B,VPRBP,ZBTB38,TET2,USP22,PLCB1,GDF6,GSK3A,SPOP,PKN1,RRP1B,MAX,MORF4L1,GLRP1,MED14,PSRC1,CCND1,2610044O15RIK8,MTA2,ZHX2,CHURC1
2	1	TRUE	0.0209	2	278	2	0.007	1	GO:0045903	BP	65	positive regulation of translational fidelity	1	RPS9,CDK5RAP1
3	1	TRUE	0.0412	736	278	22	0.079	0.03	GO:0044265	BP	90	cellular macromolecule catabolic process	1	PSMC3,CUL3,KHSRP,UBQLN4,SIRT2,TLK2,SLIRP,MTA1,HSP90AB1,DHX36,RNF34,SMG1,FBXL19,ISG15,PSMD7,LONP1,USP22,SEC61B,GSK3A,SPOP,ZHX2,UBE2D3
4	1	TRUE	0.00965	407	278	17	0.061	0.042	GO:0043632	BP	90	modification-dependent macromolecule catabolic process	2	PSMC3,CUL3,UBQLN4,SIRT2,TLK2,MTA1,HSP90AB1,RNF34,FBXL19,ISG15,PSMD7,LONP1,USP22,SEC61B,GSK3A,SPOP,UBE2D3
5	1	TRUE	0.0379	493	278	17	0.061	0.034	GO:0051603	BP	90	proteolysis involved in cellular protein catabolic process	1	PSMC3,CUL3,UBQLN4,SIRT2,TLK2,MTA1,HSP90AB1,RNF34,FBXL19,ISG15,PSMD7,LONP1,USP22,SEC61B,GSK3A,SPOP,UBE2D3
6	1	TRUE	0.0395	365	278	14	0.05	0.038	GO:0010498	BP	90	proteasomal protein catabolic process	2	PSMC3,CUL3,UBQLN4,SIRT2,TLK2,MTA1,HSP90AB1,RNF34,FBXL19,PSMD7,SEC61B,GSK3A,SPOP,UBE2D3
7	1	TRUE	0.00816	399	278	17	0.061	0.043	GO:0019941	BP	90	modification-dependent protein catabolic process	2	PSMC3,CUL3,UBQLN4,SIRT2,TLK2,MTA1,HSP90AB1,RNF34,FBXL19,ISG15,PSMD7,LONP1,USP22,SEC61B,GSK3A,SPOP,UBE2D3
8	1	TRUE	0.0159	431	278	17	0.061	0.039	GO:0006511	BP	90	ubiquitin-dependent protein catabolic process	3	PSMC3,CUL3,UBQLN4,SIRT2,TLK2,MTA1,HSP90AB1,HUWE1,TRIP12,RNF34,FBXL19,PSMD7,USP22,SEC61B,GSK3A,SPOP,UBE2D3
9	1	TRUE	0.0159	310	278	14	0.05	0.045	GO:0043161	BP	90	proteasome-mediated ubiquitin-dependent protein catabolic process	4	PSMC3,CUL3,UBQLN4,SIRT2,TLK2,MTA1,HSP90AB1,RNF34,FBXL19,PSMD7,SEC61B,GSK3A,SPOP,UBE2D3
10	1	TRUE	0.0224	4470	278	88	0.317	0.02	GO:0051179	BP	85	localization	1	KPNB1,YKT6,CUL3,MAP2K1,ERGIC3,TPR,NSMF,CYBA,SOD2,DYNLL1,SLC3A2,ATP6V0D1,PDZD11,ATP5E,ABR,SLC6A8,STXBP5,LIN7A,SPTBN1,CANX,ASIC2,VIPAS39,SLIRP,TIMM9,EVL,HSP90AA1,CAPN7,PMM1,SCG5,HSP90AB1,MIB1,IWS1,AFG3L2,VEGFB,HUWE1,PSMB7,PMPCA,SSNA1,NCKAP1,DYNC1I2,SLC12A6,ATP9A,DHX36,HSPH1,AGK,STRAP,SLCO1C1,AP3M2,ANK1,C2CD2L,ICAM5,CSNK1G1,SLC25A36,RAB6B,ARHGAP44,CCT2,XPOT,ANKRD27,ATCAY,DYNC1LI2,NOV,CNNM4,NME1,DZIP1L,TSPAN14,EGR2,BICD2,CEP250,ARFRP1,KCNA2,DPCD,ADRBK2,TMEM201,WHAMM,RAB2A,LRRC4,PLCB1,SEC61B,FTO,GSK3A,PKN1,PSRC1,CCND1,SLC17A7,SLC25A16,SMCP,UBE2D3,SYNJ2BP
