query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0198	2	3	1	0.333	0.5	CORUM:5723	cor	7	Cbl-Cd2ap-Flt1 complex	1	CBL
2	1	TRUE	0.0198	2	3	1	0.333	0.5	CORUM:5722	cor	4	Cbl-Cd2ap complex	1	CBL
3	1	TRUE	0.0198	4	3	1	0.333	0.25	CORUM:717	cor	10	PU.1-Sin3A-Hdac-MeCP2 complex	1	MECP2
4	1	TRUE	0.0198	4	3	1	0.333	0.25	CORUM:5185	cor	12	SWI/SNF chromatin-remodeling complex (Mecp2, Smarc)	1	MECP2
5	1	TRUE	0.0354	10	3	1	0.333	0.1	CORUM:496	cor	13	TFIID complex	1	TAF11
6	1	TRUE	0.0198	5	3	1	0.333	0.2	CORUM:716	cor	3	PU.1-associated protein complex	1	MECP2
7	1	TRUE	0.0198	4	3	1	0.333	0.25	CORUM:1503	cor	6	Hdac1-Mecp2-Rcor1-Sin3a complex	1	MECP2
8	1	TRUE	0.0198	2	3	1	0.333	0.5	CORUM:5174	cor	11	Smarcb1/Ini1-Smarca2-Mecp2 complex	1	MECP2
9	1	TRUE	0.0198	5	3	1	0.333	0.2	CORUM:5175	cor	1	SWI/SNF-related complex	1	MECP2
10	1	TRUE	0.0198	3	3	1	0.333	0.333	CORUM:2475	cor	5	Cbl-Crkl-Rapgef1 complex	1	CBL
11	1	TRUE	0.000263	14502	75	69	0.92	0.005	TF:M00333	tf	2	Factor: ZF5; motif: NRNGNGCGCGCWN	1	GMPR2,ANKRD13D,SLC34A3,IFT22,TMEM223,ZFP790,MED16,ADAMTS13,ADSS,SCUBE1,C1QBP,JSRP1,RAB10,ZC3H14,HIF1A,WRNIP1,TXNDC15,XPNPEP3,ERCC4,LIMA1,SGOL1,TAF11,DSC2,FRMD4A,SEC16A,CSTF3,CAPRIN1,INTS3,RARS2,FANCG,FUCA1,SORCS2,CRYBB1,DLX6,ABTB1,NUCB1,MECP2,BRD7,NT5M,R3HCC1,POLQ,CBL,FAM65B,ARID5A,FERMT2,SH3RF3,NOP2,ENSA,TBCD,MICU3,IFT88,CEP78,ZFP553,LRRC8E,ADCK2,ZFP697,EMILIN3,2900026A02RIK,TRIQK,FOXK1,SYT17,ZFP27,TGFBRAP1,CAMKMT,SPIN4,SH3D21,ALG6,PLA2G4B,PCDHGA11
12	1	TRUE	0.000263	14502	75	69	0.92	0.005	TF:M00333_0	tf	2	Factor: ZF5; motif: NRNGNGCGCGCWN; match class: 0	2	GMPR2,ANKRD13D,SLC34A3,IFT22,TMEM223,ZFP790,MED16,ADAMTS13,ADSS,SCUBE1,C1QBP,JSRP1,RAB10,ZC3H14,HIF1A,WRNIP1,TXNDC15,XPNPEP3,ERCC4,LIMA1,SGOL1,TAF11,DSC2,FRMD4A,SEC16A,CSTF3,CAPRIN1,INTS3,RARS2,FANCG,FUCA1,SORCS2,CRYBB1,DLX6,ABTB1,NUCB1,MECP2,BRD7,NT5M,R3HCC1,POLQ,CBL,FAM65B,ARID5A,FERMT2,SH3RF3,NOP2,ENSA,TBCD,MICU3,IFT88,CEP78,ZFP553,LRRC8E,ADCK2,ZFP697,EMILIN3,2900026A02RIK,TRIQK,FOXK1,SYT17,ZFP27,TGFBRAP1,CAMKMT,SPIN4,SH3D21,ALG6,PLA2G4B,PCDHGA11
13	1	TRUE	0.0257	12804	75	61	0.813	0.005	TF:M04662_1	tf	9	Factor: FOXN4; motif: NNWANNCGWMCGCGTCNNNNMT; match class: 1	1	GMPR2,ANKRD13D,IFT22,TMEM223,ZFP790,ADAMTS13,ADSS,SCUBE1,C1QBP,RAB10,ZC3H14,HIF1A,WRNIP1,TXNDC15,XPNPEP3,ERCC4,SGOL1,TAF11,DSC2,SEC16A,CSTF3,CAPRIN1,INTS3,RARS2,FANCG,FUCA1,SORCS2,DLX6,ABTB1,MECP2,BRD7,NT5M,R3HCC1,POLQ,CBL,FAM65B,ARID5A,FERMT2,SH3RF3,NOP2,TBCD,MICU3,IFT88,CEP78,ZFP553,LRRC8E,ADCK2,ZFP697,EMILIN3,2900026A02RIK,TRIQK,FOXK1,SYT17,ZFP27,TGFBRAP1,CAMKMT,SPIN4,SH3D21,ALG6,PLA2G4B,PCDHGA11
