query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0414	351	163	11	0.067	0.031	GO:0051186	BP	1	cofactor metabolic process	1	MLXIPL,QDPR,PIPOX,GALK1,TMEM14C,SH3BP1,SPTA1,EIF6,PPCS,FAR2,MCEE
2	1	TRUE	0.0291	220	163	9	0.055	0.041	GO:0006732	BP	1	coenzyme metabolic process	2	MLXIPL,QDPR,PIPOX,GALK1,SH3BP1,EIF6,PPCS,FAR2,MCEE
3	1	TRUE	0.000763	12686	163	133	0.816	0.01	GO:0005623	CC	9	cell	1	TRIM25,MYG1,ACP2,CD79A,FAM162A,ETFB,MLXIPL,CRIP1,CARHSP1,DQX1,ALDH3A2,PHLDA2,IGF2BP1,MRPL32,QDPR,FNTA,CD274,CCDC70,PIPOX,NOL11,SEMA6A,1700021F05RIK,MYPN,EGFR,HMG20B,POFUT2,GALK1,FBF1,SAV1,BDKRB2,NPC2,TMEM14C,ZDHHC20,XPO7,SH3BP1,SLC38A4,BTG3,TMBIM6,RIOK2,FGD2,WDR46,SETBP1,CD5,DPF2,PIP5K1B,RNASEH2C,PDCD11,ABCC2,SLC6A20B,CAR5A,NABP2,SIRT3,CCT8,NOP16,RGS16,TMEM63A,SPTA1,BMI1,DNAJC1,LRSAM1,ENG,WDR5,ARRDC1,TFPI,SNX5,EIF6,HPS3,SASS6,VCAM1,PITX2,ACO1,NDC1,POLR2B,PSMG3,TRIM24,RAB19,CCDC77,FAR2,RTN2,RHCG,CORO1A,ARHGAP17,FAM53B,ERLIN2,CNGB1,PLA2G15,COG2,HINFP,VPS11,CARM1,CELF6,MRPS22,OAS1D,AP4B1,FOXJ3,MCEE,SLC26A2,KCNH5,RAB24,CREB3L3,MRPS2,WTIP,PHPT1,ANAPC10,HGSNAT,LARP1,ENPP6,VARS2,DUSP26,LAP3,RAMP3,HPS4,YIPF6,PSKH1,SCN3B,SLC17A5,CNTN2,TCEAL5,METTL7A1,FBXO6,1810011O10RIK,EGLN2,2610301B20RIK,SUV420H2,ALOX5AP,SNRPA,TMEM100,SPDL1,LMBRD1,FOXD1,CCR5,MARCH2,RPS13
4	1	TRUE	0.000763	12686	163	133	0.816	0.01	GO:0044464	CC	9	cell part	2	TRIM25,MYG1,ACP2,CD79A,FAM162A,ETFB,MLXIPL,CRIP1,CARHSP1,DQX1,ALDH3A2,PHLDA2,IGF2BP1,MRPL32,QDPR,FNTA,CD274,CCDC70,PIPOX,NOL11,SEMA6A,1700021F05RIK,MYPN,EGFR,HMG20B,POFUT2,GALK1,FBF1,SAV1,BDKRB2,NPC2,TMEM14C,ZDHHC20,XPO7,SH3BP1,SLC38A4,BTG3,TMBIM6,RIOK2,FGD2,WDR46,SETBP1,CD5,DPF2,PIP5K1B,RNASEH2C,PDCD11,ABCC2,SLC6A20B,CAR5A,NABP2,SIRT3,CCT8,NOP16,RGS16,TMEM63A,SPTA1,BMI1,DNAJC1,LRSAM1,ENG,WDR5,ARRDC1,TFPI,SNX5,EIF6,HPS3,SASS6,VCAM1,PITX2,ACO1,NDC1,POLR2B,PSMG3,TRIM24,RAB19,CCDC77,FAR2,RTN2,RHCG,CORO1A,ARHGAP17,FAM53B,ERLIN2,CNGB1,PLA2G15,COG2,HINFP,VPS11,CARM1,CELF6,MRPS22,OAS1D,AP4B1,FOXJ3,MCEE,SLC26A2,KCNH5,RAB24,CREB3L3,MRPS2,WTIP,PHPT1,ANAPC10,HGSNAT,LARP1,ENPP6,VARS2,DUSP26,LAP3,RAMP3,HPS4,YIPF6,PSKH1,SCN3B,SLC17A5,CNTN2,TCEAL5,METTL7A1,FBXO6,1810011O10RIK,EGLN2,2610301B20RIK,SUV420H2,ALOX5AP,SNRPA,TMEM100,SPDL1,LMBRD1,FOXD1,CCR5,MARCH2,RPS13
5	1	TRUE	0.00123	10839	163	118	0.724	0.011	GO:0005622	CC	9	intracellular	3	TRIM25,MYG1,ACP2,CD79A,FAM162A,ETFB,MLXIPL,CRIP1,CARHSP1,DQX1,ALDH3A2,PHLDA2,IGF2BP1,MRPL32,QDPR,FNTA,PIPOX,NOL11,1700021F05RIK,MYPN,EGFR,HMG20B,POFUT2,GALK1,FBF1,SAV1,BDKRB2,NPC2,TMEM14C,XPO7,SH3BP1,BTG3,TMBIM6,RIOK2,FGD2,WDR46,SETBP1,DPF2,PIP5K1B,RNASEH2C,PDCD11,CAR5A,NABP2,SIRT3,CCT8,NOP16,RGS16,TMEM63A,SPTA1,BMI1,DNAJC1,LRSAM1,WDR5,ARRDC1,SNX5,EIF6,HPS3,SASS6,VCAM1,PITX2,ACO1,NDC1,POLR2B,PSMG3,TRIM24,RAB19,CCDC77,FAR2,RTN2,CORO1A,ARHGAP17,FAM53B,ERLIN2,PLA2G15,COG2,HINFP,VPS11,CARM1,CELF6,MRPS22,OAS1D,AP4B1,FOXJ3,MCEE,KCNH5,RAB24,CREB3L3,MRPS2,WTIP,PHPT1,ANAPC10,HGSNAT,LARP1,VARS2,DUSP26,LAP3,RAMP3,HPS4,YIPF6,PSKH1,SCN3B,SLC17A5,TCEAL5,METTL7A1,FBXO6,1810011O10RIK,EGLN2,2610301B20RIK,SUV420H2,ALOX5AP,SNRPA,TMEM100,SPDL1,LMBRD1,FOXD1,CCR5,MARCH2,RPS13
6	1	TRUE	0.00128	10736	163	117	0.718	0.011	GO:0044424	CC	9	intracellular part	4	TRIM25,MYG1,ACP2,CD79A,FAM162A,ETFB,MLXIPL,CRIP1,CARHSP1,DQX1,ALDH3A2,PHLDA2,IGF2BP1,MRPL32,QDPR,FNTA,PIPOX,NOL11,1700021F05RIK,MYPN,EGFR,HMG20B,POFUT2,GALK1,FBF1,SAV1,BDKRB2,NPC2,TMEM14C,XPO7,SH3BP1,BTG3,TMBIM6,RIOK2,FGD2,WDR46,SETBP1,DPF2,PIP5K1B,RNASEH2C,PDCD11,CAR5A,NABP2,SIRT3,CCT8,NOP16,RGS16,TMEM63A,SPTA1,BMI1,DNAJC1,LRSAM1,WDR5,ARRDC1,SNX5,EIF6,HPS3,SASS6,VCAM1,PITX2,ACO1,NDC1,POLR2B,PSMG3,TRIM24,RAB19,CCDC77,FAR2,RTN2,CORO1A,ARHGAP17,FAM53B,ERLIN2,PLA2G15,COG2,HINFP,VPS11,CARM1,CELF6,MRPS22,OAS1D,AP4B1,FOXJ3,MCEE,RAB24,CREB3L3,MRPS2,WTIP,PHPT1,ANAPC10,HGSNAT,LARP1,VARS2,DUSP26,LAP3,RAMP3,HPS4,YIPF6,PSKH1,SCN3B,SLC17A5,TCEAL5,METTL7A1,FBXO6,1810011O10RIK,EGLN2,2610301B20RIK,SUV420H2,ALOX5AP,SNRPA,TMEM100,SPDL1,LMBRD1,FOXD1,CCR5,MARCH2,RPS13
7	1	TRUE	0.00107	8141	163	97	0.595	0.012	GO:0005737	CC	9	cytoplasm	5	TRIM25,MYG1,ACP2,CD79A,FAM162A,ETFB,MLXIPL,CRIP1,CARHSP1,DQX1,ALDH3A2,PHLDA2,IGF2BP1,MRPL32,QDPR,FNTA,PIPOX,1700021F05RIK,MYPN,EGFR,POFUT2,GALK1,FBF1,SAV1,BDKRB2,NPC2,TMEM14C,XPO7,SH3BP1,BTG3,TMBIM6,RIOK2,FGD2,SETBP1,DPF2,PIP5K1B,PDCD11,CAR5A,NABP2,SIRT3,CCT8,RGS16,TMEM63A,SPTA1,DNAJC1,LRSAM1,ARRDC1,SNX5,EIF6,HPS3,SASS6,VCAM1,PITX2,ACO1,NDC1,TRIM24,RAB19,FAR2,RTN2,CORO1A,ARHGAP17,ERLIN2,PLA2G15,COG2,HINFP,VPS11,CARM1,CELF6,MRPS22,OAS1D,AP4B1,MCEE,RAB24,CREB3L3,MRPS2,WTIP,PHPT1,ANAPC10,HGSNAT,LARP1,VARS2,DUSP26,LAP3,RAMP3,HPS4,YIPF6,SCN3B,SLC17A5,FBXO6,1810011O10RIK,2610301B20RIK,ALOX5AP,TMEM100,LMBRD1,CCR5,MARCH2,RPS13
8	1	TRUE	0.00121	6574	163	83	0.509	0.013	GO:0044444	CC	9	cytoplasmic part	6	TRIM25,MYG1,ACP2,CD79A,FAM162A,ETFB,MLXIPL,CARHSP1,ALDH3A2,IGF2BP1,MRPL32,QDPR,FNTA,PIPOX,1700021F05RIK,MYPN,EGFR,POFUT2,FBF1,SAV1,BDKRB2,NPC2,TMEM14C,SH3BP1,TMBIM6,FGD2,SETBP1,DPF2,PIP5K1B,PDCD11,CAR5A,NABP2,SIRT3,CCT8,TMEM63A,SPTA1,DNAJC1,LRSAM1,ARRDC1,SNX5,EIF6,HPS3,SASS6,VCAM1,ACO1,RAB19,FAR2,RTN2,CORO1A,ARHGAP17,ERLIN2,PLA2G15,COG2,HINFP,VPS11,CARM1,MRPS22,AP4B1,MCEE,RAB24,CREB3L3,MRPS2,WTIP,PHPT1,HGSNAT,LARP1,VARS2,DUSP26,LAP3,RAMP3,HPS4,YIPF6,SCN3B,SLC17A5,FBXO6,1810011O10RIK,2610301B20RIK,ALOX5AP,TMEM100,LMBRD1,CCR5,MARCH2,RPS13
9	1	TRUE	0.00014	10342	163	119	0.73	0.012	GO:0043226	CC	9	organelle	1	TRIM25,MYG1,ACP2,CD79A,FAM162A,ETFB,MLXIPL,CARHSP1,DQX1,ALDH3A2,IGF2BP1,MRPL32,QDPR,FNTA,CD274,PIPOX,NOL11,1700021F05RIK,MYPN,EGFR,HMG20B,POFUT2,GALK1,FBF1,SAV1,BDKRB2,NPC2,TMEM14C,XPO7,CMBL,SH3BP1,FSTL1,TMBIM6,RIOK2,FGD2,WDR46,SETBP1,DPF2,PDCD11,CAR5A,NABP2,SIRT3,CCT8,NOP16,TMEM63A,SPTA1,BMI1,DNAJC1,WDR5,ARRDC1,SNX5,EIF6,SASS6,VCAM1,PITX2,ACO1,NDC1,PPCS,POLR2B,TRIM24,RAB19,CCDC77,FAR2,RTN2,RHCG,CORO1A,ARHGAP17,FAM53B,ERLIN2,CNGB1,PLA2G15,COG2,HINFP,VPS11,CARM1,MRPS22,AP4B1,FOXJ3,MCEE,SLC26A2,RAB24,CREB3L3,MRPS2,WTIP,PHPT1,ANAPC10,HGSNAT,LARP1,ENDOD1,ENPP6,VARS2,DUSP26,LAP3,GINM1,RAMP3,PRELP,HPS4,YIPF6,PSKH1,SCN3B,SLC17A5,LAMB2,TCEAL5,METTL7A1,FBXO6,1810011O10RIK,EGLN2,2610301B20RIK,SUV420H2,ALOX5AP,SNRPA,TMEM100,SPDL1,LMBRD1,ZNHIT6,FOXD1,CCR5,MARCH2,RPS13
10	1	TRUE	0.00107	9587	163	109	0.669	0.011	GO:0043227	CC	9	membrane-bounded organelle	2	TRIM25,MYG1,ACP2,CD79A,FAM162A,ETFB,MLXIPL,CARHSP1,DQX1,ALDH3A2,IGF2BP1,MRPL32,QDPR,CD274,PIPOX,NOL11,1700021F05RIK,EGFR,HMG20B,POFUT2,GALK1,SAV1,BDKRB2,NPC2,TMEM14C,XPO7,CMBL,SH3BP1,FSTL1,TMBIM6,RIOK2,FGD2,WDR46,SETBP1,DPF2,PDCD11,CAR5A,NABP2,SIRT3,CCT8,NOP16,TMEM63A,BMI1,DNAJC1,WDR5,ARRDC1,SNX5,EIF6,VCAM1,PITX2,ACO1,NDC1,PPCS,POLR2B,TRIM24,RAB19,FAR2,RTN2,RHCG,CORO1A,ARHGAP17,FAM53B,ERLIN2,PLA2G15,COG2,HINFP,VPS11,CARM1,MRPS22,AP4B1,FOXJ3,MCEE,SLC26A2,RAB24,CREB3L3,MRPS2,WTIP,PHPT1,ANAPC10,HGSNAT,ENDOD1,ENPP6,VARS2,DUSP26,LAP3,GINM1,RAMP3,PRELP,HPS4,YIPF6,PSKH1,SLC17A5,LAMB2,TCEAL5,METTL7A1,FBXO6,1810011O10RIK,EGLN2,SUV420H2,ALOX5AP,SNRPA,TMEM100,SPDL1,LMBRD1,ZNHIT6,FOXD1,CCR5,MARCH2,RPS13
