query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0402	106	1031	13	0.013	0.123	GO:0050905	BP	368	neuromuscular process	1	PTEN,CAMTA1,CNTNAP1,HEXB,APP,ATP2B2,RBFOX2,HERC1,KCNA1,GIGYF2,CAMK2B,FXN,GRID2
2	1	TRUE	0.0458	61	1031	9	0.009	0.148	GO:0050885	BP	368	neuromuscular process controlling balance	2	CAMTA1,CNTNAP1,HEXB,APP,ATP2B2,RBFOX2,HERC1,GIGYF2,CAMK2B
3	1	TRUE	0.00324	3	1031	3	0.003	1	GO:0019086	BP	78	late viral transcription	1	CCNT2,USF1,MON1B
4	1	TRUE	0.00526	1975	1031	137	0.133	0.069	GO:0007166	BP	397	cell surface receptor signaling pathway	1	WNT3,PFDN5,TULP3,AKT1,GRIK3,STAT6,APOE,CACNB3,GRIK5,EFNB3,PRKACB,PRKACA,CTR9,IHH,CDC42,TSPAN31,SULF2,ZMIZ1,WNT8A,PTEN,DEDD,NOL3,GATA2,IFT27,PLCG1,SLC35C2,GABARAP,NDEL1,ZFYVE27,BTBD11,FRS2,CYFIP2,JADE2,HNF1B,RPS6KA5,LGMN,SEMA4D,ROR2,ATXN7,DLG5,CBY1,APOD,APP,LNPEP,TNFRSF12A,GRM8,SOS1,GNAQ,SDHAF2,RELA,PDCD4,ACSL5,TCTN3,LDB1,DDIT3,HRAS,STRADB,IGFBP5,VIM,RAB14,PAX6,IL1B,SKIL,FGA,PPP3CA,CDK5,EREG,PHF14,USP12,DLX5,IRAK1,ZCCHC18,GAS6,ANKRD10,VPS35,CX3CL1,CDH13,CDH5,RORA,ULK3,CSK,NPTN,GNAI2,FLCN,KANK1,CSPG4,IFT57,SOX10,CD300A,UNC13A,EPN1,GDPD5,CRB2,RNF126,PLXNB2,MBD5,SOCS5,RIMS2,UBR5,HFE2,DGKI,AKAP2,NCOA5,RC3H1,CLDN5,PELO,ID1,TMEM108,PTPN11,NGFRAP1,DYNC2H1,GIGYF2,GNG7,TMC8,VWC2,BTN2A2,GPER1,USP46,NTRK2,GRIK2,TICAM2,BLOC1S2,PTK2B,TRP53,PTP4A3,GRB2,ARRB2,ERBB4,BMPR2,DOK1,RGMA,GRID2,PSME3,PRNP,RBM4,BCL2A1A,GDF1
5	1	TRUE	0.00105	720	1031	63	0.061	0.087	GO:0007167	BP	397	enzyme linked receptor protein signaling pathway	2	AKT1,EFNB3,SULF2,PLCG1,NDEL1,ZFYVE27,BTBD11,FRS2,CYFIP2,JADE2,LGMN,ROR2,ATXN7,APOD,APP,LNPEP,SOS1,PDCD4,IGFBP5,VIM,RAB14,IL1B,SKIL,EREG,PHF14,DLX5,ZCCHC18,GAS6,CDH13,CDH5,CSK,NPTN,FLCN,KANK1,CSPG4,CRB2,RNF126,MBD5,SOCS5,HFE2,AKAP2,NCOA5,CLDN5,PELO,ID1,TMEM108,PTPN11,GIGYF2,GNG7,VWC2,GPER1,NTRK2,PTK2B,TRP53,PTP4A3,GRB2,ARRB2,ERBB4,BMPR2,DOK1,RGMA,RBM4,GDF1
6	1	TRUE	0.0195	450	1031	39	0.038	0.087	GO:0007169	BP	397	transmembrane receptor protein tyrosine kinase signaling pathway	3	AKT1,EFNB3,SULF2,PLCG1,NDEL1,ZFYVE27,FRS2,CYFIP2,LGMN,ATXN7,APOD,APP,SOS1,IGFBP5,RAB14,IL1B,EREG,PHF14,CDH13,CSK,NPTN,KANK1,CSPG4,RNF126,MBD5,SOCS5,NCOA5,TMEM108,PTPN11,GIGYF2,GPER1,NTRK2,PTK2B,PTP4A3,GRB2,ERBB4,BMPR2,DOK1,RBM4
7	1	TRUE	0.0336	91	1031	12	0.012	0.132	GO:0038127	BP	397	ERBB signaling pathway	4	AKT1,PLCG1,LGMN,APP,SOS1,EREG,CDH13,RNF126,SOCS5,PTPN11,GPER1,PTK2B
8	1	TRUE	0.0432	83	1031	11	0.011	0.133	GO:0007173	BP	397	epidermal growth factor receptor signaling pathway	5	AKT1,PLCG1,APP,SOS1,EREG,CDH13,RNF126,SOCS5,PTPN11,GPER1,PTK2B
9	1	TRUE	0.0461	7	1031	3	0.003	0.429	GO:0015740	BP	404	C4-dicarboxylate transport	1	SLC1A2,SLC13A5,SLC25A10
10	1	TRUE	0.0337	2	1031	2	0.002	1	GO:0015744	BP	404	succinate transport	2	SLC13A5,SLC25A10
