name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-451326	Activation of kainate receptors upon glutamate binding	32	10	4.87	5.74	1.9e-05	0.0043	6.72	2.83	14.9
R-HSA-177929	Signaling by EGFR	40	11	4.29	5.46	2.9e-05	0.0043	5.61	2.52	11.6
R-HSA-5610787	Hedgehog 'off' state	113	20	2.76	4.93	2.9e-05	0.0043	3.21	1.86	5.28
R-HSA-5358351	Signaling by Hedgehog	148	24	2.53	4.91	2.2e-05	0.0043	2.9	1.77	4.55
R-HSA-112315	Transmission across Chemical Synapses	224	32	2.23	4.87	1.5e-05	0.0043	2.51	1.65	3.7
R-HSA-451306	Ionotropic activity of kainate receptors	12	6	7.8	6.17	4.5e-05	0.0048	14.7	3.92	55.2
R-HSA-451308	Activation of Ca-permeable Kainate Receptor	12	6	7.8	6.17	4.5e-05	0.0048	14.7	3.92	55.2
R-HSA-199991	Membrane Trafficking	599	63	1.64	4.23	5.6e-05	0.0053	1.79	1.34	2.37
R-HSA-209560	NF-kB is activated and signals survival	13	6	7.2	5.85	7.9e-05	0.006	12.6	3.49	44
R-HSA-5653656	Vesicle-mediated transport	631	65	1.61	4.12	8e-05	0.006	1.75	1.32	2.3
R-HSA-192823	Viral mRNA Translation	89	16	2.8	4.47	0.00015	0.01	3.25	1.76	5.69
R-HSA-422356	Regulation of insulin secretion	66	13	3.07	4.42	0.00024	0.01	3.63	1.81	6.8
R-HSA-69202	Cyclin E associated events during G1/S transition 	82	15	2.85	4.41	0.00019	0.01	3.32	1.75	5.92
R-HSA-1234174	Regulation of Hypoxia-inducible Factor (HIF) by oxygen	75	14	2.91	4.35	0.00025	0.01	3.4	1.75	6.19
R-HSA-2262749	Cellular response to hypoxia	75	14	2.91	4.35	0.00025	0.01	3.4	1.75	6.19
R-HSA-72689	Formation of a pool of free 40S subunits	101	17	2.63	4.3	0.00021	0.01	3.01	1.66	5.14
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	111	18	2.53	4.24	0.00023	0.01	2.88	1.62	4.84
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	112	18	2.51	4.2	0.00025	0.01	2.85	1.61	4.78
R-HSA-8951664	Neddylation	235	30	1.99	4.02	0.00022	0.01	2.19	1.43	3.26
R-HSA-5655291	Signaling by FGFR4 in disease	11	5	7.09	5.29	0.00036	0.011	12.2	2.95	48.3
R-HSA-193639	p75NTR signals via NF-kB	16	6	5.85	5.08	0.00031	0.011	8.83	2.63	26.9
R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	36	9	3.9	4.56	0.00034	0.011	4.92	2.03	10.8
