query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0295	2	25	2	0.08	1	CORUM:1390	cor	36	Rb1-Runx2 complex	1	RB1,RUNX2
2	1	TRUE	0.0321	103	229	10	0.044	0.097	KEGG:04916	keg	23	Melanogenesis	1	RAF1,ADCY9,WNT7B,WNT10B,WNT2B,WNT7A,FZD8,WNT8B,PRKCA,PRKCB
3	1	TRUE	0.00619	177	229	16	0.07	0.09	KEGG:05225	keg	26	Hepatocellular carcinoma	1	RAF1,TXNRD3,MET,RPS6KB1,RB1,WNT7B,WNT10B,SMAD4,ACTL6A,WNT2B,WNT7A,FZD8,WNT8B,SHC1,PRKCA,PRKCB
4	1	TRUE	0.0486	176	229	13	0.057	0.074	KEGG:04360	keg	22	Axon guidance	1	RAF1,EPHB3,MET,PTK2,EPHA4,NFATC2,TRPC4,EFNA3,PLXNA1,SEMA7A,PRKCA,BMPR1B,FES
5	1	TRUE	0.00916	139	229	13	0.057	0.094	KEGG:04550	keg	39	Signaling pathways regulating pluripotency of stem cells	1	RAF1,ID3,NANOG,WNT7B,WNT10B,SMAD4,WNT2B,SMARCAD1,WNT7A,RIF1,FZD8,WNT8B,BMPR1B
6	1	TRUE	0.00631	203	229	17	0.074	0.084	KEGG:05205	keg	38	Proteoglycans in cancer	1	RAF1,TWIST2,MET,NANOG,ERBB3,RPS6KB1,WNT7B,PTK2,WNT10B,FLNB,WNT2B,WNT7A,FZD8,WNT8B,PRKCA,PRKCB,HPSE2
7	1	TRUE	0.00916	156	229	14	0.061	0.09	KEGG:04150	keg	5	mTOR signaling pathway	1	RAF1,NPRL3,RPS6KB1,WNT7B,WNT10B,ATP6V1G3,WNT2B,WNT7A,INS1,FZD8,WNT8B,PRKCA,PRKCB,FNIP2
8	1	TRUE	0.044	151	229	12	0.052	0.079	KEGG:05226	keg	25	Gastric cancer	1	RAF1,MET,RPS6KB1,RB1,WNT7B,WNT10B,SMAD4,WNT2B,WNT7A,FZD8,WNT8B,SHC1
9	1	TRUE	0.00619	154	229	15	0.066	0.097	KEGG:04390	keg	24	Hippo signaling pathway	1	FBXW11,LLGL1,STK3,WNT7B,WNT10B,SMAD4,WNT2B,TRP73,WNT7A,FZD8,WNT8B,LATS1,AMOT,BMPR1B,INADL
10	1	TRUE	0.044	149	229	12	0.052	0.081	KEGG:04310	keg	18	Wnt signaling pathway	1	FBXW11,WNT7B,WNT10B,SMAD4,NFATC2,WNT2B,WNT7A,SIAH1A,FZD8,WNT8B,PRKCA,PRKCB
