query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0323	10839	102	76	0.745	0.007	GO:0005622	CC	8	intracellular	1	FER,CKB,NDUFB2,MED25,FAM32A,GATAD1,SERTAD1,RBSN,DUSP14,SLC25A39,GIPC1,KIF3C,HN1,SERINC5,SFTPD,ATG3,NCBP2,ROCK1,OSBP,CDC37L1,TNKS2,PSMD13,RASSF3,ZAP70,KIF5C,NDUFA8,TMOD1,CDK11B,STAP1,TMEM106B,HERC3,UBA3,RUVBL1,YBX3,ZRANB1,STAR,DRC7,MAP1LC3B,MVB12A,TMED1,ELOVL4,MAN2C1,PIK3CB,PSMF1,ABHD10,EXOC3,YTHDC2,STOX1,ZFYVE28,WDR36,WDR26,SYNPO2L,APPL1,GFER,GATAD2B,RGS8,CXXC5,IRGM1,FLRT2,FAM110B,SERTAD2,ZSCAN29,DUSP7,RHOB,ADAM12,ST3GAL5,USF2,VWA8,0610040J01RIK,PHF5A,PCLO,HS6ST2,MRPL42,WDR35,UBXN1,RAB18
2	1	TRUE	0.0323	10736	102	76	0.745	0.007	GO:0044424	CC	8	intracellular part	2	FER,CKB,NDUFB2,MED25,FAM32A,GATAD1,SERTAD1,RBSN,DUSP14,SLC25A39,GIPC1,KIF3C,HN1,SERINC5,SFTPD,ATG3,NCBP2,ROCK1,OSBP,CDC37L1,TNKS2,PSMD13,RASSF3,ZAP70,KIF5C,NDUFA8,TMOD1,CDK11B,STAP1,TMEM106B,HERC3,UBA3,RUVBL1,YBX3,ZRANB1,STAR,DRC7,MAP1LC3B,MVB12A,TMED1,ELOVL4,MAN2C1,PIK3CB,PSMF1,ABHD10,EXOC3,YTHDC2,STOX1,ZFYVE28,WDR36,WDR26,SYNPO2L,APPL1,GFER,GATAD2B,RGS8,CXXC5,IRGM1,FLRT2,FAM110B,SERTAD2,ZSCAN29,DUSP7,RHOB,ADAM12,ST3GAL5,USF2,VWA8,0610040J01RIK,PHF5A,PCLO,HS6ST2,MRPL42,WDR35,UBXN1,RAB18
3	1	TRUE	0.0348	8141	102	62	0.608	0.008	GO:0005737	CC	8	cytoplasm	3	FER,CKB,NDUFB2,SERTAD1,RBSN,DUSP14,SLC25A39,GIPC1,KIF3C,SERINC5,SFTPD,ATG3,NCBP2,OSBP,CDC37L1,TNKS2,PSMD13,RASSF3,ZAP70,KIF5C,NDUFA8,TMOD1,STAP1,TMEM106B,HERC3,UBA3,RUVBL1,YBX3,ZRANB1,STAR,DRC7,MAP1LC3B,MVB12A,TMED1,ELOVL4,MAN2C1,PIK3CB,PSMF1,ABHD10,EXOC3,YTHDC2,STOX1,ZFYVE28,WDR26,SYNPO2L,APPL1,GFER,RGS8,CXXC5,IRGM1,FLRT2,FAM110B,SERTAD2,DUSP7,RHOB,ST3GAL5,VWA8,PCLO,MRPL42,WDR35,UBXN1,RAB18
4	1	TRUE	0.0335	8047	114	60	0.526	0.007	TF:M00189	tf	19	Factor: AP-2; motif: MKCCCSCNGGCG	1	CKB,ARHGEF40,GATAD1,SERTAD1,RBSN,DUSP14,SLC25A39,GIPC1,STX7,KIF3C,HN1,SERINC5,ATG3,ROCK1,OSBP,CDC37L1,TNKS2,TLL2,PCYT2,PSMD13,RASSF3,SLC35F5,KIF5C,TMOD1,MORN1,D5ERTD579E,YBX3,LRP6,LRFN1,MAP1LC3B,MVB12A,ELOVL4,PIK3CB,1700102P08RIK,ABHD10,XKR6,SUPT16,STOX1,WDR36,WDR26,PLCL2,SYNPO2L,CKAP5,GFER,GATAD2B,SIPA1L1,HEBP1,4931422A03RIK,CXXC5,PHF3,SERTAD2,ZSCAN29,PPP1R37,UBE2QL1,TANC2,RHOB,USF2,PHF5A,PCLO,HS6ST2
5	1	TRUE	0.0335	8047	114	60	0.526	0.007	TF:M00189_0	tf	19	Factor: AP-2; motif: MKCCCSCNGGCG; match class: 0	2	CKB,ARHGEF40,GATAD1,SERTAD1,RBSN,DUSP14,SLC25A39,GIPC1,STX7,KIF3C,HN1,SERINC5,ATG3,ROCK1,OSBP,CDC37L1,TNKS2,TLL2,PCYT2,PSMD13,RASSF3,SLC35F5,KIF5C,TMOD1,MORN1,D5ERTD579E,YBX3,LRP6,LRFN1,MAP1LC3B,MVB12A,ELOVL4,PIK3CB,1700102P08RIK,ABHD10,XKR6,SUPT16,STOX1,WDR36,WDR26,PLCL2,SYNPO2L,CKAP5,GFER,GATAD2B,SIPA1L1,HEBP1,4931422A03RIK,CXXC5,PHF3,SERTAD2,ZSCAN29,PPP1R37,UBE2QL1,TANC2,RHOB,USF2,PHF5A,PCLO,HS6ST2
6	1	TRUE	0.0439	1851	114	21	0.184	0.011	TF:M01001	tf	25	Factor: DEAF1; motif: NCGNNYTCGGGNRTTTCCGDARNNN	1	GATAD1,SERTAD1,SNW1,ATG3,OSBP,FEN1,TNKS2,PCYT2,KIF5C,CDK11B,STOX1,WDR36,WDR26,CXXC5,FAM110B,ZSCAN29,UBE2QL1,TANC2,USF2,PHF5A,WDR35
7	1	TRUE	0.0439	1851	114	21	0.184	0.011	TF:M01001_0	tf	25	Factor: DEAF1; motif: NCGNNYTCGGGNRTTTCCGDARNNN; match class: 0	2	GATAD1,SERTAD1,SNW1,ATG3,OSBP,FEN1,TNKS2,PCYT2,KIF5C,CDK11B,STOX1,WDR36,WDR26,CXXC5,FAM110B,ZSCAN29,UBE2QL1,TANC2,USF2,PHF5A,WDR35
8	1	TRUE	0.0446	6558	114	51	0.447	0.008	TF:M05407	tf	22	Factor: Klf17; motif: NGGGCGG	1	CKB,ARHGEF40,GATAD1,SERTAD1,EVI5,SLC25A39,GIPC1,STX7,KIF3C,HN1,SERINC5,ROCK1,OSBP,CDC37L1,PCYT2,RASSF3,ZAP70,SLC35F5,NDUFA8,4930579G24RIK,CDK11B,D5ERTD579E,RUVBL1,PIK3CB,1700102P08RIK,ABHD10,EXOC3,XKR6,SUPT16,ZFYVE28,CHPF2,WDR26,PLCL2,LRP1,APPL1,HEBP1,4931422A03RIK,CXXC5,IRGM1,SERTAD2,UBE2QL1,TANC2,DUSP7,ST3GAL5,SAMD12,0610040J01RIK,PHF5A,PCLO,WDR35,UBXN1,RAB18
9	1	TRUE	0.0446	6558	114	51	0.447	0.008	TF:M05407_0	tf	22	Factor: Klf17; motif: NGGGCGG; match class: 0	2	CKB,ARHGEF40,GATAD1,SERTAD1,EVI5,SLC25A39,GIPC1,STX7,KIF3C,HN1,SERINC5,ROCK1,OSBP,CDC37L1,PCYT2,RASSF3,ZAP70,SLC35F5,NDUFA8,4930579G24RIK,CDK11B,D5ERTD579E,RUVBL1,PIK3CB,1700102P08RIK,ABHD10,EXOC3,XKR6,SUPT16,ZFYVE28,CHPF2,WDR26,PLCL2,LRP1,APPL1,HEBP1,4931422A03RIK,CXXC5,IRGM1,SERTAD2,UBE2QL1,TANC2,DUSP7,ST3GAL5,SAMD12,0610040J01RIK,PHF5A,PCLO,WDR35,UBXN1,RAB18
10	1	TRUE	0.0269	6341	114	51	0.447	0.008	TF:M08005	tf	14	Factor: Tcfl5; motif: NNCNCGNGNN	1	FER,CKB,DUSP14,SLC25A39,GIPC1,ATG3,ROCK1,FEN1,CDC37L1,TNKS2,PCYT2,RASSF3,SLC35F5,NDUFA8,MORN1,CDK11B,HTRA3,D5ERTD579E,TMEM106B,YBX3,LRP6,LRFN1,DRC7,MAP1LC3B,TMED1,ELOVL4,PIK3CB,1700102P08RIK,ABHD10,YTHDC2,SUPT16,STOX1,PLCL2,CKAP5,GFER,GATAD2B,SIPA1L1,HEBP1,FLRT2,PHF3,SERTAD2,TANC2,DUSP7,RHOB,ADAM12,ZFP459,ST3GAL5,USF2,PCLO,HS6ST2,MRPL42
