query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0418	583	450	26	0.058	0.045	GO:0000904	BP	59	cell morphogenesis involved in differentiation	1	GOLGA2,PSEN1,NTN1,TTC8,EVL,LRRC16A,SOD1,VLDLR,NFASC,STXBP1,GRIN1,RUFY3,PXN,PTPRO,CDH11,CCK,TBR1,KIDINS220,MICALL2,ZFP365,S100A10,TUBB2B,C1GALT1C1,FEZ2,KALRN,POU3F2
2	1	TRUE	0.0423	4796	450	138	0.307	0.029	GO:0032502	BP	158	developmental process	1	MNT,WDR77,TCF7,RTCB,EMD,PPARD,GOLGA2,DVL3,SNRNP200,DNMT1,PSAP,WARS2,PRKACB,CRIP2,D130043K22RIK,NXF1,HSD11B1,RAB11FIP4,VEZF1,PSEN1,KREMEN1,DBNL,MYOCD,NTN1,TTC8,EVL,WARS,LRRC16A,SFXN1,PITX1,PDCD6,HCN1,IL6ST,BMP4,ANK,ASAP1,SOD1,CD4,RHAG,SATB1,EIF2AK2,NRXN1,MSH2,CELF4,RAX,GNAQ,TNFRSF25,VLDLR,PIAS2,HDAC4,NFASC,AHCTF1,STXBP1,GSN,GRIN1,MARCH7,SEMA6D,CDC25B,AURKA,POSTN,NPY2R,FUBP1,CALB1,NPR2,KCNAB2,ERRFI1,EVC,PDGFRA,RUFY3,PXN,PTPRO,PGLYRP1,TACC2,TUB,MTM1,CDH11,CRISPLD2,CDH5,DDX6,TPM1,CCK,FKBP1A,HSF4,POGLUT1,ATM,PBX2,DBN1,MDGA2,DAPK3,TBR1,KRT17,KIDINS220,P2RY12,GPI1,FGF1,AGO2,MICALL2,KDM6A,RIMS2,ZFP365,IRS2,SPNS2,C3AR1,EIF4H,ULK4,PRKD2,ARHGAP12,MBP,S100A10,CTF1,SHC1,YPEL3,PCDHB12,TUBB2B,POFUT1,TET1,VSTM2A,HEXIM1,C1GALT1C1,YWHAG,MYH7,GPR21,MDM4,GPC3,FEZ2,SETD3,RIT2,MAP2K5,FAM57B,NHS,KALRN,SRRM4,MSI2,TOP1,CEBPD,HMGCS1,POU3F2,PCDHA9
3	1	TRUE	0.0421	431	450	21	0.047	0.049	GO:0099536	BP	9	synaptic signaling	1	PSEN1,PLK2,SYNGR1,GRM2,SLC5A7,NRXN1,CELF4,STXBP1,GRIN1,P2RX3,NPY2R,GUCY1B3,CALB1,PARK7,SLC6A1,PATE4,RIMS2,PCDHB12,PNOC,YWHAG,KALRN
4	1	TRUE	0.0421	431	450	21	0.047	0.049	GO:0099537	BP	9	trans-synaptic signaling	2	PSEN1,PLK2,SYNGR1,GRM2,SLC5A7,NRXN1,CELF4,STXBP1,GRIN1,P2RX3,NPY2R,GUCY1B3,CALB1,PARK7,SLC6A1,PATE4,RIMS2,PCDHB12,PNOC,YWHAG,KALRN
5	1	TRUE	0.0411	429	450	21	0.047	0.049	GO:0098916	BP	9	anterograde trans-synaptic signaling	3	PSEN1,PLK2,SYNGR1,GRM2,SLC5A7,NRXN1,CELF4,STXBP1,GRIN1,P2RX3,NPY2R,GUCY1B3,CALB1,PARK7,SLC6A1,PATE4,RIMS2,PCDHB12,PNOC,YWHAG,KALRN
6	1	TRUE	0.0411	429	450	21	0.047	0.049	GO:0007268	BP	9	chemical synaptic transmission	4	PSEN1,PLK2,SYNGR1,GRM2,SLC5A7,NRXN1,CELF4,STXBP1,GRIN1,P2RX3,NPY2R,GUCY1B3,CALB1,PARK7,SLC6A1,PATE4,RIMS2,PCDHB12,PNOC,YWHAG,KALRN
7	1	TRUE	0.0464	2402	450	77	0.171	0.032	GO:0010646	BP	9	regulation of cell communication	1	MNT,EMD,PPARD,DVL3,PSAP,PRKACB,SLC25A5,ARRB1,PSEN1,KREMEN1,MYOCD,PUM2,PER1,PDCD6,PLK2,IL6ST,BMP4,GOLPH3,SYNGR1,MGRN1,SOD1,GRM2,CD4,EIF2AK2,NRXN1,CELF4,LARS,FAM89B,PIAS2,MAP3K7CL,WDR24,ATP2B4,STXBP1,GSN,GRIN1,P2RX3,POSTN,GUCY1B3,CALB1,PARK7,ERRFI1,EVC,PDGFRA,PXN,TFR2,PTPRO,MTM1,PATE4,BCL2L10,UBA5,FKBP1A,POGLUT1,ATM,DAPK3,ARL6IP5,FAM110C,FGF1,RIMS2,NENF,IRS2,ULK4,PRKD2,ARHGAP12,CTF1,SHC1,POFUT1,HEXIM1,YWHAG,GPR21,MLLT11,GPC3,RIT2,RNF14,KALRN,RPL23,UBE2N,VIMP
8	1	TRUE	0.0237	232	450	15	0.033	0.065	GO:0099177	BP	9	regulation of trans-synaptic signaling	2	PSEN1,PLK2,SYNGR1,GRM2,NRXN1,CELF4,STXBP1,GRIN1,P2RX3,GUCY1B3,CALB1,PATE4,RIMS2,YWHAG,KALRN
9	1	TRUE	0.0237	232	450	15	0.033	0.065	GO:0050804	BP	9	modulation of chemical synaptic transmission	3	PSEN1,PLK2,SYNGR1,GRM2,NRXN1,CELF4,STXBP1,GRIN1,P2RX3,GUCY1B3,CALB1,PATE4,RIMS2,YWHAG,KALRN
10	1	TRUE	0.0245	701	450	31	0.069	0.044	GO:0051338	BP	1	regulation of transferase activity	1	DVL3,PSEN1,MYOCD,WARS,BMP4,PABPN1,SOD1,CD4,EIF2AK2,NRXN1,GNAQ,VLDLR,MAP3K7CL,PPM1F,ATP2B4,CDC25B,CCNC,PARK7,ERRFI1,PDGFRA,PXN,KIDINS220,FGF1,IRS2,TSPYL2,SHC1,HEXIM1,MAP3K19,MAP2K5,RPL23,UBE2N
11	1	TRUE	0.0248	609	450	28	0.062	0.046	GO:0043549	BP	1	regulation of kinase activity	2	DVL3,PSEN1,MYOCD,WARS,BMP4,SOD1,CD4,EIF2AK2,NRXN1,GNAQ,VLDLR,MAP3K7CL,PPM1F,ATP2B4,CDC25B,CCNC,PARK7,ERRFI1,PDGFRA,PXN,KIDINS220,FGF1,IRS2,TSPYL2,SHC1,HEXIM1,MAP3K19,MAP2K5
12	1	TRUE	0.0276	554	450	26	0.058	0.047	GO:0045859	BP	1	regulation of protein kinase activity	1	DVL3,PSEN1,MYOCD,WARS,BMP4,SOD1,CD4,EIF2AK2,NRXN1,GNAQ,VLDLR,MAP3K7CL,PPM1F,ATP2B4,CDC25B,CCNC,PARK7,ERRFI1,PXN,KIDINS220,FGF1,TSPYL2,SHC1,HEXIM1,MAP3K19,MAP2K5
13	1	TRUE	0.0238	827	450	35	0.078	0.042	GO:0043085	BP	166	positive regulation of catalytic activity	1	TBC1D8,DVL3,POR,PSEN1,PDCD6,BMP4,PABPN1,SOD1,CD4,EIF2AK2,NRXN1,MSH2,LARS,VLDLR,MAP3K7CL,PPM1F,ATP2B4,GSN,CDC25B,CCNC,PARK7,PDGFRA,PXN,ARHGAP6,ARL6IP5,FGF1,PRKD2,MBP,S100A10,SHC1,MAP3K19,MAP2K5,ARL1,KALRN,UBE2N
14	1	TRUE	0.0331	2357	450	77	0.171	0.033	GO:0051239	BP	154	regulation of multicellular organismal process	1	WDR77,PPARD,GOLGA2,DVL3,PRKACB,D130043K22RIK,ATP1A2,ARRB1,PSEN1,KREMEN1,MYOCD,PUM2,PER1,NTN1,EVL,WARS,PDCD6,IL6ST,BMP4,ANK,ASAP1,SOD1,CD4,AKAP8,EIF2AK2,NRXN1,MSH2,CELF4,VLDLR,PIAS2,ATP5A1,PPM1F,HDAC4,ATP2B4,GRIN1,MARCH7,AURKA,NPR2,PARK7,ERRFI1,LRPAP1,PDGFRA,RUFY3,PXN,PTPRO,PGLYRP1,MTM1,CDH5,DDX6,TPM1,GUCY1A3,POGLUT1,TBR1,KCNE3,KRT17,P2RY12,FGF1,RIMS2,ZFP365,C3AR1,KCND3,ULK4,PRKD2,MBP,TUBB2B,YWHAG,MYH7,GPR21,MDM4,KCNN2,GPC3,RIT2,CTNNA3,KALRN,CEBPD,VIMP,POU3F2
