query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00935	532	830	40	0.048	0.075	GO:0007610	BP	211	behavior	1	GM2A,NKX2-1,PRKAR2B,CACNA1B,EIF2AK4,NCOA2,SPTBN4,ETV5,ATAD1,PTGDS,CRHR1,GRM1,ADARB1,VDAC1,PAFAH1B1,AMPH,CARTPT,ADCY5,NRXN1,NPC1,STRBP,CHL1,TSX,IDO1,ZIC1,GPR19,DCDC2A,NPY1R,POMK,TBCE,NEGR1,INPP5F,CREBRF,AGTR1A,GRM5,MAFG,GMFB,SEPP1,BHLHB9,NTF5
2	1	TRUE	0.0216	218	830	20	0.024	0.092	GO:0007626	BP	211	locomotory behavior	2	NKX2-1,CACNA1B,NCOA2,SPTBN4,ETV5,GRM1,PAFAH1B1,ADCY5,NPC1,CHL1,IDO1,ZIC1,NPY1R,TBCE,NEGR1,INPP5F,GRM5,GMFB,SEPP1,NTF5
3	1	TRUE	0.0146	10	830	4	0.005	0.4	GO:0002921	BP	161	negative regulation of humoral immune response	1	PTPN6,CR1L,FOXJ1,SUSD4
4	1	TRUE	0.0421	7	830	3	0.004	0.429	GO:0002713	BP	161	negative regulation of B cell mediated immunity	1	PTPN6,FOXJ1,SUSD4
5	1	TRUE	0.0421	7	830	3	0.004	0.429	GO:0002890	BP	161	negative regulation of immunoglobulin mediated immune response	2	PTPN6,FOXJ1,SUSD4
6	1	TRUE	0.00327	3	830	3	0.004	1	GO:0002924	BP	161	negative regulation of humoral immune response mediated by circulating immunoglobulin	1	PTPN6,FOXJ1,SUSD4
7	1	TRUE	0.0488	658	830	43	0.052	0.065	GO:0019752	BP	34	carboxylic acid metabolic process	1	PRKAR2B,AKT2,MRI1,PEX5,ACTN3,PTGDS,MDH2,PFKL,ACSL6,STAT5B,ALDH6A1,NDUFS6,SLC25A17,ACO2,MUT,AARS2,NPC1,CD74,P4HB,ECHS1,PHYH,EGF,TARS2,ACOT7,MTHFR,PPARGC1A,ACADS,ACSM2,IDO1,KARS,QARS,PFKM,OGT,WDTC1,PTGS1,CYP2J6,PHGDH,NANP,UGT1A6A,SLC27A4,ACAT3,CYP2D9,PTGR2
8	1	TRUE	0.0483	414	830	30	0.036	0.072	GO:0032787	BP	34	monocarboxylic acid metabolic process	2	PRKAR2B,AKT2,PEX5,ACTN3,PTGDS,PFKL,ACSL6,STAT5B,NDUFS6,SLC25A17,NPC1,CD74,ECHS1,PHYH,ACOT7,PPARGC1A,ACADS,ACSM2,IDO1,PFKM,OGT,WDTC1,PTGS1,CYP2J6,PHGDH,UGT1A6A,SLC27A4,ACAT3,CYP2D9,PTGR2
9	1	TRUE	2.19e-07	4914	830	282	0.34	0.057	GO:0071840	BP	7	cellular component organization or biogenesis	1	ACVR1B,ITGB7,NKX2-1,SPAG5,CELF2,STARD3NL,BRD8,AKT2,DNAJA3,PHB2,PTPN6,CNN2,NES,PEX5,EIF2AK4,UBQLN1,WBSCR22,NAPA,STX1A,LRRC8A,CCT4,TRPM2,DMAP1,BCR,ICK,ZMYND10,CACNA2D2,SPTBN4,WNT8A,ETV5,GFOD2,ATAD1,TSG101,STRIP1,E2F4,SURF4,TRAPPC2L,WNT11,ATXN10,TOP2B,CRLF3,MMP9,PLTP,CRK,SGK2,VMP1,GPX3,ANXA6,KANSL1,CXCL16,YWHAH,CACNG2,HSP90B1,H2AFY2,ACTR2,COL6A2,ADARB1,PFKL,PPP2CA,VDAC1,IGFBP3,RTN4,CDC27,PAFAH1B1,CACNB1,PPM1A,PACS2,CHGA,TGFB3,MAK,PDLIM7,NDUFS6,COL4A3BP,AP3B1,ELP3,HR,NGDN,YWHAZ,LRRC6,BOP1,DNM1L,AP2M1,TRA2B,1110004E09RIK,ENAH,ACHE,AARS2,VEGFA,CRYAA,NRXN1,COX7A2L,RIOK3,NPC1,ARAP3,PMAIP1,CD74,CAMK2A,PRPF19,ARL2,SF1,RPS6KA4,EIF3A,VWA2,ARHGDIA,KCNIP2,CDK2,EPS8L2,SOX17,WDR75,WDR12,ORMDL1,TMEFF2,NGEF,NVL,PIP4K2A,ODF2,OLFM1,ACVR1C,DAB2IP,TRAF2,ANAPC2,HNMT,FRZB,CHRNA1,HSD17B12,NAPB,RAB22A,CHMP4C,MRGBP,EXOSC8,PFN2,TPM3,EFNA1,EGF,EFNA4,ASH1L,ARHGEF2,LMO4,PTPRD,RAD54L,CCDC28B,STMN1,TEKT2,MEAF6,STX12,DFFA,MTOR,MTHFR,MFN2,PPARGC1A,UBE2K,ATP2A2,ACTB,COL1A2,ACTL6B,MCM7,ISY1,CHL1,RET,RPL28,MPHOSPH10,PSMD8,RPS3,PARVA,STX1B,TPP1,ANKS4B,BCCIP,CUL4B,HDAC6,CDKL5,ZMYM3,AMELX,CBLN1,SMAD1,NUDT21,DCTN1,CCSAP,RASGRF1,SNX14,ANK2,PFKM,STK36,NDN,LRRC24,OGT,FOXJ1,SETD5,SETMAR,LEPROT,PLK5,YTHDC1,DCDC2A,CENPT,ARHGEF4,BCLAF1,WDTC1,ORMDL3,ATG5,F11R,SMG6,ATG9B,RPF2,IFT172,ASCC3,SMURF1,TBCE,WDR45,SLX4,CLSTN1,NEGR1,BUB1B,BPTF,COL16A1,IQSEC3,RFX3,KIRREL,ELMOD1,INPP5F,OSCP1,DISC1,TMEM11,S1PR2,PCDHB14,CRB3,CNR1,MEGF8,COX19,SDPR,MCMDC2,GJB2,HMGA1,MRPS7,ATMIN,HES5,H1FNT,ARID4A,DNAJB8,GRM5,RLF,GJA1,MICAL3,TBC1D22A,JUN,ARHGEF15,DIS3L2,PHGDH,TCF4,CHD8,ATPIF1,CNTN1,EP300,AAK1,GAPDH,RPL23A,VPS28,BCAS3,FLOT1,HNRNPC,PLA2G16,H3F3A,RRP1,BTBD3,ERBB2,NCS1,ACTG1,RPL35,ARIH2,KRT2,ANO6,KNDC1,LSM14A,TCP1,SORT1,FCHO1,DGKD,BHLHB9,RHOG,NTF5,1700034I23RIK,RAB7,LIME1
10	1	TRUE	3.08e-05	2243	830	142	0.171	0.063	GO:0044085	BP	7	cellular component biogenesis	2	SPAG5,CELF2,PEX5,UBQLN1,WBSCR22,NAPA,STX1A,TRPM2,ICK,ZMYND10,TSG101,E2F4,TRAPPC2L,WNT11,ATXN10,CRK,VMP1,GPX3,ANXA6,HSP90B1,ACTR2,COL6A2,PFKL,PPP2CA,RTN4,PAFAH1B1,PPM1A,PACS2,CHGA,MAK,NGDN,YWHAZ,LRRC6,BOP1,DNM1L,TRA2B,1110004E09RIK,ACHE,AARS2,VEGFA,CRYAA,NRXN1,COX7A2L,RIOK3,CD74,PRPF19,ARL2,EIF3A,VWA2,CDK2,EPS8L2,WDR75,WDR12,ORMDL1,TMEFF2,NVL,PIP4K2A,ODF2,OLFM1,DAB2IP,TRAF2,NAPB,CHMP4C,EXOSC8,PFN2,ARHGEF2,LMO4,PTPRD,CCDC28B,STMN1,TEKT2,STX12,MTOR,MFN2,UBE2K,COL1A2,ISY1,MPHOSPH10,PSMD8,RPS3,PARVA,STX1B,ANKS4B,BCCIP,HDAC6,AMELX,CBLN1,SMAD1,NUDT21,DCTN1,CCSAP,PFKM,STK36,LRRC24,FOXJ1,YTHDC1,DCDC2A,CENPT,ARHGEF4,BCLAF1,ORMDL3,ATG5,ATG9B,RPF2,IFT172,SMURF1,TBCE,WDR45,SLX4,CLSTN1,COL16A1,RFX3,KIRREL,DISC1,S1PR2,PCDHB14,COX19,MCMDC2,GJB2,HMGA1,MRPS7,ATMIN,DNAJB8,JUN,ARHGEF15,DIS3L2,TCF4,ATPIF1,RPL23A,BCAS3,FLOT1,H3F3A,RRP1,ACTG1,RPL35,ANO6,LSM14A,FCHO1,DGKD,BHLHB9,RHOG,RAB7
