query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0021	4796	868	261	0.301	0.054	GO:0032502	BP	14	developmental process	1	FGF23,EPN2,KCTD10,LGALS9,HOXC6,CSNK1G2,DLL3,PAF1,KLF5,SLC1A3,BLOC1S6,VAX1,TEK,CRYBA2,PPP2R1A,HAPLN4,HOMER1,BCL2L1,ARID1A,FZD3,POU2F2,NFIB,RPL10,GPRC5B,WNT3A,ATRAID,MERTK,BLK,STC1,TTBK1,ARNT2,CD34,MAPKAPK2,MED24,TAOK1,CACNB4,FIS1,LHX9,SEC63,WASF1,CTGF,LGR5,MDM2,1810043G02RIK,MAPK9,ADCY1,XBP1,TRIB2,BCAP29,UNK,ATL1,CAP2,CTSL,SDHA,RHOBTB3,NSUN2,NEFL,DAD1,ENPP2,CSNK1E,MAPK8IP2,RIPPLY3,RCAN1,WNT1,TWF2,HES7,CPNE5,CSNK2B,LIMS2,SPIRE1,RBP4,ATP5B,NAB2,USP33,NPTX1,MKLN1,ITGB1,KLF7,DES,MTERF4,GPR37L1,LRRN2,CAPN2,CENPF,LAMB3,PTF1A,GFI1B,LIN7C,COPS2,ITPKA,RASSF2,TTL,EDN3,MBNL1,RAB13,LEF1,LMNA,SEMA4A,ACP6,METTL14,CISD2,UBE2J1,ACO1,CNTFR,UNC13B,HOOK1,YBX1,EPHA8,EPHB2,SEMA3A,ADD1,EIF2B4,SPP1,CDK2AP1,RADIL,FSCN1,LHX5,N4BP2L2,ETV6,STIM1,ELF4,COX7B,ITM2A,PAK3,PIR,GPM6A,SLIT2,EDNRA,IRX6,PLLP,TRADD,GNPAT,THY1,RDX,PLET1,FEZ1,NEDD4,MNS1,PTGS2,MYD88,CEP63,EPHB1,MST1,MALT1,CCDC88A,PPP1R9A,NUP93,FOXJ3,RESP18,PHLDB2,GABRB3,CTNND1,EDA2R,SSH3,CACNA1A,OMA1,WDR78,NKX6-1,ARX,SBNO2,PALM,SYT1,DENND5A,RAB3GAP1,PRICKLE1,SNAPC4,CNOT1,ETL4,TTC7,HOOK3,CTBP1,TNFRSF23,LZTS3,CPE,GALNT11,HOXA5,OSTM1,TRPC4AP,FIG4,HOXB4,PPP1R9B,ADRM1,PRRC2B,PICALM,MCPH1,CITED2,ZMYM5,DAAM2,MYBBP1A,NRL,SIX5,RPS19,TRIM62,CMTM8,MAP6D1,PIK3R1,DLX1,IGSF3,SAFB2,MAPK6,AQP11,SERPINB6B,ONECUT1,CAMSAP3,DND1,ST7L,ADRB2,NPAS4,E2F8,GPR68,CATSPER4,DACT2,CDK5R1,EFNA5,AFF4,TIFAB,CRH,RAP2C,GPR171,CACNA1C,RAP2A,GAS1,CAMK2D,NUDCD3,ACTN4,EPM2A,CD248,JMJD6,ARHGAP35,TMOD3,NKX2-9,HSPA2,GTF2I,NACA,RPS7,QK,RAI1,NRG1,MAPK1,RPS15,IMPAD1,ANKRD23,MACROD2,DAZAP1,HBA-A1,TBPL1,BSCL2,PSMB11,GRCC10,IL11RA1,NRBP2,SELT,BNIP3,SLC8A3,TRAPPC2,NAP1L2,BCL2L2,BLOC1S1,MYL6,ERDR1,PCDHA8
2	1	TRUE	0.00281	4482	868	245	0.282	0.055	GO:0048856	BP	14	anatomical structure development	2	FGF23,EPN2,KCTD10,LGALS9,HOXC6,CSNK1G2,DLL3,PAF1,KLF5,SLC1A3,BLOC1S6,VAX1,TEK,CRYBA2,PPP2R1A,HAPLN4,HOMER1,BCL2L1,ARID1A,FZD3,POU2F2,NFIB,RPL10,GPRC5B,WNT3A,ATRAID,MERTK,STC1,TTBK1,ARNT2,CD34,MAPKAPK2,TAOK1,CACNB4,FIS1,LHX9,SEC63,WASF1,CTGF,LGR5,MDM2,1810043G02RIK,MAPK9,ADCY1,XBP1,UNK,ATL1,CAP2,CTSL,SDHA,RHOBTB3,NSUN2,NEFL,DAD1,ENPP2,CSNK1E,MAPK8IP2,RIPPLY3,RCAN1,WNT1,TWF2,HES7,CPNE5,CSNK2B,LIMS2,SPIRE1,RBP4,ATP5B,NAB2,USP33,NPTX1,MKLN1,ITGB1,KLF7,DES,MTERF4,GPR37L1,LRRN2,CAPN2,CENPF,PTF1A,GFI1B,LIN7C,COPS2,ITPKA,RASSF2,TTL,EDN3,MBNL1,RAB13,LEF1,LMNA,SEMA4A,ACP6,METTL14,CISD2,UBE2J1,ACO1,CNTFR,UNC13B,HOOK1,YBX1,EPHA8,EPHB2,SEMA3A,ADD1,EIF2B4,CDK2AP1,RADIL,FSCN1,LHX5,N4BP2L2,ETV6,STIM1,COX7B,ITM2A,PAK3,PIR,GPM6A,SLIT2,EDNRA,IRX6,PLLP,TRADD,GNPAT,THY1,RDX,PLET1,FEZ1,NEDD4,MNS1,PTGS2,MYD88,CEP63,EPHB1,MST1,MALT1,CCDC88A,PPP1R9A,NUP93,FOXJ3,RESP18,PHLDB2,GABRB3,CTNND1,EDA2R,SSH3,CACNA1A,OMA1,WDR78,NKX6-1,ARX,SBNO2,PALM,SYT1,DENND5A,RAB3GAP1,PRICKLE1,CNOT1,ETL4,TTC7,HOOK3,TNFRSF23,LZTS3,CPE,GALNT11,HOXA5,OSTM1,TRPC4AP,FIG4,HOXB4,PPP1R9B,ADRM1,PICALM,MCPH1,CITED2,ZMYM5,DAAM2,NRL,SIX5,RPS19,TRIM62,CMTM8,MAP6D1,PIK3R1,DLX1,IGSF3,SAFB2,MAPK6,AQP11,SERPINB6B,ONECUT1,CAMSAP3,DND1,ADRB2,NPAS4,E2F8,GPR68,CATSPER4,DACT2,CDK5R1,EFNA5,AFF4,TIFAB,CRH,RAP2C,GPR171,CACNA1C,RAP2A,GAS1,CAMK2D,ACTN4,EPM2A,CD248,JMJD6,ARHGAP35,TMOD3,NKX2-9,HSPA2,GTF2I,NACA,RPS7,QK,RAI1,NRG1,MAPK1,IMPAD1,ANKRD23,MACROD2,DAZAP1,HBA-A1,TBPL1,PSMB11,GRCC10,IL11RA1,NRBP2,SELT,BNIP3,SLC8A3,TRAPPC2,NAP1L2,BCL2L2,BLOC1S1,MYL6,PCDHA8
3	1	TRUE	0.0244	4038	868	215	0.248	0.053	GO:0007275	BP	14	multicellular organism development	3	FGF23,EPN2,KCTD10,LGALS9,HOXC6,DLL3,PAF1,KLF5,SLC1A3,BLOC1S6,VAX1,TEK,CRYBA2,HAPLN4,HOMER1,BCL2L1,ARID1A,FZD3,POU2F2,NFIB,RPL10,GPRC5B,WNT3A,ATRAID,MERTK,STC1,ARNT2,CD34,MAPKAPK2,TAOK1,CACNB4,LHX9,SEC63,WASF1,CTGF,LGR5,MDM2,MAPK9,ADCY1,XBP1,UNK,ATL1,CTSL,SDHA,RHOBTB3,NSUN2,NEFL,DAD1,MAPK8IP2,RIPPLY3,RCAN1,WNT1,TWF2,HES7,CPNE5,CSNK2B,LIMS2,SPIRE1,RBP4,ATP5B,NAB2,USP33,NPTX1,ITGB1,KLF7,DES,MTERF4,GPR37L1,LRRN2,CAPN2,CENPF,PTF1A,GFI1B,COPS2,ITPKA,RASSF2,TTL,EDN3,MBNL1,RAB13,LEF1,LMNA,SEMA4A,ACP6,METTL14,CISD2,ACO1,CNTFR,UNC13B,YBX1,EPHA8,EPHB2,SEMA3A,ADD1,EIF2B4,CDK2AP1,LHX5,N4BP2L2,ETV6,STIM1,COX7B,ITM2A,PAK3,PIR,GPM6A,SLIT2,EDNRA,IRX6,PLLP,TRADD,GNPAT,THY1,FEZ1,NEDD4,MNS1,PTGS2,EPHB1,MST1,MALT1,CCDC88A,PPP1R9A,NUP93,RESP18,PHLDB2,GABRB3,CTNND1,SSH3,CACNA1A,WDR78,NKX6-1,ARX,SBNO2,PALM,SYT1,DENND5A,RAB3GAP1,PRICKLE1,CNOT1,ETL4,TTC7,HOOK3,TNFRSF23,LZTS3,CPE,GALNT11,HOXA5,OSTM1,TRPC4AP,FIG4,HOXB4,PPP1R9B,ADRM1,PICALM,MCPH1,CITED2,ZMYM5,DAAM2,NRL,SIX5,RPS19,TRIM62,CMTM8,MAP6D1,PIK3R1,DLX1,IGSF3,SAFB2,MAPK6,AQP11,SERPINB6B,ONECUT1,CAMSAP3,ADRB2,NPAS4,E2F8,GPR68,DACT2,CDK5R1,EFNA5,TIFAB,CRH,GPR171,CACNA1C,RAP2A,GAS1,CAMK2D,EPM2A,CD248,JMJD6,ARHGAP35,TMOD3,NKX2-9,GTF2I,NACA,RPS7,QK,RAI1,NRG1,MAPK1,IMPAD1,MACROD2,DAZAP1,HBA-A1,PSMB11,GRCC10,IL11RA1,NRBP2,SELT,SLC8A3,TRAPPC2,NAP1L2,BCL2L2,BLOC1S1,MYL6,PCDHA8
4	1	TRUE	0.0248	3764	868	202	0.233	0.054	GO:0048731	BP	14	system development	3	FGF23,EPN2,KCTD10,LGALS9,HOXC6,DLL3,PAF1,KLF5,SLC1A3,BLOC1S6,VAX1,TEK,CRYBA2,HAPLN4,HOMER1,BCL2L1,ARID1A,FZD3,POU2F2,NFIB,RPL10,GPRC5B,WNT3A,ATRAID,MERTK,STC1,ARNT2,CD34,MAPKAPK2,TAOK1,CACNB4,LHX9,SEC63,WASF1,CTGF,LGR5,MDM2,MAPK9,ADCY1,XBP1,UNK,ATL1,CTSL,SDHA,RHOBTB3,NSUN2,NEFL,MAPK8IP2,RIPPLY3,RCAN1,WNT1,TWF2,HES7,CPNE5,LIMS2,SPIRE1,RBP4,ATP5B,NAB2,USP33,NPTX1,ITGB1,KLF7,DES,MTERF4,GPR37L1,LRRN2,CENPF,PTF1A,GFI1B,COPS2,ITPKA,RASSF2,TTL,EDN3,MBNL1,RAB13,LEF1,LMNA,SEMA4A,ACP6,METTL14,CNTFR,UNC13B,EPHA8,EPHB2,SEMA3A,ADD1,EIF2B4,LHX5,N4BP2L2,ETV6,STIM1,COX7B,ITM2A,PAK3,PIR,GPM6A,SLIT2,EDNRA,IRX6,PLLP,TRADD,GNPAT,THY1,FEZ1,NEDD4,PTGS2,EPHB1,MST1,MALT1,CCDC88A,PPP1R9A,NUP93,PHLDB2,GABRB3,CTNND1,SSH3,CACNA1A,WDR78,NKX6-1,ARX,SBNO2,PALM,SYT1,DENND5A,RAB3GAP1,PRICKLE1,ETL4,TTC7,HOOK3,TNFRSF23,LZTS3,CPE,GALNT11,HOXA5,OSTM1,TRPC4AP,FIG4,HOXB4,PPP1R9B,ADRM1,PICALM,MCPH1,CITED2,NRL,SIX5,RPS19,TRIM62,CMTM8,MAP6D1,PIK3R1,DLX1,IGSF3,SAFB2,MAPK6,AQP11,SERPINB6B,ONECUT1,ADRB2,NPAS4,E2F8,GPR68,DACT2,CDK5R1,EFNA5,TIFAB,CRH,GPR171,CACNA1C,RAP2A,GAS1,CAMK2D,EPM2A,CD248,JMJD6,ARHGAP35,TMOD3,NKX2-9,GTF2I,NACA,RPS7,QK,RAI1,NRG1,MAPK1,IMPAD1,MACROD2,DAZAP1,HBA-A1,PSMB11,GRCC10,IL11RA1,NRBP2,SELT,SLC8A3,TRAPPC2,NAP1L2,BCL2L2,BLOC1S1,MYL6,PCDHA8
5	1	TRUE	0.00608	1759	868	109	0.126	0.062	GO:0007399	BP	14	nervous system development	4	DLL3,SLC1A3,BLOC1S6,VAX1,HAPLN4,ARID1A,FZD3,NFIB,GPRC5B,WNT3A,ARNT2,TAOK1,LHX9,WASF1,MAPK9,ADCY1,UNK,ATL1,CTSL,SDHA,NEFL,MAPK8IP2,WNT1,TWF2,CPNE5,SPIRE1,NAB2,USP33,NPTX1,ITGB1,KLF7,GPR37L1,LRRN2,CENPF,PTF1A,COPS2,ITPKA,TTL,EDN3,MBNL1,RAB13,LEF1,SEMA4A,METTL14,UNC13B,EPHA8,EPHB2,SEMA3A,EIF2B4,LHX5,ETV6,COX7B,ITM2A,PAK3,GPM6A,SLIT2,IRX6,PLLP,GNPAT,THY1,FEZ1,NEDD4,EPHB1,CCDC88A,PPP1R9A,GABRB3,SSH3,CACNA1A,NKX6-1,ARX,PALM,SYT1,DENND5A,RAB3GAP1,PRICKLE1,HOOK3,TNFRSF23,LZTS3,FIG4,PPP1R9B,PICALM,MCPH1,CITED2,NRL,CMTM8,MAP6D1,DLX1,MAPK6,NPAS4,CDK5R1,EFNA5,TIFAB,RAP2A,GAS1,CAMK2D,EPM2A,ARHGAP35,NKX2-9,RPS7,QK,NRG1,MAPK1,MACROD2,GRCC10,NRBP2,SLC8A3,NAP1L2,BLOC1S1,PCDHA8
6	1	TRUE	0.0254	69	868	10	0.012	0.145	GO:0021675	BP	14	nerve development	3	SLC1A3,CTSL,NPTX1,UNC13B,EPHB2,SEMA3A,EPHB1,GABRB3,CITED2,TIFAB
7	1	TRUE	0.00285	2166	868	132	0.152	0.061	GO:0009653	BP	14	anatomical structure morphogenesis	2	KCTD10,CSNK1G2,DLL3,PAF1,KLF5,SLC1A3,VAX1,TEK,BCL2L1,ARID1A,FZD3,NFIB,WNT3A,MERTK,STC1,TTBK1,CD34,FIS1,LHX9,WASF1,CTGF,LGR5,MDM2,1810043G02RIK,ADCY1,XBP1,UNK,ATL1,CAP2,CTSL,NEFL,ENPP2,CSNK1E,MAPK8IP2,WNT1,TWF2,HES7,CPNE5,CSNK2B,LIMS2,RBP4,ATP5B,NAB2,USP33,NPTX1,MKLN1,ITGB1,KLF7,LRRN2,CAPN2,PTF1A,LIN7C,ITPKA,TTL,MBNL1,LEF1,SEMA4A,EPHA8,EPHB2,SEMA3A,ADD1,CDK2AP1,RADIL,FSCN1,LHX5,STIM1,PAK3,GPM6A,SLIT2,EDNRA,IRX6,GNPAT,THY1,RDX,PLET1,FEZ1,NEDD4,EPHB1,MST1,FOXJ3,PHLDB2,CTNND1,SSH3,CACNA1A,OMA1,NKX6-1,ARX,SBNO2,PALM,SYT1,RAB3GAP1,PRICKLE1,CNOT1,TNFRSF23,LZTS3,CPE,HOXA5,FIG4,HOXB4,PICALM,CITED2,ZMYM5,NRL,MAP6D1,DLX1,ONECUT1,CAMSAP3,E2F8,DACT2,CDK5R1,EFNA5,TIFAB,CACNA1C,RAP2A,GAS1,ACTN4,CD248,JMJD6,ARHGAP35,TMOD3,NKX2-9,GTF2I,NACA,RPS7,QK,NRG1,MAPK1,IMPAD1,ANKRD23,TBPL1,GRCC10,BNIP3
8	1	TRUE	0.0034	9730	868	482	0.555	0.05	GO:0065007	BP	14	biological regulation	1	FGF23,CKMT1,HNRNPD,C1D,ILF2,EPN2,KCTD10,LGALS9,SF3A1,CSNK1G2,DLL3,PAF1,DUSP3,PPFIA3,SSBP2,HMOX2,TMED4,TAX1BP1,CHN2,ARID3B,SGTA,KLF5,LETM1,SLC1A3,DDX39,AMPD3,RFX5,BLOC1S6,TRH,VAX1,TEK,PFDN2,MARK3,PPP2R1A,HOMER1,BCL2L1,ARID1A,FZD3,POU2F2,NFIB,RPL10,GPRC5B,CBX5,TFCP2,POU6F1,WNT3A,METTL16,RBM25,BRMS1L,ATRAID,MERTK,BLK,STC1,EDF1,GADD45B,GZMB,TTBK1,ARNT2,CD34,MAPKAPK2,MED24,TAOK1,CACNB4,CADPS2,ABI3,ACADVL,ATOX1,ACSL1,ICT1,FIS1,LHX9,DDX39B,PLSCR3,RAB4A,RMND1,WASF1,CTGF,VPS54,LGR5,MDM2,NFYB,1810043G02RIK,MAPK9,ADCY1,XBP1,SKA2,TRIB2,CACNG4,UNK,EXOC7,PLD2,EIF2S1,CAP2,SPTLC1,CTSL,CCNH,PCSK1,NSUN2,GTF2H2,HMBOX1,DNAJC15,NEFL,DOK2,DAD1,DNAL4,ENPP2,CSNK1E,SH3BP1,SHISA9,MAF1,MAPK8IP2,ZFP148,KNG1,RIPPLY3,RCAN1,WNT1,MOSPD1,FHL1,TWF2,HES7,CPNE5,DPY30,PJA2,MLST8,KDM4B,ELP2,CSNK2B,APOM,LIMS2,RFK,OTUB1,MUS81,FIBP,RBP4,PCGF6,MMS19,TRO,RABGEF1,RPS26,ATP5B,NAB2,USP33,MKLN1,MARCH8,ITGB1,CPLX2,HIGD2A,TERF1,KLF7,LANCL1,BOK,NEK7,GPR37L1,PIK3C2B,RGS7,KIFAP3,CENPF,ANGEL2,PTF1A,GFI1B,DPH7,STK39,LIN7C,COPS2,PDIA3,ITPKA,RAD51,RASSF2,TTL,SLC20A1,RBCK1,MAPRE1,PKIA,EDN3,MBNL1,KCNC4,RAB13,LEF1,LMNA,SEMA4A,PEAR1,METTL14,CISD2,CLCA3A2,UBE2J1,ACO1,NFX1,CNTFR,UNC13B,RGP1,SGIP1,BEND5,YBX1,EPHA8,EPHB2,LURAP1,SEMA3A,PRKAG2,SSU72,ADD1,SLC30A9,SPP1,CDK2AP1,SCARB2,DIABLO,SFSWAP,CAMKK2,FSCN1,LHX5,ARPC1A,PAN3,N4BP2L2,ADCYAP1R1,MTPN,LAG3,ETV6,RERG,ZDHHC13,NUCB2,PPP4C,SPNS1,PSMA1,LCMT1,RNF40,STIM1,CASK,RBM10,ELF4,CCDC22,ITM2A,PAK3,GPM6A,SLIT2,EDNRA,IRX6,AMFR,ARL2BP,TRADD,GABARAPL2,THY1,RDX,PLET1,FEZ1,SLTM,NEDD4,MNS1,KIF23,FAM46A,TSPAN3,GCLC,APH1B,PTGS2,FBXL2,MYD88,CEP63,EPHB1,PIK3R4,BSN,MST1,MALT1,CCDC88A,PPP1R9A,NUP93,FOXJ3,PHLDB2,EEFSEC,CTDSPL2,DDX19B,GABRB3,CTNND1,INO80,IGSF9B,COPS8,EDA2R,SSH3,CACNA1A,RNPS1,CNOT6L,ZFP661,OMA1,NKX6-1,ARX,RIC8B,SBNO2,KRT20,MLC1,PALM,SYT1,DENND5A,RAB3GAP1,PRICKLE1,SNAPC4,SKP1A,CNOT1,TSSC1,TCAF1,TTC7,RAB11FIP3,SETD7,HOOK3,SLC9A7,CTBP1,MCRS1,WDHD1,TNFRSF23,LZTS3,APOPT1,CPE,H2AFZ,GALNT11,ITLNB,HOXA5,FIG4,USP5,FCHSD1,HOXB4,PPP1R9B,TASP1,ADRM1,ZC3HC1,NAIF1,EXOSC2,PICALM,CDH6,SLC9A8,NCOA7,IL22RA2,GABBR2,MCPH1,CITED2,HIP1,ZMYM5,GPR26,PNRC1,DTX3,PPP1R15A,RPRD1A,MYBBP1A,DGKZ,SLC26A7,NRL,SIX5,RPS19,TRIM62,RAMP3,ELMO1,ZFP598,MAP6D1,ATP1B2,PIK3R1,MYRIP,DLX1,IGSF3,HNRNPF,CSDC2,AREL1,CLSPN,TBC1D10B,ELMSAN1,SAFB2,MAPK6,TRAFD1,BEX2,AQP11,SERPINB6B,ONECUT1,GPRASP1,CAMSAP3,ACKR2,DND1,CSRNP2,INSM2,ST7L,CHRM2,ADRB2,PAIP2B,NPAS4,CHRM3,E2F8,PLAUR,MC4R,CTDSPL,GPR68,LONP2,CATSPER4,ENTPD1,FBXO10,MYOF,DACT2,CDK5R1,EFNA5,CHCHD10,POLR1A,TIFAB,CRH,RAP2C,GPR171,HEATR1,NSUN3,ZFP623,JAGN1,CACNA1C,RAP2A,LRRC3,MEST,GAS1,PTPRT,TNFAIP6,NRD1,CHCHD3,CAMK2D,SIRT5,LIFR,VAPB,SET,ACTN4,FAM72A,EPM2A,MTA3,CD248,JMJD6,ZFP53,ARHGAP35,UPF1,RPL5,TMOD3,FBXO18,NKX2-9,RPL11,ARHGEF12,HSPA2,GTF2I,AP2A1,EXOSC5,NACA,RPS7,DPP6,QK,RAI1,LANCL2,ZFP938,NRG1,MAPK1,SNRNP70,CYCS,SLC24A3,ANKRD23,GTF2F2,GJD2,FGFR1OP,DAZAP1,HBA-A1,SSBP4,MFHAS1,SCN2B,RNF121,RASGRP3,TBPL1,BSCL2,GNG3,PTRH2,GRCC10,NME3,WDFY1,IL11RA1,CSNK2A1,NRBP2,SELT,CTDSP2,BNIP3,HIST3H2A,UBE2V1,SLC8A3,KCNIP3,TRAPPC2,TMLHE,NAP1L2,UBL5,LAMTOR5,BCL2L2,MOAP1,ERDR1
9	1	TRUE	0.00227	2749	868	162	0.187	0.059	GO:0065008	BP	14	regulation of biological quality	2	FGF23,HNRNPD,LGALS9,CSNK1G2,PPFIA3,HMOX2,LETM1,SLC1A3,AMPD3,BLOC1S6,TRH,HOMER1,BCL2L1,GPRC5B,WNT3A,MERTK,BLK,STC1,TTBK1,CD34,MAPKAPK2,CACNB4,CADPS2,ACADVL,ATOX1,FIS1,PLSCR3,WASF1,CTGF,VPS54,MDM2,1810043G02RIK,XBP1,CCNH,PCSK1,HMBOX1,NEFL,CSNK1E,SH3BP1,SHISA9,MAPK8IP2,KNG1,FHL1,TWF2,MLST8,FIBP,RBP4,ATP5B,USP33,MKLN1,CPLX2,TERF1,BOK,NEK7,ANGEL2,GFI1B,STK39,LIN7C,ITPKA,RAD51,RASSF2,TTL,EDN3,KCNC4,LMNA,SEMA4A,METTL14,ACO1,UNC13B,YBX1,EPHB2,SEMA3A,ADD1,SLC30A9,SPP1,ARPC1A,MTPN,NUCB2,STIM1,RBM10,CCDC22,PAK3,SLIT2,EDNRA,ARL2BP,THY1,RDX,NEDD4,FAM46A,GCLC,PTGS2,MYD88,EPHB1,GABRB3,IGSF9B,SSH3,CACNA1A,CNOT6L,OMA1,NKX6-1,PALM,SYT1,RAB3GAP1,SKP1A,TTC7,RAB11FIP3,SLC9A7,MCRS1,LZTS3,CPE,HOXA5,FCHSD1,NAIF1,PICALM,SLC9A8,CITED2,HIP1,GPR26,PPP1R15A,SLC26A7,RPS19,RAMP3,ATP1B2,PIK3R1,MYRIP,CSDC2,AQP11,ADRB2,NPAS4,CHRM3,MC4R,GPR68,CATSPER4,ENTPD1,CDK5R1,EFNA5,TIFAB,CRH,CACNA1C,MEST,CAMK2D,JMJD6,ARHGAP35,UPF1,RPL5,TMOD3,RPL11,RPS7,DPP6,QK,NRG1,MAPK1,SLC24A3,GJD2,HBA-A1,SCN2B,BSCL2,SELT,BNIP3,SLC8A3,LAMTOR5,MOAP1
10	1	TRUE	0.00575	343	868	31	0.036	0.09	GO:0090066	BP	14	regulation of anatomical structure size	3	WNT3A,WASF1,NEFL,SH3BP1,TWF2,MLST8,TTL,EDN3,SEMA3A,ADD1,ARPC1A,MTPN,PAK3,SLIT2,EDNRA,RDX,GCLC,SSH3,NKX6-1,FCHSD1,PICALM,PPP1R15A,ADRB2,CHRM3,CDK5R1,EFNA5,CACNA1C,ARHGAP35,TMOD3,NRG1,LAMTOR5
