query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0311	2675	1249	208	0.167	0.078	GO:0006950	BP	169	response to stress	1	TSPAN32,GTF2H4,DDB2,KLF4,EDAR,HIF3A,MAPK13,MEF2C,TRPV1,ELK3,PTPRS,CYBB,TNR,IL10,SLPI,MED1,KDM6B,LSP1,MAP2K3,H13,ESR1,TRAF3IP2,SGK1,APAF1,IGF1,DDIT4,HELB,FZR1,FLT4,GRIN2C,ITGB4,FBXL20,COCH,HIF1A,PSMC1,WRNIP1,SYK,TRIP13,CD180,RAD17,POLK,F2RL1,CRHBP,ERO1L,MAPK8,LCP1,NKX3-1,TNFRSF10B,BIN3,AJUBA,HDAC7,SCRIB,GSDMD,SHANK3,TREM2,THOC1,RNF138,DSC2,DPYSL3,ANKRD1,ALDH3B1,PRDX3,FUNDC1,ANKRD2,HRAS,SHISA5,CASP12,SNCA,ALS2,PMS1,ATP2B4,MR1,F5,DCLRE1C,SLC2A8,LCN2,ZEB2,NOTCH1,IL1F6,WDR76,F2,MCM8,XRN2,RBM38,PTPN1,ECT2,INTS3,CHRNB2,PDGFC,BCL10,TRP53INP1,PPP3R2,TNFSF8,DNAJA1,AQP3,PITHD1,FGR,MTF1,PLAC8,NOS1,PPBP,GTF2H3,SIRT4,IRF5,ABCC9,HERC2,BLM,NUPR1,CD37,ILK,D7ERTD443E,FADD,CETN2,BMX,IRAK1,MECP2,G6PDX,GAS6,ADAM9,CNOT7,CASP3,APOA1,CHEK1,HYOU1,ANXA2,SCAP,CDC14B,SLC35A4,NUDT15,MAP3K13,LRRC14,POLQ,PARP14,TMEM109,PIP5K1C,DPP4,CCL5,SSC5D,NME5,COLEC12,RPS27L,ACAA2,RAP2B,FGF2,UGGT1,TMEM33,NOD1,PRIMPOL,COLEC10,BMP6,RREB1,SUV39H1,RFTN1,TMEM135,RBMS3,STUB1,NPLOC4,KMO,MAP3K10,HTR2C,RRAGB,SPIDR,TREM1,PLA2G6,IL20RB,CDKN2A,PHLPP1,CRADD,NR1H4,ANKFN1,CD300LF,BDNF,FOXO3,C5AR1,FZD9,FZD4,H2AFX,UBQLN2,OPRD1,GHSR,GEN1,FFAR2,BRE,CEBPE,RNF103,TARM1,USP46,CD47,SPINK5,GRM7,HAMP2,FCER1G,THRA,ZFP516,C1QTNF3,TNIP2,PVRL2,TRIM38,TANK,RNASEL,MYL9,SCN9A,SCN2A1,MSRB1,SOX4,ALKBH1,FZD10,GBP5
2	1	TRUE	0.0022	36	1249	11	0.009	0.306	GO:0002209	BP	169	behavioral defense response	1	MEF2C,FBXL20,SHANK3,ALS2,MECP2,DPP4,HTR2C,ANKFN1,BDNF,USP46,GRM7
3	1	TRUE	0.0121	71	1249	14	0.011	0.197	GO:0033555	BP	169	multicellular organismal response to stress	1	MEF2C,TRPV1,FBXL20,SHANK3,ALS2,NOS1,MECP2,DPP4,HTR2C,ANKFN1,BDNF,USP46,GRM7,SCN9A
4	1	TRUE	0.0046	40	1249	11	0.009	0.275	GO:0042596	BP	169	fear response	2	MEF2C,FBXL20,SHANK3,ALS2,MECP2,DPP4,HTR2C,ANKFN1,BDNF,USP46,GRM7
5	1	TRUE	0.0022	36	1249	11	0.009	0.306	GO:0001662	BP	169	behavioral fear response	3	MEF2C,FBXL20,SHANK3,ALS2,MECP2,DPP4,HTR2C,ANKFN1,BDNF,USP46,GRM7
6	1	TRUE	0.0395	4	1249	3	0.002	0.75	GO:0030886	BP	240	negative regulation of myeloid dendritic cell activation	1	TSPAN32,IL10,CD37
7	1	TRUE	0.0214	16	1249	6	0.005	0.375	GO:0008211	BP	249	glucocorticoid metabolic process	1	CYP17A1,REST,MECP2,APOA1,BMP5,STUB1
8	1	TRUE	0.0204	1504	1249	128	0.102	0.085	GO:0008219	BP	113	cell death	1	SCML2,WNT9A,CCND2,FAP,SOX9,EFNB2,SCIN,KDELR1,KLF4,PIH1D1,WISP1,CASP14,MEF2C,NEURL1A,BMP7,DLL1,ALDH1A3,NKX2-5,IL10,MED1,AATF,LSP1,MAP2K3,ESR1,TRAF3IP2,APAF1,TIMP3,IGF1,DDIT4,HINT1,FLT4,PRKCH,HIF1A,PSMC1,CAST,ERO1L,MAPK8,NAA16,NKX3-1,TNFRSF10B,ACIN1,ANGPT1,EMP2,SCRIB,GSDMD,MPV17L,RPS6KA2,SOX8,NME4,THOC1,CSF1R,ANKRD1,PRDX3,ANKRD2,HRAS,SHISA5,CASP12,SNCA,STK17B,LCN2,NOTCH1,ITGA6,API5,PTPN1,ECT2,HAX1,BCL10,TRP53INP1,DNAJA1,PPT1,REST,PLAC8,RILPL1,PGAM5,IRF5,BLM,NUPR1,FADD,MECP2,GAS6,CASP3,AARS,CHEK1,HYOU1,BMP5,INHA,TMEM109,CCL5,FOXA1,NME5,RPS27L,ACAA2,FGF2,GDF7,NOD1,GDF15,BIRC7,BMP6,USP53,MAP3K10,AGO4,ID1,CDKN2A,PHLPP1,HCAR2,CRADD,RNF31,INHBE,NR1H4,BDNF,FOXO3,FZD9,SIX1,BRE,JUNB,SPINK2,GRM7,FCER1G,THRA,FOXB1,TNIP2,ING2,SOX11,GIMAP8,ATOH1,SCN2A1,SOX4,ALKBH1
9	1	TRUE	0.0222	1401	1249	120	0.096	0.086	GO:0012501	BP	113	programmed cell death	2	SCML2,WNT9A,CCND2,FAP,SOX9,SCIN,KDELR1,KLF4,PIH1D1,CASP14,MEF2C,NEURL1A,BMP7,DLL1,ALDH1A3,NKX2-5,IL10,MED1,AATF,LSP1,MAP2K3,ESR1,TRAF3IP2,APAF1,TIMP3,IGF1,DDIT4,HINT1,FLT4,PRKCH,HIF1A,CAST,ERO1L,MAPK8,NAA16,NKX3-1,TNFRSF10B,ACIN1,ANGPT1,SCRIB,GSDMD,MPV17L,RPS6KA2,SOX8,NME4,THOC1,CSF1R,ANKRD1,PRDX3,ANKRD2,HRAS,SHISA5,CASP12,SNCA,STK17B,LCN2,NOTCH1,ITGA6,API5,PTPN1,ECT2,HAX1,BCL10,TRP53INP1,DNAJA1,PPT1,REST,PLAC8,PGAM5,IRF5,BLM,NUPR1,FADD,MECP2,GAS6,CASP3,AARS,CHEK1,HYOU1,BMP5,INHA,TMEM109,CCL5,FOXA1,NME5,RPS27L,ACAA2,FGF2,GDF7,NOD1,GDF15,BIRC7,BMP6,USP53,MAP3K10,AGO4,ID1,CDKN2A,PHLPP1,HCAR2,CRADD,RNF31,INHBE,NR1H4,BDNF,FOXO3,FZD9,SIX1,BRE,SPINK2,FCER1G,THRA,FOXB1,TNIP2,ING2,GIMAP8,ATOH1,SCN2A1,SOX4,ALKBH1
10	1	TRUE	0.0343	1374	1249	116	0.093	0.084	GO:0006915	BP	113	apoptotic process	3	SCML2,WNT9A,CCND2,FAP,SOX9,SCIN,KDELR1,KLF4,PIH1D1,CASP14,MEF2C,NEURL1A,BMP7,DLL1,ALDH1A3,NKX2-5,IL10,MED1,AATF,LSP1,MAP2K3,ESR1,TRAF3IP2,APAF1,TIMP3,IGF1,DDIT4,HINT1,FLT4,PRKCH,HIF1A,CAST,ERO1L,MAPK8,NAA16,NKX3-1,TNFRSF10B,ACIN1,ANGPT1,SCRIB,MPV17L,RPS6KA2,SOX8,NME4,THOC1,CSF1R,ANKRD1,PRDX3,ANKRD2,HRAS,SHISA5,CASP12,SNCA,STK17B,LCN2,NOTCH1,ITGA6,API5,PTPN1,ECT2,HAX1,BCL10,TRP53INP1,DNAJA1,PPT1,REST,PLAC8,IRF5,BLM,NUPR1,FADD,MECP2,GAS6,CASP3,AARS,CHEK1,HYOU1,BMP5,INHA,TMEM109,CCL5,FOXA1,NME5,RPS27L,ACAA2,GDF7,NOD1,GDF15,BIRC7,BMP6,USP53,MAP3K10,AGO4,ID1,CDKN2A,PHLPP1,HCAR2,CRADD,INHBE,NR1H4,BDNF,FOXO3,FZD9,SIX1,BRE,SPINK2,FCER1G,THRA,FOXB1,TNIP2,ING2,GIMAP8,ATOH1,SCN2A1,SOX4,ALKBH1
11	1	TRUE	0.0219	1289	1249	112	0.09	0.087	GO:0010941	BP	113	regulation of cell death	2	WNT9A,CCND2,FAP,SOX9,EFNB2,SCIN,KLF4,PIH1D1,WISP1,MEF2C,NEURL1A,BMP7,DLL1,ALDH1A3,NKX2-5,IL10,MED1,AATF,MAP2K3,ESR1,APAF1,TIMP3,IGF1,DDIT4,FLT4,PRKCH,HIF1A,PSMC1,CAST,MAPK8,NAA16,NKX3-1,TNFRSF10B,ACIN1,ANGPT1,SCRIB,MPV17L,RPS6KA2,SOX8,NME4,THOC1,CSF1R,ANKRD1,PRDX3,ANKRD2,HRAS,SNCA,STK17B,NOTCH1,ITGA6,API5,PTPN1,ECT2,HAX1,BCL10,TRP53INP1,DNAJA1,PPT1,REST,PLAC8,RILPL1,IRF5,BLM,NUPR1,FADD,MECP2,GAS6,CASP3,AARS,HYOU1,BMP5,INHA,TMEM109,CCL5,FOXA1,NME5,RPS27L,ACAA2,FGF2,GDF7,NOD1,GDF15,BIRC7,BMP6,MAP3K10,AGO4,ID1,CDKN2A,PHLPP1,HCAR2,CRADD,RNF31,INHBE,NR1H4,BDNF,FOXO3,FZD9,SIX1,BRE,JUNB,SPINK2,GRM7,FCER1G,THRA,FOXB1,TNIP2,ING2,SOX11,GIMAP8,ATOH1,SOX4,ALKBH1
12	1	TRUE	0.0378	1201	1249	103	0.082	0.086	GO:0043067	BP	113	regulation of programmed cell death	3	WNT9A,CCND2,FAP,SOX9,SCIN,KLF4,PIH1D1,MEF2C,NEURL1A,BMP7,DLL1,ALDH1A3,NKX2-5,IL10,MED1,AATF,MAP2K3,ESR1,APAF1,TIMP3,IGF1,FLT4,PRKCH,HIF1A,CAST,MAPK8,NAA16,NKX3-1,TNFRSF10B,ACIN1,ANGPT1,SCRIB,MPV17L,RPS6KA2,SOX8,NME4,THOC1,CSF1R,ANKRD1,PRDX3,ANKRD2,HRAS,SNCA,STK17B,NOTCH1,ITGA6,API5,PTPN1,ECT2,HAX1,BCL10,TRP53INP1,DNAJA1,PPT1,REST,PLAC8,IRF5,BLM,NUPR1,FADD,MECP2,GAS6,CASP3,AARS,HYOU1,BMP5,INHA,CCL5,FOXA1,NME5,RPS27L,ACAA2,FGF2,GDF7,NOD1,GDF15,BIRC7,BMP6,MAP3K10,AGO4,ID1,CDKN2A,PHLPP1,HCAR2,CRADD,RNF31,INHBE,NR1H4,BDNF,FOXO3,FZD9,SIX1,BRE,SPINK2,FCER1G,THRA,FOXB1,TNIP2,ING2,GIMAP8,ATOH1,SOX4,ALKBH1
13	1	TRUE	0.0463	1188	1249	101	0.081	0.085	GO:0042981	BP	113	regulation of apoptotic process	4	WNT9A,CCND2,FAP,SOX9,SCIN,KLF4,PIH1D1,MEF2C,NEURL1A,BMP7,DLL1,ALDH1A3,NKX2-5,IL10,MED1,AATF,MAP2K3,ESR1,APAF1,TIMP3,IGF1,FLT4,PRKCH,HIF1A,CAST,MAPK8,NAA16,NKX3-1,TNFRSF10B,ACIN1,ANGPT1,SCRIB,MPV17L,RPS6KA2,SOX8,NME4,THOC1,CSF1R,ANKRD1,PRDX3,ANKRD2,HRAS,SNCA,STK17B,NOTCH1,ITGA6,API5,PTPN1,ECT2,HAX1,BCL10,TRP53INP1,DNAJA1,PPT1,REST,PLAC8,IRF5,BLM,NUPR1,FADD,MECP2,GAS6,CASP3,AARS,HYOU1,BMP5,INHA,CCL5,FOXA1,NME5,RPS27L,ACAA2,GDF7,NOD1,GDF15,BIRC7,BMP6,MAP3K10,AGO4,ID1,CDKN2A,PHLPP1,HCAR2,CRADD,INHBE,NR1H4,BDNF,FOXO3,FZD9,SIX1,BRE,SPINK2,FCER1G,THRA,FOXB1,TNIP2,ING2,GIMAP8,ATOH1,SOX4,ALKBH1
