query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0396	113	184	7	0.038	0.062	GO:0071241	BP	6	cellular response to inorganic substance	1	FOSB,CRHBP,CPNE6,SUMO1,SCN5A,CPNE7,ANK3
2	1	TRUE	0.0266	100	184	7	0.038	0.07	GO:0071248	BP	6	cellular response to metal ion	1	FOSB,CRHBP,CPNE6,SUMO1,SCN5A,CPNE7,ANK3
3	1	TRUE	0.0396	50	184	5	0.027	0.1	GO:0071277	BP	6	cellular response to calcium ion	2	FOSB,CRHBP,CPNE6,SCN5A,CPNE7
4	1	TRUE	0.0497	380	184	12	0.065	0.032	GO:0036477	CC	90	somatodendritic compartment	1	GRIA1,NF1,CRHBP,CPNE6,EPHA4,SLC4A10,ABHD13,BDNF,KCNN2,SEZ6L,NRSN2,ANK3
5	1	TRUE	0.0444	259	184	10	0.054	0.039	GO:0097447	CC	90	dendritic tree	1	GRIA1,NF1,CRHBP,CPNE6,EPHA4,SLC4A10,ABHD13,BDNF,KCNN2,ANK3
6	1	TRUE	0.0444	257	184	10	0.054	0.039	GO:0030425	CC	90	dendrite	1	GRIA1,NF1,CRHBP,CPNE6,EPHA4,SLC4A10,ABHD13,BDNF,KCNN2,ANK3
7	1	TRUE	0.0482	31	184	4	0.022	0.129	GO:0030315	CC	23	T-tubule	1	SCN5A,NOS1AP,KCNN2,ANK3
8	1	TRUE	0.0497	3	184	2	0.011	0.667	GO:0031510	CC	78	SUMO activating enzyme complex	1	SUMO1,UBA2
9	1	TRUE	0.0497	10342	184	120	0.652	0.012	GO:0043226	CC	45	organelle	1	SNRNP27,FOSB,TMOD4,TFPT,SPIB,ZMYND10,IGF2BP1,TRNT1,RABL6,ATP5E,PIPOX,ADA,SERINC3,RARS,P4HA2,GLE1,REV3L,ATP2B1,LIMK2,GRIA1,BCAP29,SRP68,ERAP1,CRHBP,GLT8D1,C6,CPNE6,ATP13A3,RRN3,DOPEY2,RAB12,CMTR1,MRPL27,RAB27B,MAPK4,TMC1,INTS4,FASN,ALKBH8,SUMO1,PTP4A1,EPHA4,ADCK3,SDCCAG8,CCDC181,NDUFA8,MRPS5,NKX2-2,GID8,DSN1,SMU1,PNRC2,LRPAP1,MAPRE3,COQ2,ANAPC5,PTCD1,EED,LHPP,FGFR1,CNOT7,UCP1,ZW10,IDH3A,SCN5A,USP4,PDXK,CYB5R4,ENTPD6,SRSF2,GPC1,RSRC1,CPNE7,NDUFA3,PKNOX2,SUGP2,ACTR1B,NOV,TULP1,ATP8A1,SESN1,SGSM2,NOS1AP,UBN1,NCOA5,DNM3,MYBBP1A,CROCC,MCM3,MIOS,HEXIM2,CSRNP3,C77370,ATXN1,MIS18BP1,BDNF,CDC42SE2,UBA2,GYKL1,CPSF3,KCNN2,PHACTR1,SMYD1,MAGEL2,MDN1,SEZ6L,USF2,NRSN2,LRRTM1,CYCS,FKBP15,GM16519,MYBPHL,ANK3,DGKD,FNDC1,GPRASP2,DRC1,PEG10,ZC3H11A
10	1	TRUE	0.028	6189	184	83	0.451	0.013	GO:0044422	CC	45	organelle part	2	SNRNP27,FOSB,TMOD4,TFPT,ZMYND10,IGF2BP1,ATP5E,RARS,P4HA2,GLE1,REV3L,LIMK2,GRIA1,BCAP29,SRP68,CRHBP,RRN3,DOPEY2,RAB12,CMTR1,MRPL27,RAB27B,TMC1,INTS4,ALKBH8,SUMO1,EPHA4,SDCCAG8,CCDC181,NDUFA8,MRPS5,NKX2-2,GID8,DSN1,SMU1,PNRC2,LRPAP1,MAPRE3,COQ2,ANAPC5,PTCD1,EED,LHPP,FGFR1,CNOT7,UCP1,ZW10,SCN5A,SRSF2,GPC1,RSRC1,NDUFA3,PKNOX2,SUGP2,ACTR1B,TULP1,ATP8A1,SESN1,NOS1AP,UBN1,DNM3,MYBBP1A,CROCC,MCM3,MIOS,HEXIM2,C77370,ATXN1,MIS18BP1,BDNF,UBA2,CPSF3,KCNN2,MDN1,USF2,CYCS,FKBP15,GM16519,MYBPHL,ANK3,FNDC1,DRC1,ZC3H11A
