name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0100886	Abnormality of globe location	744	18	2.74	5.04	7.6e-06	0.0048	5.25	2.42	11.7
HP:0001999	Abnormal facial shape	631	16	2.87	4.9	2e-05	0.0064	4.96	2.28	10.8
HP:0000306	Abnormality of the chin	269	10	4.21	5.17	6.2e-05	0.0072	5.91	2.46	13.3
HP:0011927	Short digit	390	12	3.48	4.91	5.9e-05	0.0072	5.18	2.27	11.3
HP:0011821	Abnormality of facial skeleton	874	18	2.33	4.29	8e-05	0.0072	4.24	1.96	9.46
HP:0040068	Abnormality of limb bone	1160	21	2.05	4.12	7.6e-05	0.0072	4.31	1.94	10.3
HP:0001507	Growth abnormality	1692	26	1.74	3.99	4.1e-05	0.0072	5.66	2.13	18.9
HP:0000163	Abnormality of the oral cavity	1192	21	1.99	3.99	0.00012	0.0082	4.14	1.86	9.87
HP:0000366	Abnormality of the nose	1197	21	1.99	3.97	0.00013	0.0082	4.11	1.85	9.81
HP:0011844	Abnormal appendicular skeleton morphology	1199	21	1.98	3.96	0.00013	0.0082	4.1	1.84	9.78
HP:0000303	Mandibular prognathia	198	8	4.57	4.89	0.00023	0.0095	6.01	2.29	14.2
HP:0000316	Hypertelorism	506	13	2.91	4.38	0.00017	0.0095	4.37	1.96	9.5
HP:0000002	Abnormality of body height	1037	19	2.07	3.89	0.00023	0.0095	3.83	1.76	8.68
HP:0001510	Growth delay	1225	21	1.94	3.85	0.00019	0.0095	3.97	1.78	9.46
HP:0003011	Abnormality of the musculature	1823	26	1.61	3.57	2e-04	0.0095	4.87	1.83	16.3
HP:0002007	Frontal bossing	323	10	3.51	4.46	0.00029	0.011	4.81	2	10.8
HP:0011218	Abnormal shape of the frontal region	323	10	3.51	4.46	0.00029	0.011	4.81	2	10.8
HP:0002167	Neurological speech impairment	785	16	2.31	3.92	0.00033	0.011	3.76	1.73	8.2
HP:0000277	Abnormality of the mandible	705	15	2.41	3.95	0.00036	0.012	3.79	1.73	8.22
HP:0000692	Misalignment of teeth	287	9	3.55	4.26	0.00058	0.014	4.71	1.89	10.8
HP:0003272	Abnormality of the hip bone	353	10	3.21	4.13	6e-04	0.014	4.35	1.81	9.75
HP:0002644	Abnormality of pelvic girdle bone morphology	421	11	2.96	4.04	0.00058	0.014	4.11	1.77	9.08
HP:0000290	Abnormality of the forehead	647	14	2.45	3.85	0.00054	0.014	3.7	1.68	8.03
HP:0030791	Abnormal jaw morphology	724	15	2.35	3.84	0.00049	0.014	3.66	1.68	7.95
HP:0009115	Aplasia/hypoplasia involving the skeleton	830	16	2.18	3.68	0.00064	0.014	3.49	1.61	7.62
HP:0012758	Neurodevelopmental delay	1201	20	1.89	3.57	0.00052	0.014	3.54	1.61	8.2
HP:0000929	Abnormality of the skull	1400	22	1.78	3.55	0.00043	0.014	3.73	1.64	9.22
HP:0009121	Abnormal axial skeleton morphology	1638	24	1.66	3.45	0.00046	0.014	3.96	1.65	10.9
HP:0000315	Abnormality of the orbital region	1226	20	1.85	3.47	0.00071	0.015	3.43	1.56	7.94
HP:0000271	Abnormality of the face	1938	26	1.52	3.22	0.00073	0.015	4.26	1.6	14.2
HP:0011843	Abnormality of skeletal physiology	440	11	2.83	3.88	0.00085	0.017	3.91	1.68	8.63
HP:0002813	Abnormality of limb bone morphology	1135	19	1.9	3.46	0.00082	0.017	3.35	1.54	7.6
HP:0009381	Short finger	190	7	4.17	4.24	0.0011	0.019	5.25	1.88	12.8
HP:0005930	Abnormality of epiphysis morphology	194	7	4.09	4.17	0.0012	0.019	5.13	1.84	12.5
HP:0002648	Abnormality of calvarial morphology	609	13	2.42	3.63	0.0011	0.019	3.49	1.56	7.59
HP:0002683	Abnormality of the calvaria	691	14	2.29	3.58	0.0011	0.019	3.41	1.55	7.38
HP:0005105	Abnormal nasal morphology	701	14	2.26	3.52	0.0013	0.019	3.35	1.52	7.25
HP:0001167	Abnormality of finger	784	15	2.17	3.5	0.0012	0.019	3.3	1.51	7.17
HP:0004322	Short stature	970	17	1.98	3.4	0.0012	0.019	3.22	1.49	7.08
HP:0001155	Abnormality of the hand	972	17	1.98	3.39	0.0012	0.019	3.21	1.48	7.06
HP:0002817	Abnormality of the upper limb	1063	18	1.92	3.38	0.0012	0.019	3.22	1.49	7.18
HP:0040064	Abnormality of limbs	1488	22	1.67	3.23	0.0012	0.019	3.36	1.48	8.3
HP:0000153	Abnormality of the mouth	1389	21	1.71	3.22	0.0013	0.02	3.24	1.45	7.73
HP:0012759	Neurodevelopmental abnormality	1623	23	1.6	3.14	0.0014	0.02	3.38	1.45	8.75
HP:0011314	Abnormality of long bone morphology	478	11	2.61	3.56	0.0017	0.023	3.55	1.52	7.82
HP:0011729	Abnormality of joint mobility	809	15	2.1	3.36	0.0017	0.023	3.17	1.45	6.88
HP:0001928	Abnormality of coagulation	156	6	4.35	4.05	0.002	0.027	5.32	1.76	13.6
HP:0001511	Intrauterine growth retardation	347	9	2.94	3.59	0.0023	0.029	3.8	1.53	8.67
HP:0001743	Abnormality of the spleen	419	10	2.7	3.5	0.0023	0.029	3.57	1.49	7.99
HP:0011804	Abnormality of muscle physiology	1558	22	1.6	2.99	0.0024	0.031	3.09	1.36	7.65
HP:0009815	Aplasia/hypoplasia of the extremities	504	11	2.47	3.37	0.0027	0.032	3.33	1.43	7.34
HP:0011446	Abnormality of higher mental function	1451	21	1.64	3	0.0026	0.032	3.01	1.35	7.18
HP:0001476	Delayed closure of the anterior fontanelle	33	3	10.3	5.06	0.0028	0.034	12.3	2.27	43.2
HP:0008067	Abnormally lax or hyperextensible skin	118	5	4.8	3.96	0.0033	0.034	5.72	1.68	15.5
HP:0040019	Finger clinodactyly	228	7	3.48	3.65	0.003	0.034	4.3	1.55	10.4
HP:0004209	Clinodactyly of the 5th finger	228	7	3.48	3.65	0.003	0.034	4.3	1.55	10.4
HP:0009179	Deviation of the 5th finger	230	7	3.45	3.62	0.0032	0.034	4.26	1.53	10.3
HP:0006265	Aplasia/Hypoplasia of fingers	231	7	3.43	3.61	0.0033	0.034	4.24	1.52	10.3
HP:0100790	Hernia	365	9	2.79	3.41	0.0032	0.034	3.59	1.44	8.18
HP:0003271	Visceromegaly	518	11	2.4	3.27	0.0033	0.034	3.22	1.39	7.1
HP:0010938	Abnormality of the external nose	676	13	2.18	3.22	0.003	0.034	3.07	1.37	6.66
HP:0000356	Abnormality of the outer ear	776	14	2.04	3.11	0.0035	0.034	2.94	1.33	6.36
HP:0003549	Abnormality of connective tissue	1048	17	1.84	3.05	0.0031	0.034	2.88	1.33	6.34
HP:0000598	Abnormality of the ear	1481	21	1.61	2.89	0.0035	0.034	2.9	1.3	6.93
HP:0000240	Abnormality of skull size	968	16	1.87	3.01	0.0038	0.036	2.83	1.3	6.17
HP:0005922	Abnormal hand morphology	239	7	3.32	3.5	0.004	0.038	4.08	1.47	9.89
HP:0008572	External ear malformation	77	4	5.88	4.09	0.0043	0.04	6.9	1.71	20.5
HP:0003510	Severe short stature	40	3	8.49	4.5	0.0049	0.041	9.95	1.85	34.5
HP:0000684	Delayed eruption of teeth	128	5	4.42	3.72	0.0047	0.041	5.24	1.55	14.2
