query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0293	1759	107	21	0.196	0.012	GO:0007399	BP	50	nervous system development	1	PRKCSH,PCDHA10,GABRB2,H2AFY2,ACSL6,FAIM2,VAPA,MAPK8IP3,NRP2,CAMK1,SMARCA1,FLNA,GAS6,HERC1,LRRC4B,AMIGO1,RIT2,PPIA,PCP4,PCDHGA12,PCDHA8
2	1	TRUE	0.0279	60	107	4	0.037	0.067	GO:0002181	BP	2	cytoplasmic translation	1	RPL8,RPLP1,RPS3A1,RPL6
3	1	TRUE	0.0318	431	107	9	0.084	0.021	GO:0099536	BP	54	synaptic signaling	1	PPFIA3,CLCN3,SNAP47,FGF12,NSG1,RPH3A,IGSF9B,CHRM3,NETO1
4	1	TRUE	0.0318	431	107	9	0.084	0.021	GO:0099537	BP	54	trans-synaptic signaling	2	PPFIA3,CLCN3,SNAP47,FGF12,NSG1,RPH3A,IGSF9B,CHRM3,NETO1
5	1	TRUE	0.0318	429	107	9	0.084	0.021	GO:0098916	BP	54	anterograde trans-synaptic signaling	3	PPFIA3,CLCN3,SNAP47,FGF12,NSG1,RPH3A,IGSF9B,CHRM3,NETO1
6	1	TRUE	0.0318	429	107	9	0.084	0.021	GO:0007268	BP	54	chemical synaptic transmission	4	PPFIA3,CLCN3,SNAP47,FGF12,NSG1,RPH3A,IGSF9B,CHRM3,NETO1
7	1	TRUE	0.0318	1179	107	16	0.15	0.014	GO:0048699	BP	13	generation of neurons	1	PRKCSH,GABRB2,ACSL6,FAIM2,VAPA,MAPK8IP3,NRP2,CAMK1,SMARCA1,FLNA,GAS6,HERC1,AMIGO1,RIT2,PPIA,PCP4
8	1	TRUE	0.0455	293	107	7	0.065	0.024	GO:0015672	BP	4	monovalent inorganic cation transport	1	CLCN3,ATP6V1E1,FGF12,KCNAB1,FLNA,NETO1,AMIGO1
9	1	TRUE	0.0471	576	107	10	0.093	0.017	GO:0034220	BP	47	ion transmembrane transport	1	CLCN3,GABRB2,ATP6V1E1,FGF12,KCNAB1,FLNA,GAS6,CALM2,NETO1,AMIGO1
10	1	TRUE	0.021	454	107	10	0.093	0.022	GO:0098660	BP	47	inorganic ion transmembrane transport	2	CLCN3,GABRB2,ATP6V1E1,FGF12,KCNAB1,FLNA,GAS6,CALM2,NETO1,AMIGO1
