query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0213	5	71	2	0.028	0.4	GO:0009129	BP	67	pyrimidine nucleoside monophosphate metabolic process	1	SHMT1,UMPS
2	1	TRUE	0.0204	4	71	2	0.028	0.5	GO:0009130	BP	67	pyrimidine nucleoside monophosphate biosynthetic process	1	SHMT1,UMPS
3	1	TRUE	0.0204	4	71	2	0.028	0.5	GO:0060623	BP	89	regulation of chromosome condensation	1	H3F3B,MCPH1
4	1	TRUE	0.0428	7474	71	41	0.577	0.005	GO:0044238	BP	38	primary metabolic process	1	SUPT6,TAX1BP1,PRKACB,PPP2R1A,MAN1A2,PGAM1,RPL15,ALDH1A2,H3F3B,KANSL1,OGDH,SHMT1,HSP90AA1,MGRN1,HSF1,UMPS,PJA2,SIX2,CELF4,ROCK1,RING1,CLK1,PFN2,MTPN,NONO,GNPAT,MAN2C1,ATP1A1,EEFSEC,INO80,ZCCHC12,RPS21,MCPH1,TSPYL2,EIF4G1,TNRC6B,NTRK2,COMMD7,RPS15,CLK2,HIST3H2A
5	1	TRUE	0.0471	4350	71	28	0.394	0.006	GO:0080090	BP	38	regulation of primary metabolic process	2	SUPT6,TAX1BP1,PRKACB,PGAM1,H3F3B,SHMT1,HSP90AA1,HSF1,SIX2,CELF4,ROCK1,RING1,CLK1,PFN2,MTPN,NONO,ATP1A1,EEFSEC,INO80,ZCCHC12,MCPH1,TSPYL2,EIF4G1,TNRC6B,NTRK2,COMMD7,CLK2,HIST3H2A
6	1	TRUE	0.0394	173	71	5	0.07	0.029	GO:0001101	BP	125	response to acid chemical	1	ALDH1A2,SHMT1,MEST,NTRK2,CLK2
7	1	TRUE	0.0476	1310	71	13	0.183	0.01	GO:0009890	BP	81	negative regulation of biosynthetic process	1	SUPT6,H3F3B,SHMT1,HSF1,RING1,NONO,ATP1A1,MCPH1,TSPYL2,EIF4G1,COMMD7,CLK2,HIST3H2A
8	1	TRUE	0.0471	1290	71	13	0.183	0.01	GO:0031327	BP	81	negative regulation of cellular biosynthetic process	2	SUPT6,H3F3B,SHMT1,HSF1,RING1,NONO,ATP1A1,MCPH1,TSPYL2,EIF4G1,COMMD7,CLK2,HIST3H2A
9	1	TRUE	0.0394	766	71	10	0.141	0.013	GO:0034622	BP	119	cellular protein-containing complex assembly	1	H3F3B,MYBPC1,HSP90AA1,HSF1,CELF4,PFN2,EPS15,MTPN,EIF4G1,RPS15
10	1	TRUE	0.0394	8	71	2	0.028	0.25	GO:0006221	BP	17	pyrimidine nucleotide biosynthetic process	1	SHMT1,UMPS
11	1	TRUE	0.0471	10	71	2	0.028	0.2	GO:0070914	BP	107	UV-damage excision repair	1	INO80,HIST3H2A
12	1	TRUE	0.0394	4914	71	31	0.437	0.006	GO:0071840	BP	61	cellular component organization or biogenesis	1	SUPT6,PPP2R1A,TPPP3,H3F3B,KANSL1,MYBPC1,SHMT1,HSP90AA1,HSF1,CELF4,ROCK1,RING1,GNL1,DES,PFN2,EPS15,SEMA3C,MTPN,CFDP1,GNPAT,PPP1R9A,INO80,LRRN1,RPS21,MCPH1,TSPYL2,EIF4G1,NTRK2,COL25A1,RPS15,HIST3H2A
13	1	TRUE	0.0497	2243	71	18	0.254	0.008	GO:0044085	BP	61	cellular component biogenesis	2	H3F3B,MYBPC1,SHMT1,HSP90AA1,HSF1,CELF4,ROCK1,GNL1,PFN2,EPS15,MTPN,GNPAT,INO80,LRRN1,RPS21,EIF4G1,NTRK2,RPS15
