query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.05	9007	346	175	0.506	0.019	TF:M01981_1	tf	4	Factor: ELK-1; motif: ACCGGAWRTN; match class: 1	1	CDH1,SOX9,DPP9,HOXC13,UBL3,FBXO7,FAM98A,IRF9,TMEM143,WARS2,DNAJB11,SYT5,HMOX1,CIC,BLOC1S6,TBCB,PRPF31,ZFP790,MSH3,ALDOC,TTPAL,CPSF4L,FBXO5,POLRMT,GFPT2,UPP1,IGFBP1,SPAG9,DLX4,KRT36,AHSA1,CDCA7L,PTDSS1,OXNAD1,MRPL57,6030458C11RIK,TTC23L,ADAMTS20,SREBF2,GART,RRP36,NUDT3,ZFP523,PFDN6,MRPS18B,MRPL21,MOB2,CSNK1D,HPS1,GOT1,GNL3L,NAB2,SEC11A,RB1CC1,NDUFB3,MGAT4A,TUBA4A,AGXT,ADIPOR1,METTL13,KLHL20,RABGAP1L,CLP1,NOP10,GPCPD1,TM4SF1,ARHGEF2,DCLK2,METTL14,ABCD3,PPP3R2,TMEM50A,MECR,SEL1L3,TMEM165,REST,CCNG2,WDR66,RAB35,UBE3B,PRADC1,BMP10,DENND5B,PDCD5,KNOP1,HCFC1,PROZ,ASH2L,TMEM184C,DNAJA2,ZFP330,MMP15,CMTM3,ABCB10,TYK2,ARAP1,3830406C13RIK,ARHGEF5,UCP2,CPSF1,PKD2,SEC22A,DNAI2,NUP54,ELMOD2,TUBG1,NAT14,DCAF10,UTP6,GTF3C4,THRSP,C1QB,ZC3H7A,DHX38,GCC2,TRAPPC11,TBC1D32,TXLNG,PARP12,PTPN3,OST4,COQ10A,CCDC40,CCDC114,ALX4,AQR,1110051M20RIK,TBL3,FOXA3,SLC19A2,AMMECR1L,BEND6,MAP3K9,NHLRC3,RASEF,EDEM3,LSM8,9930012K11RIK,INSIG1,LYRM2,FAM19A4,4930430F08RIK,MAGEH1,NEURL4,RNF152,TADA3,NDNF,CDC42EP1,GK2,PRSS27,GEN1,KIF18B,UFSP1,KRT71,JUNB,JAM2,CSTF2T,ZFP78,OLFR283,FAM136A,EN1,RAI1,AP3S2,SUDS3,BMPR2,TMEM167B,CSDE1,TMEM19,FAM149A,ZFP628,WFDC6A,TMEM8B,R3HDML,SNRPE,CMTM4
2	1	TRUE	0.0214	423	346	19	0.055	0.045	TF:M02114	tf	1	Factor: pitx2; motif: NNTAAWCCCA	1	MRPL57,GART,DHTKD1,GPCPD1,ABCD3,HPD,GIGYF1,COPB1,TYK2,DNAI2,H2-DMA,DHX38,SERPINA3A,MAP3K9,LGALS2,CYP20A1,CCDC69,9630041A04RIK,ZFP628
3	1	TRUE	0.0214	423	346	19	0.055	0.045	TF:M02114_0	tf	1	Factor: pitx2; motif: NNTAAWCCCA; match class: 0	2	MRPL57,GART,DHTKD1,GPCPD1,ABCD3,HPD,GIGYF1,COPB1,TYK2,DNAI2,H2-DMA,DHX38,SERPINA3A,MAP3K9,LGALS2,CYP20A1,CCDC69,9630041A04RIK,ZFP628
4	1	TRUE	0.00774	16078	346	289	0.835	0.018	TF:M04662	tf	3	Factor: FOXN4; motif: NNWANNCGWMCGCGTCNNNNMT	1	CAV2,CDH1,SOX9,CFP,DPP9,HOXC13,HOXC8,UBL3,FBXO7,FAM98A,IRF9,TMEM143,WARS2,DNAJB11,SYT5,HMOX1,CIC,BLOC1S6,TBCB,TCAP,PHOX2A,PRPF31,ZFP790,MSH3,EPS8,ADAMTSL4,NELFCD,CD46,ALDOC,CD40,TTPAL,CWC25,ACADVL,CPSF4L,ALDH3A1,FBXO5,TRAF3IP2,TIMP3,POLRMT,GFPT2,UPP1,PIK3CG,PFN4,NOS2,TMIGD1,SPAG9,DLX4,PER1,KRT36,AHSA1,CDCA7L,GPR137B,PTDSS1,PCSK1,MCCC2,BTD,OXNAD1,MRPL57,6030458C11RIK,TTC23L,ADAMTS20,SREBF2,SDF2L1,GART,SNCG,CYPT1,RRP36,NUDT3,ZFP523,PFDN6,MRPS18B,SNX24,4930546C10RIK,MRPL21,MOB2,CSNK1D,GOT1,GBF1,GNL3L,UBE3A,NAB2,PHF6,SEC11A,DHTKD1,CPLX2,MYO5B,GRIA4,RB1CC1,NDUFB3,MGAT4A,TUBA4A,ADIPOR1,DDR2,HSD17B7,METTL13,KLHL20,RABGAP1L,MORN5,CLP1,KATNBL1,NOP10,API5,EXT2,GPCPD1,STX16,EXOSC9,ARHGEF2,DCLK2,METTL14,ABCD3,PPP3R2,HSDL2,MLLT3,TMEM50A,MECR,SLC2A5,SEL1L3,CCKAR,TMEM165,REST,CCNG2,RAB35,PSMG3,UBE3B,RASL11A,ASB15,GIGYF1,PRADC1,PLXND1,DENND5B,PPM1N,PDCD5,CCDC90B,COPB1,KNOP1,CHRDL1,HCFC1,IRAK1,PROZ,TENM3,TMEM184C,DNAJA2,ZFP330,MMP15,CMTM3,ABCB10,TYK2,CHRNA3,CYP11A1,ME1,ARAP1,3830406C13RIK,TNXB,FRRS1,ARHGAP44,ARHGEF5,FGG,MAP9,CPSF1,PTGDR2,LSM3,PKD2,SEC22A,DNAI2,NUP54,FAM151A,SIDT2,ELMOD2,TUBG1,DCAF10,UTP6,GTF3C4,THRSP,WDR18,PLEKHS1,GRAMD4,DENND5A,DDX26B,METAP2,LZTS1,PCDH8,CARD11,C1QB,LETMD1,H2-DMA,CPE,ZC3H7A,DHX38,GCC2,TRAPPC11,TBC1D32,4931409K22RIK,FAM198A,TXLNG,PARP12,BPIFB5,PTPN3,OST4,SIGLECF,TNFSF10,SECTM1B,6430573F11RIK,ZFAND1,COQ10A,CCDC40,CCDC114,ALX4,AQR,1110051M20RIK,TBL3,CREG1,FOXA3,SLC19A2,PRRXL1,AMMECR1L,BEND6,MAP3K9,NHLRC3,RASEF,EDEM3,TMEM221,LSM8,9930012K11RIK,INSIG1,LHFPL2,LYRM2,SDPR,FAM19A4,4930430F08RIK,NEURL4,RNF152,LDLRAD3,ZDHHC22,TADA3,NDNF,CYP20A1,OLFR1449,CDC42EP1,CCDC69,FBXL22,PRSS27,ZFP455,GEN1,KIF18B,UFSP1,DCUN1D4,JUNB,JAM2,SEC61B,CSTF2T,MSI1,OLFR283,ZBTB25,IER5,CSPP1,SAA2,FAM136A,EN1,1700020N15RIK,GRB2,TMEM263,SUCLG2,RAI1,ICA1,KCNMA1,AP3S2,PAQR9,SUDS3,MYO1H,CRYBA4,BMPR2,TMEM167B,CSDE1,FAM149A,TAS2R115,INTS5,SOD3,GM9,GM6034,ZFP628,BGLAP3,TMEM8B,FAM228A,UTP14B,CERS1,SNRPE,KCNB2,A630095N17RIK,CMTM4
5	1	TRUE	0.00774	16078	346	289	0.835	0.018	TF:M04662_0	tf	3	Factor: FOXN4; motif: NNWANNCGWMCGCGTCNNNNMT; match class: 0	2	CAV2,CDH1,SOX9,CFP,DPP9,HOXC13,HOXC8,UBL3,FBXO7,FAM98A,IRF9,TMEM143,WARS2,DNAJB11,SYT5,HMOX1,CIC,BLOC1S6,TBCB,TCAP,PHOX2A,PRPF31,ZFP790,MSH3,EPS8,ADAMTSL4,NELFCD,CD46,ALDOC,CD40,TTPAL,CWC25,ACADVL,CPSF4L,ALDH3A1,FBXO5,TRAF3IP2,TIMP3,POLRMT,GFPT2,UPP1,PIK3CG,PFN4,NOS2,TMIGD1,SPAG9,DLX4,PER1,KRT36,AHSA1,CDCA7L,GPR137B,PTDSS1,PCSK1,MCCC2,BTD,OXNAD1,MRPL57,6030458C11RIK,TTC23L,ADAMTS20,SREBF2,SDF2L1,GART,SNCG,CYPT1,RRP36,NUDT3,ZFP523,PFDN6,MRPS18B,SNX24,4930546C10RIK,MRPL21,MOB2,CSNK1D,GOT1,GBF1,GNL3L,UBE3A,NAB2,PHF6,SEC11A,DHTKD1,CPLX2,MYO5B,GRIA4,RB1CC1,NDUFB3,MGAT4A,TUBA4A,ADIPOR1,DDR2,HSD17B7,METTL13,KLHL20,RABGAP1L,MORN5,CLP1,KATNBL1,NOP10,API5,EXT2,GPCPD1,STX16,EXOSC9,ARHGEF2,DCLK2,METTL14,ABCD3,PPP3R2,HSDL2,MLLT3,TMEM50A,MECR,SLC2A5,SEL1L3,CCKAR,TMEM165,REST,CCNG2,RAB35,PSMG3,UBE3B,RASL11A,ASB15,GIGYF1,PRADC1,PLXND1,DENND5B,PPM1N,PDCD5,CCDC90B,COPB1,KNOP1,CHRDL1,HCFC1,IRAK1,PROZ,TENM3,TMEM184C,DNAJA2,ZFP330,MMP15,CMTM3,ABCB10,TYK2,CHRNA3,CYP11A1,ME1,ARAP1,3830406C13RIK,TNXB,FRRS1,ARHGAP44,ARHGEF5,FGG,MAP9,CPSF1,PTGDR2,LSM3,PKD2,SEC22A,DNAI2,NUP54,FAM151A,SIDT2,ELMOD2,TUBG1,DCAF10,UTP6,GTF3C4,THRSP,WDR18,PLEKHS1,GRAMD4,DENND5A,DDX26B,METAP2,LZTS1,PCDH8,CARD11,C1QB,LETMD1,H2-DMA,CPE,ZC3H7A,DHX38,GCC2,TRAPPC11,TBC1D32,4931409K22RIK,FAM198A,TXLNG,PARP12,BPIFB5,PTPN3,OST4,SIGLECF,TNFSF10,SECTM1B,6430573F11RIK,ZFAND1,COQ10A,CCDC40,CCDC114,ALX4,AQR,1110051M20RIK,TBL3,CREG1,FOXA3,SLC19A2,PRRXL1,AMMECR1L,BEND6,MAP3K9,NHLRC3,RASEF,EDEM3,TMEM221,LSM8,9930012K11RIK,INSIG1,LHFPL2,LYRM2,SDPR,FAM19A4,4930430F08RIK,NEURL4,RNF152,LDLRAD3,ZDHHC22,TADA3,NDNF,CYP20A1,OLFR1449,CDC42EP1,CCDC69,FBXL22,PRSS27,ZFP455,GEN1,KIF18B,UFSP1,DCUN1D4,JUNB,JAM2,SEC61B,CSTF2T,MSI1,OLFR283,ZBTB25,IER5,CSPP1,SAA2,FAM136A,EN1,1700020N15RIK,GRB2,TMEM263,SUCLG2,RAI1,ICA1,KCNMA1,AP3S2,PAQR9,SUDS3,MYO1H,CRYBA4,BMPR2,TMEM167B,CSDE1,FAM149A,TAS2R115,INTS5,SOD3,GM9,GM6034,ZFP628,BGLAP3,TMEM8B,FAM228A,UTP14B,CERS1,SNRPE,KCNB2,A630095N17RIK,CMTM4
6	1	TRUE	0.0214	8944	346	178	0.514	0.02	TF:M00932	tf	2	Factor: Sp1; motif: NNGGGGCGGGGNN	1	CAV2,SOX9,CFP,HOXC13,UBL3,FAM98A,WARS2,SYT5,CIC,BLOC1S6,TBCB,TCAP,PHOX2A,MSH3,ADAMTSL4,NELFCD,CD40,CWC25,ALDH3A1,FBXO5,TIMP3,POLRMT,UPP1,ALLC,SPAG9,DLX4,PER1,CDCA7L,PTDSS1,BTD,OXNAD1,ADAMTS20,SREBF2,SDF2L1,GART,SNCG,RRP36,NUDT3,ZFP523,PFDN6,MRPS18B,CSNK1D,GOT1,GBF1,UBE3A,NAB2,SEC11A,CPLX2,MYO5B,MGAT4A,TUBA4A,ADIPOR1,METTL13,MORN5,CLP1,GPCPD1,MALL,STX16,TM4SF1,DCLK2,ABCD3,HSDL2,MLLT3,TMEM50A,MECR,SLC2A5,SEL1L3,REST,CCNG2,HPD,RAB35,RASL11A,PRADC1,PLXND1,DENND5B,CCDC90B,COPB1,HCFC1,PROZ,DNAJA2,CMTM3,ABCB10,TYK2,CHRNA3,ME1,ARAP1,ARHGEF5,PTGDR2,LSM3,SEC22A,NUP54,ELMOD2,TUBG1,NAT14,DCAF10,UTP6,GTF3C4,WDR18,DENND5A,DDX26B,LZTS1,CARD11,EHMT1,LETMD1,H2-DMA,ZC3H7A,GCC2,TRAPPC11,TBC1D32,FAM198A,TXLNG,HFE2,BPIFB5,OST4,CCDC68,6430573F11RIK,ZFAND1,COQ10A,CCDC40,CCDC114,ALX4,TBL3,FOXA3,SLC19A2,PRRXL1,AMMECR1L,BEND6,MAP3K9,NHLRC3,RASEF,TMEM221,1190005I06RIK,LSM8,9930012K11RIK,INSIG1,LHFPL2,LYRM2,FAM19A4,MAGEH1,LDLRAD3,TADA3,CDC42EP1,PRSS27,GEN1,UFSP1,DCUN1D4,JUNB,JAM2,SEC61B,CSTF2T,MSI1,OLFR283,ZBTB25,FAM136A,EN1,GRB2,TMEM263,SUCLG2,RAI1,ICA1,KCNMA1,PAQR9,SUDS3,CRYBA4,BMPR2,TMEM167B,CSDE1,TMEM19,FAM149A,ZFP628,WFDC6A,TMEM8B,UTP14B,CERS1,SNRPE,KCNB2,A630095N17RIK,CMTM4
7	1	TRUE	0.0214	8944	346	178	0.514	0.02	TF:M00932_0	tf	2	Factor: Sp1; motif: NNGGGGCGGGGNN; match class: 0	2	CAV2,SOX9,CFP,HOXC13,UBL3,FAM98A,WARS2,SYT5,CIC,BLOC1S6,TBCB,TCAP,PHOX2A,MSH3,ADAMTSL4,NELFCD,CD40,CWC25,ALDH3A1,FBXO5,TIMP3,POLRMT,UPP1,ALLC,SPAG9,DLX4,PER1,CDCA7L,PTDSS1,BTD,OXNAD1,ADAMTS20,SREBF2,SDF2L1,GART,SNCG,RRP36,NUDT3,ZFP523,PFDN6,MRPS18B,CSNK1D,GOT1,GBF1,UBE3A,NAB2,SEC11A,CPLX2,MYO5B,MGAT4A,TUBA4A,ADIPOR1,METTL13,MORN5,CLP1,GPCPD1,MALL,STX16,TM4SF1,DCLK2,ABCD3,HSDL2,MLLT3,TMEM50A,MECR,SLC2A5,SEL1L3,REST,CCNG2,HPD,RAB35,RASL11A,PRADC1,PLXND1,DENND5B,CCDC90B,COPB1,HCFC1,PROZ,DNAJA2,CMTM3,ABCB10,TYK2,CHRNA3,ME1,ARAP1,ARHGEF5,PTGDR2,LSM3,SEC22A,NUP54,ELMOD2,TUBG1,NAT14,DCAF10,UTP6,GTF3C4,WDR18,DENND5A,DDX26B,LZTS1,CARD11,EHMT1,LETMD1,H2-DMA,ZC3H7A,GCC2,TRAPPC11,TBC1D32,FAM198A,TXLNG,HFE2,BPIFB5,OST4,CCDC68,6430573F11RIK,ZFAND1,COQ10A,CCDC40,CCDC114,ALX4,TBL3,FOXA3,SLC19A2,PRRXL1,AMMECR1L,BEND6,MAP3K9,NHLRC3,RASEF,TMEM221,1190005I06RIK,LSM8,9930012K11RIK,INSIG1,LHFPL2,LYRM2,FAM19A4,MAGEH1,LDLRAD3,TADA3,CDC42EP1,PRSS27,GEN1,UFSP1,DCUN1D4,JUNB,JAM2,SEC61B,CSTF2T,MSI1,OLFR283,ZBTB25,FAM136A,EN1,GRB2,TMEM263,SUCLG2,RAI1,ICA1,KCNMA1,PAQR9,SUDS3,CRYBA4,BMPR2,TMEM167B,CSDE1,TMEM19,FAM149A,ZFP628,WFDC6A,TMEM8B,UTP14B,CERS1,SNRPE,KCNB2,A630095N17RIK,CMTM4
8	1	TRUE	0.0214	423	346	19	0.055	0.045	TF:M07056	tf	8	Factor: Pitx2; motif: WNTAAWCCCA	1	MRPL57,GART,DHTKD1,GPCPD1,ABCD3,HPD,GIGYF1,COPB1,TYK2,DNAI2,H2-DMA,DHX38,SERPINA3A,MAP3K9,LGALS2,CYP20A1,CCDC69,9630041A04RIK,ZFP628
9	1	TRUE	0.0214	423	346	19	0.055	0.045	TF:M07056_0	tf	8	Factor: Pitx2; motif: WNTAAWCCCA; match class: 0	2	MRPL57,GART,DHTKD1,GPCPD1,ABCD3,HPD,GIGYF1,COPB1,TYK2,DNAI2,H2-DMA,DHX38,SERPINA3A,MAP3K9,LGALS2,CYP20A1,CCDC69,9630041A04RIK,ZFP628
10	1	TRUE	0.0214	15303	346	275	0.795	0.018	TF:M07991	tf	9	Factor: Hes1; motif: NNCACGYGNN	1	CAV2,CDH1,SOX9,DPP9,HOXC13,HOXC8,UBL3,FBXO7,FAM98A,IRF9,TMEM143,WARS2,DNAJB11,SYT5,HMOX1,CIC,BLOC1S6,TBCB,TCAP,PHOX2A,PRPF31,MSH3,ADAMTSL4,NELFCD,CD40,TTPAL,CPSF4L,ALDH3A1,FBXO5,TRAF3IP2,TIMP3,POLRMT,GFPT2,UPP1,IGFBP1,PFN4,NOS2,TMIGD1,SPAG9,DLX4,PER1,AHSA1,CDCA7L,GPR137B,PTDSS1,PCSK1,MCCC2,MSS51,BTD,OXNAD1,6030458C11RIK,TTC23L,ADAMTS20,SREBF2,SDF2L1,GART,SNCG,SULT1C2,RRP36,NUDT3,PFDN6,MRPS18B,SNX24,4930546C10RIK,MS4A1,MRPL21,MOB2,CSNK1D,HPS1,GOT1,GBF1,GNL3L,UBE3A,NAB2,PHF6,SEC11A,DHTKD1,CPLX2,GRIA4,RB1CC1,NDUFB3,MGAT4A,TUBA4A,AGXT,ATP6V1G3,ADIPOR1,DDR2,HSD17B7,METTL13,KLHL20,RABGAP1L,MORN5,CLP1,KATNBL1,NOP10,API5,EXT2,GPCPD1,MALL,STX16,ARHGEF2,DCLK2,METTL14,ABCD3,THEM5,PPP3R2,HSDL2,MLLT3,TMEM50A,MECR,SLC2A5,TAS1R3,SEL1L3,CCKAR,TMEM165,REST,CCNG2,WDR66,HPD,FAM168A,RAB35,PSMG3,UBE3B,RASL11A,ASB15,GIGYF1,PRADC1,BMP10,A2M,PLXND1,DENND5B,PPM1N,PDCD5,CCDC90B,COPB1,KNOP1,CHRDL1,HCFC1,IRAK1,PROZ,TENM3,ASH2L,DNAJA2,ZFP330,MMP15,CMTM3,ABCB10,CHRNA3,CYP11A1,ME1,ARAP1,ARHGAP44,ARHGEF5,FGG,MAP9,CPSF1,PTGDR2,LSM3,PKD2,SEC22A,DNAI2,NUP54,FAM151A,SIDT2,ELMOD2,TUBG1,DCAF10,UTP6,GTF3C4,THRSP,WDR18,GRAMD4,DENND5A,DDX26B,METAP2,LZTS1,PCDH8,EHMT1,C1QB,LETMD1,H2-DMA,CPE,ZC3H7A,DHX38,GCC2,TRAPPC11,TBC1D32,4931409K22RIK,FAM198A,TXLNG,PTPN3,OST4,TNFSF10,SECTM1B,6430573F11RIK,COQ10A,CCDC40,CCDC114,ALX4,1110051M20RIK,TBL3,CREG1,SLC19A2,PRRXL1,AMMECR1L,BEND6,MAP3K9,NHLRC3,RASEF,EDEM3,TMEM221,1190005I06RIK,LSM8,9930012K11RIK,INSIG1,LHFPL2,LYRM2,SDPR,FAM19A4,4930430F08RIK,MAGEH1,NEURL4,RNF152,LDLRAD3,ZDHHC22,TADA3,NDNF,CYP20A1,CDC42EP1,FBXL22,GK2,ZFP455,GEN1,KIF18B,UFSP1,DCUN1D4,KRT71,JUNB,SEC61B,MSI1,OLFR283,ZBTB25,IER5,VMN1R234,FAM136A,9630041A04RIK,EN1,1700020N15RIK,GRB2,TMEM263,SUCLG2,RAI1,ICA1,KCNMA1,AP3S2,PAQR9,MYO1H,CRYBA4,BMPR2,TMEM167B,CSDE1,TMEM19,REN2,NOXRED1,SOD3,GM9,ZFP628,BGLAP3,WFDC6A,TMEM8B,FAM228A,UTP14B,CERS1,SNRPE,KCNB2
