name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:848	arthritis	649	51	1.83	4.72	1.1e-05	0.0026	2.09	1.5	2.87
DOID:17	musculoskeletal system disease	1239	83	1.56	4.62	8.2e-06	0.0026	1.83	1.4	2.39
DOID:3342	bone inflammation disease	686	52	1.77	4.49	2.6e-05	0.0032	2.01	1.44	2.75
DOID:0050161	lower respiratory tract disease	656	50	1.78	4.43	3.2e-05	0.0032	2.01	1.44	2.77
DOID:65	connective tissue disease	1050	71	1.58	4.3	3.4e-05	0.0032	1.81	1.36	2.4
DOID:1579	respiratory system disease	691	51	1.72	4.23	6.3e-05	0.0048	1.94	1.39	2.66
DOID:854	collagen disease	181	20	2.58	4.55	8.6e-05	0.0049	2.9	1.7	4.72
DOID:850	lung disease	435	36	1.93	4.24	9.2e-05	0.0049	2.15	1.45	3.11
DOID:0080001	bone disease	833	58	1.62	4.07	9.7e-05	0.0049	1.83	1.34	2.48
DOID:1588	thrombocytopenia	47	9	4.47	5.05	0.00014	0.0063	5.42	2.28	11.5
DOID:2213	hemorrhagic disease	133	16	2.81	4.45	0.00016	0.0063	3.17	1.73	5.46
DOID:7148	rheumatoid arthritis	498	39	1.83	4.05	0.00015	0.0063	2.03	1.39	2.9
DOID:1247	blood coagulation disease	164	17	2.42	3.89	0.00062	0.021	2.68	1.5	4.51
DOID:37	skin disease	571	41	1.68	3.56	0.00064	0.021	1.84	1.28	2.6
DOID:1575	rheumatic disease	169	17	2.35	3.75	0.00087	0.022	2.59	1.45	4.36
DOID:419	scleroderma	169	17	2.35	3.75	0.00087	0.022	2.59	1.45	4.36
DOID:418	systemic scleroderma	169	17	2.35	3.75	0.00087	0.022	2.59	1.45	4.36
DOID:16	integumentary system disease	595	42	1.65	3.49	0.00077	0.022	1.81	1.26	2.55
DOID:15	reproductive system disease	490	36	1.71	3.47	0.00092	0.022	1.88	1.27	2.7
DOID:2218	blood platelet disease	73	10	3.2	3.99	0.001	0.023	3.63	1.64	7.22
DOID:2942	bronchiolitis	39	7	4.19	4.22	0.0012	0.024	4.98	1.84	11.6
DOID:2320	obstructive lung disease	205	19	2.16	3.58	0.0012	0.024	2.37	1.37	3.87
DOID:3083	chronic obstructive pulmonary disease	205	19	2.16	3.58	0.0012	0.024	2.37	1.37	3.87
DOID:437	myasthenia gravis	40	7	4.08	4.14	0.0014	0.026	4.83	1.79	11.2
DOID:439	neuromuscular junction disease	41	7	3.98	4.05	0.0016	0.029	4.68	1.74	10.8
DOID:3086	gingival overgrowth	13	4	7.18	4.72	0.0017	0.03	10	2.25	36.2
DOID:1176	bronchial disease	364	28	1.8	3.3	0.0018	0.03	1.95	1.25	2.93
DOID:0050339	commensal bacterial infectious disease	43	7	3.8	3.9	0.0021	0.033	4.42	1.65	10.2
DOID:75	lymphatic system disease	108	12	2.59	3.53	0.0021	0.033	2.87	1.41	5.32
DOID:9351	diabetes mellitus	818	52	1.48	3.11	0.002	0.033	1.62	1.17	2.22
DOID:1483	gingival disease	33	6	4.24	3.95	0.0024	0.035	5.04	1.69	12.6
DOID:2841	asthma	355	27	1.77	3.17	0.0025	0.035	1.92	1.22	2.91
DOID:0060056	hypersensitivity reaction disease	828	52	1.47	3.02	0.0026	0.035	1.6	1.15	2.19
DOID:2914	immune system disease	987	60	1.42	3	0.0026	0.035	1.56	1.14	2.09
DOID:1116	pertussis	35	6	4	3.77	0.0033	0.039	4.69	1.58	11.6
DOID:3326	purpura	71	9	2.96	3.51	0.0031	0.039	3.31	1.43	6.79
DOID:2723	dermatitis	222	19	2	3.19	0.003	0.039	2.16	1.26	3.53
DOID:1040	chronic lymphocytic leukemia	191	17	2.08	3.19	0.0033	0.039	2.25	1.26	3.78
DOID:0050013	carbohydrate metabolism disease	858	53	1.44	2.92	0.0034	0.039	1.57	1.13	2.14
DOID:4194	glucose metabolism disease	858	53	1.44	2.92	0.0034	0.039	1.57	1.13	2.14
DOID:3388	periodontal disease	132	13	2.3	3.19	0.0042	0.047	2.5	1.28	4.52
DOID:0014667	disease of metabolism	1280	73	1.33	2.77	0.0045	0.049	1.46	1.1	1.93
