query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0439	557	882	48	0.054	0.086	GO:0032101	BP	6	regulation of response to external stimulus	1	TSPAN32,ACP5,TGFB1,ZP3,CYP27B1,AGER,LBP,ADA,TNFAIP3,PLEK,MMP28,ARG2,PRKCD,WNT5A,LTA,PIK3AP1,IL17A,IL1RL1,TNFSF4,DUOXA2,EDN2,HGF,PF4,CXCL3,CD9,FGF16,RYK,GPSM3,CACTIN,CCL5,ELMOD2,FOXP3,SOX15,ANKRD42,CMKLR1,ZC3H12A,KRT1,TICAM1,CXCR3,GPR183,SPN,TREML4,FPR2,TARM1,MAPK14,HOPX,KLK5,CEACAM1
2	1	TRUE	0.0439	211	882	24	0.027	0.114	GO:0032103	BP	6	positive regulation of response to external stimulus	2	TGFB1,ZP3,CYP27B1,AGER,LBP,WNT5A,LTA,IL17A,IL1RL1,TNFSF4,EDN2,PF4,CXCL3,FGF16,GPSM3,CCL5,ANKRD42,CMKLR1,TICAM1,CXCR3,FPR2,TARM1,MAPK14,KLK5
3	1	TRUE	0.0439	145	882	19	0.022	0.131	GO:0043901	BP	3	negative regulation of multi-organism process	1	ZP3,LBP,ADA,TNFAIP3,ARG2,LTA,TRIM26,NPPC,APCS,CACTIN,CCL5,SCD1,NODAL,MBL1,ZC3H12A,RNASEL,CEACAM1,OVGP1,TRPC2
4	1	TRUE	0.0439	1136	882	80	0.091	0.07	GO:0006952	BP	7	defense response	1	TSPAN32,CLEC10A,ACP5,TGFB1,GRAP,ZP3,IL27RA,CYP27B1,SPACA7,AGER,LBP,CD40,ADA,TNFAIP3,9530003J23RIK,PIK3CG,P2RX1,MAP3K14,ARG2,PRKCD,WNT5A,TNFRSF10B,LYZL1,LTA,TRIM26,ANKHD1,PIK3AP1,IL17A,IL1RL1,APCS,TNFSF4,DUOXA2,IL21,HGF,PF4,CXCL3,CLEC4D,KLRK1,CD19,CCL17,CD207,GPSM3,CACTIN,CCL5,GPR33,ELMOD2,SCD1,PRF1,MBL1,FOXP3,AICDA,CHIL3,ANKRD42,SHC1,ZC3H12A,DEFB29,PIK3R6,KRT1,TICAM1,HIST1H2BE,KLRE1,DEFB19,SPN,TREML4,FPR2,HRH1,BCL3,TARM1,MAPK14,PTAFR,AGBL4,TNFAIP8,RNASEL,NLRP1A,PTGDR,KLK5,CEACAM1,IGHG3,IGTP,GBP6
5	1	TRUE	0.0439	436	882	39	0.044	0.089	GO:0006954	BP	7	inflammatory response	2	CLEC10A,ACP5,TGFB1,ZP3,AGER,LBP,CD40,ADA,TNFAIP3,PIK3CG,P2RX1,WNT5A,TNFRSF10B,LTA,PIK3AP1,IL17A,IL1RL1,TNFSF4,DUOXA2,HGF,PF4,CXCL3,CCL17,GPSM3,CCL5,GPR33,FOXP3,CHIL3,ANKRD42,ZC3H12A,KRT1,TICAM1,SPN,FPR2,HRH1,TARM1,MAPK14,PTAFR,PTGDR
6	1	TRUE	0.0439	573	882	47	0.053	0.082	GO:0001816	BP	1	cytokine production	1	ACP5,TBX21,TGFB1,ZP3,IL27RA,AGER,LBP,SULF1,CD40,TNFAIP3,ARG2,PRKCD,WNT5A,LAPTM4B,LTA,IL17A,IL1RL1,IL18R1,TNFSF4,IL1F8,IL21,HGF,PF4,KLRK1,SLC37A4,GPSM3,CACTIN,CCL5,NODAL,OTUD7B,FOXP3,ANKRD42,CMKLR1,ZC3H12A,CLEC9A,TICAM1,CXCR3,KLRE1,SPN,BCL3,TARM1,MAPK14,PTAFR,TNFAIP8,TNFRSF13C,NLRP1A,CEACAM1
7	1	TRUE	0.0446	512	882	43	0.049	0.084	GO:0001817	BP	1	regulation of cytokine production	1	ACP5,TBX21,TGFB1,ZP3,IL27RA,AGER,LBP,SULF1,CD40,TNFAIP3,ARG2,WNT5A,LAPTM4B,LTA,IL17A,IL1RL1,IL18R1,TNFSF4,IL1F8,IL21,HGF,PF4,KLRK1,SLC37A4,GPSM3,CACTIN,CCL5,NODAL,OTUD7B,FOXP3,ANKRD42,CMKLR1,ZC3H12A,CLEC9A,TICAM1,KLRE1,SPN,BCL3,TARM1,MAPK14,TNFRSF13C,NLRP1A,CEACAM1
8	1	TRUE	0.0439	90	882	14	0.016	0.156	GO:0032649	BP	1	regulation of interferon-gamma production	2	ZP3,IL27RA,WNT5A,LTA,IL1RL1,IL18R1,TNFSF4,IL21,KLRK1,FOXP3,ZC3H12A,KLRE1,BCL3,TNFRSF13C
9	1	TRUE	0.0439	336	882	32	0.036	0.095	GO:0001819	BP	1	positive regulation of cytokine production	1	TGFB1,ZP3,IL27RA,AGER,LBP,SULF1,CD40,WNT5A,LTA,IL17A,IL1RL1,IL18R1,TNFSF4,IL1F8,IL21,HGF,PF4,KLRK1,GPSM3,CCL5,NODAL,FOXP3,ANKRD42,CLEC9A,TICAM1,KLRE1,SPN,BCL3,TARM1,MAPK14,TNFRSF13C,NLRP1A
10	1	TRUE	0.0138	2	25	2	0.08	1	CORUM:1076	cor	11	Pkd2-Pkhd1 complex	1	PKD2,PKHD1
