query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00471	40	177	5	0.028	0.125	GO:0010257	BP	129	NADH dehydrogenase complex assembly	1	NDUFA2,NDUFA5,NDUFAB1,NDUFB7,NDUFA3
2	1	TRUE	0.0322	70	177	5	0.028	0.071	GO:0033108	BP	129	mitochondrial respiratory chain complex assembly	1	NDUFA2,NDUFA5,NDUFAB1,NDUFB7,NDUFA3
3	1	TRUE	0.00471	40	177	5	0.028	0.125	GO:0032981	BP	129	mitochondrial respiratory chain complex I assembly	2	NDUFA2,NDUFA5,NDUFAB1,NDUFB7,NDUFA3
4	1	TRUE	0.00804	1352	177	27	0.153	0.02	GO:0051049	BP	44	regulation of transport	1	RAB5B,KCNN3,EMD,SLC25A5,MED1,PPP1R12A,PER1,ATP8A2,RANGAP1,STXBP5L,IFNAR1,SYNJ1,EPHA5,C2CD5,ARL6IP1,LAMP1,CHMP2A,MAGI2,CACNA2D1,MBP,ZBED3,SETD2,GSG1L,KCNB1,REEP1,RIT2,CRY2
5	1	TRUE	0.0206	337	177	11	0.062	0.033	GO:0032386	BP	44	regulation of intracellular transport	1	KCNN3,EMD,MED1,PPP1R12A,RANGAP1,C2CD5,LAMP1,ZBED3,SETD2,KCNB1,REEP1
6	1	TRUE	0.0443	12725	177	134	0.757	0.011	GO:0009987	BP	40	cellular process	1	COX5A,RAB5B,KCNN3,IFT20,EMD,PEG3,CLPP,HDGF,POR,KMT2B,STAMBP,CHRD,DIO2,GIT1,LY6G6E,NDUFA2,RNF5,SLC25A5,EIF3D,PGS1,MED1,PPP1R12A,CNOT2,PATZ1,DBNL,PER1,SPIN1,HCN1,NR1D2,ATP8A2,DPYSL2,SUB1,FAM49B,RANGAP1,PYCRL,STXBP5L,DYRK1A,SON,IFNAR1,NDUFA5,DNASE1L2,MSH2,SF3B2,SMC3,SLK,HDGFRP3,PI4K2A,LBX1,MAP3K7CL,NFASC,MEIS2,TYRO3,AURKA,DCUN1D1,PPM1L,GUCY1B3,PEX11B,SNAPC3,MRTO4,SLC30A2,EPHA5,DDX55,POLE4,TMCC1,C2CD5,HERC2,TYROBP,ANAPC15,ARL6IP1,NDUFAB1,LAMP1,DCTN6,GSR,CDH11,ABHD12,ATXN2L,PWP2,ARHGEF17,FNDC3A,PIK3C3,TUBGCP5,CHMP2A,NDUFB7,GTF2H5,WDR5B,NDUFA3,DOK3,CEP19,TDP2,KDM6A,ZFP365,RCOR1,PTPDC1,TRAPPC11,MAGI2,CACNA2D1,USP45,HMGN1,CDK13,MBP,GUCY1A2,WIPI1,ZBED3,RBM7,RPS2,SETD2,TUBB2B,ONECUT3,GSG1L,RPS8,ATG16L2,MARCKSL1,KCNB1,TMEM150C,LTN1,REEP1,HS6ST3,SPOCK3,CADPS,KCNQ3,TATDN2,RIT2,DDN,SLC9A6,MYT1L,PSTK,PCDHB5,TACC1,CRY2,GMPPB,ECSCR,LY6G6C,E030030I06RIK,ZFP383
7	1	TRUE	0.0414	210	177	8	0.045	0.038	GO:0051301	BP	40	cell division	2	STAMBP,GIT1,SON,AURKA,PIK3C3,CHMP2A,ZFP365,SETD2
8	1	TRUE	0.0166	565	177	15	0.085	0.027	GO:0007017	BP	40	microtubule-based process	2	IFT20,PPP1R12A,SON,SMC3,SLK,HDGFRP3,AURKA,LAMP1,DCTN6,TUBGCP5,CHMP2A,CEP19,SETD2,TUBB2B,TACC1
9	1	TRUE	0.000539	4914	177	73	0.412	0.015	GO:0071840	BP	40	cellular component organization or biogenesis	1	RAB5B,KCNN3,IFT20,KMT2B,GIT1,NDUFA2,RNF5,SLC25A5,EIF3D,MED1,LTV1,PPP1R12A,CNOT2,DBNL,PER1,SPIN1,HCN1,ATP8A2,DPYSL2,SUB1,SON,NDUFA5,MSH2,SMC3,SLK,HDGFRP3,PI4K2A,NFASC,TYRO3,AURKA,PEX11B,MRTO4,EPHA5,POLE4,TMCC1,C2CD5,ANAPC15,ARL6IP1,NDUFAB1,DCTN6,CDH11,ATXN2L,PWP2,ARHGEF17,PIK3C3,TUBGCP5,CHMP2A,NDUFB7,GTF2H5,WDR5B,NDUFA3,CEP19,KDM6A,ZFP365,RCOR1,PTPDC1,TRAPPC11,MAGI2,HMGN1,MBP,WIPI1,ZBED3,SETD2,TUBB2B,RPS8,ATG16L2,REEP1,CADPS,RIT2,SLC9A6,PCDHB5,TACC1,LY6G6C
10	1	TRUE	0.00471	2243	177	39	0.22	0.017	GO:0044085	BP	40	cellular component biogenesis	2	IFT20,NDUFA2,RNF5,EIF3D,LTV1,CNOT2,DBNL,HCN1,SUB1,NDUFA5,SMC3,SLK,HDGFRP3,NFASC,AURKA,PEX11B,MRTO4,TMCC1,ARL6IP1,NDUFAB1,ATXN2L,PWP2,PIK3C3,TUBGCP5,CHMP2A,NDUFB7,GTF2H5,WDR5B,NDUFA3,CEP19,PTPDC1,TRAPPC11,MAGI2,WIPI1,RPS8,ATG16L2,CADPS,PCDHB5,LY6G6C
