name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-72766	Translation	258	26	2.92	5.9	9e-07	0.00033	3.3	2.08	5.06
R-HSA-8953854	Metabolism of RNA	646	46	2.06	5.27	1.9e-06	0.00035	2.32	1.64	3.21
R-HSA-72613	Eukaryotic Translation Initiation	119	14	3.4	4.99	5.9e-05	0.0048	3.84	2.01	6.82
R-HSA-72737	Cap-dependent Translation Initiation	119	14	3.4	4.99	5.9e-05	0.0048	3.84	2.01	6.82
R-HSA-392499	Metabolism of proteins	1907	95	1.44	4.06	6.7e-05	0.0048	1.64	1.27	2.1
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	111	13	3.39	4.79	0.00011	0.0064	3.81	1.94	6.91
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	112	13	3.36	4.75	0.00012	0.0064	3.77	1.92	6.84
R-HSA-72689	Formation of a pool of free 40S subunits	101	12	3.44	4.66	0.00018	0.0082	3.87	1.91	7.18
R-HSA-72312	rRNA processing	201	18	2.59	4.31	2e-04	0.0082	2.84	1.63	4.69
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	93	11	3.42	4.44	0.00035	0.013	3.84	1.83	7.32
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	95	11	3.35	4.36	0.00042	0.014	3.75	1.78	7.13
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	182	16	2.54	3.98	0.00056	0.017	2.77	1.53	4.71
R-HSA-72649	Translation initiation complex formation	58	8	3.99	4.32	0.00079	0.019	4.55	1.85	9.78
R-HSA-72702	Ribosomal scanning and start codon recognition	58	8	3.99	4.32	0.00079	0.019	4.55	1.85	9.78
R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	59	8	3.92	4.26	0.00089	0.019	4.46	1.81	9.57
R-HSA-192823	Viral mRNA Translation	89	10	3.25	4.04	0.00096	0.019	3.61	1.65	7.08
R-HSA-168273	Influenza Viral RNA Transcription and Replication	133	13	2.83	4.02	0.00068	0.019	3.11	1.59	5.59
R-HSA-8868773	rRNA processing in the nucleus and cytosol	191	16	2.42	3.76	0.00094	0.019	2.63	1.45	4.46
R-HSA-168255	Influenza Life Cycle	143	13	2.63	3.72	0.0013	0.026	2.86	1.47	5.14
R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	51	7	3.97	4.03	0.0017	0.031	4.51	1.7	10.2
R-HSA-927802	Nonsense-Mediated Decay (NMD)	115	11	2.77	3.61	0.0021	0.034	3.02	1.45	5.7
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	115	11	2.77	3.61	0.0021	0.034	3.02	1.45	5.7
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	100	10	2.89	3.6	0.0023	0.037	3.17	1.46	6.17
R-HSA-168254	Influenza Infection	154	13	2.44	3.41	0.0026	0.039	2.64	1.36	4.72
R-HSA-8856828	Clathrin-mediated endocytosis	140	12	2.48	3.34	0.0033	0.048	2.68	1.33	4.9
