query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.049	111	215	6	0.028	0.054	GO:0016571	BP	183	histone methylation	1	SATB1,PHF1,SMAD4,COPRS,OGT,TET2
2	1	TRUE	0.0336	1893	215	36	0.167	0.019	GO:0065009	BP	139	regulation of molecular function	1	UBQLN1,GADD45B,EIF3D,ACSL1,CAND1,GGNBP2,HSP90AA1,RB1,PABPN1,EIF4A2,SMAD4,MAP3K7CL,PPM1F,DYNC1I2,GNAS,PFN2,PDE4B,ACTB,MEPCE,CAMK1,MPHOSPH10,ATP1B3,UVRAG,KIDINS220,PLXNB2,MDFIC,RGS8,PCSK9,PPM1E,EPM2AIP1,HEXIM1,ELFN1,CHCHD10,NTRK2,NTRK3,PTGES3
3	1	TRUE	0.0203	1385	215	30	0.14	0.022	GO:0050790	BP	139	regulation of catalytic activity	2	GADD45B,ACSL1,CAND1,GGNBP2,HSP90AA1,RB1,PABPN1,EIF4A2,MAP3K7CL,PPM1F,DYNC1I2,GNAS,PFN2,ACTB,CAMK1,MPHOSPH10,ATP1B3,UVRAG,KIDINS220,PLXNB2,MDFIC,RGS8,PPM1E,EPM2AIP1,HEXIM1,ELFN1,CHCHD10,NTRK2,NTRK3,PTGES3
4	1	TRUE	0.0107	701	215	20	0.093	0.029	GO:0051338	BP	139	regulation of transferase activity	3	GADD45B,ACSL1,GGNBP2,HSP90AA1,RB1,PABPN1,EIF4A2,MAP3K7CL,PPM1F,ACTB,CAMK1,UVRAG,KIDINS220,MDFIC,PPM1E,EPM2AIP1,HEXIM1,CHCHD10,NTRK3,PTGES3
5	1	TRUE	0.0435	978	215	22	0.102	0.022	GO:0051130	BP	42	positive regulation of cellular component organization	1	ACTR2,DOC2B,RB1,PHF1,SMAD4,HUWE1,POLR3A,PPM1F,PSMB7,PFN2,CAMK1,OGT,LRRN3,PLXNB2,CROCC,ARHGEF10L,KIRREL,PCSK9,PRKCE,PPM1E,NTRK2,NTRK3
6	1	TRUE	0.0411	141	215	7	0.033	0.05	GO:1902905	BP	42	positive regulation of supramolecular fiber organization	2	ACTR2,PPM1F,PFN2,ARHGEF10L,KIRREL,PRKCE,PPM1E
7	1	TRUE	0.0107	538	215	17	0.079	0.032	GO:0010638	BP	42	positive regulation of organelle organization	1	ACTR2,DOC2B,RB1,PHF1,SMAD4,HUWE1,POLR3A,PPM1F,PSMB7,PFN2,OGT,CROCC,ARHGEF10L,KIRREL,PRKCE,PPM1E,NTRK3
8	1	TRUE	0.0326	169	215	8	0.037	0.047	GO:0051495	BP	42	positive regulation of cytoskeleton organization	2	ACTR2,PPM1F,PFN2,ARHGEF10L,KIRREL,PRKCE,PPM1E,NTRK3
9	1	TRUE	0.0435	41	215	4	0.019	0.098	GO:0032233	BP	42	positive regulation of actin filament bundle assembly	1	PPM1F,PFN2,ARHGEF10L,PPM1E
10	1	TRUE	0.0319	34	215	4	0.019	0.118	GO:0051496	BP	42	positive regulation of stress fiber assembly	1	PPM1F,PFN2,ARHGEF10L,PPM1E
11	1	TRUE	0.045	5	215	2	0.009	0.4	GO:0061087	BP	159	positive regulation of histone H3-K27 methylation	1	PHF1,OGT
12	1	TRUE	0.0349	4	215	2	0.009	0.5	GO:1905323	BP	181	telomerase holoenzyme complex assembly	1	HSP90AA1,PTGES3
13	1	TRUE	0.0349	473	215	14	0.065	0.03	GO:0009725	BP	94	response to hormone	1	ACSL1,CSNK2B,GNAS,SESN3,OGT,SSTR1,RGS8,PCSK9,PRKCE,CHRM3,EPM2AIP1,ARNTL,NTRK2,PTGES3
14	1	TRUE	0.045	387	215	12	0.056	0.031	GO:0032870	BP	94	cellular response to hormone stimulus	1	ACSL1,CSNK2B,SESN3,OGT,SSTR1,RGS8,PCSK9,PRKCE,CHRM3,ARNTL,NTRK2,PTGES3
