name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-162909	Host Interactions of HIV factors	128	14	4.13	5.88	6.9e-06	0.0029	4.71	2.46	8.38
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	54	8	5.6	5.59	7.8e-05	0.014	6.56	2.65	14.2
R-HSA-4570464	SUMOylation of RNA binding proteins	46	7	5.75	5.32	0.00019	0.014	6.75	2.52	15.5
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	60	8	5.04	5.17	0.00017	0.014	5.8	2.36	12.5
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	55	7	4.81	4.67	0.00058	0.014	5.48	2.07	12.3
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	56	7	4.72	4.61	0.00064	0.014	5.37	2.03	12.1
R-HSA-5362768	Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	56	7	4.72	4.61	0.00064	0.014	5.37	2.03	12.1
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	86	9	3.95	4.54	0.00043	0.014	4.41	1.92	8.95
R-HSA-453276	Regulation of mitotic cell cycle	86	9	3.95	4.54	0.00043	0.014	4.41	1.92	8.95
R-HSA-5610780	Degradation of GLI1 by the proteasome	57	7	4.64	4.54	0.00072	0.014	5.26	1.99	11.8
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	72	8	4.2	4.49	6e-04	0.014	4.71	1.93	9.98
R-HSA-69275	G2/M Transition	195	15	2.91	4.43	0.00021	0.014	3.19	1.72	5.5
R-HSA-5387390	Hh mutants abrogate ligand secretion	59	7	4.48	4.42	0.00088	0.014	5.06	1.92	11.3
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	59	7	4.48	4.42	0.00088	0.014	5.06	1.92	11.3
R-HSA-68827	CDT1 association with the CDC6:ORC:origin complex	59	7	4.48	4.42	0.00088	0.014	5.06	1.92	11.3
R-HSA-8939902	Regulation of RUNX2 expression and activity	59	7	4.48	4.42	0.00088	0.014	5.06	1.92	11.3
