name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-8953854	Metabolism of RNA	646	60	2.67	8.34	1.3e-12	5.5e-10	3.23	2.37	4.33
R-HSA-927802	Nonsense-Mediated Decay (NMD)	115	23	5.75	9.73	6.7e-12	9.5e-10	7.36	4.39	11.9
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	115	23	5.75	9.73	6.7e-12	9.5e-10	7.36	4.39	11.9
R-HSA-5663205	Infectious disease	326	38	3.35	8.2	4e-11	4.3e-09	3.99	2.72	5.73
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	95	20	6.06	9.4	6.1e-11	5.2e-09	7.79	4.45	13.1
R-HSA-192823	Viral mRNA Translation	89	19	6.14	9.25	1.4e-10	8e-09	7.91	4.44	13.5
R-HSA-168273	Influenza Viral RNA Transcription and Replication	133	23	4.98	8.76	1.5e-10	8e-09	6.14	3.69	9.85
R-HSA-168255	Influenza Life Cycle	143	24	4.83	8.75	1.1e-10	8e-09	5.94	3.61	9.42
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	93	19	5.88	8.97	3.2e-10	1.4e-08	7.48	4.21	12.7
R-HSA-72766	Translation	258	32	3.57	7.93	3.1e-10	1.4e-08	4.23	2.78	6.26
R-HSA-168254	Influenza Infection	154	24	4.48	8.27	5.5e-10	2.1e-08	5.43	3.31	8.58
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	182	26	4.11	8.04	7.3e-10	2.6e-08	4.92	3.07	7.62
R-HSA-72689	Formation of a pool of free 40S subunits	101	19	5.41	8.46	1.4e-09	4.3e-08	6.75	3.82	11.4
R-HSA-72312	rRNA processing	201	27	3.87	7.79	1.4e-09	4.3e-08	4.59	2.89	7.03
R-HSA-8868773	rRNA processing in the nucleus and cytosol	191	26	3.92	7.72	2.1e-09	6e-08	4.65	2.91	7.18
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	111	19	4.93	7.89	7.3e-09	2e-07	6.01	3.42	10.1
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	112	19	4.88	7.84	8.6e-09	2.2e-07	5.94	3.38	9.95
R-HSA-72613	Eukaryotic Translation Initiation	119	19	4.59	7.48	2.4e-08	5.4e-07	5.52	3.15	9.21
R-HSA-72737	Cap-dependent Translation Initiation	119	19	4.59	7.48	2.4e-08	5.4e-07	5.52	3.15	9.21
R-HSA-392499	Metabolism of proteins	1907	105	1.58	5.38	2.5e-07	5.4e-06	1.89	1.48	2.39
R-HSA-381119	Unfolded Protein Response (UPR)	93	13	4.02	5.56	1.8e-05	0.00036	4.65	2.35	8.51
R-HSA-1643685	Disease	984	59	1.73	4.55	1.9e-05	0.00036	1.93	1.42	2.58
R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	51	9	5.08	5.54	5.6e-05	0.001	6.08	2.58	12.8
R-HSA-72649	Translation initiation complex formation	58	9	4.46	5.02	0.00016	0.0027	5.21	2.23	10.8
R-HSA-72702	Ribosomal scanning and start codon recognition	58	9	4.46	5.02	0.00016	0.0027	5.21	2.23	10.8
R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	59	9	4.39	4.95	0.00018	0.003	5.1	2.19	10.6
R-HSA-177504	Retrograde neurotrophin signalling	11	4	10.5	5.96	0.00039	0.0062	16	3.42	63.5
R-HSA-199991	Membrane Trafficking	599	37	1.78	3.72	0.00045	0.0068	1.93	1.32	2.75
R-HSA-70326	Glucose metabolism	81	10	3.55	4.38	0.00047	0.007	4	1.82	7.88
R-HSA-8866427	VLDLR internalisation and degradation	12	4	9.59	5.65	0.00057	0.0081	14	3.08	52.6
R-HSA-5653656	Vesicle-mediated transport	631	38	1.73	3.61	0.00061	0.0084	1.88	1.29	2.66
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	100	11	3.17	4.13	0.00068	0.0091	3.51	1.68	6.67
R-HSA-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	13	4	8.85	5.38	8e-04	0.01	12.5	2.79	44.9
R-HSA-373760	L1CAM interactions	76	9	3.41	4	0.0012	0.015	3.8	1.65	7.74
R-HSA-8856828	Clathrin-mediated endocytosis	140	13	2.67	3.78	0.0012	0.015	2.91	1.49	5.23
R-HSA-5099900	WNT5A-dependent internalization of FZD4	15	4	7.67	4.91	0.0014	0.017	10.2	2.36	34.6
R-HSA-162906	HIV Infection	184	15	2.35	3.5	0.0019	0.022	2.53	1.37	4.35
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	243	18	2.13	3.39	0.002	0.023	2.29	1.32	3.76
R-HSA-437239	Recycling pathway of L1	41	6	4.21	3.91	0.0027	0.03	4.82	1.65	11.7
R-HSA-8964038	LDL clearance	18	4	6.39	4.35	0.003	0.032	8.01	1.91	25.7
R-HSA-164938	Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	20	4	5.75	4.04	0.0045	0.047	7.01	1.7	21.9
R-HSA-72163	mRNA Splicing - Major Pathway	183	14	2.2	3.11	0.0047	0.047	2.35	1.25	4.12
R-HSA-70171	Glycolysis	61	7	3.3	3.42	0.005	0.05	3.65	1.39	8.13
