query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0403	5	149	2	0.013	0.4	GO:1901569	BP	133	fatty acid derivative catabolic process	1	OXCT1,ACAT1
2	1	TRUE	0.0496	6	149	2	0.013	0.333	GO:1902224	BP	133	ketone body metabolic process	1	OXCT1,ACAT1
3	1	TRUE	0.0496	6	149	2	0.013	0.333	GO:0046950	BP	133	cellular ketone body metabolic process	1	OXCT1,ACAT1
4	1	TRUE	0.00759	2	149	2	0.013	1	GO:0046952	BP	133	ketone body catabolic process	2	OXCT1,ACAT1
5	1	TRUE	0.0496	6	149	2	0.013	0.333	GO:0034144	BP	173	negative regulation of toll-like receptor 4 signaling pathway	1	DAB2IP,TICAM2
6	1	TRUE	0.037	900	149	17	0.114	0.019	GO:0051276	BP	8	chromosome organization	1	ERCC1,CUL3,JADE2,TRAPPC12,NCOA1,POT1B,CPEB1,RTF1,RNF4,KAT8,TLK1,SETD1A,PYGO2,TAF9,SETD3,DOT1L,ING2
7	1	TRUE	0.00696	276	149	10	0.067	0.036	GO:0033044	BP	8	regulation of chromosome organization	2	ERCC1,CUL3,TRAPPC12,POT1B,RTF1,RNF4,TLK1,SETD1A,PYGO2,ING2
8	1	TRUE	0.0403	5	149	2	0.013	0.4	GO:0090230	BP	8	regulation of centromere complex assembly	1	TRAPPC12,RNF4
9	1	TRUE	0.0176	3	149	2	0.013	0.667	GO:0090234	BP	8	regulation of kinetochore assembly	1	TRAPPC12,RNF4
10	1	TRUE	0.0403	21	149	3	0.02	0.143	GO:0035561	BP	159	regulation of chromatin binding	1	PPP3CA,BTAF1,PYGO2
11	1	TRUE	0.0496	6	149	2	0.013	0.333	GO:0003357	BP	178	noradrenergic neuron differentiation	1	INSM1,SOX4
12	1	TRUE	0.0302	1040	149	19	0.128	0.018	GO:0007267	BP	139	cell-cell signaling	1	CUL3,APBA3,PCDHA10,VDAC3,CRHBP,OIT1,CPEB1,DAB2IP,PPP3CA,MLLT3,EPHA5,NPY,VPS35,SMPD3,DGKI,PYGO2,PTK2B,ICA1,SOX4
13	1	TRUE	0.0129	2857	149	39	0.262	0.014	GO:0043412	BP	167	macromolecule modification	1	ADPRH,CUL3,RHOA,TBK1,JADE2,NCOA1,YWHAE,ZFP36L1,RBX1,EMP2,SENP5,DAB2IP,RTF1,PPP3CA,KLHL7,RNF4,RAB6A,KAT8,ANKRD54,PDK3,RNF126,MGAT4B,DAG1,TLK1,SETD1A,PYGO2,TAF9,NDST1,ST3GAL5,SETD3,PTK2B,DOT1L,ING2,INSM1,DDRGK1,DOK1,SOX4,DPH1,CDK5R2
14	1	TRUE	0.0404	5719	149	62	0.416	0.011	GO:0044260	BP	167	cellular macromolecule metabolic process	1	BTBD6,ADPRH,ERCC1,CUL3,RHOA,TBRG1,HIVEP2,TBK1,HNRNPAB,JADE2,ASCC2,NCOA1,YWHAE,RALGAPA1,ZFP36L1,PRELID1,RBX1,EMP2,SENP5,POT1B,CPEB1,MRPL44,EPRS,DAB2IP,RTF1,PPP3CA,MLLT3,NFIA,KLHL7,RNF4,EPHA5,RAB6A,KAT8,VPS35,IFT57,ANKRD54,RBFOX2,ZBTB7A,PDK3,RNF126,MGAT4B,DAG1,TLK1,SETD1A,PYGO2,SOX12,TAF9,NDST1,ST3GAL5,SETD3,PTK2B,DOT1L,ING2,HES6,INSM1,DDRGK1,DOK1,MSRB1,SOX4,DPH1,CDK5R2,ATF7
15	1	TRUE	0.0403	4064	149	48	0.322	0.012	GO:0019538	BP	167	protein metabolic process	1	BTBD6,ADPRH,CUL3,RHOA,TBK1,JADE2,NCOA1,YWHAE,ZFP36L1,PRELID1,RBX1,EMP2,SENP5,CPEB1,MRPL44,EPRS,DAB2IP,RTF1,PCSK2,PPP3CA,KLHL7,RNF4,RAB6A,KAT8,VPS35,IFT57,ANKRD54,PDK3,RNF126,MGAT4B,DAG1,TLK1,SETD1A,PYGO2,TAF9,NDST1,ST3GAL5,SETD3,PTK2B,DOT1L,ING2,INSM1,DDRGK1,DOK1,MSRB1,SOX4,DPH1,CDK5R2
16	1	TRUE	0.00696	2733	149	39	0.262	0.014	GO:0036211	BP	167	protein modification process	2	ADPRH,CUL3,RHOA,TBK1,JADE2,NCOA1,YWHAE,ZFP36L1,RBX1,EMP2,SENP5,DAB2IP,RTF1,PPP3CA,KLHL7,RNF4,RAB6A,KAT8,ANKRD54,PDK3,RNF126,MGAT4B,DAG1,TLK1,SETD1A,PYGO2,TAF9,NDST1,ST3GAL5,SETD3,PTK2B,DOT1L,ING2,INSM1,DDRGK1,DOK1,SOX4,DPH1,CDK5R2
17	1	TRUE	0.00616	3517	149	47	0.315	0.013	GO:0044267	BP	167	cellular protein metabolic process	2	BTBD6,ADPRH,CUL3,RHOA,TBK1,JADE2,NCOA1,YWHAE,ZFP36L1,PRELID1,RBX1,EMP2,SENP5,CPEB1,MRPL44,EPRS,DAB2IP,RTF1,PPP3CA,KLHL7,RNF4,RAB6A,KAT8,VPS35,IFT57,ANKRD54,PDK3,RNF126,MGAT4B,DAG1,TLK1,SETD1A,PYGO2,TAF9,NDST1,ST3GAL5,SETD3,PTK2B,DOT1L,ING2,INSM1,DDRGK1,DOK1,MSRB1,SOX4,DPH1,CDK5R2
18	1	TRUE	0.00696	2733	149	39	0.262	0.014	GO:0006464	BP	167	cellular protein modification process	3	ADPRH,CUL3,RHOA,TBK1,JADE2,NCOA1,YWHAE,ZFP36L1,RBX1,EMP2,SENP5,DAB2IP,RTF1,PPP3CA,KLHL7,RNF4,RAB6A,KAT8,ANKRD54,PDK3,RNF126,MGAT4B,DAG1,TLK1,SETD1A,PYGO2,TAF9,NDST1,ST3GAL5,SETD3,PTK2B,DOT1L,ING2,INSM1,DDRGK1,DOK1,SOX4,DPH1,CDK5R2
19	1	TRUE	0.0441	139	149	6	0.04	0.043	GO:0008213	BP	167	protein alkylation	4	RTF1,RAB6A,SETD1A,PYGO2,SETD3,DOT1L
20	1	TRUE	0.0441	139	149	6	0.04	0.043	GO:0006479	BP	167	protein methylation	5	RTF1,RAB6A,SETD1A,PYGO2,SETD3,DOT1L
21	1	TRUE	0.0441	935	149	17	0.114	0.018	GO:0018193	BP	167	peptidyl-amino acid modification	4	TBK1,JADE2,NCOA1,SENP5,RTF1,RAB6A,KAT8,PDK3,SETD1A,PYGO2,TAF9,ST3GAL5,SETD3,PTK2B,DOT1L,SOX4,DPH1
22	1	TRUE	0.00318	290	149	11	0.074	0.038	GO:0018205	BP	167	peptidyl-lysine modification	5	JADE2,NCOA1,SENP5,RTF1,KAT8,SETD1A,PYGO2,TAF9,SETD3,DOT1L,SOX4
23	1	TRUE	0.0441	92	149	5	0.034	0.054	GO:0018022	BP	167	peptidyl-lysine methylation	6	RTF1,SETD1A,PYGO2,SETD3,DOT1L
24	1	TRUE	0.0441	384	149	10	0.067	0.026	GO:0016569	BP	167	covalent chromatin modification	1	JADE2,NCOA1,RTF1,KAT8,SETD1A,PYGO2,TAF9,SETD3,DOT1L,ING2
25	1	TRUE	0.0403	374	149	10	0.067	0.027	GO:0016570	BP	167	histone modification	2	JADE2,NCOA1,RTF1,KAT8,SETD1A,PYGO2,TAF9,SETD3,DOT1L,ING2
26	1	TRUE	0.0361	83	149	5	0.034	0.06	GO:0034968	BP	167	histone lysine methylation	1	RTF1,SETD1A,PYGO2,SETD3,DOT1L
27	1	TRUE	0.00474	2749	149	40	0.268	0.015	GO:0065008	BP	97	regulation of biological quality	1	SCNN1G,ERCC1,RHOA,TBRG1,DSTN,KIF3A,JSRP1,YWHAE,ZFP36L1,PRELID1,CRHBP,OIT1,SMDT1,EMP2,POT1B,TMEM178,CPEB1,DAB2IP,MAP1A,PCSK2,PPP3CA,PDLIM5,CAPZB,EPHA5,NPY,VPS35,SMPD3,PTH1R,ANKRD54,RBFOX2,PDK3,ANKRD11,MBD5,DGKI,DAG1,SETD1A,TAF9,PTK2B,ICA1,SOX4
28	1	TRUE	0.032	44	149	4	0.027	0.091	GO:0045646	BP	97	regulation of erythrocyte differentiation	1	ZFP36L1,ANKRD54,RBFOX2,SETD1A
29	1	TRUE	0.011	4796	149	57	0.383	0.012	GO:0032502	BP	99	developmental process	1	BTBD6,ERCC1,SNRNP200,CUL3,APBA3,PCDHA10,RHOA,HIVEP2,VMP1,KIF3A,HNRNPAB,JADE2,NCOA1,YWHAE,ZFP36L1,PRELID1,EMP2,ROGDI,POT1B,TMEM178,SBDS,NFASC,DAB2IP,RTF1,PCSK2,PPP3CA,PDLIM5,MLLT3,NFIA,CAPZB,EPHA5,KAT8,VPS35,SMPD3,PTH1R,GAB3,IFT57,ANKRD54,RBFOX2,ZBTB7A,ANKRD11,MBD5,SOBP,DAG1,SETD1A,GRSF1,PYGO2,SOX12,NDST1,SETD3,PTK2B,ING2,HES6,INSM1,GPRIN1,SOX4,CDK5R2
30	1	TRUE	0.0074	4482	149	55	0.369	0.012	GO:0048856	BP	99	anatomical structure development	2	BTBD6,ERCC1,CUL3,APBA3,PCDHA10,RHOA,HIVEP2,VMP1,KIF3A,HNRNPAB,JADE2,NCOA1,YWHAE,ZFP36L1,PRELID1,EMP2,ROGDI,TMEM178,SBDS,NFASC,DAB2IP,RTF1,PCSK2,PPP3CA,PDLIM5,MLLT3,NFIA,CAPZB,EPHA5,KAT8,VPS35,SMPD3,PTH1R,GAB3,IFT57,ANKRD54,RBFOX2,ZBTB7A,ANKRD11,MBD5,SOBP,DAG1,SETD1A,GRSF1,PYGO2,SOX12,NDST1,SETD3,PTK2B,ING2,HES6,INSM1,GPRIN1,SOX4,CDK5R2
31	1	TRUE	0.0031	4038	149	53	0.356	0.013	GO:0007275	BP	99	multicellular organism development	3	BTBD6,ERCC1,CUL3,APBA3,PCDHA10,RHOA,HIVEP2,VMP1,KIF3A,HNRNPAB,JADE2,NCOA1,YWHAE,ZFP36L1,PRELID1,EMP2,ROGDI,TMEM178,SBDS,NFASC,DAB2IP,RTF1,PCSK2,PPP3CA,PDLIM5,MLLT3,NFIA,CAPZB,EPHA5,KAT8,SMPD3,PTH1R,GAB3,IFT57,ANKRD54,RBFOX2,ZBTB7A,ANKRD11,MBD5,SOBP,DAG1,SETD1A,GRSF1,PYGO2,SOX12,NDST1,PTK2B,ING2,HES6,INSM1,GPRIN1,SOX4,CDK5R2
32	1	TRUE	0.0103	3764	149	48	0.322	0.013	GO:0048731	BP	99	system development	3	BTBD6,ERCC1,CUL3,PCDHA10,RHOA,KIF3A,HNRNPAB,JADE2,NCOA1,YWHAE,ZFP36L1,PRELID1,EMP2,ROGDI,TMEM178,SBDS,NFASC,DAB2IP,PCSK2,PPP3CA,PDLIM5,MLLT3,NFIA,CAPZB,EPHA5,KAT8,SMPD3,PTH1R,GAB3,IFT57,ANKRD54,RBFOX2,ZBTB7A,ANKRD11,MBD5,SOBP,DAG1,SETD1A,PYGO2,SOX12,NDST1,PTK2B,ING2,HES6,INSM1,GPRIN1,SOX4,CDK5R2
33	1	TRUE	0.00388	1759	149	30	0.201	0.017	GO:0007399	BP	99	nervous system development	4	BTBD6,PCDHA10,RHOA,KIF3A,JADE2,NCOA1,YWHAE,ZFP36L1,ROGDI,NFASC,DAB2IP,PCSK2,PPP3CA,PDLIM5,NFIA,CAPZB,EPHA5,IFT57,RBFOX2,MBD5,DAG1,PYGO2,SOX12,NDST1,PTK2B,HES6,INSM1,GPRIN1,SOX4,CDK5R2
