query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0352	256	183	10	0.055	0.039	GO:0015711	BP	31	organic anion transport	1	SLC3A2,OSBPL8,SLC36A1,SLC2A1,SLCO1C1,APOA5,SLC16A11,PITPNB,SLC51B,SLC17A7
2	1	TRUE	0.0348	4914	183	68	0.372	0.014	GO:0071840	BP	26	cellular component organization or biogenesis	1	CCM2,TOM1L2,OXA1L,TIMM44,CDKN1B,TPR,RNF168,RBSN,LAMA5,SULF1,STXBP5,CEP83,NCLN,TEKT1,LUC7L3,CDC42BPB,DPYSL2,C1QTNF6,IQCB1,VAPA,CSNK1A1,KDM5C,TMEM14A,SELP,FRMD5,HAUS2,CCNA2,SNX7,FBXW7,PINK1,CDK11B,POT1A,IQGAP1,SMG1,PLK1,SMARCA1,GPM6B,APOA5,CD3E,CSNK1G1,ME1,SMARCC1,PDCD6IP,DGKH,NTNG2,KRT17,PPP1R16B,DZIP1L,MAT1A,OPA1,POMT1,PRPF18,LDB2,RRP9,ZFP451,NPM2,TUBGCP6,GAN,PKN1,MDN1,MAPK3,GHRL,TACC1,PSRC1,SLC17A7,PDZD8,ATG4A,PURB
3	1	TRUE	0.0381	4772	183	66	0.361	0.014	GO:0016043	BP	26	cellular component organization	2	CCM2,TOM1L2,OXA1L,TIMM44,CDKN1B,TPR,RNF168,RBSN,LAMA5,SULF1,STXBP5,CEP83,NCLN,TEKT1,LUC7L3,CDC42BPB,DPYSL2,C1QTNF6,IQCB1,VAPA,CSNK1A1,KDM5C,TMEM14A,SELP,FRMD5,HAUS2,CCNA2,SNX7,FBXW7,PINK1,CDK11B,POT1A,IQGAP1,SMG1,PLK1,SMARCA1,GPM6B,APOA5,CD3E,CSNK1G1,ME1,SMARCC1,PDCD6IP,DGKH,NTNG2,KRT17,PPP1R16B,DZIP1L,MAT1A,OPA1,POMT1,PRPF18,ZFP451,NPM2,TUBGCP6,GAN,PKN1,MDN1,MAPK3,GHRL,TACC1,PSRC1,SLC17A7,PDZD8,ATG4A,PURB
4	1	TRUE	0.0211	2964	183	48	0.262	0.016	GO:0006996	BP	26	organelle organization	3	TOM1L2,OXA1L,TIMM44,CDKN1B,TPR,RNF168,RBSN,LAMA5,CEP83,TEKT1,CDC42BPB,DPYSL2,IQCB1,VAPA,CSNK1A1,KDM5C,TMEM14A,FRMD5,HAUS2,CCNA2,SNX7,FBXW7,PINK1,CDK11B,POT1A,SMG1,PLK1,SMARCA1,GPM6B,SMARCC1,PDCD6IP,KRT17,DZIP1L,OPA1,ZFP451,NPM2,TUBGCP6,GAN,PKN1,MDN1,MAPK3,GHRL,TACC1,PSRC1,SLC17A7,PDZD8,ATG4A,PURB
5	1	TRUE	0.0184	2307	183	41	0.224	0.018	GO:0006793	BP	36	phosphorus metabolic process	1	COX5A,CDKN1B,CDK12,CCNT1,OSBPL8,CDC42BPB,PKMYT1,PTPN2,CSNK1A1,CHKA,PDE6G,SLC39A10,PPP6C,MECOM,NCEH1,CCNA2,FBXW7,PINK1,CDK11B,BMP3,IQGAP1,SMG1,PLK1,NUDT7,CCL17,APOA5,CD3E,CSNK1G1,ME1,DGKH,PPP1R16B,OPA1,BPGM,LDB2,NUDT18,NYX,NRK,PKN1,MAPK3,GHRL,PSRC1
6	1	TRUE	0.0184	2254	183	41	0.224	0.018	GO:0006796	BP	36	phosphate-containing compound metabolic process	2	COX5A,CDKN1B,CDK12,CCNT1,OSBPL8,CDC42BPB,PKMYT1,PTPN2,CSNK1A1,CHKA,PDE6G,SLC39A10,PPP6C,MECOM,NCEH1,CCNA2,FBXW7,PINK1,CDK11B,BMP3,IQGAP1,SMG1,PLK1,NUDT7,CCL17,APOA5,CD3E,CSNK1G1,ME1,DGKH,PPP1R16B,OPA1,BPGM,LDB2,NUDT18,NYX,NRK,PKN1,MAPK3,GHRL,PSRC1
7	1	TRUE	0.0184	12686	183	143	0.781	0.011	GO:0005623	CC	7	cell	1	COX5A,DAZAP2,CCM2,DBH,OXA1L,CALM1,TIMM44,CDKN1B,PPP5C,CDK12,TPR,SLC3A2,CCNT1,RNF168,RBSN,LAMA5,SULF1,RARB,SEPT8,STXBP5,AIG1,ECHDC1,LIN7A,CEP83,OSBPL8,NCLN,SLC36A1,ELAC2,TEKT1,LUC7L3,CDC42BPB,SLC25A30,DPYSL2,OXR1,POLR3H,STXBP5L,IQCB1,AKIRIN1,PKMYT1,PRPH2,VAPA,SPDEF,PTPN2,CSNK1A1,KDM5C,PDE6G,KLHL4,TMEM14A,SLC39A10,TUBA4A,SELP,PPP6C,DOLPP1,SH3GLB2,PAX8,FRMD5,HAUS2,PCK1,MECOM,CCNA2,SNX7,FBXW7,SLC2A1,PINK1,SYF2,TMEM50A,CDK11B,RNF34,POT1A,SLCO1C1,CRTC3,IQGAP1,SMG1,PLK1,SMARCA1,GPM6B,NUDT7,USP2,KCNJ5,FDX1,APOA5,CD3E,ICAM5,CSNK1G1,ME1,SMARCC1,PDCD6IP,PEBP1,TMPRSS7,FNDC3A,ATP6V1H,DYNLRB2,DGKH,TLE6,NTNG2,KRT17,CERK,TMEM63B,SERBP1,MRPS26,PPP1R16B,DZIP1L,MAT1A,OPA1,PRDM1,BPHL,BPGM,POMT1,PRPF18,AJAP1,LDB2,ARNTL2,CREG1,SLC16A11,RRP9,ZFP451,ALKBH6,PROP1,BOLA3,NPM2,TDRP,NYX,TUBGCP6,KLHDC1,GAN,NRK,SLC51B,NFIC,TSNAX,PKN1,MDN1,DEAF1,CPED1,MAPK3,GHRL,TACC1,PSRC1,SLC17A7,TUFM,BC100451,ATG4A,RPS6KC1,PURB
8	1	TRUE	0.0184	12686	183	143	0.781	0.011	GO:0044464	CC	7	cell part	2	COX5A,DAZAP2,CCM2,DBH,OXA1L,CALM1,TIMM44,CDKN1B,PPP5C,CDK12,TPR,SLC3A2,CCNT1,RNF168,RBSN,LAMA5,SULF1,RARB,SEPT8,STXBP5,AIG1,ECHDC1,LIN7A,CEP83,OSBPL8,NCLN,SLC36A1,ELAC2,TEKT1,LUC7L3,CDC42BPB,SLC25A30,DPYSL2,OXR1,POLR3H,STXBP5L,IQCB1,AKIRIN1,PKMYT1,PRPH2,VAPA,SPDEF,PTPN2,CSNK1A1,KDM5C,PDE6G,KLHL4,TMEM14A,SLC39A10,TUBA4A,SELP,PPP6C,DOLPP1,SH3GLB2,PAX8,FRMD5,HAUS2,PCK1,MECOM,CCNA2,SNX7,FBXW7,SLC2A1,PINK1,SYF2,TMEM50A,CDK11B,RNF34,POT1A,SLCO1C1,CRTC3,IQGAP1,SMG1,PLK1,SMARCA1,GPM6B,NUDT7,USP2,KCNJ5,FDX1,APOA5,CD3E,ICAM5,CSNK1G1,ME1,SMARCC1,PDCD6IP,PEBP1,TMPRSS7,FNDC3A,ATP6V1H,DYNLRB2,DGKH,TLE6,NTNG2,KRT17,CERK,TMEM63B,SERBP1,MRPS26,PPP1R16B,DZIP1L,MAT1A,OPA1,PRDM1,BPHL,BPGM,POMT1,PRPF18,AJAP1,LDB2,ARNTL2,CREG1,SLC16A11,RRP9,ZFP451,ALKBH6,PROP1,BOLA3,NPM2,TDRP,NYX,TUBGCP6,KLHDC1,GAN,NRK,SLC51B,NFIC,TSNAX,PKN1,MDN1,DEAF1,CPED1,MAPK3,GHRL,TACC1,PSRC1,SLC17A7,TUFM,BC100451,ATG4A,RPS6KC1,PURB
9	1	TRUE	0.0194	10839	183	127	0.694	0.012	GO:0005622	CC	7	intracellular	3	COX5A,DAZAP2,CCM2,DBH,OXA1L,CALM1,TIMM44,CDKN1B,PPP5C,CDK12,TPR,SLC3A2,CCNT1,RNF168,RBSN,LAMA5,SULF1,RARB,STXBP5,ECHDC1,CEP83,OSBPL8,NCLN,SLC36A1,ELAC2,TEKT1,LUC7L3,CDC42BPB,SLC25A30,DPYSL2,OXR1,POLR3H,STXBP5L,IQCB1,AKIRIN1,PKMYT1,VAPA,SPDEF,PTPN2,CSNK1A1,KDM5C,KLHL4,TMEM14A,TUBA4A,SELP,PPP6C,DOLPP1,SH3GLB2,PAX8,FRMD5,HAUS2,PCK1,MECOM,CCNA2,SNX7,FBXW7,SLC2A1,PINK1,SYF2,TMEM50A,CDK11B,RNF34,POT1A,CRTC3,IQGAP1,SMG1,PLK1,SMARCA1,NUDT7,USP2,FDX1,APOA5,CSNK1G1,ME1,SMARCC1,PDCD6IP,PEBP1,FNDC3A,ATP6V1H,DYNLRB2,DGKH,TLE6,KRT17,CERK,TMEM63B,SERBP1,MRPS26,PPP1R16B,DZIP1L,MAT1A,OPA1,PRDM1,BPHL,BPGM,POMT1,PRPF18,LDB2,ARNTL2,CREG1,SLC16A11,RRP9,ZFP451,ALKBH6,PROP1,BOLA3,NPM2,TDRP,NYX,TUBGCP6,KLHDC1,GAN,NRK,NFIC,TSNAX,PKN1,MDN1,DEAF1,CPED1,MAPK3,GHRL,TACC1,PSRC1,SLC17A7,TUFM,ATG4A,RPS6KC1,PURB
10	1	TRUE	0.0184	10736	183	127	0.694	0.012	GO:0044424	CC	7	intracellular part	4	COX5A,DAZAP2,CCM2,DBH,OXA1L,CALM1,TIMM44,CDKN1B,PPP5C,CDK12,TPR,SLC3A2,CCNT1,RNF168,RBSN,LAMA5,SULF1,RARB,STXBP5,ECHDC1,CEP83,OSBPL8,NCLN,SLC36A1,ELAC2,TEKT1,LUC7L3,CDC42BPB,SLC25A30,DPYSL2,OXR1,POLR3H,STXBP5L,IQCB1,AKIRIN1,PKMYT1,VAPA,SPDEF,PTPN2,CSNK1A1,KDM5C,KLHL4,TMEM14A,TUBA4A,SELP,PPP6C,DOLPP1,SH3GLB2,PAX8,FRMD5,HAUS2,PCK1,MECOM,CCNA2,SNX7,FBXW7,SLC2A1,PINK1,SYF2,TMEM50A,CDK11B,RNF34,POT1A,CRTC3,IQGAP1,SMG1,PLK1,SMARCA1,NUDT7,USP2,FDX1,APOA5,CSNK1G1,ME1,SMARCC1,PDCD6IP,PEBP1,FNDC3A,ATP6V1H,DYNLRB2,DGKH,TLE6,KRT17,CERK,TMEM63B,SERBP1,MRPS26,PPP1R16B,DZIP1L,MAT1A,OPA1,PRDM1,BPHL,BPGM,POMT1,PRPF18,LDB2,ARNTL2,CREG1,SLC16A11,RRP9,ZFP451,ALKBH6,PROP1,BOLA3,NPM2,TDRP,NYX,TUBGCP6,KLHDC1,GAN,NRK,NFIC,TSNAX,PKN1,MDN1,DEAF1,CPED1,MAPK3,GHRL,TACC1,PSRC1,SLC17A7,TUFM,ATG4A,RPS6KC1,PURB
