query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0499	5	151	2	0.013	0.4	GO:0075525	BP	44	viral translational termination-reinitiation	1	EIF3D,EIF3A
2	1	TRUE	0.00309	4914	151	61	0.404	0.012	GO:0071840	BP	85	cellular component organization or biogenesis	1	PRKCSH,SLC1A2,DNAJB1,CTR9,PSMD4,CDC42,TJAP1,CHP1,MAP3K4,EIF3D,SCN1B,ID2,CBLL1,YLPM1,TMED10,NPC1,EIF3A,TCTN3,ABLIM1,NDUFB8,GDAP1,CDC42BPA,CLP1,SNAP25,TTL,STMN2,ABCD3,CYR61,TMOD1,CCKAR,APBB2,ARPC1B,ATP2B2,SH2B1,ARFIP2,CDK16,PQBP1,CFAP20,NPTN,CNTROB,VPS8,ANO4,PLK5,ATP13A2,PSD,4932438A13RIK,MLLT6,RC3H1,AMBRA1,COX10,TBC1D22B,TMEM108,WHAMM,PCDHB8,KMT2D,ATP5SL,GRB2,TIMM17A,ARFGEF1,GPX4,CCDC47
3	1	TRUE	0.00166	4772	151	61	0.404	0.013	GO:0016043	BP	85	cellular component organization	2	PRKCSH,SLC1A2,DNAJB1,CTR9,PSMD4,CDC42,TJAP1,CHP1,MAP3K4,EIF3D,SCN1B,ID2,CBLL1,YLPM1,TMED10,NPC1,EIF3A,TCTN3,ABLIM1,NDUFB8,GDAP1,CDC42BPA,CLP1,SNAP25,TTL,STMN2,ABCD3,CYR61,TMOD1,CCKAR,APBB2,ARPC1B,ATP2B2,SH2B1,ARFIP2,CDK16,PQBP1,CFAP20,NPTN,CNTROB,VPS8,ANO4,PLK5,ATP13A2,PSD,4932438A13RIK,MLLT6,RC3H1,AMBRA1,COX10,TBC1D22B,TMEM108,WHAMM,PCDHB8,KMT2D,ATP5SL,GRB2,TIMM17A,ARFGEF1,GPX4,CCDC47
4	1	TRUE	0.0164	1130	151	21	0.139	0.019	GO:0030030	BP	85	cell projection organization	3	PRKCSH,CDC42,SCN1B,TCTN3,ABLIM1,SNAP25,TTL,STMN2,CCKAR,APBB2,ATP2B2,SH2B1,ARFIP2,CDK16,PQBP1,CFAP20,NPTN,PLK5,PSD,TMEM108,WHAMM
5	1	TRUE	0.0145	1116	151	21	0.139	0.019	GO:0120036	BP	85	plasma membrane bounded cell projection organization	4	PRKCSH,CDC42,SCN1B,TCTN3,ABLIM1,SNAP25,TTL,STMN2,CCKAR,APBB2,ATP2B2,SH2B1,ARFIP2,CDK16,PQBP1,CFAP20,NPTN,PLK5,PSD,TMEM108,WHAMM
6	1	TRUE	0.0309	2964	151	39	0.258	0.013	GO:0006996	BP	85	organelle organization	3	CTR9,CDC42,TJAP1,CHP1,MAP3K4,YLPM1,TMED10,TCTN3,ABLIM1,NDUFB8,GDAP1,CDC42BPA,SNAP25,TTL,STMN2,ABCD3,TMOD1,ARPC1B,ATP2B2,SH2B1,ARFIP2,CFAP20,CNTROB,VPS8,ATP13A2,MLLT6,RC3H1,AMBRA1,COX10,TBC1D22B,TMEM108,WHAMM,KMT2D,ATP5SL,GRB2,TIMM17A,ARFGEF1,GPX4,CCDC47
7	1	TRUE	0.00986	841	151	18	0.119	0.021	GO:0048666	BP	85	neuron development	1	PRKCSH,CDC42,SCN1B,ID2,ABLIM1,SNAP25,TTL,STMN2,CCKAR,APBB2,ATP2B2,CDK16,PQBP1,NPTN,PLK5,PSD,TMEM108,MYT1L
8	1	TRUE	0.0164	727	151	16	0.106	0.022	GO:0031175	BP	85	neuron projection development	2	PRKCSH,CDC42,SCN1B,ABLIM1,SNAP25,TTL,STMN2,CCKAR,APBB2,ATP2B2,CDK16,PQBP1,NPTN,PLK5,PSD,TMEM108
9	1	TRUE	0.00829	2	151	2	0.013	1	GO:0001732	BP	14	formation of cytoplasmic translation initiation complex	1	EIF3D,EIF3A
10	1	TRUE	0.0257	766	151	16	0.106	0.021	GO:0034622	BP	102	cellular protein-containing complex assembly	1	PSMD4,EIF3D,EIF3A,NDUFB8,CLP1,SNAP25,STMN2,ARPC1B,ARFIP2,RC3H1,COX10,WHAMM,ATP5SL,GRB2,ARFGEF1,GPX4
11	1	TRUE	0.0309	4	151	2	0.013	0.5	GO:0034729	BP	45	histone H3-K79 methylation	1	CTR9,MLLT6
12	1	TRUE	0.0188	3	151	2	0.013	0.667	GO:2001160	BP	45	regulation of histone H3-K79 methylation	2	CTR9,MLLT6
13	1	TRUE	0.00163	10342	151	106	0.702	0.01	GO:0043226	CC	78	organelle	1	RGS19,TIMMDC1,KEAP1,PRKCSH,AP1S1,MAN2B1,DNAJB1,CTR9,PSMD4,CS,CDC42,CDK4,TJAP1,CHP1,PPT2,LTA4H,AKAP1,UBXN6,CYB561,SYPL,ID2,CBLL1,SPTLC2,YLPM1,TMED10,PDHB,ESCO1,ATP6V1G2,NPC1,DRAP1,PRDX5,EIF3A,TCTN3,ABLIM1,NDUFB8,UBE3A,GDAP1,CDC42BPA,CLP1,LPCAT4,SNAP25,TTL,TPD52,E2F5,NDRG3,MCCC1,ABCD3,TMOD1,ABCF2,ABLIM2,APBB2,ARPC1B,PLEKHA5,ATP2B2,NECAP1,ARFIP2,CDK16,PQBP1,ZFP330,CFAP20,DCLK3,CNTROB,APMAP,VPS8,DNAJC17,PLK5,ATP13A2,COX6B1,C1QC,SMPD1,PSD,SYN1,4932438A13RIK,CBX4,RC3H1,AMBRA1,UGGT2,COX10,PAPD4,MAFF,TMEM108,AKR1E1,WHAMM,RPL37A,KMT2D,PDP1,EML5,ZFP771,ADAP1,TRNP1,ATP5SL,PTP4A3,GRB2,FAM195B,AKAP6,SSBP3,MYT1L,TIMM17A,SCOC,AURKAIP1,TUBA3B,ARFGEF1,CDKN2B,SERF2,GPX4,CCDC47
14	1	TRUE	0.00916	6189	151	70	0.464	0.011	GO:0044422	CC	78	organelle part	2	TIMMDC1,KEAP1,AP1S1,CTR9,PSMD4,CS,CDC42,CDK4,TJAP1,CHP1,LTA4H,AKAP1,UBXN6,CYB561,SYPL,CBLL1,SPTLC2,YLPM1,TMED10,PDHB,ESCO1,ATP6V1G2,NPC1,PRDX5,EIF3A,ABLIM1,NDUFB8,GDAP1,CDC42BPA,CLP1,SNAP25,TTL,E2F5,MCCC1,ABCD3,TMOD1,ARPC1B,PLEKHA5,NECAP1,ARFIP2,PQBP1,ZFP330,CFAP20,CNTROB,VPS8,PLK5,ATP13A2,COX6B1,PSD,SYN1,CBX4,AMBRA1,COX10,MAFF,TMEM108,AKR1E1,WHAMM,RPL37A,KMT2D,ZFP771,TRNP1,ATP5SL,GRB2,AKAP6,TIMM17A,SCOC,AURKAIP1,TUBA3B,ARFGEF1,GPX4
