query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0272	52	94	4	0.043	0.077	GO:0106027	BP	18	neuron projection organization	1	EPHA4,ITPKA,LZTS3,CDK5R1
2	1	TRUE	0.0138	258	94	8	0.085	0.031	GO:0050808	BP	18	synapse organization	1	CACNB4,NRXN1,EPHA4,ITPKA,UNC13B,LZTS3,SYNPO,CDK5R1
3	1	TRUE	0.0138	71	94	5	0.053	0.07	GO:0099173	BP	18	postsynapse organization	2	NRXN1,EPHA4,ITPKA,LZTS3,CDK5R1
4	1	TRUE	0.0138	39	94	4	0.043	0.103	GO:0099175	BP	18	regulation of postsynapse organization	3	EPHA4,ITPKA,LZTS3,CDK5R1
5	1	TRUE	0.0239	49	94	4	0.043	0.082	GO:0097061	BP	18	dendritic spine organization	3	EPHA4,ITPKA,LZTS3,CDK5R1
6	1	TRUE	0.0462	5	94	2	0.021	0.4	GO:0099563	BP	18	modification of synaptic structure	2	EPHA4,SYNPO
7	1	TRUE	0.0138	38	94	4	0.043	0.105	GO:0060997	BP	18	dendritic spine morphogenesis	1	EPHA4,ITPKA,LZTS3,CDK5R1
8	1	TRUE	0.0239	49	94	4	0.043	0.082	GO:0060998	BP	18	regulation of dendritic spine development	1	EPHA4,ITPKA,LZTS3,CDK5R1
9	1	TRUE	0.0354	57	94	4	0.043	0.07	GO:0048814	BP	18	regulation of dendrite morphogenesis	1	EPHA4,ITPKA,LZTS3,CDK5R1
10	1	TRUE	0.0138	27	94	4	0.043	0.148	GO:0061001	BP	18	regulation of dendritic spine morphogenesis	2	EPHA4,ITPKA,LZTS3,CDK5R1
11	1	TRUE	0.0479	1130	94	15	0.16	0.013	GO:0097708	CC	1	intracellular vesicle	1	VPS45,MCPT8,NRXN1,EPHA4,UNC13B,AU040320,SLC30A3,USO1,DKKL1,VPS26B,PLEKHG5,MYRIP,SPRED2,VPS13A,DGKD
12	1	TRUE	0.0479	1126	94	15	0.16	0.013	GO:0031410	CC	1	cytoplasmic vesicle	1	VPS45,MCPT8,NRXN1,EPHA4,UNC13B,AU040320,SLC30A3,USO1,DKKL1,VPS26B,PLEKHG5,MYRIP,SPRED2,VPS13A,DGKD
13	1	TRUE	0.0138	470	94	11	0.117	0.023	GO:0045202	CC	4	synapse	1	HOMER1,CACNB4,CAP2,NRXN1,ITPKA,UNC13B,SLC30A3,LZTS3,MYRIP,SYNPO,CDK5R1
14	1	TRUE	0.0138	345	94	9	0.096	0.026	GO:0044456	CC	4	synapse part	1	HOMER1,CAP2,NRXN1,ITPKA,UNC13B,SLC30A3,LZTS3,SYNPO,CDK5R1
15	1	TRUE	0.0258	5	4	1	0.25	0.2	CORUM:1913	cor	2	GluR delta-2 complex, postsynaptic (GluR delta-2, Shank1, Shank2, mGluR1 alpha, Homer, PSD-95)	1	HOMER1
16	1	TRUE	0.0258	2	4	1	0.25	0.5	CORUM:690	cor	25	Cd2ap-Synpo complex	1	SYNPO
17	1	TRUE	0.0258	3	4	1	0.25	0.333	CORUM:5402	cor	3	Cdk5-Cdk5r1-Pctk1 complex	1	CDK5R1
18	1	TRUE	0.0258	2	4	1	0.25	0.5	CORUM:1115	cor	22	Cdk5-Cdk5r1 complex	1	CDK5R1
19	1	TRUE	0.0258	5	4	1	0.25	0.2	CORUM:122	cor	31	MCM complex	1	MCM7
20	1	TRUE	0.0338	14852	101	84	0.832	0.006	TF:M00716	tf	9	Factor: ZF5; motif: GSGCGCGR	1	C1D,SMPD4,HOMER1,DIO2,POU2F2,TUSC2,MERTK,VPS45,CACNB4,SLC36A2,ADCY1,MBOAT2,UNK,AP4S1,CAP2,BMP1,SIDT1,RCAN1,DHH,YIPF4,NRXN1,CCNY,NPTX1,CRISPLD1,EPHA4,NVL,TADA1,ATF6,FAM188A,ACVR1C,ITPKA,ADRA1D,TBC1D20,PPID,UNC13B,MLLT3,AU040320,ZFP593,GABRD,SLC30A3,PDS5A,WSB2,USO1,CAMKK2,MCM7,FBXL14,UNC45A,SPNS1,DKKL1,CCKBR,RBM10,PHKA2,IL34,ATP13A1,VPS26B,HID1,SSTR4,LZTS3,PTPN3,HACE1,YTHDF1,RLN1,PLEKHG5,PAK7,DTX4,GPR26,FGFR1OP2,SNRPD2,MYRIP,MAT2B,MGAT5B,SPRED2,FAM26F,VPS13A,CDK5R1,CCDC71,CDC42SE2,STK19,LANCL2,DPP3,ZBTB16,DGKD,KRT26,CTDSP2
21	1	TRUE	0.0338	14852	101	84	0.832	0.006	TF:M00716_0	tf	9	Factor: ZF5; motif: GSGCGCGR; match class: 0	2	C1D,SMPD4,HOMER1,DIO2,POU2F2,TUSC2,MERTK,VPS45,CACNB4,SLC36A2,ADCY1,MBOAT2,UNK,AP4S1,CAP2,BMP1,SIDT1,RCAN1,DHH,YIPF4,NRXN1,CCNY,NPTX1,CRISPLD1,EPHA4,NVL,TADA1,ATF6,FAM188A,ACVR1C,ITPKA,ADRA1D,TBC1D20,PPID,UNC13B,MLLT3,AU040320,ZFP593,GABRD,SLC30A3,PDS5A,WSB2,USO1,CAMKK2,MCM7,FBXL14,UNC45A,SPNS1,DKKL1,CCKBR,RBM10,PHKA2,IL34,ATP13A1,VPS26B,HID1,SSTR4,LZTS3,PTPN3,HACE1,YTHDF1,RLN1,PLEKHG5,PAK7,DTX4,GPR26,FGFR1OP2,SNRPD2,MYRIP,MAT2B,MGAT5B,SPRED2,FAM26F,VPS13A,CDK5R1,CCDC71,CDC42SE2,STK19,LANCL2,DPP3,ZBTB16,DGKD,KRT26,CTDSP2
22	1	TRUE	0.043	12048	101	72	0.713	0.006	TF:M00716_1	tf	9	Factor: ZF5; motif: GSGCGCGR; match class: 1	3	SMPD4,HOMER1,POU2F2,TUSC2,MERTK,VPS45,CACNB4,ADCY1,MBOAT2,UNK,AP4S1,CAP2,BMP1,SIDT1,RCAN1,DHH,YIPF4,NRXN1,CCNY,NPTX1,EPHA4,NVL,TADA1,FAM188A,ACVR1C,ITPKA,ADRA1D,TBC1D20,PPID,UNC13B,MLLT3,AU040320,ZFP593,GABRD,SLC30A3,PDS5A,WSB2,USO1,CAMKK2,MCM7,FBXL14,SPNS1,CCKBR,RBM10,PHKA2,ATP13A1,VPS26B,HID1,SSTR4,LZTS3,PTPN3,HACE1,YTHDF1,PLEKHG5,PAK7,DTX4,GPR26,FGFR1OP2,MYRIP,MAT2B,MGAT5B,SPRED2,FAM26F,VPS13A,CDK5R1,CCDC71,CDC42SE2,STK19,LANCL2,ZBTB16,DGKD,CTDSP2
23	1	TRUE	0.0291	5204	101	40	0.396	0.008	TF:M00938	tf	29	Factor: E2F-1; motif: TTGGCGCGRAANNGNM	1	SMPD4,HOMER1,POU2F2,TUSC2,CACNB4,ADCY1,UNK,CAP2,DHH,NRXN1,CCNY,NPTX1,NVL,TADA1,ACVR1C,ITPKA,PPID,UNC13B,MLLT3,AU040320,GABRD,SLC30A3,PDS5A,CAMKK2,UNC45A,VPS26B,FBXL2,SSTR4,HACE1,YTHDF1,DTX4,CDH12,MYRIP,MGAT5B,SPRED2,CDK5R1,CCDC71,CDC42SE2,LANCL2,DPP3
24	1	TRUE	0.0291	5204	101	40	0.396	0.008	TF:M00938_0	tf	29	Factor: E2F-1; motif: TTGGCGCGRAANNGNM; match class: 0	2	SMPD4,HOMER1,POU2F2,TUSC2,CACNB4,ADCY1,UNK,CAP2,DHH,NRXN1,CCNY,NPTX1,NVL,TADA1,ACVR1C,ITPKA,PPID,UNC13B,MLLT3,AU040320,GABRD,SLC30A3,PDS5A,CAMKK2,UNC45A,VPS26B,FBXL2,SSTR4,HACE1,YTHDF1,DTX4,CDH12,MYRIP,MGAT5B,SPRED2,CDK5R1,CCDC71,CDC42SE2,LANCL2,DPP3
25	1	TRUE	0.0238	2648	101	26	0.257	0.01	TF:M01253	tf	10	Factor: CNOT3; motif: GGCCGCGSSS	1	HOMER1,ADCY1,MBOAT2,NPTX1,EPHA4,TADA1,ITPKA,TBC1D20,UNC13B,GABRD,PDS5A,WSB2,USO1,CAMKK2,FBXL14,ATP13A1,VPS26B,LZTS3,HACE1,YTHDF1,DTX4,GPR26,MGAT5B,CDK5R1,CDC42SE2,ZBTB16
26	1	TRUE	0.0238	2648	101	26	0.257	0.01	TF:M01253_0	tf	10	Factor: CNOT3; motif: GGCCGCGSSS; match class: 0	2	HOMER1,ADCY1,MBOAT2,NPTX1,EPHA4,TADA1,ITPKA,TBC1D20,UNC13B,GABRD,PDS5A,WSB2,USO1,CAMKK2,FBXL14,ATP13A1,VPS26B,LZTS3,HACE1,YTHDF1,DTX4,GPR26,MGAT5B,CDK5R1,CDC42SE2,ZBTB16
27	1	TRUE	0.0379	11989	101	72	0.713	0.006	TF:M01240_1	tf	24	Factor: BEN; motif: CAGCGRNV; match class: 1	1	SMPD4,HOMER1,POU2F2,TUSC2,MERTK,VPS45,CACNB4,SLC36A2,ADCY1,MBOAT2,CDC27,UNK,AP4S1,CAP2,BMP1,SIDT1,RCAN1,DHH,CCNY,NPTX1,EPHA4,NVL,TADA1,ATF6,FAM188A,ACVR1C,ITPKA,ADRA1D,TBC1D20,PPID,MLLT3,AU040320,ZFP593,GABRD,SLC30A3,PDS5A,WSB2,CAMKK2,FBXL14,SPNS1,RBM10,PHKA2,ATP13A1,VPS26B,FBXL2,HID1,SSTR4,LZTS3,PTPN3,HACE1,YTHDF1,PLEKHG5,PAK7,DTX4,GPR26,FGFR1OP2,CDH12,SNRPD2,MYRIP,MAT2B,EHBP1,MGAT5B,SPRED2,VPS13A,CDK5R1,CDC42SE2,PHACTR1,STK19,LANCL2,ZBTB16,DGKD,CTDSP2
28	1	TRUE	0.0164	8047	101	57	0.564	0.007	TF:M00189	tf	20	Factor: AP-2; motif: MKCCCSCNGGCG	1	HOMER1,DIO2,POU2F2,TUSC2,MERTK,CACNB4,ADCY1,MBOAT2,UNK,AP4S1,CAP2,BMP1,SIDT1,YIPF4,CCNY,NPTX1,CRISPLD1,EPHA4,NVL,TADA1,ATF6,ACVR1C,ITPKA,ADRA1D,TBC1D20,PPID,UNC13B,MLLT3,AU040320,ZFP593,SLC30A3,PDS5A,WSB2,CAMKK2,FBXL14,PHKA2,VPS26B,FBXL2,EXD2,HID1,SSTR4,LZTS3,HACE1,RLN1,PLEKHG5,DTX4,GPR26,MAT2B,MGAT5B,FAM26F,VPS13A,CDK5R1,CCDC71,STK19,ZBTB16,DGKD,CTDSP2
29	1	TRUE	0.0164	8047	101	57	0.564	0.007	TF:M00189_0	tf	20	Factor: AP-2; motif: MKCCCSCNGGCG; match class: 0	2	HOMER1,DIO2,POU2F2,TUSC2,MERTK,CACNB4,ADCY1,MBOAT2,UNK,AP4S1,CAP2,BMP1,SIDT1,YIPF4,CCNY,NPTX1,CRISPLD1,EPHA4,NVL,TADA1,ATF6,ACVR1C,ITPKA,ADRA1D,TBC1D20,PPID,UNC13B,MLLT3,AU040320,ZFP593,SLC30A3,PDS5A,WSB2,CAMKK2,FBXL14,PHKA2,VPS26B,FBXL2,EXD2,HID1,SSTR4,LZTS3,HACE1,RLN1,PLEKHG5,DTX4,GPR26,MAT2B,MGAT5B,FAM26F,VPS13A,CDK5R1,CCDC71,STK19,ZBTB16,DGKD,CTDSP2
30	1	TRUE	0.0238	3646	101	32	0.317	0.009	TF:M00189_1	tf	20	Factor: AP-2; motif: MKCCCSCNGGCG; match class: 1	3	HOMER1,POU2F2,TUSC2,ADCY1,MBOAT2,BMP1,SIDT1,YIPF4,CCNY,TADA1,ACVR1C,ITPKA,ADRA1D,UNC13B,MLLT3,ZFP593,SLC30A3,PDS5A,WSB2,FBXL14,PHKA2,VPS26B,FBXL2,HID1,LZTS3,DTX4,MAT2B,CDK5R1,CCDC71,ZBTB16,DGKD,CTDSP2
