name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
path:hsa04261	Adrenergic signaling in cardiomyocytes	144	5	10	6.46	0.00011	0.0016	12.9	3.7	36.8
path:hsa05031	Amphetamine addiction	68	3	12.7	5.74	0.0016	0.0075	15.1	2.81	52.8
path:hsa04260	Cardiac muscle contraction	78	3	11.1	5.29	0.0023	0.0075	13.1	2.44	45.4
path:hsa05410	Hypertrophic cardiomyopathy (HCM)	83	3	10.4	5.1	0.0028	0.0075	12.2	2.29	42.5
path:hsa05414	Dilated cardiomyopathy	89	3	9.74	4.89	0.0034	0.0075	11.4	2.13	39.5
path:hsa04666	Fc gamma R-mediated phagocytosis	90	3	9.63	4.86	0.0035	0.0075	11.2	2.1	39
path:hsa04010	MAPK signaling pathway	255	5	5.66	4.48	0.0015	0.0075	7.07	2.04	20
path:hsa04728	Dopaminergic synapse	130	3	6.67	3.85	0.0097	0.018	7.66	1.44	26.3
path:hsa04921	Oxytocin signaling pathway	152	3	5.7	3.46	0.015	0.025	6.51	1.23	22.3
path:hsa04020	Calcium signaling pathway	181	3	4.79	3.05	0.024	0.035	5.43	1.02	18.5
path:hsa04024	cAMP signaling pathway	198	3	4.38	2.84	0.03	0.041	4.94	0.932	16.9
path:hsa04015	Rap1 signaling pathway	210	3	4.13	2.71	0.035	0.043	4.65	0.877	15.8
path:hsa04014	Ras signaling pathway	227	3	3.82	2.55	0.042	0.049	4.28	0.809	14.6
