query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0387	232	120	7	0.058	0.03	GO:0099177	BP	57	regulation of trans-synaptic signaling	1	CACNA2D2,DBI,RASGRF1,S100B,F2R,CNTN2,SLC8A3
2	1	TRUE	0.0387	232	120	7	0.058	0.03	GO:0050804	BP	57	modulation of chemical synaptic transmission	1	CACNA2D2,DBI,RASGRF1,S100B,F2R,CNTN2,SLC8A3
3	1	TRUE	0.0187	4470	120	45	0.375	0.01	GO:0051179	BP	65	localization	1	RAF1,SLC19A1,ATP1A2,CACNA2D2,GLTP,FNTA,SPARC,SEMA6A,HCN2,NEFH,PACS2,SSR1,SLC39A14,SLC38A2,APOD,SLC38A1,ACHE,NPC1,NACC2,SEMA6D,EHD4,SLC6A9,KCNAB2,RET,CRYAB,RASGRF1,EPHB1,TULP4,DENND5A,ANLN,CLIC4,SLC9A7,CD81,CAR14,AKAP2,STARD5,SCN4B,F2R,SCG2,CNTN2,TNS1,DENND1B,RHOG,SLC8A3,RBM4
4	1	TRUE	0.0373	727	120	13	0.108	0.018	GO:0031175	BP	74	neuron projection development	1	EFNB3,CNP,GPRC5B,SEMA6A,NEFH,APOD,IMPACT,RET,RASGRF1,EPHB1,DENND5A,CNTN2,H2-D1
5	1	TRUE	0.0124	2749	120	33	0.275	0.012	GO:0065008	BP	43	regulation of biological quality	1	RAF1,CALB2,TMEM147,ATP1A2,CARHSP1,GPRC5B,HCN2,HMBOX1,SLC39A14,ACHE,NPC1,RPS24,DBI,CSRP1,SLC6A9,PRDX1,RET,ADIPOR2,TPP1,CRYAB,RASGRF1,EPHB1,S100B,CLIC4,SLC9A7,CD81,CAR14,SCN4B,F2R,CNTN2,ARRDC3,SLC8A3,RBM4
6	1	TRUE	0.0336	1329	120	19	0.158	0.014	GO:0042592	BP	43	homeostatic process	2	RAF1,CALB2,ATP1A2,GPRC5B,HMBOX1,SLC39A14,NPC1,RPS24,PRDX1,ADIPOR2,TPP1,S100B,CLIC4,SLC9A7,CAR14,F2R,ARRDC3,SLC8A3,RBM4
7	1	TRUE	0.0387	834	120	14	0.117	0.017	GO:0048878	BP	43	chemical homeostasis	3	RAF1,CALB2,ATP1A2,GPRC5B,SLC39A14,NPC1,ADIPOR2,S100B,CLIC4,SLC9A7,CAR14,F2R,SLC8A3,RBM4
8	1	TRUE	0.0179	79	120	5	0.042	0.063	GO:0035725	BP	22	sodium ion transmembrane transport	1	ATP1A2,HCN2,SLC9A7,SCN4B,SLC8A3
9	1	TRUE	0.0475	576	120	11	0.092	0.019	GO:0034220	BP	55	ion transmembrane transport	1	SLC19A1,ATP1A2,HCN2,SLC39A14,KCNAB2,RASGRF1,CLIC4,SLC9A7,SCN4B,F2R,SLC8A3
10	1	TRUE	0.00992	1759	120	25	0.208	0.014	GO:0007399	BP	48	nervous system development	1	EFNB3,BCAN,CNP,GPRC5B,SEMA6A,NEFH,SEPT4,APOD,IMPACT,GFRA1,DBI,SEMA6D,RET,TPP1,RASGRF1,EPHB1,FA2H,DENND5A,CLDN11,CNTN2,GJC3,SEPP1,ARHGEF10,H2-D1,SLC8A3
11	1	TRUE	0.00586	95	120	6	0.05	0.063	GO:0007272	BP	48	ensheathment of neurons	2	FA2H,CLDN11,CNTN2,GJC3,ARHGEF10,SLC8A3
12	1	TRUE	0.00586	95	120	6	0.05	0.063	GO:0008366	BP	48	axon ensheathment	3	FA2H,CLDN11,CNTN2,GJC3,ARHGEF10,SLC8A3
13	1	TRUE	0.0262	93	120	5	0.042	0.054	GO:0042552	BP	48	myelination	4	FA2H,CNTN2,GJC3,ARHGEF10,SLC8A3
14	1	TRUE	0.0187	3121	120	35	0.292	0.011	GO:0042221	BP	15	response to chemical	1	RAF1,SLC19A1,EFNB3,CNP,ATP1A2,SPARC,SEMA6A,HCN2,NEFH,APOD,NPC1,IMPACT,SEMA4G,CARD9,SLC6A9,PRDX1,RET,ADIPOR2,RERG,CRYAB,ACSBG1,EPHB1,PPP1R14A,CLIC4,CD81,CAR14,F2R,SCG2,CNTN2,ABAT,RHOG,S100A16,SLC8A3,RBM4,CDKN2D
15	1	TRUE	0.044	476	120	10	0.083	0.021	GO:0042493	BP	15	response to drug	2	SLC19A1,APOD,NPC1,IMPACT,CARD9,SLC6A9,CRYAB,PPP1R14A,CAR14,ABAT
16	1	TRUE	0.016	532	120	12	0.1	0.023	GO:0007610	BP	37	behavior	1	EFNB3,CNP,ATP1A2,GPRC5B,NPC1,DBI,S100B,CNTN2,ABAT,SEPP1,ARRDC3,SLC8A3
17	1	TRUE	0.0114	218	120	8	0.067	0.037	GO:0007626	BP	37	locomotory behavior	2	EFNB3,CNP,ATP1A2,GPRC5B,NPC1,CNTN2,SEPP1,ARRDC3
18	1	TRUE	0.0317	153	120	6	0.05	0.039	GO:0030534	BP	37	adult behavior	2	EFNB3,CNP,ATP1A2,NPC1,CNTN2,ABAT
19	1	TRUE	0.0259	92	120	5	0.042	0.054	GO:0008344	BP	37	adult locomotory behavior	3	EFNB3,CNP,ATP1A2,NPC1,CNTN2
20	1	TRUE	0.0387	6	120	2	0.017	0.333	GO:0045213	BP	38	neurotransmitter receptor metabolic process	1	FNTA,ACHE
21	1	TRUE	0.0017	8141	120	74	0.617	0.009	GO:0005737	CC	36	cytoplasm	1	RAF1,CALB2,PNPLA6,EPS15L1,TMEM147,CNP,VARS,ATP1A2,CARHSP1,GPRC5B,GLTP,CERS2,QDPR,FNTA,SPARC,RPS6KL1,NEFH,SEPT4,ARSG,PACS2,SSR1,HMBOX1,SLC39A14,APOD,ACHE,NPC1,PSAT1,RPS24,ECHS1,CYP27A1,TMEM163,DBI,TMEM63A,CARD9,NACC2,SEMA6D,EHD4,OSBPL9,PRDX1,KCNAB2,ALDH1L1,RET,RERG,BCAT1,TPP1,CRYAB,ACSBG1,RASGRF1,EPHB1,S100B,CHST2,FA2H,TULP4,DENND5A,ANLN,CLIC4,SLC9A7,PDE9A,STARD5,F2R,RIMKLA,SCG2,DENND1B,ABAT,TUBB4A,KLHL24,PTGR2,H2-D1,S100A16,ARRDC3,SLC8A3,MARCH2,RBM4,CDKN2D
22	1	TRUE	0.000389	6574	120	66	0.55	0.01	GO:0044444	CC	36	cytoplasmic part	2	RAF1,CALB2,PNPLA6,EPS15L1,TMEM147,VARS,CARHSP1,GPRC5B,GLTP,CERS2,QDPR,FNTA,SPARC,NEFH,SEPT4,ARSG,PACS2,SSR1,HMBOX1,APOD,ACHE,NPC1,PSAT1,RPS24,ECHS1,CYP27A1,TMEM163,DBI,TMEM63A,CARD9,NACC2,SEMA6D,EHD4,OSBPL9,PRDX1,KCNAB2,ALDH1L1,RET,RERG,BCAT1,TPP1,CRYAB,RASGRF1,EPHB1,S100B,CHST2,FA2H,DENND5A,ANLN,CLIC4,SLC9A7,PDE9A,STARD5,F2R,SCG2,DENND1B,ABAT,TUBB4A,PTGR2,H2-D1,S100A16,ARRDC3,SLC8A3,MARCH2,RBM4,CDKN2D
23	1	TRUE	0.0475	400	120	9	0.075	0.022	GO:0048471	CC	36	perinuclear region of cytoplasm	3	APOD,ACHE,NPC1,DBI,EHD4,S100B,CLIC4,SLC8A3,RBM4
