query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0289	6558	236	94	0.398	0.014	TF:M05407	tf	21	Factor: Klf17; motif: NGGGCGG	1	RAMP2,SCIN,TMEM143,BTBD6,HOMER3,TFAP4,PTBP1,FUT1,ZFP651,GALNS,UNKL,PPDPF,POM121L2,COPZ2,AMZ2,SPATA20,LRRC46,1700023F06RIK,KIF13A,TRIM23,DDX4,THRB,TXNDC16,TKT,EMP2,TARBP2,TWF2,SRSF7,FKBP5,ASPSCR1,MAGED1,GPR143,PGM2,ITGB1,COQ10B,EIF4E2,GPR35,ATG4B,NOTCH1,RASSF2,E2F1,FAM83D,ADAD1,RIT1,POLR3C,GBA2,HINT2,OSBPL9,TCEANC2,EBNA1BP2,RILPL1,ME3,CD37,RRM1,CNOT7,GSE1,HYOU1,KANK2,PCGF3,GLIS1,DCAF10,PDZRN4,POMK,VGF,MESDC2,ZKSCAN16,DNM3,AMBRA1,TLX3,GPR12,SPECC1,NEURL3,PHF13,RELL1,CEP120,MB21D2,LINGO3,GM6583,MEST,SERP2,TMEM74,FAM72A,2700097O09RIK,MORF4L1,SYT9,WDR6,GBX1,CCDC87,NUDT11,OLFR556,EXOC8,TMEM243,E030030I06RIK,GDF1
2	1	TRUE	0.0289	6558	236	94	0.398	0.014	TF:M05407_0	tf	21	Factor: Klf17; motif: NGGGCGG; match class: 0	2	RAMP2,SCIN,TMEM143,BTBD6,HOMER3,TFAP4,PTBP1,FUT1,ZFP651,GALNS,UNKL,PPDPF,POM121L2,COPZ2,AMZ2,SPATA20,LRRC46,1700023F06RIK,KIF13A,TRIM23,DDX4,THRB,TXNDC16,TKT,EMP2,TARBP2,TWF2,SRSF7,FKBP5,ASPSCR1,MAGED1,GPR143,PGM2,ITGB1,COQ10B,EIF4E2,GPR35,ATG4B,NOTCH1,RASSF2,E2F1,FAM83D,ADAD1,RIT1,POLR3C,GBA2,HINT2,OSBPL9,TCEANC2,EBNA1BP2,RILPL1,ME3,CD37,RRM1,CNOT7,GSE1,HYOU1,KANK2,PCGF3,GLIS1,DCAF10,PDZRN4,POMK,VGF,MESDC2,ZKSCAN16,DNM3,AMBRA1,TLX3,GPR12,SPECC1,NEURL3,PHF13,RELL1,CEP120,MB21D2,LINGO3,GM6583,MEST,SERP2,TMEM74,FAM72A,2700097O09RIK,MORF4L1,SYT9,WDR6,GBX1,CCDC87,NUDT11,OLFR556,EXOC8,TMEM243,E030030I06RIK,GDF1
3	1	TRUE	0.00138	6415	236	101	0.428	0.016	TF:M03567	tf	17	Factor: Sp2; motif: NYSGCCCCGCCCCCY	1	EPN2,BTBD6,PIAS4,FCER2A,TFAP4,ANKRD13D,KRT23,TSACC,ZFP651,ATRAID,GALNS,UNKL,MIEF2,COPZ2,NOXO1,KIF13A,DDX4,TXNDC16,PPIF,TKT,MAATS1,PCDHGC4,TARBP2,TWF2,SRSF7,RING1,ATP6V1G2,ASPSCR1,MAGED1,MIP,PGM2,ITGB1,SGOL2A,EPHA4,NMUR1,ATG4B,ACBD3,ACBD5,NOTCH1,DUT,RASSF2,E2F1,CHMP4C,FAM83D,ADAD1,RIT1,GBA2,HINT2,OSBPL9,TCEANC2,EBNA1BP2,NOS3,PGM1,ME3,CD37,METTL9,CNOT7,GSE1,KLHL36,HYOU1,KANK2,1700025G04RIK,GPC1,DOPEY1,OMA1,DCAF10,GRIFIN,CNPY4,TAF6,RALGAPA2,POMK,UVSSA,VGF,PLCL1,OTUD7B,MESDC2,TBCD,RBMS3,SPECC1,NEURL3,GAL3ST3,PHF13,RELL1,SPTY2D1,MB21D2,GM6583,TMEM198,SERP2,EBF4,PRR14L,TMEM74,1700013H16RIK,2700097O09RIK,SYT9,WDR6,GBX1,DOK1,MARCKS,NUDT11,HEG1,TMEM243
4	1	TRUE	0.00138	6415	236	101	0.428	0.016	TF:M03567_0	tf	17	Factor: Sp2; motif: NYSGCCCCGCCCCCY; match class: 0	2	EPN2,BTBD6,PIAS4,FCER2A,TFAP4,ANKRD13D,KRT23,TSACC,ZFP651,ATRAID,GALNS,UNKL,MIEF2,COPZ2,NOXO1,KIF13A,DDX4,TXNDC16,PPIF,TKT,MAATS1,PCDHGC4,TARBP2,TWF2,SRSF7,RING1,ATP6V1G2,ASPSCR1,MAGED1,MIP,PGM2,ITGB1,SGOL2A,EPHA4,NMUR1,ATG4B,ACBD3,ACBD5,NOTCH1,DUT,RASSF2,E2F1,CHMP4C,FAM83D,ADAD1,RIT1,GBA2,HINT2,OSBPL9,TCEANC2,EBNA1BP2,NOS3,PGM1,ME3,CD37,METTL9,CNOT7,GSE1,KLHL36,HYOU1,KANK2,1700025G04RIK,GPC1,DOPEY1,OMA1,DCAF10,GRIFIN,CNPY4,TAF6,RALGAPA2,POMK,UVSSA,VGF,PLCL1,OTUD7B,MESDC2,TBCD,RBMS3,SPECC1,NEURL3,GAL3ST3,PHF13,RELL1,SPTY2D1,MB21D2,GM6583,TMEM198,SERP2,EBF4,PRR14L,TMEM74,1700013H16RIK,2700097O09RIK,SYT9,WDR6,GBX1,DOK1,MARCKS,NUDT11,HEG1,TMEM243
5	1	TRUE	0.0267	9548	236	128	0.542	0.013	TF:M02835	tf	28	Factor: Zic1; motif: NNCCCCCGGGGGGG	1	SEMA6B,RAMP2,TMEM143,BTBD6,PLIN4,PIAS4,TFAP4,ANKRD13D,PTBP1,KRT23,ZFP651,GALNS,UNKL,PGS1,COPZ2,MB,IL20RA,CCAR1,AMZ2,SPATA20,LRRC46,NR1D1,KIF13A,ACOT12,TRIM23,THRB,TXNDC16,SAMD4,PPIF,TKT,MED4,EMP2,TARBP2,TWF2,TCTE1,TREML1,SRSF7,FKBP5,RING1,NOC3L,ASPSCR1,MAGED1,PFKFB1,PGM2,ITGB1,NRP1,EPHA4,EIF4E2,ATG4B,ACBD3,ACBD5,NOTCH1,DUT,RASSF2,E2F1,ADAD1,HINT2,TCEANC2,PPT1,EBNA1BP2,SLC30A2,RILPL1,TRA2A,COPG1,ME3,MYLPF,CD37,METTL9,CNOT7,HYOU1,KANK2,1700025G04RIK,FAM207A,PCGF3,GPC1,CCDC15,GLIS1,OMA1,DCAF10,KY,PDZRN4,RALGAPA2,UVSSA,SERPINE1,VGF,1110032A03RIK,PLCL1,OTUD7B,SIX3,TBCD,HLX,RBMS3,NHSL1,DNM3,AMBRA1,TLX3,IQSEC3,SPECC1,UBXN10,PIP5KL1,PHF13,CXCR5,HMGB4,MB21D2,LINGO3,6030498E09RIK,GM6583,TMEM198,MEST,EBF4,PRR14L,1700013H16RIK,FAM72A,4930502E18RIK,NTM,ARR3,ORM2,MORF4L1,SYT9,ALDOART2,GBX1,DOK1,EXOC8,HEG1,TMEM243,E030030I06RIK,CCDC166,GDF1
6	1	TRUE	0.0267	9548	236	128	0.542	0.013	TF:M02835_0	tf	28	Factor: Zic1; motif: NNCCCCCGGGGGGG; match class: 0	2	SEMA6B,RAMP2,TMEM143,BTBD6,PLIN4,PIAS4,TFAP4,ANKRD13D,PTBP1,KRT23,ZFP651,GALNS,UNKL,PGS1,COPZ2,MB,IL20RA,CCAR1,AMZ2,SPATA20,LRRC46,NR1D1,KIF13A,ACOT12,TRIM23,THRB,TXNDC16,SAMD4,PPIF,TKT,MED4,EMP2,TARBP2,TWF2,TCTE1,TREML1,SRSF7,FKBP5,RING1,NOC3L,ASPSCR1,MAGED1,PFKFB1,PGM2,ITGB1,NRP1,EPHA4,EIF4E2,ATG4B,ACBD3,ACBD5,NOTCH1,DUT,RASSF2,E2F1,ADAD1,HINT2,TCEANC2,PPT1,EBNA1BP2,SLC30A2,RILPL1,TRA2A,COPG1,ME3,MYLPF,CD37,METTL9,CNOT7,HYOU1,KANK2,1700025G04RIK,FAM207A,PCGF3,GPC1,CCDC15,GLIS1,OMA1,DCAF10,KY,PDZRN4,RALGAPA2,UVSSA,SERPINE1,VGF,1110032A03RIK,PLCL1,OTUD7B,SIX3,TBCD,HLX,RBMS3,NHSL1,DNM3,AMBRA1,TLX3,IQSEC3,SPECC1,UBXN10,PIP5KL1,PHF13,CXCR5,HMGB4,MB21D2,LINGO3,6030498E09RIK,GM6583,TMEM198,MEST,EBF4,PRR14L,1700013H16RIK,FAM72A,4930502E18RIK,NTM,ARR3,ORM2,MORF4L1,SYT9,ALDOART2,GBX1,DOK1,EXOC8,HEG1,TMEM243,E030030I06RIK,CCDC166,GDF1
7	1	TRUE	0.0429	738	236	18	0.076	0.024	TF:M01716	tf	40	Factor: MATH1; motif: NCASCTGGYN	1	PLIN4,TFAP4,ZFP651,MB,NR1D1,TARBP2,GPR143,MIP,IL17A,E2F1,OSBPL9,THAP11,RBMS3,PHF13,SPTY2D1,SLC25A44,2700097O09RIK,CCDC13
8	1	TRUE	0.0429	738	236	18	0.076	0.024	TF:M01716_0	tf	40	Factor: MATH1; motif: NCASCTGGYN; match class: 0	2	PLIN4,TFAP4,ZFP651,MB,NR1D1,TARBP2,GPR143,MIP,IL17A,E2F1,OSBPL9,THAP11,RBMS3,PHF13,SPTY2D1,SLC25A44,2700097O09RIK,CCDC13
9	1	TRUE	0.0111	7223	236	105	0.445	0.015	TF:M05665	tf	6	Factor: Sp3; motif: AGGGCGG	1	EPN2,SEMA6B,SCIN,BTBD6,HOMER3,PIAS4,TFAP4,ANKRD13D,PTBP1,FUT1,TSACC,ZFP651,ATRAID,BLK,GALNS,PPDPF,PGS1,NOXO1,YEATS4,AMZ2,SPATA20,KIF13A,ZFP369,TRIM23,DDX4,SAMD4,PPIF,EMP2,MAATS1,TARBP2,TWF2,TCTE1,SRSF7,FKBP5,RING1,ATP6V1G2,PPIC,ASPSCR1,MAGED1,NRP1,COQ10B,EIF4E2,ATG4B,NOTCH1,RASSF2,CHMP4C,FAM83D,RIT1,POLR3C,HINT2,OSBPL9,EBNA1BP2,PSMC2,PGM1,RILPL1,COPG1,CD37,METTL9,RRM1,CNOT7,KLHL36,KANK2,1700025G04RIK,GPC1,DOPEY1,OMA1,DCAF10,MEOX2,THAP11,CNPY4,TAF6,RALGAPA2,OTUD7B,TBCD,HLX,FGL2,AMBRA1,IQSEC3,GPR12,SPECC1,FAM227A,ALKBH6,UBXN10,ADAM29,PHF13,RIC3,CEP120,MB21D2,TMEM198,EBF4,PRR14L,TMEM74,FAM72A,NTM,RPL26,2700097O09RIK,WDR6,GBX1,CCDC87,NUDT11,HEG1,CCDC13,TMEM243,E030030I06RIK,GDF1
10	1	TRUE	0.0111	7223	236	105	0.445	0.015	TF:M05665_0	tf	6	Factor: Sp3; motif: AGGGCGG; match class: 0	2	EPN2,SEMA6B,SCIN,BTBD6,HOMER3,PIAS4,TFAP4,ANKRD13D,PTBP1,FUT1,TSACC,ZFP651,ATRAID,BLK,GALNS,PPDPF,PGS1,NOXO1,YEATS4,AMZ2,SPATA20,KIF13A,ZFP369,TRIM23,DDX4,SAMD4,PPIF,EMP2,MAATS1,TARBP2,TWF2,TCTE1,SRSF7,FKBP5,RING1,ATP6V1G2,PPIC,ASPSCR1,MAGED1,NRP1,COQ10B,EIF4E2,ATG4B,NOTCH1,RASSF2,CHMP4C,FAM83D,RIT1,POLR3C,HINT2,OSBPL9,EBNA1BP2,PSMC2,PGM1,RILPL1,COPG1,CD37,METTL9,RRM1,CNOT7,KLHL36,KANK2,1700025G04RIK,GPC1,DOPEY1,OMA1,DCAF10,MEOX2,THAP11,CNPY4,TAF6,RALGAPA2,OTUD7B,TBCD,HLX,FGL2,AMBRA1,IQSEC3,GPR12,SPECC1,FAM227A,ALKBH6,UBXN10,ADAM29,PHF13,RIC3,CEP120,MB21D2,TMEM198,EBF4,PRR14L,TMEM74,FAM72A,NTM,RPL26,2700097O09RIK,WDR6,GBX1,CCDC87,NUDT11,HEG1,CCDC13,TMEM243,E030030I06RIK,GDF1
