query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0183	909	344	33	0.096	0.036	GO:0032989	BP	67	cellular component morphogenesis	1	CCL24,WDR1,NSMF,PHOX2B,ACTN1,EGFR,MAPK8,CPNE5,HEXA,NPTX1,LRRN2,ITGAV,NTRK1,LRP8,WASF2,PRKCZ,CHL1,MEF2A,ILK,STK26,GNPAT,SNX2,ARX,SLITRK2,FERMT2,TNFRSF26,BCL11B,GAS1,PRX,ABI1,FOXB1,KIF13B,ITGB1BP1
2	1	TRUE	0.0217	808	344	30	0.087	0.037	GO:0000902	BP	67	cell morphogenesis	2	CCL24,WDR1,NSMF,PHOX2B,ACTN1,EGFR,MAPK8,CPNE5,HEXA,NPTX1,LRRN2,ITGAV,NTRK1,LRP8,WASF2,PRKCZ,CHL1,ILK,STK26,SNX2,ARX,SLITRK2,FERMT2,TNFRSF26,BCL11B,GAS1,ABI1,FOXB1,KIF13B,ITGB1BP1
3	1	TRUE	0.0358	499	344	21	0.061	0.042	GO:0048858	BP	67	cell projection morphogenesis	3	NSMF,PHOX2B,MAPK8,CPNE5,NPTX1,LRRN2,NTRK1,LRP8,WASF2,PRKCZ,CHL1,STK26,SNX2,ARX,SLITRK2,TNFRSF26,BCL11B,GAS1,ABI1,FOXB1,KIF13B
4	1	TRUE	0.0358	495	344	21	0.061	0.042	GO:0120039	BP	67	plasma membrane bounded cell projection morphogenesis	4	NSMF,PHOX2B,MAPK8,CPNE5,NPTX1,LRRN2,NTRK1,LRP8,WASF2,PRKCZ,CHL1,STK26,SNX2,ARX,SLITRK2,TNFRSF26,BCL11B,GAS1,ABI1,FOXB1,KIF13B
5	1	TRUE	0.043	583	344	23	0.067	0.039	GO:0000904	BP	67	cell morphogenesis involved in differentiation	1	WDR1,NSMF,PHOX2B,ACTN1,MAPK8,HEXA,NPTX1,LRRN2,ITGAV,NTRK1,LRP8,CHL1,ILK,ARX,SLITRK2,FERMT2,TNFRSF26,BCL11B,GAS1,ABI1,FOXB1,KIF13B,ITGB1BP1
6	1	TRUE	0.0451	370	344	17	0.049	0.046	GO:1904951	BP	43	positive regulation of establishment of protein localization	1	ZBTB17,HSPA1L,IL10,MYO1C,DOC2B,KAT2A,PRKCD,XPO4,CCT5,OAZ3,PRKCZ,GPI1,UBE2L3,ELMOD1,NLRP10,GAPDH,ITGB1BP1
7	1	TRUE	0.0492	124	344	9	0.026	0.073	GO:0090174	BP	3	organelle membrane fusion	1	GRIK5,SYT5,TMEM175,DOC2B,RABGAP1L,SEC22B,TBC1D10A,SYT10,TGFBRAP1
8	1	TRUE	0.0438	120	344	9	0.026	0.075	GO:0006906	BP	3	vesicle fusion	1	GRIK5,SYT5,TMEM175,DOC2B,RABGAP1L,SEC22B,TBC1D10A,SYT10,TGFBRAP1
9	1	TRUE	0.00521	4470	344	113	0.328	0.025	GO:0051179	BP	84	localization	1	ATP5F1,CHMP1A,SLC19A1,GRIK5,SLC25A1,STXBP2,CCL24,SYT5,WDR1,ZBTB17,NSMF,HSPA1L,GABRA1,PHOX2B,SLC41A1,TMEM175,ACTN1,IL10,CD40,MYO1C,ADORA2B,SRGAP1,EGFR,DDX42,DOC2B,KAT2A,MLH3,DRD1,PRELID1,MAPK8,PRKCD,XPO4,XPO7,CCT5,KRT18,CD4,FBN2,YIF1A,NR0B1,HEXA,ATP5A1,CCL20,PIGR,TOR1AIP1,RABGAP1L,PRKCQ,ITGAV,MAPRE1,SNTA1,PTX3,SEC22B,SCAMP3,OAZ3,1700009N14RIK,LRP8,P3H1,TRAPPC3,WASF2,PRKCZ,SNX17,EPHB4,TACR1,CHL1,SLC6A6,FKBP4,MEF2A,ARHGAP17,SERGEF,ILK,STK26,HEPH,OPHN1,SLC25A4,AP1G1,DHRS7C,TERF2IP,TBC1D10A,SNX2,ARX,KRT20,ARL5A,SLC2A13,GPI1,NXT1,CNNM4,FERMT2,INPP4B,UBE2L3,TXNDC5,RFTN1,FOXP3,RAB11FIP2,LRRC52,HTR2C,ELMOD1,INPP5F,APLNR,BCL11B,HTR1B,NLRP10,RAP2C,SCG2,REPIN1,GAS1,TGOLN2,GAPDH,FOXB1,KIF13B,ITGB1BP1,KCNJ15,SYT10,TGFBRAP1,IER3IP1
10	1	TRUE	0.0358	3286	344	83	0.241	0.025	GO:0051234	BP	84	establishment of localization	2	ATP5F1,CHMP1A,SLC19A1,GRIK5,SLC25A1,STXBP2,SYT5,WDR1,ZBTB17,HSPA1L,GABRA1,SLC41A1,TMEM175,IL10,CD40,MYO1C,ADORA2B,EGFR,DOC2B,KAT2A,DRD1,PRELID1,PRKCD,XPO4,XPO7,CCT5,KRT18,CD4,YIF1A,PIGR,RABGAP1L,ITGAV,SNTA1,PTX3,SEC22B,SCAMP3,OAZ3,1700009N14RIK,LRP8,P3H1,TRAPPC3,WASF2,PRKCZ,SNX17,SLC6A6,ARHGAP17,SERGEF,HEPH,OPHN1,SLC25A4,AP1G1,DHRS7C,TBC1D10A,SNX2,KRT20,SLC2A13,GPI1,NXT1,CNNM4,INPP4B,UBE2L3,TXNDC5,RFTN1,FOXP3,RAB11FIP2,LRRC52,HTR2C,ELMOD1,INPP5F,APLNR,HTR1B,NLRP10,REPIN1,GAS1,TGOLN2,GAPDH,FOXB1,KIF13B,ITGB1BP1,KCNJ15,SYT10,TGFBRAP1,IER3IP1
