name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0001468	abnormal temporal memory	173	35	3.09	7.35	1.3e-09	1.5e-06	3.78	2.51	5.58
MP:0003633	abnormal nervous system physiology	1903	185	1.49	6.29	1.2e-09	1.5e-06	1.77	1.47	2.13
MP:0008415	abnormal neurite morphology	423	58	2.1	6.1	4.3e-08	2.5e-05	2.4	1.77	3.23
MP:0002206	abnormal CNS synaptic transmission	653	79	1.85	5.96	4.1e-08	2.5e-05	2.11	1.62	2.72
MP:0003635	abnormal synaptic transmission	740	86	1.78	5.83	6.1e-08	2.8e-05	2.02	1.57	2.58
MP:0001399	hyperactivity	475	62	2	5.89	9.1e-08	3.5e-05	2.27	1.69	3.02
MP:0001469	abnormal contextual conditioning behavior	144	28	2.97	6.31	1.5e-07	4.3e-05	3.57	2.25	5.48
MP:0002063	abnormal learning/memory/conditioning	664	78	1.8	5.63	1.8e-07	4.3e-05	2.03	1.56	2.63
MP:0014114	abnormal cognition	665	78	1.79	5.62	1.9e-07	4.3e-05	2.03	1.56	2.62
MP:0002882	abnormal neuron morphology	1515	147	1.48	5.44	1.5e-07	4.3e-05	1.71	1.39	2.08
MP:0003313	abnormal locomotor activation	1152	118	1.57	5.43	2.1e-07	4.5e-05	1.78	1.43	2.21
MP:0001392	abnormal locomotor behavior	1537	147	1.46	5.25	3.6e-07	6.9e-05	1.67	1.37	2.04
MP:0008143	abnormal dendrite morphology	198	33	2.55	5.82	5.2e-07	9.2e-05	2.96	1.96	4.37
MP:0002062	abnormal associative learning	290	42	2.21	5.56	7.9e-07	0.00012	2.52	1.76	3.56
MP:0000787	abnormal telencephalon morphology	808	88	1.66	5.23	7.9e-07	0.00012	1.87	1.46	2.38
MP:0001516	abnormal motor coordination/ balance	833	90	1.65	5.21	8.2e-07	0.00012	1.86	1.45	2.36
MP:0002064	seizures	383	50	2	5.26	1.7e-06	0.00023	2.25	1.62	3.07
MP:0003491	abnormal voluntary movement	1648	152	1.41	4.85	2e-06	0.00026	1.6	1.31	1.95
MP:0002910	abnormal excitatory postsynaptic currents	139	25	2.75	5.5	3.1e-06	0.00037	3.22	1.99	5.05
MP:0008540	abnormal cerebral hemisphere morphology	609	69	1.73	4.94	3.6e-06	0.00041	1.93	1.46	2.53
MP:0009538	abnormal synapse morphology	189	30	2.43	5.24	4.8e-06	0.00053	2.78	1.8	4.17
