name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0002079	Hypoplasia of the corpus callosum	287	8	6.11	6.12	1.3e-05	0.0037	11.5	3.73	35.5
HP:0001276	Hypertonia	626	10	3.5	4.68	8.7e-05	0.012	7.78	2.55	26.2
HP:0002059	Cerebral atrophy	421	8	4.17	4.69	0.00022	0.013	7.45	2.42	22.9
HP:0007369	Atrophy/Degeneration affecting the cerebrum	424	8	4.14	4.66	0.00023	0.013	7.39	2.4	22.7
HP:0001322	Brain very small	434	8	4.04	4.58	0.00027	0.013	7.19	2.34	22.1
HP:0012444	Brain atrophy	434	8	4.04	4.58	0.00027	0.013	7.19	2.34	22.1
HP:0002120	Cerebral cortical atrophy	235	6	5.6	4.94	0.00038	0.016	8.54	2.53	26.2
HP:0007367	Atrophy/Degeneration affecting the central nervous system	479	8	3.66	4.25	0.00053	0.019	6.41	2.09	19.7
HP:0007370	Aplasia/Hypoplasia of the corpus callosum	495	8	3.55	4.13	0.00067	0.021	6.17	2.01	19
HP:0001273	Abnormality of the corpus callosum	503	8	3.49	4.08	0.00075	0.021	6.05	1.97	18.6
HP:0012373	Abnormal eye physiology	1647	14	1.86	3.26	0.00093	0.024	7.97	1.83	72.2
HP:0002500	Abnormality of the cerebral white matter	538	8	3.26	3.86	0.0012	0.028	5.59	1.82	17.2
HP:0010993	Abnormality of the cerebral subcortex	589	8	2.98	3.56	0.0022	0.047	5.01	1.63	15.4
HP:0002493	Upper motor neuron dysfunction	918	10	2.39	3.32	0.0023	0.047	4.74	1.56	15.9
