name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0100582	Nasal polyposis	39	3	22.5	7.91	0.00026	0.0085	31.9	5.33	135
HP:0000389	Chronic otitis media	41	3	21.4	7.7	3e-04	0.0085	30.2	5.06	127
HP:0000433	Abnormality of the nasal mucosa	43	3	20.4	7.5	0.00035	0.0085	28.6	4.81	121
HP:0011109	Chronic sinusitis	45	3	19.5	7.31	4e-04	0.0085	27.3	4.59	114
HP:0000246	Sinusitis	101	4	11.6	6.32	0.00027	0.0085	17.5	3.79	66.6
HP:0000245	Abnormality of the paranasal sinuses	115	4	10.2	5.86	0.00044	0.0085	15.2	3.3	57.8
HP:0000388	Otitis media	181	5	8.08	5.73	2e-04	0.0085	13.4	3.33	49.8
HP:0002837	Recurrent bronchitis	72	3	12.2	5.62	0.0016	0.027	16.5	2.81	68
HP:0002110	Bronchiectasis	77	3	11.4	5.4	0.0019	0.029	15.4	2.62	63.2
HP:0012387	Bronchitis	80	3	11	5.28	0.0022	0.029	14.8	2.52	60.7
HP:0009887	Abnormality of hair pigmentation	99	3	8.86	4.65	0.004	0.049	11.8	2.02	48.2
