name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0100012	Neoplasm of the eye	30	3	29.2	9.1	0.00012	0.012	42.5	7.02	183
HP:0002861	Melanoma	31	3	28.3	8.94	0.00013	0.012	41	6.78	176
HP:0000836	Hyperthyroidism	34	3	25.8	8.51	0.00017	0.012	37	6.16	158
HP:0005293	Venous insufficiency	35	3	25.1	8.38	0.00019	0.012	35.9	5.97	152
HP:0100646	Thyroiditis	40	3	21.9	7.8	0.00028	0.014	31	5.19	131
HP:0002624	Venous abnormality	45	3	19.5	7.31	4e-04	0.016	27.3	4.59	114
HP:0001334	Communicating hydrocephalus	48	3	18.3	7.06	0.00048	0.017	25.5	4.29	106
HP:0100013	Neoplasm of the breast	56	3	15.7	6.48	0.00076	0.022	21.6	3.66	89.7
HP:0010566	Hamartoma	59	3	14.9	6.29	0.00089	0.022	20.4	3.46	84.7
HP:0000777	Abnormality of the thymus	61	3	14.4	6.18	0.00098	0.022	19.7	3.34	81.6
HP:0010609	Skin tags	61	3	14.4	6.18	0.00098	0.022	19.7	3.34	81.6
HP:0000828	Abnormality of the parathyroid gland	69	3	12.7	5.76	0.0014	0.029	17.3	2.94	71.4
HP:0003764	Nevus	75	3	11.7	5.49	0.0018	0.034	15.8	2.7	65.2
HP:0000591	Abnormality of the sclera	82	3	10.7	5.21	0.0023	0.041	14.4	2.46	59.1
