name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0009825	Aplasia involving bones of the extremities	22	3	47.9	11.8	2.5e-05	0.0025	77.4	12	372
HP:0003180	Flat acetabular roof	22	3	47.9	11.8	2.5e-05	0.0025	77.4	12	372
HP:0004440	Coronal craniosynostosis	26	3	40.5	10.8	4.2e-05	0.0025	64	10.1	303
HP:0003170	Abnormality of the acetabulum	72	4	19.5	8.48	3.1e-05	0.0025	33.5	6.79	145
HP:0001539	Omphalocele	73	4	19.2	8.41	3.3e-05	0.0025	33	6.69	143
HP:0002867	Abnormality of the ilium	87	4	16.1	7.64	6.6e-05	0.0025	27.3	5.56	118
HP:0011800	Midface retrusion	177	5	9.92	6.51	6.3e-05	0.0025	19.3	4.4	84.9
HP:0001384	Abnormality of the hip joint	180	5	9.75	6.44	6.9e-05	0.0025	18.9	4.32	83
HP:0001883	Talipes	311	6	6.77	5.7	7.1e-05	0.0025	15.7	3.7	76
HP:0005656	Positional foot deformity	312	6	6.75	5.69	7.3e-05	0.0025	15.6	3.68	75.7
HP:0001671	Abnormality of the cardiac septa	446	7	5.51	5.45	4.3e-05	0.0025	16.2	3.69	97.8
HP:0005262	Abnormality of the synovia	193	5	9.09	6.18	9.6e-05	0.003	17.6	4.01	77
HP:0006492	Aplasia/Hypoplasia of the fibula	38	3	27.7	8.85	0.00013	0.0039	42.1	6.75	194
HP:0001363	Craniosynostosis	113	4	12.4	6.6	0.00018	0.0047	20.7	4.23	88.7
HP:0000107	Renal cyst	221	5	7.94	5.7	0.00018	0.0047	15.2	3.46	66.5
HP:0004482	Relative macrocephaly	49	3	21.5	7.72	0.00029	0.006	32	5.18	145
HP:0005920	Abnormality of the epiphyses of the phalanges of the hand	49	3	21.5	7.72	0.00029	0.006	32	5.18	145
HP:0011927	Short digit	390	6	5.4	4.93	0.00026	0.006	12.2	2.87	58.8
HP:0010306	Short thorax	50	3	21.1	7.64	3e-04	0.0061	31.3	5.07	142
HP:0001762	Talipes equinovarus	250	5	7.02	5.28	0.00033	0.0063	13.3	3.03	58.1
HP:0011867	Abnormality of the wing of the ilium	53	3	19.9	7.4	0.00036	0.0064	29.4	4.77	133
HP:0005924	Abnormality of the epiphyses of the hand	54	3	19.5	7.32	0.00038	0.0064	28.8	4.68	131
HP:0006495	Aplasia/Hypoplasia of the ulna	55	3	19.1	7.25	4e-04	0.0064	28.3	4.59	128
HP:0001641	Abnormality of the pulmonary valve	138	4	10.2	5.88	4e-04	0.0064	16.7	3.42	71.3
HP:0002991	Abnormality of the fibula	57	3	18.5	7.11	0.00045	0.0068	27.2	4.42	124
HP:0003839	Abnormality of upper limb epiphysis morphology	58	3	18.2	7.04	0.00047	0.0068	26.7	4.34	121
HP:0000946	Hypoplastic ilia	61	3	17.3	6.85	0.00055	0.0068	25.3	4.12	114
HP:0008905	Rhizomelia	62	3	17	6.79	0.00058	0.0068	24.9	4.05	112
HP:0030724	Central nervous system cyst	153	4	9.18	5.53	0.00059	0.0068	15	3.07	63.9
HP:0002979	Bowing of the legs	153	4	9.18	5.53	0.00059	0.0068	15	3.07	63.9
HP:0010576	Intracranial cystic lesion	153	4	9.18	5.53	0.00059	0.0068	15	3.07	63.9
HP:0001156	Brachydactyly syndrome	277	5	6.34	4.95	0.00053	0.0068	11.8	2.71	51.9
HP:0002650	Scoliosis	657	7	3.74	4.16	0.00055	0.0068	10.2	2.33	61.4
HP:0001713	Abnormality of cardiac ventricle	459	6	4.59	4.41	0.00064	0.0071	10.1	2.38	48.8
HP:0100258	Preaxial polydactyly	69	3	15.3	6.39	0.00079	0.0078	22.2	3.63	100
HP:0000766	Abnormality of the sternum	302	5	5.81	4.67	8e-04	0.0078	10.8	2.46	47.1
HP:0001627	Abnormal heart morphology	955	8	2.94	3.76	0.00076	0.0078	10.8	2.15	104
HP:0001098	Abnormality of the fundus	954	8	2.94	3.76	0.00076	0.0078	10.8	2.15	105
HP:0004329	Abnormality of the posterior segment of the globe	957	8	2.93	3.75	0.00078	0.0078	10.7	2.14	104
HP:0002992	Abnormality of the tibia	71	3	14.8	6.29	0.00086	0.008	21.5	3.52	96.9
HP:0040073	Abnormal morphology of forearm bone	73	3	14.4	6.19	0.00093	0.008	20.9	3.42	94
HP:0006292	Abnormality of dental eruption	173	4	8.12	5.13	0.00095	0.008	13.1	2.7	55.9
HP:0000648	Optic atrophy	492	6	4.28	4.19	0.00094	0.008	9.29	2.19	44.9
HP:0000174	Abnormality of the palate	708	7	3.47	3.93	9e-04	0.008	9.31	2.12	55.9
HP:0010674	Abnormality of the curvature of the vertebral column	714	7	3.44	3.91	0.00095	0.008	9.21	2.1	55.3
HP:0008873	Disproportionate short-limb short stature	76	3	13.9	6.06	0.001	0.0086	20	3.28	90
HP:0000110	Renal dysplasia	78	3	13.5	5.97	0.0011	0.0086	19.5	3.19	87.5
HP:0002981	Abnormality of the calf	180	4	7.8	5.01	0.0011	0.0086	12.6	2.58	53.5
HP:0004207	Abnormality of the 5th finger	324	5	5.42	4.46	0.0011	0.0086	9.96	2.28	43.6
HP:0001629	Ventricular septal defect	326	5	5.38	4.44	0.0011	0.0086	9.89	2.26	43.3
HP:0002823	Abnormality of the femur	186	4	7.55	4.9	0.0012	0.0092	12.1	2.5	51.7
HP:0010438	Abnormality of the ventricular septum	333	5	5.27	4.38	0.0013	0.0092	9.66	2.21	42.2
HP:0009142	Duplication of bones involving the upper extremities	189	4	7.43	4.86	0.0013	0.0093	11.9	2.45	50.8
HP:0004275	Duplication of hand bones	189	4	7.43	4.86	0.0013	0.0093	11.9	2.45	50.8
HP:0000278	Retrognathia	192	4	7.31	4.81	0.0014	0.0094	11.7	2.41	49.9
HP:0006504	Anomaly of the limb diaphyses	193	4	7.27	4.79	0.0014	0.0094	11.7	2.4	49.6
HP:0006487	Bowing of the long bones	193	4	7.27	4.79	0.0014	0.0094	11.7	2.4	49.6
HP:0005930	Abnormality of epiphysis morphology	194	4	7.24	4.78	0.0015	0.0094	11.6	2.39	49.3
HP:0012795	Abnormality of the optic disc	531	6	3.97	3.97	0.0014	0.0094	8.49	2.01	41.1
HP:0030680	Abnormality of cardiovascular system morphology	1052	8	2.67	3.46	0.0016	0.0098	9.4	1.87	91.1
HP:0006505	Abnormality of limb epiphysis morphology	89	3	11.8	5.53	0.0017	0.01	17	2.78	75.9
HP:0003272	Abnormality of the hip bone	353	5	4.97	4.21	0.0016	0.01	9.05	2.07	39.5
HP:0000112	Nephropathy	92	3	11.4	5.43	0.0018	0.011	16.4	2.69	73.2
HP:0000940	Abnormal diaphysis morphology	205	4	6.85	4.61	0.0018	0.011	10.9	2.25	46.5
HP:0004426	Abnormality of the cheek	205	4	6.85	4.61	0.0018	0.011	10.9	2.25	46.5
HP:0006712	Aplasia/Hypoplasia of the ribs	98	3	10.7	5.23	0.0022	0.012	15.3	2.52	68.4
HP:0003498	Disproportionate short stature	99	3	10.6	5.2	0.0023	0.012	15.1	2.49	67.6
HP:0000113	Polycystic kidney dysplasia	100	3	10.5	5.17	0.0023	0.012	15	2.47	66.8
HP:0001274	Agenesis of corpus callosum	215	4	6.53	4.47	0.0021	0.012	10.4	2.14	44.1
HP:0100491	Abnormality of lower limb joint	369	5	4.76	4.08	0.002	0.012	8.6	1.97	37.6
HP:0005927	Aplasia/hypoplasia involving bones of the hand	375	5	4.68	4.03	0.0022	0.012	8.45	1.93	36.9
HP:0010049	Short metacarpal	102	3	10.3	5.11	0.0025	0.013	14.7	2.41	65.5
HP:0001162	Postaxial hand polydactyly	104	3	10.1	5.05	0.0026	0.013	14.4	2.37	64.2
HP:0002857	Genu valgum	105	3	10	5.02	0.0027	0.013	14.2	2.34	63.5
HP:0002815	Abnormality of the knee	226	4	6.21	4.33	0.0026	0.013	9.83	2.02	41.8
HP:0000587	Abnormality of the optic nerve	585	6	3.6	3.68	0.0024	0.013	7.56	1.79	36.5
HP:0002023	Anal atresia	107	3	9.84	4.96	0.0028	0.014	14	2.3	62.3
HP:0000575	Scotoma	108	3	9.75	4.94	0.0029	0.014	13.8	2.27	61.7
HP:0005914	Aplasia/Hypoplasia involving the metacarpal bones	108	3	9.75	4.94	0.0029	0.014	13.8	2.27	61.7
HP:0001829	Foot polydactyly	110	3	9.57	4.88	0.0031	0.014	13.6	2.23	60.3
HP:0003336	Abnormal enchondral ossification	111	3	9.49	4.86	0.0031	0.014	13.4	2.21	59.7
HP:0009136	Duplication involving bones of the feet	112	3	9.4	4.83	0.0032	0.014	13.3	2.19	59.2
HP:0000204	Cleft upper lip	231	4	6.08	4.27	0.0028	0.014	9.6	1.98	40.8
HP:0030809	Abnormal tongue morphology	236	4	5.95	4.21	0.003	0.014	9.38	1.93	39.9
HP:0006496	Aplasia/hypoplasia involving bones of the upper limbs	405	5	4.33	3.81	0.0031	0.014	7.74	1.77	33.8
HP:0000177	Abnormality of upper lip	601	6	3.5	3.6	0.0028	0.014	7.32	1.73	35.3
HP:0002648	Abnormality of calvarial morphology	609	6	3.46	3.57	0.003	0.014	7.2	1.7	34.8
HP:0011329	Abnormality of cranial sutures	251	4	5.59	4.04	0.0038	0.016	8.77	1.81	37.2
HP:0002644	Abnormality of pelvic girdle bone morphology	421	5	4.17	3.7	0.0037	0.016	7.41	1.7	32.3
HP:0006503	Aplasia/hypoplasia involving forearm bones	122	3	8.63	4.59	0.0041	0.017	12.1	2	54
HP:0002350	Cerebellar cyst	123	3	8.56	4.56	0.0042	0.017	12	1.99	53.6
