query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0223	5	341	3	0.009	0.6	GO:0061684	BP	16	chaperone-mediated autophagy	1	HSPA8,GFAP,SNCA
2	1	TRUE	0.0154	10	341	4	0.012	0.4	GO:0045792	BP	45	negative regulation of cell size	1	AKT1,RHOA,AKT1S1,TSC1
3	1	TRUE	0.0374	8200	341	174	0.51	0.021	GO:0008152	BP	52	metabolic process	1	AKT1,RTCB,TEAD3,PRPF6,STK11,DVL3,GLG1,CRTC1,POLR2E,APBA3,UFD1L,RBM14,RHOA,RPS18,TAF7L,SPACA7,AKT1S1,CCNT1,EHMT2,RNF168,HSPA8,SLC35C2,PFN1,MRM1,IRF1,ALDH3A1,RNF145,FKBP8,MAP3K3,GFAP,SEL1L,GCNT2,ERBB2IP,BMP4,SH3BP5,TKT,CLU,EBF2,OSR2,PMM1,POLR3H,DONSON,SOD1,CERS5,SCG5,UBE2J2,SLC17A9,CELA3B,CHD1,PKMYT1,CALCR,TREM2,LBH,NRXN1,PIP5K1B,GAA,HPRT,SNCA,MRPL44,CCNT2,ADIPOR1,AHCTF1,EPRS,PHYH,CCDC3,TSC1,PTGES2,COL5A1,LHX3,DUT,GABPB1,GZF1,NFATC2,HAX1,CHRNB2,ANP32B,SRSF10,HP1BP3,EYA3,MECR,NOS3,CTNNBIP1,PPM1G,SPATA18,PDGFRA,PGAM5,GABARAPL1,ING4,ZFP626,PPME1,TGFB1I1,AFF2,RPS4X,CETN2,GOT2,INTS10,SMPD3,DDX6,ADAMTS7,EXD2,TNXB,NUDT15,LARP4B,ZNRF1,GUCY1A3,PPP3R1,DNAJC17,PJA1,CCPG1,CEBPA,HECTD1,CCL12,PRDM4,CAPN5,ACTA2,OXSR1,HK1,VGF,EGR2,HOXA11,TFDP1,JOSD2,TRMT112,NEIL3,MORC3,ZMIZ2,ZFP281,PXYLP1,NKX2-3,IL27,ONECUT3,ZFP830,GPAT2,HNRNPA1,MTFR1L,HELT,OLFR684,GIGYF2,ARID4A,MYPOP,NDNF,HTR1B,FZD4,GREM2,GK2,ZFP455,NHLH1,BCL3,SPINK5,GHR,IER5,SETD3,CES1G,HNRNPM,ZFP128,FHIT,GALNT13,DDHD2,RNF183,UQCRH,AURKAIP1,FKBP15,WDR6,DOK1,ACTC1,LCE3F,CLK2,CAMKMT,PTGES3,CD80,EPT1,LRRC32,GALNTL6,ATF7
4	1	TRUE	0.0154	4179	341	104	0.305	0.025	GO:0009058	BP	52	biosynthetic process	2	AKT1,TEAD3,PRPF6,STK11,DVL3,CRTC1,POLR2E,RBM14,RHOA,RPS18,TAF7L,CCNT1,EHMT2,RNF168,HSPA8,SLC35C2,PFN1,IRF1,FKBP8,GCNT2,ERBB2IP,BMP4,TKT,CLU,EBF2,OSR2,PMM1,POLR3H,DONSON,SOD1,CERS5,CHD1,CALCR,LBH,PIP5K1B,HPRT,SNCA,MRPL44,CCNT2,AHCTF1,EPRS,CCDC3,TSC1,PTGES2,COL5A1,LHX3,DUT,GABPB1,GZF1,NFATC2,HAX1,SRSF10,HP1BP3,NOS3,CTNNBIP1,PDGFRA,ING4,ZFP626,TGFB1I1,RPS4X,GOT2,DDX6,NUDT15,LARP4B,GUCY1A3,PPP3R1,DNAJC17,CCPG1,CEBPA,PRDM4,HK1,EGR2,HOXA11,TFDP1,ZMIZ2,ZFP281,PXYLP1,NKX2-3,IL27,ONECUT3,ZFP830,GPAT2,HELT,OLFR684,GIGYF2,ARID4A,MYPOP,HTR1B,FZD4,GREM2,GK2,ZFP455,NHLH1,BCL3,IER5,SETD3,ZFP128,FHIT,GALNT13,CLK2,PTGES3,EPT1,GALNTL6,ATF7
5	1	TRUE	0.0154	4132	341	104	0.305	0.025	GO:1901576	BP	52	organic substance biosynthetic process	3	AKT1,TEAD3,PRPF6,STK11,DVL3,CRTC1,POLR2E,RBM14,RHOA,RPS18,TAF7L,CCNT1,EHMT2,RNF168,HSPA8,SLC35C2,PFN1,IRF1,FKBP8,GCNT2,ERBB2IP,BMP4,TKT,CLU,EBF2,OSR2,PMM1,POLR3H,DONSON,SOD1,CERS5,CHD1,CALCR,LBH,PIP5K1B,HPRT,SNCA,MRPL44,CCNT2,AHCTF1,EPRS,CCDC3,TSC1,PTGES2,COL5A1,LHX3,DUT,GABPB1,GZF1,NFATC2,HAX1,SRSF10,HP1BP3,NOS3,CTNNBIP1,PDGFRA,ING4,ZFP626,TGFB1I1,RPS4X,GOT2,DDX6,NUDT15,LARP4B,GUCY1A3,PPP3R1,DNAJC17,CCPG1,CEBPA,PRDM4,HK1,EGR2,HOXA11,TFDP1,ZMIZ2,ZFP281,PXYLP1,NKX2-3,IL27,ONECUT3,ZFP830,GPAT2,HELT,OLFR684,GIGYF2,ARID4A,MYPOP,HTR1B,FZD4,GREM2,GK2,ZFP455,NHLH1,BCL3,IER5,SETD3,ZFP128,FHIT,GALNT13,CLK2,PTGES3,EPT1,GALNTL6,ATF7
6	1	TRUE	0.0313	7565	341	164	0.481	0.022	GO:0044237	BP	52	cellular metabolic process	2	AKT1,RTCB,TEAD3,PRPF6,STK11,DVL3,GLG1,CRTC1,POLR2E,UFD1L,RBM14,RHOA,RPS18,TAF7L,SPACA7,AKT1S1,CCNT1,EHMT2,RNF168,HSPA8,SLC35C2,PFN1,MRM1,IRF1,ALDH3A1,RNF145,FKBP8,MAP3K3,GFAP,SEL1L,GCNT2,ERBB2IP,BMP4,SH3BP5,TKT,CLU,EBF2,OSR2,PMM1,POLR3H,DONSON,SOD1,CERS5,SCG5,UBE2J2,SLC17A9,CHD1,PKMYT1,CALCR,TREM2,LBH,NRXN1,PIP5K1B,GAA,HPRT,SNCA,MRPL44,CCNT2,ADIPOR1,AHCTF1,EPRS,PHYH,TSC1,PTGES2,LHX3,DUT,GABPB1,GZF1,NFATC2,HAX1,CHRNB2,SRSF10,HP1BP3,EYA3,MECR,NOS3,CTNNBIP1,PPM1G,SPATA18,PDGFRA,PGAM5,GABARAPL1,ING4,ZFP626,PPME1,TGFB1I1,AFF2,RPS4X,CETN2,GOT2,INTS10,SMPD3,DDX6,ADAMTS7,EXD2,TNXB,NUDT15,LARP4B,ZNRF1,GUCY1A3,PPP3R1,DNAJC17,CCPG1,CEBPA,HECTD1,CCL12,PRDM4,OXSR1,HK1,VGF,EGR2,HOXA11,TFDP1,JOSD2,TRMT112,NEIL3,MORC3,ZMIZ2,ZFP281,PXYLP1,NKX2-3,IL27,ONECUT3,ZFP830,GPAT2,HNRNPA1,MTFR1L,HELT,OLFR684,GIGYF2,ARID4A,MYPOP,NDNF,HTR1B,FZD4,GREM2,GK2,ZFP455,NHLH1,BCL3,SPINK5,GHR,IER5,SETD3,CES1G,HNRNPM,ZFP128,FHIT,GALNT13,DDHD2,RNF183,UQCRH,AURKAIP1,FKBP15,WDR6,DOK1,LCE3F,CLK2,CAMKMT,PTGES3,CD80,EPT1,GALNTL6,ATF7
7	1	TRUE	0.0223	4058	341	100	0.293	0.025	GO:0044249	BP	52	cellular biosynthetic process	3	AKT1,TEAD3,PRPF6,DVL3,CRTC1,POLR2E,RBM14,RHOA,RPS18,TAF7L,CCNT1,EHMT2,RNF168,HSPA8,SLC35C2,PFN1,IRF1,FKBP8,GCNT2,ERBB2IP,BMP4,TKT,CLU,EBF2,OSR2,PMM1,POLR3H,DONSON,SOD1,CERS5,CHD1,CALCR,LBH,PIP5K1B,HPRT,SNCA,MRPL44,CCNT2,AHCTF1,EPRS,TSC1,PTGES2,LHX3,DUT,GABPB1,GZF1,NFATC2,HAX1,SRSF10,HP1BP3,NOS3,CTNNBIP1,PDGFRA,ING4,ZFP626,TGFB1I1,RPS4X,GOT2,DDX6,NUDT15,LARP4B,GUCY1A3,PPP3R1,DNAJC17,CCPG1,CEBPA,PRDM4,HK1,EGR2,HOXA11,TFDP1,ZMIZ2,ZFP281,PXYLP1,NKX2-3,IL27,ONECUT3,ZFP830,GPAT2,HELT,OLFR684,GIGYF2,ARID4A,MYPOP,HTR1B,FZD4,GREM2,ZFP455,NHLH1,BCL3,IER5,SETD3,ZFP128,FHIT,GALNT13,CLK2,PTGES3,EPT1,GALNTL6,ATF7
8	1	TRUE	0.0223	4838	341	115	0.337	0.024	GO:0019222	BP	52	regulation of metabolic process	2	AKT1,TEAD3,PRPF6,STK11,DVL3,GLG1,CRTC1,APBA3,RBM14,RHOA,TAF7L,AKT1S1,CCNT1,EHMT2,RNF168,HSPA8,SLC35C2,PFN1,IRF1,FKBP8,MAP3K3,GFAP,GCNT2,ERBB2IP,BMP4,SH3BP5,CLU,EBF2,OSR2,DONSON,SOD1,SLC17A9,CHD1,PKMYT1,CALCR,TREM2,LBH,NRXN1,HPRT,SNCA,CCNT2,ADIPOR1,AHCTF1,EPRS,CCDC3,TSC1,PTGES2,LHX3,GABPB1,GZF1,NFATC2,HAX1,CHRNB2,ANP32B,SRSF10,HP1BP3,EYA3,NOS3,CTNNBIP1,PDGFRA,ING4,ZFP626,TGFB1I1,AFF2,DDX6,TNXB,NUDT15,LARP4B,GUCY1A3,PPP3R1,DNAJC17,CCPG1,CEBPA,CCL12,PRDM4,ACTA2,OXSR1,EGR2,HOXA11,TFDP1,TRMT112,ZMIZ2,ZFP281,PXYLP1,NKX2-3,IL27,ONECUT3,ZFP830,HELT,OLFR684,GIGYF2,ARID4A,MYPOP,HTR1B,FZD4,GREM2,ZFP455,NHLH1,BCL3,SPINK5,GHR,IER5,SETD3,CES1G,ZFP128,FHIT,AURKAIP1,FKBP15,WDR6,ACTC1,CLK2,PTGES3,CD80,LRRC32,ATF7
9	1	TRUE	0.0154	3016	341	81	0.238	0.027	GO:0009889	BP	52	regulation of biosynthetic process	3	AKT1,TEAD3,PRPF6,STK11,DVL3,CRTC1,RBM14,RHOA,TAF7L,CCNT1,EHMT2,RNF168,HSPA8,PFN1,IRF1,FKBP8,ERBB2IP,BMP4,CLU,EBF2,OSR2,DONSON,SOD1,CHD1,CALCR,LBH,SNCA,CCNT2,AHCTF1,EPRS,CCDC3,TSC1,PTGES2,LHX3,GABPB1,GZF1,NFATC2,HAX1,SRSF10,HP1BP3,NOS3,CTNNBIP1,PDGFRA,ING4,ZFP626,TGFB1I1,DDX6,LARP4B,GUCY1A3,PPP3R1,DNAJC17,CCPG1,CEBPA,PRDM4,EGR2,HOXA11,TFDP1,ZMIZ2,ZFP281,PXYLP1,NKX2-3,IL27,ONECUT3,ZFP830,HELT,OLFR684,GIGYF2,ARID4A,MYPOP,HTR1B,FZD4,GREM2,ZFP455,NHLH1,BCL3,IER5,SETD3,ZFP128,CLK2,PTGES3,ATF7
10	1	TRUE	0.0223	1553	341	48	0.141	0.031	GO:0009891	BP	52	positive regulation of biosynthetic process	4	AKT1,TEAD3,PRPF6,DVL3,CRTC1,RBM14,CCNT1,IRF1,BMP4,CLU,EBF2,OSR2,CALCR,LBH,SNCA,CCNT2,CCDC3,PTGES2,LHX3,GABPB1,NFATC2,HAX1,NOS3,PDGFRA,TGFB1I1,LARP4B,GUCY1A3,PPP3R1,CCPG1,CEBPA,PRDM4,EGR2,HOXA11,TFDP1,ZMIZ2,ZFP281,PXYLP1,NKX2-3,IL27,ONECUT3,HELT,ARID4A,FZD4,NHLH1,BCL3,IER5,SETD3,PTGES3
