query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0289	60	421	7	0.017	0.117	GO:0002637	BP	50	regulation of immunoglobulin production	1	SUPT6,NDFIP1,CD37,SASH3,MLH1,GPI1,CEACAM1
2	1	TRUE	0.0289	28	421	5	0.012	0.179	GO:0042987	BP	7	amyloid precursor protein catabolic process	1	PSEN1,TMED10,ABCG1,EFNA3,PSENEN
3	1	TRUE	0.0289	305	421	17	0.04	0.056	GO:0042176	BP	8	regulation of protein catabolic process	1	PTTG1IP,SIRT2,PSEN1,SUMO2,GGA3,USP25,NDFIP1,BTRC,PSMD14,GBA,VCP,RCHY1,PLK1,PRICKLE1,RILP,OSBPL7,RNF217
4	1	TRUE	0.045	365	421	18	0.043	0.049	GO:0010498	BP	8	proteasomal protein catabolic process	1	PSMC3,BTBD6,DNAJB9,SIRT2,PSEN1,SUMO2,USP25,BTRC,PSMD14,GBA,VCP,RCHY1,PLK1,PRICKLE1,MAN1B1,OSBPL7,SPOP,RNF217
5	1	TRUE	0.00731	170	421	14	0.033	0.082	GO:0045732	BP	8	positive regulation of protein catabolic process	1	PTTG1IP,SIRT2,PSEN1,SUMO2,GGA3,NDFIP1,GBA,VCP,RCHY1,PLK1,PRICKLE1,RILP,OSBPL7,RNF217
6	1	TRUE	0.0161	199	421	14	0.033	0.07	GO:1903362	BP	8	regulation of cellular protein catabolic process	1	PTTG1IP,SIRT2,PSEN1,SUMO2,USP25,BTRC,PSMD14,GBA,VCP,RCHY1,PLK1,PRICKLE1,OSBPL7,RNF217
7	1	TRUE	0.015	172	421	13	0.031	0.076	GO:1903050	BP	8	regulation of proteolysis involved in cellular protein catabolic process	2	SIRT2,PSEN1,SUMO2,USP25,BTRC,PSMD14,GBA,VCP,RCHY1,PLK1,PRICKLE1,OSBPL7,RNF217
8	1	TRUE	0.00737	149	421	13	0.031	0.087	GO:0061136	BP	8	regulation of proteasomal protein catabolic process	3	SIRT2,PSEN1,SUMO2,USP25,BTRC,PSMD14,GBA,VCP,RCHY1,PLK1,PRICKLE1,OSBPL7,RNF217
9	1	TRUE	0.0314	107	421	9	0.021	0.084	GO:0032434	BP	8	regulation of proteasomal ubiquitin-dependent protein catabolic process	1	SIRT2,PSEN1,SUMO2,GBA,VCP,RCHY1,PLK1,PRICKLE1,RNF217
10	1	TRUE	0.0075	109	421	11	0.026	0.101	GO:1903364	BP	8	positive regulation of cellular protein catabolic process	1	PTTG1IP,SIRT2,PSEN1,SUMO2,GBA,VCP,RCHY1,PLK1,PRICKLE1,OSBPL7,RNF217
11	1	TRUE	0.00813	93	421	10	0.024	0.108	GO:1903052	BP	8	positive regulation of proteolysis involved in cellular protein catabolic process	2	SIRT2,PSEN1,SUMO2,GBA,VCP,RCHY1,PLK1,PRICKLE1,OSBPL7,RNF217
12	1	TRUE	0.00551	83	421	10	0.024	0.12	GO:1901800	BP	8	positive regulation of proteasomal protein catabolic process	3	SIRT2,PSEN1,SUMO2,GBA,VCP,RCHY1,PLK1,PRICKLE1,OSBPL7,RNF217
13	1	TRUE	0.0126	82	421	9	0.021	0.11	GO:2000060	BP	8	positive regulation of ubiquitin-dependent protein catabolic process	1	SIRT2,PSEN1,SUMO2,GBA,VCP,RCHY1,PLK1,PRICKLE1,RNF217
14	1	TRUE	0.0075	72	421	9	0.021	0.125	GO:0032436	BP	8	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	2	SIRT2,PSEN1,SUMO2,GBA,VCP,RCHY1,PLK1,PRICKLE1,RNF217
15	1	TRUE	0.0313	2	421	2	0.005	1	GO:0035902	BP	41	response to immobilization stress	1	LRP11,NR0B1
16	1	TRUE	0.00534	4796	421	141	0.335	0.029	GO:0032502	BP	4	developmental process	1	WDR77,SNAPIN,SLC26A3,PFDN5,CSN3,HOXD13,FOLR1,EMD,SUPT6,PSMC3,ARMC6,BTBD6,CSNK1G2,SNRNP200,INSIG2,CALR,EPHB3,RCN1,ZBTB17,FZD3,RELT,HYAL2,ETV5,PTPRS,SIRT2,SUZ12,ALOX15,HEY2,PLAGL1,ARID5B,PSEN1,NF1,SLC9A3R1,ERH,ID4,PDE4D,THRB,CAMK2G,LRP12,SLA,TTLL1,ROPN1,ETS2,ABCG1,SVIL,NDFIP1,PDCD4,NR0B1,GFRA1,BTRC,MIP,TNP1,IGFBP5,USH2A,PAX8,MARCH7,CHMP4C,GHRH,NPY2R,EFNA3,TNC,GALNTL5,EPHA5,ADAMTS9,PTPRO,CSRP3,BLM,TIAL1,MMP21,SASH3,NSDHL,MECP2,VSTM5,CFDP1,KIRREL3,MLH1,LMO2,CCDC88A,ASPRV1,ZDHHC15,MAP2K2,TDRD7,PRICKLE1,SOSTDC1,GPI1,CDC42EP3,MBD5,KDM1A,SRRT,SIX3,SEC24D,FOXK2,TMEM135,UBN1,KLHL32,KCNA2,CATSPERD,RBBP8,CLDN5,MMRN2,IRF8,MYO3B,MUSTN1,YPEL3,RBM20,PTPN11,NEUROG3,APLNR,DSG2,EPCAM,SH3TC2,INHBE,TSKU,LGR4,MAML1,FGF4,GDF6,ZFP217,MYH7,NDST1,FTO,MAB21L1,JMJD6,CTS8,PRSS43,OSM,TNFRSF19,INTU,MYT1L,CAV3,ZFP932,SHROOM4,GPRIN1,CCND1,TOP1,ZFP804A,CEACAM1,MAFB,ISM1,SLC5A3,EVI2B
17	1	TRUE	0.00551	4482	421	133	0.316	0.03	GO:0048856	BP	4	anatomical structure development	2	WDR77,SNAPIN,SLC26A3,PFDN5,CSN3,HOXD13,FOLR1,EMD,SUPT6,PSMC3,ARMC6,BTBD6,CSNK1G2,INSIG2,CALR,EPHB3,RCN1,ZBTB17,FZD3,RELT,HYAL2,ETV5,PTPRS,SIRT2,ALOX15,HEY2,PLAGL1,ARID5B,PSEN1,NF1,SLC9A3R1,ID4,PDE4D,THRB,CAMK2G,LRP12,TTLL1,ROPN1,ETS2,SVIL,NDFIP1,PDCD4,NR0B1,GFRA1,BTRC,MIP,TNP1,IGFBP5,USH2A,PAX8,MARCH7,CHMP4C,GHRH,NPY2R,EFNA3,TNC,GALNTL5,EPHA5,ADAMTS9,PTPRO,CSRP3,BLM,TIAL1,MMP21,SASH3,NSDHL,MECP2,VSTM5,CFDP1,KIRREL3,MLH1,LMO2,CCDC88A,ASPRV1,MAP2K2,TDRD7,PRICKLE1,SOSTDC1,GPI1,CDC42EP3,MBD5,KDM1A,SRRT,SIX3,SEC24D,FOXK2,TMEM135,UBN1,KLHL32,KCNA2,CATSPERD,RBBP8,CLDN5,MMRN2,IRF8,MYO3B,MUSTN1,RBM20,PTPN11,NEUROG3,APLNR,DSG2,EPCAM,SH3TC2,INHBE,TSKU,LGR4,MAML1,FGF4,GDF6,ZFP217,MYH7,NDST1,FTO,MAB21L1,JMJD6,CTS8,PRSS43,OSM,TNFRSF19,INTU,MYT1L,CAV3,SHROOM4,GPRIN1,CCND1,TOP1,ZFP804A,CEACAM1,MAFB,ISM1,SLC5A3,EVI2B
18	1	TRUE	0.0161	1536	421	55	0.131	0.036	GO:0009888	BP	4	tissue development	3	WDR77,HOXD13,FOLR1,EMD,ZBTB17,FZD3,HYAL2,ETV5,PTPRS,SIRT2,ALOX15,HEY2,PLAGL1,ARID5B,PSEN1,NF1,SLC9A3R1,ID4,PDE4D,THRB,ETS2,SVIL,NR0B1,BTRC,IGFBP5,USH2A,PAX8,TNC,ADAMTS9,PTPRO,CSRP3,NSDHL,MAP2K2,TDRD7,PRICKLE1,SOSTDC1,GPI1,SIX3,UBN1,CLDN5,MUSTN1,NEUROG3,DSG2,EPCAM,LGR4,MAML1,FGF4,GDF6,MYH7,FTO,TNFRSF19,INTU,CAV3,CCND1,CEACAM1
19	1	TRUE	0.0444	969	421	36	0.086	0.037	GO:0060429	BP	4	epithelium development	4	WDR77,HOXD13,FOLR1,FZD3,ETV5,PTPRS,HEY2,PSEN1,NF1,SLC9A3R1,ID4,PDE4D,THRB,NR0B1,BTRC,IGFBP5,USH2A,PAX8,TNC,PTPRO,NSDHL,MAP2K2,TDRD7,PRICKLE1,SOSTDC1,SIX3,UBN1,CLDN5,NEUROG3,EPCAM,LGR4,TNFRSF19,INTU,CAV3,CCND1,CEACAM1
20	1	TRUE	0.0125	4038	421	119	0.283	0.029	GO:0007275	BP	4	multicellular organism development	3	WDR77,SNAPIN,PFDN5,CSN3,HOXD13,FOLR1,EMD,SUPT6,PSMC3,ARMC6,BTBD6,INSIG2,CALR,EPHB3,RCN1,ZBTB17,FZD3,RELT,HYAL2,ETV5,PTPRS,SIRT2,ALOX15,HEY2,PLAGL1,ARID5B,PSEN1,NF1,SLC9A3R1,ID4,THRB,CAMK2G,LRP12,ETS2,SVIL,NDFIP1,PDCD4,NR0B1,GFRA1,BTRC,MIP,IGFBP5,USH2A,PAX8,MARCH7,CHMP4C,GHRH,NPY2R,EFNA3,TNC,EPHA5,ADAMTS9,PTPRO,CSRP3,BLM,MMP21,SASH3,NSDHL,MECP2,VSTM5,KIRREL3,MLH1,LMO2,CCDC88A,ASPRV1,MAP2K2,TDRD7,PRICKLE1,SOSTDC1,GPI1,MBD5,KDM1A,SRRT,SIX3,SEC24D,TMEM135,UBN1,KLHL32,KCNA2,RBBP8,CLDN5,MMRN2,IRF8,MYO3B,MUSTN1,RBM20,PTPN11,NEUROG3,APLNR,DSG2,EPCAM,SH3TC2,TSKU,LGR4,MAML1,FGF4,GDF6,ZFP217,MYH7,NDST1,FTO,MAB21L1,JMJD6,CTS8,OSM,TNFRSF19,INTU,MYT1L,CAV3,SHROOM4,GPRIN1,CCND1,TOP1,ZFP804A,CEACAM1,MAFB,ISM1,SLC5A3,EVI2B
21	1	TRUE	0.0379	3764	421	107	0.254	0.028	GO:0048731	BP	4	system development	3	WDR77,SNAPIN,PFDN5,CSN3,HOXD13,FOLR1,EMD,SUPT6,ARMC6,BTBD6,INSIG2,CALR,EPHB3,RCN1,FZD3,HYAL2,ETV5,PTPRS,SIRT2,ALOX15,HEY2,PLAGL1,ARID5B,PSEN1,NF1,SLC9A3R1,ID4,THRB,CAMK2G,LRP12,SVIL,NDFIP1,PDCD4,NR0B1,GFRA1,BTRC,MIP,IGFBP5,USH2A,PAX8,MARCH7,GHRH,NPY2R,EFNA3,TNC,EPHA5,ADAMTS9,PTPRO,CSRP3,BLM,MMP21,SASH3,NSDHL,MECP2,VSTM5,KIRREL3,MLH1,LMO2,CCDC88A,ASPRV1,MAP2K2,TDRD7,PRICKLE1,SOSTDC1,MBD5,KDM1A,SRRT,SIX3,UBN1,KLHL32,KCNA2,MMRN2,IRF8,MYO3B,MUSTN1,RBM20,PTPN11,NEUROG3,APLNR,DSG2,EPCAM,SH3TC2,TSKU,LGR4,MAML1,FGF4,GDF6,MYH7,NDST1,FTO,MAB21L1,JMJD6,CTS8,OSM,TNFRSF19,INTU,MYT1L,CAV3,SHROOM4,GPRIN1,CCND1,ZFP804A,CEACAM1,MAFB,ISM1,SLC5A3,EVI2B
22	1	TRUE	0.0412	2822	421	84	0.2	0.03	GO:0048513	BP	4	animal organ development	3	WDR77,PFDN5,CSN3,HOXD13,FOLR1,EMD,ARMC6,INSIG2,EPHB3,RCN1,FZD3,HYAL2,ETV5,PTPRS,SIRT2,ALOX15,HEY2,PLAGL1,ARID5B,PSEN1,NF1,SLC9A3R1,ID4,THRB,SVIL,NDFIP1,NR0B1,BTRC,MIP,IGFBP5,USH2A,PAX8,GHRH,NPY2R,TNC,EPHA5,ADAMTS9,PTPRO,CSRP3,BLM,MMP21,SASH3,NSDHL,MECP2,VSTM5,KIRREL3,LMO2,ASPRV1,MAP2K2,TDRD7,PRICKLE1,SOSTDC1,KDM1A,SIX3,UBN1,KLHL32,IRF8,MYO3B,MUSTN1,RBM20,PTPN11,NEUROG3,APLNR,DSG2,EPCAM,TSKU,LGR4,MAML1,FGF4,GDF6,MYH7,NDST1,FTO,MAB21L1,JMJD6,CTS8,TNFRSF19,INTU,CAV3,SHROOM4,CCND1,CEACAM1,MAFB,EVI2B
23	1	TRUE	0.000875	356	421	24	0.057	0.067	GO:0048732	BP	4	gland development	4	WDR77,CSN3,HOXD13,EPHB3,ETV5,ARID5B,PSEN1,NF1,SLC9A3R1,ID4,NR0B1,BTRC,IGFBP5,PAX8,GHRH,TNC,MAP2K2,SOSTDC1,KDM1A,SIX3,CAV3,CCND1,CEACAM1,MAFB
