name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0000713	Agitation	74	10	7.3	7.52	6.6e-07	0.00049	9.59	4.17	20.1
HP:0000711	Restlessness	85	10	6.35	6.86	2.5e-06	0.00092	8.16	3.57	17
HP:0002342	Intellectual disability, moderate	90	9	5.4	5.81	3.1e-05	0.0059	6.67	2.8	14.2
HP:0000664	Synophrys	137	11	4.34	5.47	3.1e-05	0.0059	5.36	2.47	10.7
HP:0002219	Facial hypertrichosis	151	11	3.93	5.06	7.8e-05	0.012	4.8	2.22	9.56
HP:0001833	Long foot	46	6	7.04	5.67	0.00017	0.021	8.64	2.88	21.6
HP:0009909	Uplifted earlobe	31	5	8.71	5.92	0.00022	0.023	10.9	3.17	30.3
HP:0001518	Small for gestational age	172	11	3.45	4.53	0.00025	0.024	4.15	1.92	8.23
HP:0001956	Truncal obesity	53	6	6.11	5.15	0.00037	0.028	7.34	2.47	18.2
HP:0002465	Poor speech	122	9	3.98	4.61	0.00034	0.028	4.73	2.01	9.96
HP:0002546	Incomprehensible speech	24	4	9	5.4	0.00086	0.038	11.2	2.7	34.9
HP:0004523	Long eyebrows	24	4	9	5.4	0.00086	0.038	11.2	2.7	34.9
HP:0000338	Hypomimic face	25	4	8.64	5.27	0.001	0.038	10.7	2.59	33
HP:0000053	Macroorchidism	38	5	7.11	5.2	0.00058	0.038	8.6	2.53	23.2
HP:0006801	Hyperactive deep tendon reflexes	26	4	8.31	5.14	0.0012	0.038	10.2	2.48	31.3
HP:0011229	Broad eyebrow	26	4	8.31	5.14	0.0012	0.038	10.2	2.48	31.3
HP:0002384	Focal seizures with impairment of consciousness or awareness	44	5	6.14	4.71	0.0012	0.038	7.27	2.16	19.4
HP:0005484	Postnatal microcephaly	65	6	4.98	4.45	0.0011	0.038	5.83	1.98	14.2
HP:0000219	Thin upper lip vermilion	164	10	3.29	4.13	0.00073	0.038	3.88	1.73	7.88
HP:0000303	Mandibular prognathia	198	11	3	3.98	0.00085	0.038	3.55	1.64	7.01
HP:0000718	Aggressive behavior	200	11	2.97	3.94	0.00092	0.038	3.51	1.63	6.93
HP:0000268	Dolichocephaly	203	11	2.93	3.88	0.001	0.038	3.45	1.6	6.81
HP:0000581	Blepharophimosis	203	11	2.93	3.88	0.001	0.038	3.45	1.6	6.81
HP:0001256	Intellectual disability, mild	212	11	2.8	3.72	0.0015	0.046	3.29	1.52	6.48
HP:0000455	Broad nasal tip	95	7	3.98	4.04	0.0016	0.047	4.6	1.72	10.5
HP:0200007	Abnormal size of the palpebral fissures	248	12	2.61	3.62	0.0016	0.047	3.08	1.48	5.93
HP:0011146	Dialeptic seizures	71	6	4.56	4.17	0.0018	0.048	5.28	1.8	12.8
HP:0000307	Pointed chin	71	6	4.56	4.17	0.0018	0.048	5.28	1.8	12.8
HP:0000400	Macrotia	186	10	2.9	3.66	0.0019	0.049	3.38	1.51	6.83
