query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0112	23	330	5	0.015	0.217	GO:0006515	BP	157	protein quality control for misfolded or incompletely synthesized proteins	1	CUL3,SDF2L1,UGGT1,STUB1,LONP1
2	1	TRUE	0.0112	5719	330	129	0.391	0.023	GO:0044260	BP	149	cellular macromolecule metabolic process	1	AIRE,IRX2,CHORDC1,DDB2,RMND5A,PRKRA,CDKN1B,SRI,EIF2B5,MAN1A,IKBKG,CUL3,DGKQ,NR2C1,IHH,UBP1,ST3GAL1,HIVEP2,EIF3D,CD40,SMURF2,PTPRR,HINT1,NCOA1,GLRX5,EIF5,SAMD4,ITM2B,CCT5,MGRN1,GPAA1,SDF2L1,GSK3B,ADIPOQ,LALBA,CD4,SATB1,EPAS1,MRPL16,PRDX5,RCOR2,DNTT,MOB2,DACH2,FAM20C,SMAD7,FARSB,UHMK1,DARS2,USP8,FXR1,SUPT20,PDGFC,MAP3K7,3110043O21RIK,RAD23B,DDOST,VAMP3,TFR2,BMP10,OGG1,FBXL19,PORCN,CDX4,FLNA,HCCS,CUL4A,AFG3L1,CSNK1G1,CRTAP,PDCD6IP,GORASP1,TOPBP1,HSF4,TRMT13,FAN1,RBFOX2,USP36,MGA,PARP14,TBR1,DENND3,GEMIN5,UGGT1,CD81,STUB1,ZER1,MAP3K10,CBLC,LONP1,GLTSCR2,ZFP239,NKRF,RNF182,ZFP488,SPRR3,TCF21,PIK3R6,CLTC,ZFP358,RNF152,PPP1R2,KMT2D,OSR1,ZFP668,LRRC4,GEN1,MAGI3,PDE5A,SKP2,KCMF1,FOXK1,TATDN2,PRDM2,CAMK2B,NFAM1,RPL30,MAX,ZFP941,GLRP1,ZFP706,IMPAD1,HES6,AP5S1,DDRGK1,CRY2,MTA2,PPIA,FOXL1
3	1	TRUE	0.00697	12686	330	248	0.752	0.02	GO:0005623	CC	56	cell	1	COX5A,RAB5B,AIRE,AGPAT3,KLHL10,FAM50A,DDB2,RMND5A,DHRS1,PRKRA,TPRA1,CDKN1B,SRI,EIF2B5,MAN1A,IKBKG,CUL3,LY9,DGKQ,NR2C1,ARPC2,CRIP2,IHH,DYNLL1,PDCL,UBP1,ST3GAL1,TVP23B,DNAJC7,PSMB1,MAP2,NIPSNAP3A,HIVEP2,VPS45,EIF3D,CD40,ANXA6,SMURF2,SEPT8,FNDC8,SCN1B,STXBP5,ATP2B1,NDUFA12,MICU1,PTPRR,HINT1,SLU7,DYNLL2,TRAPPC12,NCOA1,SLC13A5,SEC14L1,GLRX5,PAPOLA,EIF5,TRPC7,SAMD4,KPNA3,ITM2B,CCT5,MGRN1,GLYR1,GPAA1,SDF2L1,IGSF11,GSK3B,ADIPOQ,CHAF1B,ASIC1,COX14,CD4,SATB1,EPAS1,SLC39A7,SPATA24,MRPL16,TMC1,LIPA,PRDX5,RCOR2,DNTT,HDGFRP3,MOB2,NDUFB8,SBDS,DACH2,FBXL16,FAM20C,UNC5A,SMAD7,MFF,FARSB,CAPN10,UHMK1,DARS2,CCDC183,SLC43A1,LAMP5,KNSTRN,USP8,CSTF1,RAE1,CAR2,FXR1,SERPINI1,PDGFC,SCAMP3,PEX11B,GCLM,RMDN1,MAP3K7,3110043O21RIK,RAD23B,ECHDC2,DDOST,SH3BGRL3,ABCF2,VAMP3,CCKAR,IFT81,GLCCI1,TFR2,BMP10,SLCO1A4,OGG1,RAB38,AEN,FBXL19,GGA2,MRGPRF,PORCN,HEPH,SYTL4,CDX4,FLNA,GPM6B,HCCS,CUL4A,RASA3,CHRNA6,EMC8,BCAR1,AFG3L1,C2CD2L,ELOVL5,CSNK1G1,CRTAP,PDCD6IP,GORASP1,PCCB,TOPBP1,TTC28,HSF4,FAN1,RBFOX2,USP36,MGA,GOLGB1,PARP14,DYNLRB2,TBR1,ANKRD11,MIDN,PRF1,GEMIN5,UGGT1,PHC3,CD81,MYNN,MRPS26,STK35,ANO10,PDE4DIP,OVCA2,MESDC2,RAP1GAP2,STUB1,ZER1,PCIF1,CACNA2D1,MAP3K10,SGMS1,CBLC,ATP1A3,LONP1,GLTSCR2,SERPINA12,TEKT3,RBM45,RBM7,ZMYM6,SIPA1L1,NMNAT2,WDR63,EXOC3L,NKRF,RNF182,N6AMT1,TNFAIP8L1,ZFP488,SPRR3,TCF21,CLTC,ARL4A,RNF152,PPP1R2,SLC38A9,KMT2D,OSR1,TPRN,PCDH10,LRRC4,2310061I04RIK,GEN1,PCDHB6,TREML4,NAV2,MAPK11,NT5DC3,SKP2,FAM73A,SLIT3,FOXK1,TRNP1,TSNAX,PRDM2,CAMK2B,NFAM1,RPL30,KCNJ14,GLRP1,ZFP706,SCOC,PRPF38A,IMPAD1,HES6,AP5S1,DDRGK1,CRY2,PABPN1L,YIPF3,MTA2,PPIA,ITPA,VMN1R198,FOXL1,PCDHA3
4	1	TRUE	0.00697	12686	330	248	0.752	0.02	GO:0044464	CC	56	cell part	2	COX5A,RAB5B,AIRE,AGPAT3,KLHL10,FAM50A,DDB2,RMND5A,DHRS1,PRKRA,TPRA1,CDKN1B,SRI,EIF2B5,MAN1A,IKBKG,CUL3,LY9,DGKQ,NR2C1,ARPC2,CRIP2,IHH,DYNLL1,PDCL,UBP1,ST3GAL1,TVP23B,DNAJC7,PSMB1,MAP2,NIPSNAP3A,HIVEP2,VPS45,EIF3D,CD40,ANXA6,SMURF2,SEPT8,FNDC8,SCN1B,STXBP5,ATP2B1,NDUFA12,MICU1,PTPRR,HINT1,SLU7,DYNLL2,TRAPPC12,NCOA1,SLC13A5,SEC14L1,GLRX5,PAPOLA,EIF5,TRPC7,SAMD4,KPNA3,ITM2B,CCT5,MGRN1,GLYR1,GPAA1,SDF2L1,IGSF11,GSK3B,ADIPOQ,CHAF1B,ASIC1,COX14,CD4,SATB1,EPAS1,SLC39A7,SPATA24,MRPL16,TMC1,LIPA,PRDX5,RCOR2,DNTT,HDGFRP3,MOB2,NDUFB8,SBDS,DACH2,FBXL16,FAM20C,UNC5A,SMAD7,MFF,FARSB,CAPN10,UHMK1,DARS2,CCDC183,SLC43A1,LAMP5,KNSTRN,USP8,CSTF1,RAE1,CAR2,FXR1,SERPINI1,PDGFC,SCAMP3,PEX11B,GCLM,RMDN1,MAP3K7,3110043O21RIK,RAD23B,ECHDC2,DDOST,SH3BGRL3,ABCF2,VAMP3,CCKAR,IFT81,GLCCI1,TFR2,BMP10,SLCO1A4,OGG1,RAB38,AEN,FBXL19,GGA2,MRGPRF,PORCN,HEPH,SYTL4,CDX4,FLNA,GPM6B,HCCS,CUL4A,RASA3,CHRNA6,EMC8,BCAR1,AFG3L1,C2CD2L,ELOVL5,CSNK1G1,CRTAP,PDCD6IP,GORASP1,PCCB,TOPBP1,TTC28,HSF4,FAN1,RBFOX2,USP36,MGA,GOLGB1,PARP14,DYNLRB2,TBR1,ANKRD11,MIDN,PRF1,GEMIN5,UGGT1,PHC3,CD81,MYNN,MRPS26,STK35,ANO10,PDE4DIP,OVCA2,MESDC2,RAP1GAP2,STUB1,ZER1,PCIF1,CACNA2D1,MAP3K10,SGMS1,CBLC,ATP1A3,LONP1,GLTSCR2,SERPINA12,TEKT3,RBM45,RBM7,ZMYM6,SIPA1L1,NMNAT2,WDR63,EXOC3L,NKRF,RNF182,N6AMT1,TNFAIP8L1,ZFP488,SPRR3,TCF21,CLTC,ARL4A,RNF152,PPP1R2,SLC38A9,KMT2D,OSR1,TPRN,PCDH10,LRRC4,2310061I04RIK,GEN1,PCDHB6,TREML4,NAV2,MAPK11,NT5DC3,SKP2,FAM73A,SLIT3,FOXK1,TRNP1,TSNAX,PRDM2,CAMK2B,NFAM1,RPL30,KCNJ14,GLRP1,ZFP706,SCOC,PRPF38A,IMPAD1,HES6,AP5S1,DDRGK1,CRY2,PABPN1L,YIPF3,MTA2,PPIA,ITPA,VMN1R198,FOXL1,PCDHA3
5	1	TRUE	0.0112	2602	330	70	0.212	0.027	GO:0012505	CC	56	endomembrane system	3	RAB5B,AGPAT3,DHRS1,SRI,MAN1A,CUL3,DGKQ,ARPC2,ST3GAL1,TVP23B,VPS45,ANXA6,STXBP5,SEC14L1,KPNA3,ITM2B,MGRN1,GLYR1,GPAA1,SDF2L1,ADIPOQ,ASIC1,CD4,SLC39A7,NDUFB8,FAM20C,UHMK1,LAMP5,USP8,RAE1,SERPINI1,SCAMP3,3110043O21RIK,DDOST,VAMP3,RAB38,AEN,GGA2,MRGPRF,PORCN,SYTL4,FLNA,EMC8,C2CD2L,ELOVL5,CRTAP,PDCD6IP,GORASP1,GOLGB1,UGGT1,PDE4DIP,RAP1GAP2,STUB1,CACNA2D1,SGMS1,ATP1A3,TEKT3,NMNAT2,EXOC3L,SPRR3,CLTC,SLC38A9,TREML4,PRDM2,SCOC,PRPF38A,IMPAD1,AP5S1,DDRGK1,YIPF3
6	1	TRUE	0.00476	10839	330	221	0.67	0.02	GO:0005622	CC	56	intracellular	3	COX5A,RAB5B,AIRE,AGPAT3,KLHL10,FAM50A,DDB2,RMND5A,DHRS1,PRKRA,CDKN1B,SRI,EIF2B5,MAN1A,IKBKG,CUL3,DGKQ,NR2C1,ARPC2,CRIP2,DYNLL1,PDCL,UBP1,ST3GAL1,TVP23B,DNAJC7,PSMB1,MAP2,NIPSNAP3A,HIVEP2,VPS45,EIF3D,CD40,ANXA6,SMURF2,FNDC8,STXBP5,ATP2B1,NDUFA12,MICU1,PTPRR,HINT1,SLU7,DYNLL2,TRAPPC12,NCOA1,SEC14L1,GLRX5,PAPOLA,EIF5,SAMD4,KPNA3,ITM2B,CCT5,MGRN1,GLYR1,GPAA1,SDF2L1,GSK3B,ADIPOQ,CHAF1B,ASIC1,COX14,CD4,SATB1,EPAS1,SLC39A7,SPATA24,MRPL16,LIPA,PRDX5,RCOR2,DNTT,HDGFRP3,MOB2,NDUFB8,SBDS,DACH2,FBXL16,FAM20C,UNC5A,SMAD7,MFF,FARSB,CAPN10,UHMK1,DARS2,CCDC183,LAMP5,KNSTRN,USP8,CSTF1,RAE1,CAR2,FXR1,SERPINI1,PDGFC,SCAMP3,PEX11B,GCLM,RMDN1,MAP3K7,3110043O21RIK,RAD23B,ECHDC2,DDOST,SH3BGRL3,ABCF2,VAMP3,IFT81,GLCCI1,TFR2,BMP10,OGG1,RAB38,AEN,FBXL19,GGA2,MRGPRF,PORCN,HEPH,SYTL4,CDX4,FLNA,HCCS,CUL4A,RASA3,EMC8,BCAR1,AFG3L1,C2CD2L,ELOVL5,CSNK1G1,CRTAP,PDCD6IP,GORASP1,PCCB,TOPBP1,TTC28,HSF4,FAN1,RBFOX2,USP36,MGA,GOLGB1,PARP14,DYNLRB2,TBR1,ANKRD11,MIDN,PRF1,GEMIN5,UGGT1,PHC3,MYNN,MRPS26,STK35,ANO10,PDE4DIP,OVCA2,RAP1GAP2,STUB1,ZER1,PCIF1,CACNA2D1,MAP3K10,SGMS1,CBLC,ATP1A3,LONP1,GLTSCR2,TEKT3,RBM45,RBM7,ZMYM6,NMNAT2,WDR63,EXOC3L,NKRF,RNF182,N6AMT1,TNFAIP8L1,ZFP488,SPRR3,TCF21,CLTC,ARL4A,RNF152,PPP1R2,SLC38A9,KMT2D,OSR1,LRRC4,2310061I04RIK,GEN1,TREML4,NAV2,MAPK11,NT5DC3,SKP2,FOXK1,TRNP1,TSNAX,PRDM2,CAMK2B,RPL30,GLRP1,ZFP706,SCOC,PRPF38A,IMPAD1,HES6,AP5S1,DDRGK1,CRY2,PABPN1L,YIPF3,MTA2,PPIA,ITPA,FOXL1
7	1	TRUE	0.00476	10736	330	219	0.664	0.02	GO:0044424	CC	56	intracellular part	4	COX5A,RAB5B,AIRE,AGPAT3,KLHL10,FAM50A,DDB2,RMND5A,DHRS1,PRKRA,CDKN1B,SRI,EIF2B5,MAN1A,IKBKG,CUL3,DGKQ,NR2C1,ARPC2,CRIP2,DYNLL1,PDCL,UBP1,ST3GAL1,TVP23B,DNAJC7,PSMB1,MAP2,NIPSNAP3A,HIVEP2,VPS45,EIF3D,CD40,ANXA6,SMURF2,FNDC8,STXBP5,ATP2B1,NDUFA12,MICU1,PTPRR,HINT1,SLU7,DYNLL2,TRAPPC12,NCOA1,SEC14L1,GLRX5,PAPOLA,EIF5,SAMD4,KPNA3,ITM2B,CCT5,MGRN1,GLYR1,GPAA1,SDF2L1,GSK3B,ADIPOQ,CHAF1B,ASIC1,COX14,CD4,SATB1,EPAS1,SLC39A7,SPATA24,MRPL16,LIPA,PRDX5,RCOR2,DNTT,HDGFRP3,MOB2,NDUFB8,SBDS,DACH2,FBXL16,FAM20C,UNC5A,SMAD7,MFF,FARSB,CAPN10,UHMK1,DARS2,CCDC183,LAMP5,KNSTRN,USP8,CSTF1,RAE1,CAR2,FXR1,SERPINI1,PDGFC,SCAMP3,PEX11B,GCLM,RMDN1,MAP3K7,3110043O21RIK,RAD23B,ECHDC2,DDOST,SH3BGRL3,ABCF2,VAMP3,IFT81,GLCCI1,TFR2,BMP10,OGG1,RAB38,AEN,FBXL19,GGA2,MRGPRF,PORCN,SYTL4,CDX4,FLNA,HCCS,CUL4A,RASA3,EMC8,BCAR1,AFG3L1,C2CD2L,ELOVL5,CSNK1G1,CRTAP,PDCD6IP,GORASP1,PCCB,TOPBP1,TTC28,HSF4,FAN1,RBFOX2,USP36,MGA,GOLGB1,PARP14,DYNLRB2,TBR1,ANKRD11,MIDN,PRF1,GEMIN5,UGGT1,PHC3,MYNN,MRPS26,STK35,PDE4DIP,OVCA2,RAP1GAP2,STUB1,ZER1,PCIF1,CACNA2D1,MAP3K10,SGMS1,CBLC,ATP1A3,LONP1,GLTSCR2,TEKT3,RBM45,RBM7,ZMYM6,NMNAT2,WDR63,EXOC3L,NKRF,RNF182,N6AMT1,TNFAIP8L1,ZFP488,SPRR3,TCF21,CLTC,ARL4A,RNF152,PPP1R2,SLC38A9,KMT2D,OSR1,LRRC4,2310061I04RIK,GEN1,TREML4,NAV2,MAPK11,NT5DC3,SKP2,FOXK1,TRNP1,TSNAX,PRDM2,CAMK2B,RPL30,GLRP1,ZFP706,SCOC,PRPF38A,IMPAD1,HES6,AP5S1,DDRGK1,CRY2,PABPN1L,YIPF3,MTA2,PPIA,ITPA,FOXL1
8	1	TRUE	0.0121	8141	330	171	0.518	0.021	GO:0005737	CC	56	cytoplasm	5	COX5A,RAB5B,AIRE,AGPAT3,KLHL10,RMND5A,DHRS1,PRKRA,CDKN1B,SRI,EIF2B5,MAN1A,IKBKG,CUL3,DGKQ,ARPC2,CRIP2,DYNLL1,PDCL,UBP1,ST3GAL1,TVP23B,DNAJC7,PSMB1,MAP2,NIPSNAP3A,VPS45,EIF3D,ANXA6,SMURF2,STXBP5,NDUFA12,MICU1,PTPRR,HINT1,SLU7,TRAPPC12,NCOA1,SEC14L1,GLRX5,PAPOLA,EIF5,SAMD4,KPNA3,ITM2B,CCT5,MGRN1,GLYR1,GPAA1,SDF2L1,GSK3B,ADIPOQ,CHAF1B,ASIC1,COX14,CD4,EPAS1,SLC39A7,SPATA24,MRPL16,PRDX5,DNTT,HDGFRP3,MOB2,NDUFB8,SBDS,FBXL16,FAM20C,UNC5A,SMAD7,MFF,FARSB,CAPN10,UHMK1,DARS2,CCDC183,LAMP5,KNSTRN,USP8,CAR2,FXR1,SERPINI1,PDGFC,SCAMP3,PEX11B,GCLM,RMDN1,MAP3K7,3110043O21RIK,RAD23B,ECHDC2,DDOST,SH3BGRL3,ABCF2,VAMP3,GLCCI1,TFR2,BMP10,OGG1,RAB38,GGA2,PORCN,SYTL4,FLNA,HCCS,RASA3,EMC8,BCAR1,AFG3L1,C2CD2L,ELOVL5,CSNK1G1,CRTAP,PDCD6IP,GORASP1,PCCB,FAN1,RBFOX2,GOLGB1,PARP14,DYNLRB2,ANKRD11,MIDN,PRF1,GEMIN5,UGGT1,MRPS26,PDE4DIP,OVCA2,RAP1GAP2,STUB1,CACNA2D1,MAP3K10,SGMS1,ATP1A3,LONP1,GLTSCR2,TEKT3,RBM45,ZMYM6,NMNAT2,EXOC3L,RNF182,N6AMT1,TNFAIP8L1,SPRR3,CLTC,ARL4A,RNF152,PPP1R2,SLC38A9,LRRC4,2310061I04RIK,TREML4,MAPK11,NT5DC3,SKP2,TSNAX,PRDM2,CAMK2B,RPL30,ZFP706,SCOC,IMPAD1,AP5S1,DDRGK1,CRY2,PABPN1L,YIPF3,PPIA,ITPA
9	1	TRUE	0.00476	6574	330	150	0.455	0.023	GO:0044444	CC	56	cytoplasmic part	6	COX5A,RAB5B,AGPAT3,DHRS1,PRKRA,CDKN1B,SRI,EIF2B5,MAN1A,IKBKG,CUL3,DGKQ,ARPC2,CRIP2,DYNLL1,UBP1,ST3GAL1,TVP23B,DNAJC7,PSMB1,MAP2,NIPSNAP3A,VPS45,EIF3D,ANXA6,SMURF2,STXBP5,NDUFA12,MICU1,PTPRR,HINT1,SLU7,TRAPPC12,NCOA1,SEC14L1,GLRX5,EIF5,SAMD4,KPNA3,ITM2B,CCT5,MGRN1,GLYR1,GPAA1,SDF2L1,GSK3B,ADIPOQ,CHAF1B,ASIC1,COX14,CD4,SLC39A7,SPATA24,MRPL16,PRDX5,DNTT,HDGFRP3,MOB2,NDUFB8,SBDS,FAM20C,UNC5A,SMAD7,MFF,FARSB,CAPN10,UHMK1,DARS2,CCDC183,LAMP5,KNSTRN,USP8,CAR2,FXR1,SERPINI1,PDGFC,SCAMP3,PEX11B,GCLM,RMDN1,MAP3K7,3110043O21RIK,RAD23B,ECHDC2,DDOST,ABCF2,VAMP3,TFR2,BMP10,OGG1,RAB38,GGA2,PORCN,SYTL4,FLNA,HCCS,EMC8,BCAR1,AFG3L1,C2CD2L,ELOVL5,CSNK1G1,CRTAP,PDCD6IP,GORASP1,PCCB,FAN1,RBFOX2,GOLGB1,PARP14,DYNLRB2,ANKRD11,MIDN,PRF1,GEMIN5,UGGT1,MRPS26,PDE4DIP,RAP1GAP2,STUB1,CACNA2D1,SGMS1,ATP1A3,LONP1,GLTSCR2,TEKT3,NMNAT2,EXOC3L,SPRR3,CLTC,ARL4A,RNF152,PPP1R2,SLC38A9,2310061I04RIK,TREML4,MAPK11,NT5DC3,SKP2,PRDM2,CAMK2B,RPL30,SCOC,IMPAD1,AP5S1,DDRGK1,CRY2,YIPF3,PPIA,ITPA
10	1	TRUE	0.0121	2785	330	73	0.221	0.026	GO:0005829	CC	56	cytosol	7	PRKRA,CDKN1B,SRI,EIF2B5,MAN1A,IKBKG,DGKQ,DYNLL1,UBP1,DNAJC7,PSMB1,MAP2,ANXA6,SMURF2,STXBP5,NDUFA12,PTPRR,HINT1,SLU7,NCOA1,EIF5,SAMD4,KPNA3,CCT5,GLYR1,GSK3B,CHAF1B,SPATA24,PRDX5,DNTT,HDGFRP3,MOB2,SBDS,UNC5A,SMAD7,CAPN10,KNSTRN,USP8,CAR2,FXR1,PDGFC,MAP3K7,RAD23B,VAMP3,SYTL4,FLNA,EMC8,BCAR1,CSNK1G1,PDCD6IP,FAN1,RBFOX2,PARP14,ANKRD11,MIDN,PRF1,GEMIN5,RAP1GAP2,STUB1,LONP1,GLTSCR2,ARL4A,PPP1R2,MAPK11,NT5DC3,SKP2,CAMK2B,RPL30,IMPAD1,AP5S1,CRY2,PPIA,ITPA
