query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0276	4914	78	33	0.423	0.007	GO:0071840	BP	53	cellular component organization or biogenesis	1	KCNN3,IFT20,ZBTB17,STX5A,NDUFA2,GORASP2,RNF5,LTV1,HCN1,NISCH,SLK,AGFG1,NDUFA10,CDC42BPA,ARFGAP1,SRC,RPS6,SRSF10,MRTO4,TMCC1,UQCRC2,DCTN6,PDCD6IP,NDUFA3,OPA1,MAGI2,EIF4G1,MSL1,ADNP2,SETD3,SPOCK2,NUMA1,ARFGEF1
2	1	TRUE	0.0185	2243	78	20	0.256	0.009	GO:0044085	BP	53	cellular component biogenesis	2	IFT20,NDUFA2,RNF5,LTV1,HCN1,SLK,AGFG1,NDUFA10,SRC,RPS6,SRSF10,MRTO4,TMCC1,PDCD6IP,NDUFA3,OPA1,MAGI2,EIF4G1,NUMA1,ARFGEF1
3	1	TRUE	0.0344	1361	78	14	0.179	0.01	GO:0043933	BP	53	protein-containing complex subunit organization	1	NDUFA2,HCN1,NDUFA10,SRC,SRSF10,MRTO4,TMCC1,PDCD6IP,NDUFA3,OPA1,MAGI2,EIF4G1,NUMA1,ARFGEF1
4	1	TRUE	0.038	2068	78	18	0.231	0.009	GO:0022607	BP	53	cellular component assembly	1	IFT20,NDUFA2,RNF5,HCN1,SLK,AGFG1,NDUFA10,SRC,SRSF10,MRTO4,TMCC1,PDCD6IP,NDUFA3,OPA1,MAGI2,EIF4G1,NUMA1,ARFGEF1
5	1	TRUE	0.0152	1213	78	14	0.179	0.012	GO:0065003	BP	53	protein-containing complex assembly	2	NDUFA2,HCN1,NDUFA10,SRC,SRSF10,MRTO4,TMCC1,PDCD6IP,NDUFA3,OPA1,MAGI2,EIF4G1,NUMA1,ARFGEF1
6	1	TRUE	0.00993	2964	78	25	0.321	0.008	GO:0006996	BP	32	organelle organization	1	KCNN3,IFT20,ZBTB17,STX5A,NDUFA2,GORASP2,RNF5,NISCH,SLK,AGFG1,NDUFA10,CDC42BPA,SRC,MRTO4,TMCC1,UQCRC2,DCTN6,PDCD6IP,NDUFA3,OPA1,EIF4G1,MSL1,SETD3,NUMA1,ARFGEF1
7	1	TRUE	0.00963	474	78	9	0.115	0.019	GO:0007005	BP	32	mitochondrion organization	2	KCNN3,ZBTB17,NDUFA2,NDUFA10,UQCRC2,DCTN6,NDUFA3,OPA1,EIF4G1
8	1	TRUE	0.0491	1282	78	13	0.167	0.01	GO:0070727	BP	69	cellular macromolecule localization	1	KCNN3,IFT20,DVL3,ZBTB17,STX5A,LTV1,SRC,TSPAN5,SRSF10,TESC,UQCRC2,MAGI2,NUMA1
9	1	TRUE	0.0467	1271	78	13	0.167	0.01	GO:0034613	BP	69	cellular protein localization	2	KCNN3,IFT20,DVL3,ZBTB17,STX5A,LTV1,SRC,TSPAN5,SRSF10,TESC,UQCRC2,MAGI2,NUMA1
10	1	TRUE	0.0174	148	78	5	0.064	0.034	GO:1902115	BP	62	regulation of organelle assembly	1	IFT20,RNF5,SRC,PDCD6IP,NUMA1
11	1	TRUE	0.0276	40	78	3	0.038	0.075	GO:0010257	BP	13	NADH dehydrogenase complex assembly	1	NDUFA2,NDUFA10,NDUFA3
12	1	TRUE	0.0276	40	78	3	0.038	0.075	GO:0032981	BP	13	mitochondrial respiratory chain complex I assembly	1	NDUFA2,NDUFA10,NDUFA3
13	1	TRUE	0.000962	8200	78	52	0.667	0.006	GO:0008152	BP	33	metabolic process	1	IFT20,GTF2F1,CLPP,BTBD6,DVL3,PSAP,ZBTB17,STAMBP,UBP1,STX5A,RNF5,POLRMT,OGDH,PFKP,NR1I2,SLK,CCR1,NDUFA10,CDC42BPA,GPD2,SRC,TSPAN5,RPS6,SRSF10,MRTO4,KLHL7,TESC,NCOR2,GFPT1,UQCRC2,NONO,DCTN6,PDCD6IP,LARP4B,FGF1,SRRT,OPA1,NOTCH3,MAGI2,ZFP536,EIF4G1,HNRNPA1,MSL1,NFIC,SETD3,PRDM2,SPOCK2,MYT1L,NUMA1,ARFGEF1,SF3B5,E030030I06RIK
14	1	TRUE	0.00017	7474	78	51	0.654	0.007	GO:0044238	BP	33	primary metabolic process	2	GTF2F1,CLPP,BTBD6,DVL3,PSAP,ZBTB17,STAMBP,UBP1,STX5A,RNF5,POLRMT,OGDH,PFKP,NR1I2,SLK,CCR1,NDUFA10,CDC42BPA,GPD2,SRC,TSPAN5,RPS6,SRSF10,MRTO4,KLHL7,TESC,NCOR2,GFPT1,UQCRC2,NONO,DCTN6,PDCD6IP,LARP4B,FGF1,SRRT,OPA1,NOTCH3,MAGI2,ZFP536,EIF4G1,HNRNPA1,MSL1,NFIC,SETD3,PRDM2,SPOCK2,MYT1L,NUMA1,ARFGEF1,SF3B5,E030030I06RIK
