query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0451	6	12	2	0.167	0.333	CORUM:1184	cor	12	Mediator complex	1	MED24,MED12
2	1	TRUE	0.00306	8651	225	120	0.533	0.014	TF:M00931	tf	13	Factor: Sp1; motif: GGGGCGGGGC	1	LHX2,TRAPPC10,ATP5F1,REC8,HMOX2,ABHD16A,CAV1,DHDDS,4933405L10RIK,ATRAID,BLK,TEX261,STC1,ETAA1,MED24,SLC12A7,NATD1,DNASE1L1,DDX39B,RAB4A,TRMT11,WASF1,2010107G23RIK,GFPT2,XBP1,DDX5,L2HGDH,ENTPD5,NPC2,ECI2,FAM193B,PPP2R2A,MAPK8IP2,ZFP641,AGAP3,PRPH,WDR46,MRPS18B,AP3S1,MMS19,MRPL43,EPS8L2,MKLN1,SEMA4C,BCS1L,GLUL,RGS16,DNAJC1,LRSAM1,ENG,FAM110A,HPS3,OLFML3,KCNC4,HADH,CISD2,ACO1,GALE,PGM1,ASPHD2,DIABLO,CALU,TRIM24,PCYOX1,FAR2,RTN2,CCKBR,GGN,ORC6,DBNDD1,PKM,CELF6,MRPS22,DHX30,SLC25A20,MALT1,FOXJ3,MYO6,UROC1,FAM171A2,DOPEY1,UTP6,RIC8B,MELK,HYAL3,GMIP,PHKB,SLC9A7,FAM101A,VARS2,RLN1,ZC3HC1,WFS1,RPRD1A,BPTF,RFWD2,N4BP2L1,ATP1B2,HAUS1,GPR45,DCAF17,HSD3B7,TBC1D10B,ADAMTSL5,GIMAP7,INSM2,SNX12,UBALD2,ZFP42,ARF3,SIRT5,LIFR,TEAD1,SLAIN1,NFIL3,CDYL,2610301B20RIK,MPST,ZNHIT6,GM9903
3	1	TRUE	0.00306	8651	225	120	0.533	0.014	TF:M00931_0	tf	13	Factor: Sp1; motif: GGGGCGGGGC; match class: 0	2	LHX2,TRAPPC10,ATP5F1,REC8,HMOX2,ABHD16A,CAV1,DHDDS,4933405L10RIK,ATRAID,BLK,TEX261,STC1,ETAA1,MED24,SLC12A7,NATD1,DNASE1L1,DDX39B,RAB4A,TRMT11,WASF1,2010107G23RIK,GFPT2,XBP1,DDX5,L2HGDH,ENTPD5,NPC2,ECI2,FAM193B,PPP2R2A,MAPK8IP2,ZFP641,AGAP3,PRPH,WDR46,MRPS18B,AP3S1,MMS19,MRPL43,EPS8L2,MKLN1,SEMA4C,BCS1L,GLUL,RGS16,DNAJC1,LRSAM1,ENG,FAM110A,HPS3,OLFML3,KCNC4,HADH,CISD2,ACO1,GALE,PGM1,ASPHD2,DIABLO,CALU,TRIM24,PCYOX1,FAR2,RTN2,CCKBR,GGN,ORC6,DBNDD1,PKM,CELF6,MRPS22,DHX30,SLC25A20,MALT1,FOXJ3,MYO6,UROC1,FAM171A2,DOPEY1,UTP6,RIC8B,MELK,HYAL3,GMIP,PHKB,SLC9A7,FAM101A,VARS2,RLN1,ZC3HC1,WFS1,RPRD1A,BPTF,RFWD2,N4BP2L1,ATP1B2,HAUS1,GPR45,DCAF17,HSD3B7,TBC1D10B,ADAMTSL5,GIMAP7,INSM2,SNX12,UBALD2,ZFP42,ARF3,SIRT5,LIFR,TEAD1,SLAIN1,NFIL3,CDYL,2610301B20RIK,MPST,ZNHIT6,GM9903
4	1	TRUE	0.00248	13446	225	169	0.751	0.013	TF:M02874	tf	16	Factor: IRF6; motif: NNNACTCYCGGKNNN	1	LHX2,ATP5F1,IL4,MYG1,REC8,HMOX2,SGTA,VAX1,ABHD16A,ICK,PABPC4,DHDDS,4933405L10RIK,ATRAID,BLK,TEX261,STC1,MRPL32,MED24,SLC12A7,CADPS2,NATD1,DDX39B,RAB4A,TRMT11,1700021F05RIK,WASF1,HSF2,ERLEC1,GFPT2,XBP1,DDX5,FBF1,SNX11,L2HGDH,SAV1,ENTPD5,ASPN,ECI2,FAM193B,RHOBTB3,ENOX1,PPP2R2A,DOK2,CMBL,SH3BP1,SLC38A4,MAPK8IP2,FOPNL,AHSG,ZFP641,AGAP3,PRPH,CLIP4,CYP1B1,WDR46,MRPS18B,AP3S1,RNASEH2C,MMS19,MRPL43,CAR5A,EPS8L2,MKLN1,USP16,SEMA4C,BCS1L,GLUL,RGS16,FAM110A,KCNC4,HADH,AIMP1,CISD2,WDR31,ACO1,LRP8,NDC1,GALE,ZFP593,PGM1,ASPHD2,DIABLO,CALU,TMEM209,TRIM24,CBX3,PCYOX1,LAG3,FAR2,RTN2,COQ7,LCMT1,BTK,GGN,EDNRA,ORC6,DBNDD1,COG2,PLET1,VPS11,PKM,CELF6,MRPS22,DHX30,SLC25A20,MALT1,FOXJ3,MYO6,LRRC58,FAM171A2,CCDC106,UTP6,MELK,SIGMAR1,GMIP,H2-AA,PHKB,ANAPC10,SLC9A7,FBXO34,CRP,FAM101A,VARS2,RLN1,ZC3HC1,RLBP1,WFS1,RPRD1A,BPTF,SNRNP25,RFWD2,N4BP2L1,ATP1B2,HAUS1,GPR45,DCAF17,ABHD14B,TBC1D10B,SAFB2,KRTCAP2,ADAMTSL5,ZMYM1,GIMAP7,INSM2,SNX12,FBXO46,ZFP42,ZFP786,LAMB2,SIRT5,LIFR,TEAD1,NFIL3,MS4A13,TAS2R138,ZFP420,CDYL,2610301B20RIK,ARHGEF12,NTM,ZFP763,IL18BP,NDUFB6,TTC9C,MOB3B,MED12,ERDR1,HOXD4
5	1	TRUE	0.00248	13446	225	169	0.751	0.013	TF:M02874_0	tf	16	Factor: IRF6; motif: NNNACTCYCGGKNNN; match class: 0	2	LHX2,ATP5F1,IL4,MYG1,REC8,HMOX2,SGTA,VAX1,ABHD16A,ICK,PABPC4,DHDDS,4933405L10RIK,ATRAID,BLK,TEX261,STC1,MRPL32,MED24,SLC12A7,CADPS2,NATD1,DDX39B,RAB4A,TRMT11,1700021F05RIK,WASF1,HSF2,ERLEC1,GFPT2,XBP1,DDX5,FBF1,SNX11,L2HGDH,SAV1,ENTPD5,ASPN,ECI2,FAM193B,RHOBTB3,ENOX1,PPP2R2A,DOK2,CMBL,SH3BP1,SLC38A4,MAPK8IP2,FOPNL,AHSG,ZFP641,AGAP3,PRPH,CLIP4,CYP1B1,WDR46,MRPS18B,AP3S1,RNASEH2C,MMS19,MRPL43,CAR5A,EPS8L2,MKLN1,USP16,SEMA4C,BCS1L,GLUL,RGS16,FAM110A,KCNC4,HADH,AIMP1,CISD2,WDR31,ACO1,LRP8,NDC1,GALE,ZFP593,PGM1,ASPHD2,DIABLO,CALU,TMEM209,TRIM24,CBX3,PCYOX1,LAG3,FAR2,RTN2,COQ7,LCMT1,BTK,GGN,EDNRA,ORC6,DBNDD1,COG2,PLET1,VPS11,PKM,CELF6,MRPS22,DHX30,SLC25A20,MALT1,FOXJ3,MYO6,LRRC58,FAM171A2,CCDC106,UTP6,MELK,SIGMAR1,GMIP,H2-AA,PHKB,ANAPC10,SLC9A7,FBXO34,CRP,FAM101A,VARS2,RLN1,ZC3HC1,RLBP1,WFS1,RPRD1A,BPTF,SNRNP25,RFWD2,N4BP2L1,ATP1B2,HAUS1,GPR45,DCAF17,ABHD14B,TBC1D10B,SAFB2,KRTCAP2,ADAMTSL5,ZMYM1,GIMAP7,INSM2,SNX12,FBXO46,ZFP42,ZFP786,LAMB2,SIRT5,LIFR,TEAD1,NFIL3,MS4A13,TAS2R138,ZFP420,CDYL,2610301B20RIK,ARHGEF12,NTM,ZFP763,IL18BP,NDUFB6,TTC9C,MOB3B,MED12,ERDR1,HOXD4
6	1	TRUE	0.0128	7144	225	100	0.444	0.014	TF:M02874_1	tf	16	Factor: IRF6; motif: NNNACTCYCGGKNNN; match class: 1	3	ATP5F1,REC8,HMOX2,SGTA,VAX1,ABHD16A,ICK,DHDDS,4933405L10RIK,ATRAID,STC1,MED24,SLC12A7,DDX39B,RAB4A,TRMT11,WASF1,HSF2,ERLEC1,XBP1,DDX5,SAV1,ENTPD5,FAM193B,RHOBTB3,ENOX1,PPP2R2A,CMBL,MAPK8IP2,ZFP641,AGAP3,PRPH,CLIP4,WDR46,MRPS18B,AP3S1,MMS19,MRPL43,EPS8L2,MKLN1,USP16,SEMA4C,BCS1L,GLUL,RGS16,KCNC4,AIMP1,WDR31,LRP8,GALE,ASPHD2,DIABLO,CALU,TMEM209,TRIM24,CBX3,RTN2,GGN,EDNRA,ORC6,DBNDD1,COG2,VPS11,CELF6,MRPS22,MALT1,FOXJ3,MYO6,LRRC58,FAM171A2,UTP6,MELK,PHKB,SLC9A7,VARS2,RLN1,RLBP1,WFS1,RPRD1A,BPTF,RFWD2,N4BP2L1,DCAF17,TBC1D10B,SAFB2,KRTCAP2,ADAMTSL5,SNX12,LAMB2,TEAD1,NFIL3,ZFP420,CDYL,2610301B20RIK,ARHGEF12,NTM,NDUFB6,TTC9C,MED12,HOXD4
7	1	TRUE	0.0398	9226	225	119	0.529	0.013	TF:M08873	tf	15	Factor: DLX2; motif: AMSMCTGACKG	1	MYG1,REC8,SGTA,NAA60,ABHD16A,MARK3,ICK,PABPC4,DHDDS,BLK,ADAM28,TEX261,TPPP3,MRPL32,MED24,SLC12A7,NATD1,DNASE1L1,RAB4A,SEMA6A,TRMT11,HSF2,ARG1,2010107G23RIK,FBF1,L2HGDH,ENTPD5,NPC2,ENOX1,DOK2,ROPN1L,SH3BP1,AHSG,AGAP3,CYP1B1,WDR46,MRPS18B,RNASEH2C,CAR5A,EPS8L2,MKLN1,USP16,CCL20,RGS16,ENG,CRLS1,OLFML3,AIMP1,CISD2,WDR31,ACO1,NDC1,GALE,ZFP593,ASPHD2,DIABLO,CALU,TMEM209,TRIM24,TBXAS1,PCYOX1,LAG3,RTN2,MICALCL,CCKBR,BTK,GGN,LSM4,PLET1,VPS11,PKM,CELF6,MRPS22,MALT1,FOXJ3,FKBPL,LRRC58,UROC1,FAM171A2,UTP6,MELK,GMIP,PHKB,ANAPC10,FBXO34,CRP,RLN1,ZC3HC1,RLBP1,RPRD1A,RFWD2,ATP1B2,HAUS1,ABHD14B,TBC1D10B,ZMYM1,GIMAP7,INSM2,SNX12,ANKRD55,UBALD2,LAMB2,SIRT5,LIFR,AKR1C20,SLAIN1,MS4A13,ARHGEF12,NTM,IL18BP,NDUFB6,TTC9C,MPST,MOB3B,OLFR555,OSGIN1,ZNHIT6,GM9903,HOXD4
8	1	TRUE	0.0398	9226	225	119	0.529	0.013	TF:M08873_0	tf	15	Factor: DLX2; motif: AMSMCTGACKG; match class: 0	2	MYG1,REC8,SGTA,NAA60,ABHD16A,MARK3,ICK,PABPC4,DHDDS,BLK,ADAM28,TEX261,TPPP3,MRPL32,MED24,SLC12A7,NATD1,DNASE1L1,RAB4A,SEMA6A,TRMT11,HSF2,ARG1,2010107G23RIK,FBF1,L2HGDH,ENTPD5,NPC2,ENOX1,DOK2,ROPN1L,SH3BP1,AHSG,AGAP3,CYP1B1,WDR46,MRPS18B,RNASEH2C,CAR5A,EPS8L2,MKLN1,USP16,CCL20,RGS16,ENG,CRLS1,OLFML3,AIMP1,CISD2,WDR31,ACO1,NDC1,GALE,ZFP593,ASPHD2,DIABLO,CALU,TMEM209,TRIM24,TBXAS1,PCYOX1,LAG3,RTN2,MICALCL,CCKBR,BTK,GGN,LSM4,PLET1,VPS11,PKM,CELF6,MRPS22,MALT1,FOXJ3,FKBPL,LRRC58,UROC1,FAM171A2,UTP6,MELK,GMIP,PHKB,ANAPC10,FBXO34,CRP,RLN1,ZC3HC1,RLBP1,RPRD1A,RFWD2,ATP1B2,HAUS1,ABHD14B,TBC1D10B,ZMYM1,GIMAP7,INSM2,SNX12,ANKRD55,UBALD2,LAMB2,SIRT5,LIFR,AKR1C20,SLAIN1,MS4A13,ARHGEF12,NTM,IL18BP,NDUFB6,TTC9C,MPST,MOB3B,OLFR555,OSGIN1,ZNHIT6,GM9903,HOXD4
9	1	TRUE	0.013	6167	225	89	0.396	0.014	TF:M01857	tf	1	Factor: AP-2alpha; motif: NGCCYSNNGSN	1	LHX2,TRAPPC10,ATP5F1,IL4,HMOX2,SGTA,NAA60,ABHD16A,MARK3,CAV1,ICK,PABPC4,ATRAID,ETAA1,CADPS2,NATD1,DDX39B,WASF1,2010107G23RIK,GFPT2,XBP1,DDX5,L2HGDH,ENTPD5,FAM193B,RHOBTB3,PPP2R2A,SH3BP1,ZFP641,AGAP3,PRPH,WDR46,MRPL43,MKLN1,SEMA4C,BCS1L,GLUL,CRLS1,CISD2,LRP8,ZFP593,DIABLO,TMEM209,TRIM24,CBX3,PCYOX1,COQ7,CCKBR,GGN,DBNDD1,MALT1,FOXJ3,MYO6,LRRC58,FAM171A2,UTP6,RIC8B,GMIP,PHKB,FAM101A,VARS2,RPRD1A,BPTF,RFWD2,N4BP2L1,ATP1B2,GPR45,ABHD14B,ISL1,TBC1D10B,SAFB2,ADAMTSL5,ZMYM1,INSM2,UBALD2,ZFP786,ARF3,SIRT5,LIFR,TEAD1,SLAIN1,NFIL3,CDYL,ARHGEF12,NTM,TMEM100,MED12,ERDR1,GM9903
10	1	TRUE	0.013	6167	225	89	0.396	0.014	TF:M01857_0	tf	1	Factor: AP-2alpha; motif: NGCCYSNNGSN; match class: 0	2	LHX2,TRAPPC10,ATP5F1,IL4,HMOX2,SGTA,NAA60,ABHD16A,MARK3,CAV1,ICK,PABPC4,ATRAID,ETAA1,CADPS2,NATD1,DDX39B,WASF1,2010107G23RIK,GFPT2,XBP1,DDX5,L2HGDH,ENTPD5,FAM193B,RHOBTB3,PPP2R2A,SH3BP1,ZFP641,AGAP3,PRPH,WDR46,MRPL43,MKLN1,SEMA4C,BCS1L,GLUL,CRLS1,CISD2,LRP8,ZFP593,DIABLO,TMEM209,TRIM24,CBX3,PCYOX1,COQ7,CCKBR,GGN,DBNDD1,MALT1,FOXJ3,MYO6,LRRC58,FAM171A2,UTP6,RIC8B,GMIP,PHKB,FAM101A,VARS2,RPRD1A,BPTF,RFWD2,N4BP2L1,ATP1B2,GPR45,ABHD14B,ISL1,TBC1D10B,SAFB2,ADAMTSL5,ZMYM1,INSM2,UBALD2,ZFP786,ARF3,SIRT5,LIFR,TEAD1,SLAIN1,NFIL3,CDYL,ARHGEF12,NTM,TMEM100,MED12,ERDR1,GM9903
