query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0314	2	183	2	0.011	1	GO:0030047	BP	102	actin modification	1	TWF1,TRIM32
2	1	TRUE	0.006	78	183	7	0.038	0.09	GO:0036503	BP	37	ERAD pathway	1	BCAP31,DNAJB9,UBXN6,FAF2,POMT2,VIMP,CCDC47
3	1	TRUE	0.0473	56	183	5	0.027	0.089	GO:0030433	BP	37	ubiquitin-dependent ERAD pathway	1	BCAP31,DNAJB9,FAF2,VIMP,CCDC47
4	1	TRUE	0.00297	12686	183	146	0.798	0.012	GO:0005623	CC	61	cell	1	MKRN2,MYO18A,GRIK3,BCAP31,CCDC97,LIN7B,PRKACB,RSL1D1,NR2C2,CLSTN3,NF2,WNT3A,LY6G6E,DNAJC7,DNAJB9,MTMR1,MAP2,MTIF3,ABR,DBNDD2,SCRN1,UBXN6,CD164,SLU7,OSBP2,MYO19,PRKAR1A,MIF4GD,SEC14L1,STRN3,PSMA6,NOVA1,PPP3CB,SORBS3,SPRY2,SQLE,TEF,CACNA1I,TWF1,RRN3,PMM2,DYRK1A,RHAG,DNASE1L2,HSPA9,FAM89B,LBX1,ITGB1,FAF2,LACTB2,SUMO1,SERPINB8,RBBP5,ADIPOR1,CAPN2,SLC25A25,ZFP385B,EXT2,FAM98B,STX16,MAP1LC3A,LCE1M,JTB,TMEM55A,ASTN2,PTPN12,PHC2,SFPQ,GNL2,KCNIP4,WIPI2,MTUS2,HERC3,PTN,STRA8,MLF2,AEBP2,TJP1,FUNDC2,ITM2A,ARHGEF7,SLC7A2,MSMO1,RBL2,MAP1LC3B,SLC7A6,STT3A,RCN2,MLIP,PDXK,POMT2,DGKH,ZBTB7A,TBR1,DGKB,CLCN7,BCORL1,THAP1,ZFYVE28,PAQR7,RIMS2,PLCL1,EGR1,NOS1AP,RAP1GAP2,DUSP10,RAPGEF1,TXLNB,EIF4H,CDK13,CPSF2,TBC1D22B,SETX,KBTBD7,MED26,WDR81,PENK,ADRA1A,PIP5KL1,ATXN1,TAPT1,FAM212B,MYPOP,FRMPD4,SV2C,TCEAL8,TRIM32,CASR,FBXO31,GPER1,PTRH1,MSRA,SMYD3,ST3GAL5,ADAP1,PTPRN2,KCNH7,MRPS9,ZBTB18,SRRM4,REN2,RAB18,WDFY1,VIMP,CCDC47,KCNJ11
5	1	TRUE	0.00297	12686	183	146	0.798	0.012	GO:0044464	CC	61	cell part	1	MKRN2,MYO18A,GRIK3,BCAP31,CCDC97,LIN7B,PRKACB,RSL1D1,NR2C2,CLSTN3,NF2,WNT3A,LY6G6E,DNAJC7,DNAJB9,MTMR1,MAP2,MTIF3,ABR,DBNDD2,SCRN1,UBXN6,CD164,SLU7,OSBP2,MYO19,PRKAR1A,MIF4GD,SEC14L1,STRN3,PSMA6,NOVA1,PPP3CB,SORBS3,SPRY2,SQLE,TEF,CACNA1I,TWF1,RRN3,PMM2,DYRK1A,RHAG,DNASE1L2,HSPA9,FAM89B,LBX1,ITGB1,FAF2,LACTB2,SUMO1,SERPINB8,RBBP5,ADIPOR1,CAPN2,SLC25A25,ZFP385B,EXT2,FAM98B,STX16,MAP1LC3A,LCE1M,JTB,TMEM55A,ASTN2,PTPN12,PHC2,SFPQ,GNL2,KCNIP4,WIPI2,MTUS2,HERC3,PTN,STRA8,MLF2,AEBP2,TJP1,FUNDC2,ITM2A,ARHGEF7,SLC7A2,MSMO1,RBL2,MAP1LC3B,SLC7A6,STT3A,RCN2,MLIP,PDXK,POMT2,DGKH,ZBTB7A,TBR1,DGKB,CLCN7,BCORL1,THAP1,ZFYVE28,PAQR7,RIMS2,PLCL1,EGR1,NOS1AP,RAP1GAP2,DUSP10,RAPGEF1,TXLNB,EIF4H,CDK13,CPSF2,TBC1D22B,SETX,KBTBD7,MED26,WDR81,PENK,ADRA1A,PIP5KL1,ATXN1,TAPT1,FAM212B,MYPOP,FRMPD4,SV2C,TCEAL8,TRIM32,CASR,FBXO31,GPER1,PTRH1,MSRA,SMYD3,ST3GAL5,ADAP1,PTPRN2,KCNH7,MRPS9,ZBTB18,SRRM4,REN2,RAB18,WDFY1,VIMP,CCDC47,KCNJ11
6	1	TRUE	0.0189	2602	183	44	0.24	0.017	GO:0012505	CC	61	endomembrane system	2	MYO18A,BCAP31,NF2,WNT3A,DNAJB9,DBNDD2,SCRN1,UBXN6,CD164,SEC14L1,STRN3,SQLE,FAF2,SUMO1,CAPN2,EXT2,STX16,TMEM55A,ASTN2,PTN,ITM2A,MSMO1,STT3A,RCN2,MLIP,POMT2,DGKH,ZFYVE28,NOS1AP,RAP1GAP2,DUSP10,RAPGEF1,CDK13,TBC1D22B,WDR81,ADRA1A,SV2C,GPER1,ST3GAL5,PTPRN2,RAB18,WDFY1,VIMP,CCDC47
7	1	TRUE	0.006	10839	183	129	0.705	0.012	GO:0005622	CC	61	intracellular	2	MKRN2,MYO18A,BCAP31,CCDC97,PRKACB,RSL1D1,NR2C2,NF2,WNT3A,DNAJC7,DNAJB9,MTMR1,MAP2,MTIF3,ABR,DBNDD2,SCRN1,UBXN6,CD164,SLU7,MYO19,PRKAR1A,MIF4GD,SEC14L1,STRN3,PSMA6,NOVA1,PPP3CB,SORBS3,SPRY2,SQLE,TEF,TWF1,RRN3,PMM2,DYRK1A,DNASE1L2,HSPA9,FAM89B,LBX1,ITGB1,FAF2,LACTB2,SUMO1,SERPINB8,RBBP5,CAPN2,SLC25A25,ZFP385B,EXT2,FAM98B,STX16,MAP1LC3A,LCE1M,JTB,TMEM55A,ASTN2,PTPN12,PHC2,SFPQ,GNL2,KCNIP4,WIPI2,MTUS2,HERC3,PTN,STRA8,MLF2,AEBP2,TJP1,FUNDC2,ITM2A,ARHGEF7,MSMO1,RBL2,MAP1LC3B,SLC7A6,STT3A,RCN2,MLIP,PDXK,POMT2,DGKH,ZBTB7A,TBR1,DGKB,CLCN7,BCORL1,THAP1,ZFYVE28,EGR1,NOS1AP,RAP1GAP2,DUSP10,RAPGEF1,TXLNB,EIF4H,CDK13,CPSF2,TBC1D22B,SETX,KBTBD7,MED26,WDR81,ADRA1A,PIP5KL1,ATXN1,TAPT1,FAM212B,MYPOP,SV2C,TCEAL8,TRIM32,FBXO31,GPER1,PTRH1,MSRA,SMYD3,ST3GAL5,ADAP1,PTPRN2,MRPS9,ZBTB18,SRRM4,REN2,RAB18,WDFY1,VIMP,CCDC47
8	1	TRUE	0.0179	10736	183	126	0.689	0.012	GO:0044424	CC	61	intracellular part	3	MYO18A,BCAP31,CCDC97,PRKACB,RSL1D1,NR2C2,NF2,WNT3A,DNAJC7,DNAJB9,MTMR1,MAP2,MTIF3,ABR,DBNDD2,SCRN1,UBXN6,CD164,SLU7,MYO19,PRKAR1A,MIF4GD,SEC14L1,STRN3,PSMA6,NOVA1,PPP3CB,SORBS3,SPRY2,SQLE,TEF,TWF1,RRN3,PMM2,DYRK1A,DNASE1L2,HSPA9,FAM89B,LBX1,ITGB1,FAF2,LACTB2,SUMO1,SERPINB8,RBBP5,CAPN2,SLC25A25,ZFP385B,EXT2,FAM98B,STX16,MAP1LC3A,LCE1M,JTB,TMEM55A,ASTN2,PTPN12,PHC2,SFPQ,GNL2,KCNIP4,WIPI2,MTUS2,HERC3,PTN,STRA8,MLF2,AEBP2,TJP1,FUNDC2,ITM2A,ARHGEF7,MSMO1,RBL2,MAP1LC3B,SLC7A6,STT3A,RCN2,MLIP,PDXK,POMT2,DGKH,ZBTB7A,TBR1,DGKB,CLCN7,BCORL1,THAP1,ZFYVE28,EGR1,NOS1AP,RAP1GAP2,DUSP10,RAPGEF1,TXLNB,EIF4H,CDK13,CPSF2,SETX,KBTBD7,MED26,WDR81,ADRA1A,PIP5KL1,ATXN1,TAPT1,FAM212B,MYPOP,SV2C,TCEAL8,TRIM32,FBXO31,GPER1,PTRH1,MSRA,SMYD3,ST3GAL5,ADAP1,PTPRN2,MRPS9,ZBTB18,SRRM4,RAB18,WDFY1,VIMP,CCDC47
9	1	TRUE	0.0211	9249	183	112	0.612	0.012	GO:0043229	CC	61	intracellular organelle	4	MYO18A,BCAP31,CCDC97,PRKACB,RSL1D1,NR2C2,NF2,WNT3A,DNAJC7,DNAJB9,MAP2,MTIF3,DBNDD2,SCRN1,UBXN6,CD164,SLU7,MYO19,PRKAR1A,MIF4GD,SEC14L1,STRN3,PSMA6,NOVA1,PPP3CB,SORBS3,SPRY2,SQLE,TEF,TWF1,RRN3,PMM2,DYRK1A,DNASE1L2,HSPA9,ITGB1,FAF2,LACTB2,SUMO1,RBBP5,CAPN2,SLC25A25,ZFP385B,EXT2,FAM98B,STX16,MAP1LC3A,JTB,TMEM55A,ASTN2,PTPN12,PHC2,SFPQ,GNL2,WIPI2,MTUS2,PTN,STRA8,MLF2,AEBP2,TJP1,FUNDC2,ITM2A,ARHGEF7,MSMO1,RBL2,MAP1LC3B,SLC7A6,STT3A,RCN2,MLIP,PDXK,POMT2,DGKH,ZBTB7A,TBR1,CLCN7,BCORL1,THAP1,ZFYVE28,EGR1,NOS1AP,RAP1GAP2,DUSP10,RAPGEF1,CDK13,CPSF2,SETX,MED26,WDR81,ADRA1A,ATXN1,TAPT1,FAM212B,MYPOP,SV2C,TCEAL8,TRIM32,GPER1,PTRH1,MSRA,SMYD3,ST3GAL5,ADAP1,PTPRN2,MRPS9,ZBTB18,SRRM4,RAB18,WDFY1,VIMP,CCDC47
10	1	TRUE	0.035	8000	183	99	0.541	0.012	GO:0043231	CC	61	intracellular membrane-bounded organelle	1	MYO18A,BCAP31,CCDC97,RSL1D1,NR2C2,NF2,WNT3A,DNAJC7,DNAJB9,MAP2,MTIF3,SCRN1,UBXN6,CD164,SLU7,MYO19,MIF4GD,SEC14L1,STRN3,PSMA6,NOVA1,SORBS3,SPRY2,SQLE,TEF,RRN3,PMM2,DYRK1A,DNASE1L2,HSPA9,FAF2,LACTB2,SUMO1,RBBP5,CAPN2,SLC25A25,ZFP385B,EXT2,FAM98B,STX16,MAP1LC3A,JTB,TMEM55A,PHC2,SFPQ,GNL2,WIPI2,MTUS2,PTN,STRA8,MLF2,AEBP2,TJP1,FUNDC2,ITM2A,ARHGEF7,MSMO1,RBL2,MAP1LC3B,SLC7A6,STT3A,RCN2,MLIP,PDXK,POMT2,ZBTB7A,TBR1,CLCN7,BCORL1,THAP1,EGR1,NOS1AP,RAP1GAP2,DUSP10,RAPGEF1,CDK13,CPSF2,SETX,MED26,WDR81,ADRA1A,ATXN1,FAM212B,MYPOP,TCEAL8,TRIM32,GPER1,PTRH1,MSRA,SMYD3,ST3GAL5,ADAP1,MRPS9,ZBTB18,SRRM4,RAB18,WDFY1,VIMP,CCDC47
