query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0462	49	685	7	0.01	0.143	GO:0042058	BP	198	regulation of epidermal growth factor receptor signaling pathway	1	FER,HIP1R,HAP1,PSEN1,MVB12A,CDH13,ADAM17
2	1	TRUE	0.045	7	685	3	0.004	0.429	GO:0031946	BP	235	regulation of glucocorticoid biosynthetic process	1	DGKQ,BMP2,DKK3
3	1	TRUE	0.045	7	685	3	0.004	0.429	GO:0034650	BP	235	cortisol metabolic process	1	DGKQ,BMP2,DKK3
4	1	TRUE	0.0321	6	685	3	0.004	0.5	GO:0034651	BP	235	cortisol biosynthetic process	1	DGKQ,BMP2,DKK3
5	1	TRUE	0.0321	6	685	3	0.004	0.5	GO:2000064	BP	235	regulation of cortisol biosynthetic process	2	DGKQ,BMP2,DKK3
6	1	TRUE	0.0321	1893	685	91	0.133	0.048	GO:0065009	BP	211	regulation of molecular function	1	FER,SMARCB1,HIP1R,SNAPIN,CHORDC1,PPP1R17,MED25,SRI,IKBKG,PIAS4,MAP2K1,MSH6,SOD2,HAP1,HIPK1,DYNLL1,AKT1S1,SIRT2,VTN,CDK5RAP3,GOPC,PSEN1,SOCS2,GGNBP2,GTPBP4,TAB1,PPP1R1A,HSP90AB1,MAPK8IP3,ROCK1,CSNK1A1,SERPINE2,DNAJC10,DYNC1I2,BMP2,CDK5RAP1,ADAR,CCNC,3110043O21RIK,MAPRE3,UCHL1,STAP1,RNF34,HSPH1,PPP1R35,PROK2,IQGAP1,CALCA,TAF1,DCUN1D5,APOA5,CSPG4,ARHGAP44,MTSS1L,MYO5A,LARP6,ANKRD27,DHCR24,BECN1,NDUFA13,ATP13A2,ZCCHC12,SMPD1,NME1,UBN1,PREX1,LDB2,RCC2,RAP1GAP,SGSM1,PM20D1,CD2BP2,RGS8,SIPA1L1,TLR9,FLRT2,E130311K13RIK,LRRC4,PLCB1,XRCC1,NLGN2,ADAM17,DUSP7,GSK3A,SPOP,PKN1,SH3RF2,RRP1B,FKBP15,RAP1A,UBXN1
7	1	TRUE	0.0462	1385	685	69	0.101	0.05	GO:0050790	BP	211	regulation of catalytic activity	2	HIP1R,CHORDC1,PPP1R17,IKBKG,MAP2K1,MSH6,SOD2,DYNLL1,AKT1S1,VTN,CDK5RAP3,PSEN1,SOCS2,GGNBP2,GTPBP4,TAB1,PPP1R1A,HSP90AB1,MAPK8IP3,ROCK1,SERPINE2,DNAJC10,DYNC1I2,BMP2,CDK5RAP1,ADAR,CCNC,MAPRE3,UCHL1,STAP1,RNF34,HSPH1,PPP1R35,PROK2,IQGAP1,CALCA,DCUN1D5,APOA5,CSPG4,ARHGAP44,MTSS1L,ANKRD27,DHCR24,BECN1,NDUFA13,ATP13A2,SMPD1,UBN1,PREX1,LDB2,RCC2,RAP1GAP,SGSM1,CD2BP2,RGS8,SIPA1L1,TLR9,FLRT2,LRRC4,XRCC1,ADAM17,DUSP7,GSK3A,PKN1,SH3RF2,RRP1B,FKBP15,RAP1A,UBXN1
8	1	TRUE	0.0224	1329	685	69	0.101	0.052	GO:0033554	BP	76	cellular response to stress	1	FER,SMARCB1,CHORDC1,PSMC3,EIF2B5,CDIP1,IKBKG,CUL3,PIAS4,MAP2K1,MSH6,TPR,SOD2,HIPK1,ZSWIM7,SIRT2,CDK5RAP3,PSEN1,HUS1,TLK2,MTA1,OXR1,PRKDC,PARP3,EPAS1,MAPK8IP3,TXNL1,HUWE1,TRIP12,FAM129A,SMYD2,DNAJC10,SLC12A6,BMP2,MECOM,RNF34,HSPH1,GABARAPL1,PSMC4,SMG1,TAF1,RASA3,POLB,ASH2L,SESN3,APOA5,USP28,WDR48,EXD2,BECN1,ATP13A2,PACRG,SMARCAL1,ZBTB38,BRCA2,LONP1,CIRBP,TLR9,PLCB1,XRCC1,ADAM17,RNASEH2A,SEC61B,RHOB,FTO,SPOP,MORF4L1,DUSP22,UBXN1
9	1	TRUE	0.001	8200	685	339	0.495	0.041	GO:0008152	BP	191	metabolic process	1	FER,ACVRL1,RPL13,SMARCB1,HIP1R,SNAPIN,NHP2,UBE2C,IRX2,AKR1B3,CHORDC1,DSG4,IDH3G,PSMC3,PPP1R17,MED25,SRI,EIF2B5,FOSB,KPNA6,TFAM,IKBKG,CUL3,MCOLN1,ULK2,DGKQ,PIAS4,MAP2K1,POLR2A,MSH6,UQCC1,CTNS,TPR,RPS9,SRM,NSMF,CYBA,SOD2,HAP1,KHSRP,SERTAD1,UBQLN4,HIPK1,DYNLL1,AKT1S1,RPL15,CLIP3,ZSWIM7,FBXW5,SIRT2,CLPX,ATP5E,VTN,RHBDL3,VEZF1,PIP4K2B,DUSP14,CDK5RAP3,IRF1,SART3,STXBP5,GOPC,P4HA1,PSEN1,NDUFA12,SOCS2,PPA1,MKNK2,CLK4,TNIP1,HUS1,GGNBP2,PUM2,TLK2,ASIC2,UBE2G1,MBIP,VIPAS39,SLIRP,MTA1,GTPBP4,FCF1,RPP40,DDX46,MED10,ANKRA2,KAT6B,FAM213A,ECD,CAPN7,DMTN,OXR1,UTP23,TAB1,PPP1R1A,DGAT1,GPAA1,PRKDC,THAP7,SNAP29,NCBP2,GM853,SCG5,PARP3,HSP90AB1,SMCHD1,EPAS1,MAPK8IP3,ROCK1,IWS1,LTB,DCP2,AFG3L2,CXXC1,CSNK1A1,TCOF1,MRPL16,TNKS2,RCE1,VEGFB,TRUB1,FN3K,HUWE1,KDM5C,PA2G4,HDHD2,CBX8,KHDRBS2,ZAP70,TRIP12,SERPINE2,KLHL12,FAM129A,SMYD2,DARS2,MMADHC,PMPCA,DNAJC10,TYRO3,BMP2,GZF1,CDK5RAP1,SNTA1,TBL1XR1,FXR1,MECOM,ADAR,EXTL2,NDST3,MMP16,CCNC,RNGTT,3110043O21RIK,IKBKAP,FGGY,TMEM59,KMT2E,CDK11B,MAN2B2,AGBL5,MAPRE3,KLF3,UCHL1,STAP1,ENOPH1,VPS33A,RNF34,DHX37,FTSJ2,ZFP12,CDK8,HSPH1,PPP1R35,LUC7L2,BMP10,FOXP1,PROK2,RUVBL1,GABARAPL1,STRAP,IQGAP1,PSMC4,SMG1,PPME1,DISP1,DKK3,FBXL19,PHKG2,ZRANB1,WEE1,TRIM66,SMARCA1,TAF1,PRPS1,POLB,ANK1,STAR,ASH2L,SMARCA5,NUDT7,CDH13,DCUN1D5,ST3GAL4,APOA5,ELOVL4,USP28,MAN2C1,PPIB,CSNK1G1,UBE2CBP,PIK3CB,WDR48,NPHP3,NICN1,EXD2,CSPG4,ABHD10,PPIP5K1,RPAP1,EXOSC4,PJA1,MYO5A,TMEM5,NAGK,SIDT2,DHCR24,ATCAY,BECN1,L3MBTL1,ISG15,NDUFA13,LZTS1,CSGALNACT1,NDRG4,ATP13A2,ALG5,CC2D1A,NOP14,ZCCHC12,FAM135B,C1QA,ZFP113,SS18,SMPD1,CAPN15,NOV,RPS16,TSPAN14,IARS,EGR2,JMJD1C,PRDM1,UPF3A,NFE2L1,EPHX1,MRPS34,ZFP653,PSMD7,ARID4B,SMARCAL1,PRDM16,UBN1,TUSC3,PREX1,D2WSU81E,LDB2,EPG5,ZBTB38,CREG1,TET2,WDR43,BRCA2,LONP1,PHF8,ATG2B,RRP9,SGSM1,ADRBK2,PM20D1,TNFRSF14,CD2BP2,USP22,TFAP2D,FLAD1,NAA25,HECW2,RBM20,MGAT2,ASCC1,CIRBP,TLR9,AKR1E1,CXXC5,FLRT2,BEX4,NWD1,E130311K13RIK,SLC35C1,LRRC4,PLCB1,TMEM199,NHLH1,XRCC1,GAN,ADAM17,RNASEH2A,SEC61B,DUSP7,KCMF1,FTO,GSK3A,SPOP,PUS7,PKN1,SH3RF2,USF2,RRP1B,MAX,PHF5A,HS6ST2,MORF4L1,GLRP1,LDHA,ALG11,MED14,FKBP15,RAP1A,URM1,DUSP22,SPACA4,2610044O15RIK8,MTA2,GANAB,UBXN1,ZHX2,KLF12,UBE2D3,CHURC1,SYNJ2BP
10	1	TRUE	0.0116	7474	685	304	0.444	0.041	GO:0044238	BP	191	primary metabolic process	2	FER,ACVRL1,RPL13,SMARCB1,HIP1R,SNAPIN,NHP2,UBE2C,IRX2,CHORDC1,DSG4,PSMC3,MED25,SRI,EIF2B5,FOSB,KPNA6,TFAM,IKBKG,CUL3,ULK2,DGKQ,PIAS4,MAP2K1,POLR2A,MSH6,UQCC1,CTNS,TPR,RPS9,NSMF,SOD2,HAP1,KHSRP,SERTAD1,UBQLN4,HIPK1,AKT1S1,RPL15,CLIP3,ZSWIM7,FBXW5,SIRT2,CLPX,ATP5E,VTN,RHBDL3,VEZF1,PIP4K2B,DUSP14,CDK5RAP3,IRF1,SART3,P4HA1,PSEN1,NDUFA12,SOCS2,MKNK2,CLK4,TNIP1,HUS1,GGNBP2,PUM2,TLK2,UBE2G1,MBIP,VIPAS39,SLIRP,MTA1,GTPBP4,FCF1,RPP40,DDX46,MED10,ANKRA2,KAT6B,ECD,CAPN7,DMTN,OXR1,UTP23,TAB1,PPP1R1A,DGAT1,GPAA1,PRKDC,THAP7,NCBP2,GM853,SCG5,PARP3,HSP90AB1,EPAS1,MAPK8IP3,ROCK1,IWS1,LTB,DCP2,AFG3L2,CXXC1,CSNK1A1,TCOF1,MRPL16,TNKS2,RCE1,VEGFB,TRUB1,HUWE1,KDM5C,PA2G4,CBX8,KHDRBS2,ZAP70,TRIP12,SERPINE2,KLHL12,FAM129A,SMYD2,DARS2,PMPCA,DNAJC10,TYRO3,BMP2,GZF1,CDK5RAP1,SNTA1,TBL1XR1,FXR1,MECOM,ADAR,EXTL2,NDST3,MMP16,CCNC,RNGTT,3110043O21RIK,IKBKAP,FGGY,TMEM59,KMT2E,CDK11B,MAN2B2,AGBL5,MAPRE3,KLF3,UCHL1,STAP1,ENOPH1,RNF34,DHX37,FTSJ2,ZFP12,CDK8,HSPH1,LUC7L2,BMP10,FOXP1,PROK2,RUVBL1,STRAP,IQGAP1,PSMC4,SMG1,PPME1,DISP1,DKK3,FBXL19,PHKG2,ZRANB1,WEE1,TRIM66,SMARCA1,TAF1,PRPS1,POLB,STAR,ASH2L,SMARCA5,NUDT7,CDH13,DCUN1D5,ST3GAL4,APOA5,ELOVL4,USP28,MAN2C1,PPIB,CSNK1G1,UBE2CBP,PIK3CB,WDR48,NPHP3,NICN1,EXD2,CSPG4,ABHD10,PPIP5K1,RPAP1,EXOSC4,PJA1,MYO5A,TMEM5,SIDT2,DHCR24,ATCAY,L3MBTL1,ISG15,NDUFA13,CSGALNACT1,NDRG4,ATP13A2,ALG5,CC2D1A,NOP14,ZCCHC12,FAM135B,C1QA,ZFP113,SS18,SMPD1,CAPN15,RPS16,TSPAN14,IARS,EGR2,JMJD1C,PRDM1,UPF3A,NFE2L1,MRPS34,ZFP653,PSMD7,ARID4B,SMARCAL1,PRDM16,TUSC3,PREX1,D2WSU81E,LDB2,ZBTB38,CREG1,TET2,WDR43,BRCA2,LONP1,PHF8,RRP9,SGSM1,PM20D1,TNFRSF14,USP22,TFAP2D,FLAD1,NAA25,HECW2,RBM20,MGAT2,ASCC1,CIRBP,TLR9,CXXC5,FLRT2,BEX4,NWD1,E130311K13RIK,SLC35C1,LRRC4,PLCB1,TMEM199,NHLH1,XRCC1,GAN,ADAM17,RNASEH2A,SEC61B,DUSP7,KCMF1,FTO,GSK3A,SPOP,PUS7,PKN1,USF2,RRP1B,MAX,PHF5A,HS6ST2,MORF4L1,GLRP1,LDHA,ALG11,MED14,RAP1A,URM1,DUSP22,2610044O15RIK8,MTA2,GANAB,UBXN1,ZHX2,KLF12,UBE2D3,CHURC1,SYNJ2BP
