query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0479	3517	84	28	0.333	0.008	GO:0044267	BP	21	cellular protein metabolic process	1	MRPL2,PSMD11,MDH2,GIPC1,UBE2B,HECW1,PSMC6,LDLRAD4,KAT5,ARIH1,SEC11A,LYPLA1,RRBP1,CTSO,MRPL3,CACUL1,USP36,HDAC11,GRAMD4,STOX1,PLCL2,PSME4,PPP2R2D,STK40,AIDA,LRRC19,DPM1,GALNT2
2	1	TRUE	0.0479	664	84	10	0.119	0.015	GO:0030163	BP	21	protein catabolic process	1	PSMD11,GIPC1,UBE2B,HECW1,PSMC6,KAT5,ARIH1,LYPLA1,CTSO,PSME4
3	1	TRUE	0.0479	536	84	9	0.107	0.017	GO:0044257	BP	21	cellular protein catabolic process	2	PSMD11,GIPC1,UBE2B,HECW1,PSMC6,KAT5,ARIH1,CTSO,PSME4
4	1	TRUE	0.0357	493	84	9	0.107	0.018	GO:0051603	BP	21	proteolysis involved in cellular protein catabolic process	1	PSMD11,GIPC1,UBE2B,HECW1,PSMC6,KAT5,ARIH1,CTSO,PSME4
5	1	TRUE	0.0479	431	84	8	0.095	0.019	GO:0006511	BP	31	ubiquitin-dependent protein catabolic process	1	PSMD11,GIPC1,UBE2B,HECW1,PSMC6,KAT5,ARIH1,CACUL1
6	1	TRUE	0.00815	1203	84	16	0.19	0.013	GO:1902494	CC	42	catalytic complex	1	NDUFB2,ACTR8,PSMD11,UBE2B,PSMC6,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,NDUFA8,CACUL1,HDAC11,PSME4,PPP2R2D,DPM1
7	1	TRUE	0.0446	77	84	4	0.048	0.052	GO:1905368	CC	42	peptidase complex	2	PSMD11,PSMC6,SEC11A,PSME4
8	1	TRUE	0.00394	12686	84	72	0.857	0.006	GO:0005623	CC	63	cell	1	NDUFB2,MRPL2,CHAF1A,SURF4,ACTN1,ACTR8,PSMD11,KPNA2,MDH2,GIPC1,UBE2B,HECW1,PSMC6,PARG,SOAT2,TPI1,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,RASSF3,LYPLA1,IMP4,XPR1,COQ4,NDUFA8,RRBP1,KIF3B,CTSO,OCIAD1,FAM114A1,DDX47,RAB39B,MRPL3,CACUL1,USP36,HDAC11,NIPSNAP1,FHOD3,GRAMD4,STOX1,E330009J07RIK,OSBPL5,ANO10,SGSM2,FOXF2,AKAP12,NRN1,CCDC81,DNM3,PSME4,BTBD7,PPP2R2D,STK40,AIDA,ZFP513,CHTF8,REXO1,LRRC19,SERTAD2,HTR1F,ZFP771,AGAP1,T,RDH11,DPM1,GALNT2,ASCL5,A830010M20RIK
9	1	TRUE	0.00492	3470	84	31	0.369	0.009	GO:0031974	CC	63	membrane-enclosed lumen	1	MRPL2,CHAF1A,ACTR8,KPNA2,MDH2,UBE2B,PSMC6,PARG,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,TAF3,IMP4,NDUFA8,FAM114A1,DDX47,MRPL3,USP36,HDAC11,STOX1,PSME4,STK40,CHTF8,REXO1,SERTAD2,ZFP771,T,GALNT2,A830010M20RIK
10	1	TRUE	0.0495	9587	84	56	0.667	0.006	GO:0043227	CC	63	membrane-bounded organelle	1	NDUFB2,MRPL2,CHAF1A,SURF4,ACTN1,ACTR8,PSMD11,KPNA2,MDH2,GIPC1,UBE2B,PSMC6,PARG,SOAT2,TPI1,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,LYPLA1,IMP4,COQ4,NDUFA8,RRBP1,KIF3B,CTSO,OCIAD1,FAM114A1,DDX47,RAB39B,MRPL3,USP36,HDAC11,NIPSNAP1,GRAMD4,STOX1,OSBPL5,SGSM2,FOXF2,DNM3,PSME4,BTBD7,STK40,ZFP513,CHTF8,REXO1,SERTAD2,ZFP771,T,DPM1,GALNT2,ASCL5,A830010M20RIK
11	1	TRUE	0.00815	6189	84	44	0.524	0.007	GO:0044422	CC	63	organelle part	1	NDUFB2,MRPL2,CHAF1A,ACTN1,ACTR8,KPNA2,MDH2,GIPC1,UBE2B,PSMC6,PARG,SOAT2,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,IMP4,NDUFA8,RRBP1,KIF3B,FAM114A1,DDX47,MRPL3,USP36,HDAC11,NIPSNAP1,FHOD3,STOX1,CCDC81,DNM3,PSME4,STK40,CHTF8,REXO1,SERTAD2,ZFP771,T,DPM1,GALNT2,ASCL5,A830010M20RIK
12	1	TRUE	0.00492	3470	84	31	0.369	0.009	GO:0043233	CC	63	organelle lumen	2	MRPL2,CHAF1A,ACTR8,KPNA2,MDH2,UBE2B,PSMC6,PARG,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,TAF3,IMP4,NDUFA8,FAM114A1,DDX47,MRPL3,USP36,HDAC11,STOX1,PSME4,STK40,CHTF8,REXO1,SERTAD2,ZFP771,T,GALNT2,A830010M20RIK
13	1	TRUE	0.00394	12686	84	72	0.857	0.006	GO:0044464	CC	63	cell part	1	NDUFB2,MRPL2,CHAF1A,SURF4,ACTN1,ACTR8,PSMD11,KPNA2,MDH2,GIPC1,UBE2B,HECW1,PSMC6,PARG,SOAT2,TPI1,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,RASSF3,LYPLA1,IMP4,XPR1,COQ4,NDUFA8,RRBP1,KIF3B,CTSO,OCIAD1,FAM114A1,DDX47,RAB39B,MRPL3,CACUL1,USP36,HDAC11,NIPSNAP1,FHOD3,GRAMD4,STOX1,E330009J07RIK,OSBPL5,ANO10,SGSM2,FOXF2,AKAP12,NRN1,CCDC81,DNM3,PSME4,BTBD7,PPP2R2D,STK40,AIDA,ZFP513,CHTF8,REXO1,LRRC19,SERTAD2,HTR1F,ZFP771,AGAP1,T,RDH11,DPM1,GALNT2,ASCL5,A830010M20RIK
14	1	TRUE	5.29e-05	10839	84	70	0.833	0.006	GO:0005622	CC	63	intracellular	2	NDUFB2,MRPL2,CHAF1A,SURF4,ACTN1,ACTR8,PSMD11,KPNA2,MDH2,GIPC1,UBE2B,HECW1,PSMC6,PARG,SOAT2,TPI1,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,RASSF3,LYPLA1,IMP4,XPR1,COQ4,NDUFA8,RRBP1,KIF3B,CTSO,OCIAD1,FAM114A1,DDX47,RAB39B,MRPL3,CACUL1,USP36,HDAC11,NIPSNAP1,FHOD3,GRAMD4,STOX1,E330009J07RIK,OSBPL5,ANO10,SGSM2,FOXF2,AKAP12,CCDC81,DNM3,PSME4,BTBD7,PPP2R2D,STK40,AIDA,ZFP513,CHTF8,REXO1,LRRC19,SERTAD2,ZFP771,AGAP1,T,RDH11,DPM1,GALNT2,ASCL5,A830010M20RIK
15	1	TRUE	0.000242	10736	84	68	0.81	0.006	GO:0044424	CC	63	intracellular part	3	NDUFB2,MRPL2,CHAF1A,SURF4,ACTN1,ACTR8,PSMD11,KPNA2,MDH2,GIPC1,UBE2B,HECW1,PSMC6,PARG,SOAT2,TPI1,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,RASSF3,LYPLA1,IMP4,XPR1,COQ4,NDUFA8,RRBP1,KIF3B,CTSO,OCIAD1,FAM114A1,DDX47,RAB39B,MRPL3,CACUL1,USP36,HDAC11,NIPSNAP1,FHOD3,GRAMD4,STOX1,E330009J07RIK,OSBPL5,SGSM2,FOXF2,AKAP12,CCDC81,DNM3,PSME4,BTBD7,PPP2R2D,STK40,AIDA,ZFP513,CHTF8,REXO1,LRRC19,SERTAD2,ZFP771,AGAP1,T,DPM1,GALNT2,ASCL5,A830010M20RIK
16	1	TRUE	0.0479	8141	84	50	0.595	0.006	GO:0005737	CC	63	cytoplasm	4	NDUFB2,MRPL2,SURF4,ACTN1,KPNA2,MDH2,GIPC1,UBE2B,HECW1,PSMC6,PARG,SOAT2,TPI1,DHX16,LDLRAD4,ARIH1,SEC11A,RASSF3,LYPLA1,XPR1,COQ4,NDUFA8,RRBP1,KIF3B,CTSO,OCIAD1,FAM114A1,DDX47,RAB39B,MRPL3,HDAC11,NIPSNAP1,FHOD3,GRAMD4,STOX1,E330009J07RIK,SGSM2,AKAP12,DNM3,PSME4,PPP2R2D,STK40,AIDA,LRRC19,SERTAD2,AGAP1,T,DPM1,GALNT2,A830010M20RIK
17	1	TRUE	0.00667	9249	84	58	0.69	0.006	GO:0043229	CC	63	intracellular organelle	4	NDUFB2,MRPL2,CHAF1A,SURF4,ACTN1,ACTR8,PSMD11,KPNA2,MDH2,GIPC1,UBE2B,PSMC6,PARG,SOAT2,TPI1,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,LYPLA1,IMP4,COQ4,NDUFA8,RRBP1,KIF3B,CTSO,OCIAD1,FAM114A1,DDX47,RAB39B,MRPL3,USP36,HDAC11,NIPSNAP1,FHOD3,GRAMD4,STOX1,OSBPL5,SGSM2,FOXF2,CCDC81,DNM3,PSME4,BTBD7,STK40,ZFP513,CHTF8,REXO1,SERTAD2,ZFP771,T,DPM1,GALNT2,ASCL5,A830010M20RIK
18	1	TRUE	0.00815	5990	84	43	0.512	0.007	GO:0044446	CC	63	intracellular organelle part	5	NDUFB2,MRPL2,CHAF1A,ACTN1,ACTR8,KPNA2,MDH2,UBE2B,PSMC6,PARG,SOAT2,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,SEC11A,TAF3,IMP4,NDUFA8,RRBP1,KIF3B,FAM114A1,DDX47,MRPL3,USP36,HDAC11,NIPSNAP1,FHOD3,STOX1,CCDC81,DNM3,PSME4,STK40,CHTF8,REXO1,SERTAD2,ZFP771,T,DPM1,GALNT2,ASCL5,A830010M20RIK
19	1	TRUE	0.00492	3470	84	31	0.369	0.009	GO:0070013	CC	63	intracellular organelle lumen	5	MRPL2,CHAF1A,ACTR8,KPNA2,MDH2,UBE2B,PSMC6,PARG,DHX16,LDLRAD4,KAT5,ARIH1,SMARCC2,TAF3,IMP4,NDUFA8,FAM114A1,DDX47,MRPL3,USP36,HDAC11,STOX1,PSME4,STK40,CHTF8,REXO1,SERTAD2,ZFP771,T,GALNT2,A830010M20RIK
