name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-4641258	Degradation of DVL	57	4	14.1	7	0.00018	0.018	16.2	4.1	46.9
R-HSA-351202	Metabolism of polyamines	84	4	9.54	5.57	0.00079	0.018	10.7	2.74	30.4
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	50	3	12	5.53	0.0019	0.018	13.5	2.59	44.2
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	51	3	11.8	5.47	0.0021	0.018	13.2	2.54	43.2
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	51	3	11.8	5.47	0.0021	0.018	13.2	2.54	43.2
R-HSA-69229	Ubiquitin-dependent degradation of Cyclin D1	51	3	11.8	5.47	0.0021	0.018	13.2	2.54	43.2
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	51	3	11.8	5.47	0.0021	0.018	13.2	2.54	43.2
R-HSA-180534	Vpu mediated degradation of CD4	52	3	11.6	5.4	0.0022	0.018	12.9	2.49	42.3
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	52	3	11.6	5.4	0.0022	0.018	12.9	2.49	42.3
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	52	3	11.6	5.4	0.0022	0.018	12.9	2.49	42.3
R-HSA-69610	p53-Independent DNA Damage Response	52	3	11.6	5.4	0.0022	0.018	12.9	2.49	42.3
R-HSA-69613	p53-Independent G1/S DNA damage checkpoint	52	3	11.6	5.4	0.0022	0.018	12.9	2.49	42.3
R-HSA-180585	Vif-mediated degradation of APOBEC3G	54	3	11.1	5.29	0.0024	0.018	12.4	2.39	40.5
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	54	3	11.1	5.29	0.0024	0.018	12.4	2.39	40.5
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	55	3	10.9	5.23	0.0026	0.018	12.2	2.35	39.7
R-HSA-4641257	Degradation of AXIN	55	3	10.9	5.23	0.0026	0.018	12.2	2.35	39.7
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	56	3	10.7	5.17	0.0027	0.018	11.9	2.3	38.9
R-HSA-5362768	Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	56	3	10.7	5.17	0.0027	0.018	11.9	2.3	38.9
R-HSA-5610780	Degradation of GLI1 by the proteasome	57	3	10.5	5.12	0.0028	0.018	11.7	2.26	38.2
R-HSA-69541	Stabilization of p53	57	3	10.5	5.12	0.0028	0.018	11.7	2.26	38.2
R-HSA-5689603	UCH proteinases	97	4	8.26	5.09	0.0014	0.018	9.22	2.36	26
R-HSA-69239	Synthesis of DNA	99	4	8.09	5.02	0.0015	0.018	9.03	2.31	25.5
R-HSA-5387390	Hh mutants abrogate ligand secretion	59	3	10.2	5.01	0.0031	0.018	11.3	2.18	36.7
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	59	3	10.2	5.01	0.0031	0.018	11.3	2.18	36.7
R-HSA-68827	CDT1 association with the CDC6:ORC:origin complex	59	3	10.2	5.01	0.0031	0.018	11.3	2.18	36.7
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	60	3	10	4.96	0.0033	0.018	11.1	2.14	36
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	60	3	10	4.96	0.0033	0.018	11.1	2.14	36
R-HSA-5678895	Defective CFTR causes cystic fibrosis	61	3	9.85	4.91	0.0034	0.018	10.9	2.11	35.4
