name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-5663205	Infectious disease	326	111	1.74	6.71	2.6e-10	2.8e-07	2.19	1.72	2.79
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	51	29	2.91	6.74	3.9e-09	6.6e-07	5.49	3.04	10.1
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	59	32	2.78	6.74	3.1e-09	6.6e-07	4.94	2.86	8.6
R-HSA-69202	Cyclin E associated events during G1/S transition 	82	40	2.5	6.7	2.2e-09	6.6e-07	3.98	2.51	6.31
R-HSA-69615	G1/S DNA Damage Checkpoints	68	35	2.63	6.66	3.6e-09	6.6e-07	4.43	2.66	7.37
R-HSA-4641258	Degradation of DVL	57	31	2.78	6.65	4.9e-09	6.6e-07	4.97	2.85	8.74
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	60	32	2.73	6.62	5.3e-09	6.6e-07	4.77	2.77	8.23
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	60	32	2.73	6.62	5.3e-09	6.6e-07	4.77	2.77	8.23
R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	81	39	2.46	6.52	5.5e-09	6.6e-07	3.88	2.44	6.16
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	86	40	2.38	6.33	1.2e-08	1.1e-06	3.63	2.31	5.69
R-HSA-453276	Regulation of mitotic cell cycle	86	40	2.38	6.33	1.2e-08	1.1e-06	3.63	2.31	5.69
R-HSA-392499	Metabolism of proteins	1907	462	1.24	5.73	1.2e-08	1.1e-06	1.41	1.25	1.59
R-HSA-453274	Mitotic G2-G2/M phases	197	72	1.87	6.08	1.4e-08	1.2e-06	2.42	1.78	3.28
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	54	29	2.75	6.35	2.3e-08	1.4e-06	4.83	2.72	8.62
R-HSA-5610780	Degradation of GLI1 by the proteasome	57	30	2.69	6.32	2.4e-08	1.4e-06	4.63	2.65	8.11
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	60	31	2.64	6.29	2.5e-08	1.4e-06	4.45	2.59	7.68
R-HSA-69563	p53-Dependent G1 DNA Damage Response	66	33	2.56	6.26	2.5e-08	1.4e-06	4.17	2.49	6.99
R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint	66	33	2.56	6.26	2.5e-08	1.4e-06	4.17	2.49	6.99
R-HSA-69275	G2/M Transition	195	71	1.86	6	2.2e-08	1.4e-06	2.41	1.76	3.26
R-HSA-162909	Host Interactions of HIV factors	128	52	2.08	6.05	2.8e-08	1.5e-06	2.87	1.97	4.15
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	52	28	2.76	6.25	3.7e-08	1.7e-06	4.86	2.71	8.77
R-HSA-69610	p53-Independent DNA Damage Response	52	28	2.76	6.25	3.7e-08	1.7e-06	4.86	2.71	8.77
R-HSA-69613	p53-Independent G1/S DNA damage checkpoint	52	28	2.76	6.25	3.7e-08	1.7e-06	4.86	2.71	8.77
R-HSA-4641257	Degradation of AXIN	55	29	2.7	6.22	3.9e-08	1.8e-06	4.64	2.63	8.23
R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	80	37	2.37	6.05	5.2e-08	2e-06	3.59	2.24	5.72
R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	80	37	2.37	6.05	5.2e-08	2e-06	3.59	2.24	5.72
R-HSA-5607764	CLEC7A (Dectin-1) signaling	96	42	2.24	6.01	4.9e-08	2e-06	3.25	2.11	4.97
R-HSA-8953854	Metabolism of RNA	646	181	1.43	5.62	4.7e-08	2e-06	1.66	1.38	2
R-HSA-5658442	Regulation of RAS by GAPs	68	33	2.48	6.05	6.5e-08	2.4e-06	3.93	2.36	6.53
R-HSA-351202	Metabolism of polyamines	84	38	2.31	5.96	7.2e-08	2.6e-06	3.45	2.18	5.43
R-HSA-8953897	Cellular responses to external stimuli	493	144	1.49	5.55	8e-08	2.8e-06	1.75	1.42	2.15
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	51	27	2.71	6.03	1e-07	3.1e-06	4.68	2.59	8.49
R-HSA-69229	Ubiquitin-dependent degradation of Cyclin D1	51	27	2.71	6.03	1e-07	3.1e-06	4.68	2.59	8.49
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	51	27	2.71	6.03	1e-07	3.1e-06	4.68	2.59	8.49
R-HSA-1169091	Activation of NF-kappaB in B cells	66	32	2.48	5.95	1e-07	3.1e-06	3.92	2.34	6.57
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	72	34	2.42	5.94	9.6e-08	3.1e-06	3.73	2.27	6.1
R-HSA-6807070	PTEN Regulation	140	54	1.97	5.72	1.2e-07	3.5e-06	2.63	1.83	3.75
R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	76	35	2.36	5.85	1.4e-07	3.9e-06	3.56	2.19	5.75
R-HSA-3858494	Beta-catenin independent WNT signaling	137	53	1.98	5.69	1.4e-07	3.9e-06	2.64	1.83	3.78
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	67	32	2.44	5.84	1.6e-07	4.4e-06	3.81	2.28	6.35
R-HSA-180534	Vpu mediated degradation of CD4	52	27	2.66	5.9	1.7e-07	4.6e-06	4.49	2.5	8.09
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	55	28	2.6	5.88	1.8e-07	4.6e-06	4.32	2.45	7.63
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	50	26	2.66	5.8	2.8e-07	6.7e-06	4.51	2.48	8.21
